placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,thursday,friday,saturday,sunday,monday,tuesday,wednesday,query,timestamp,info,isBlackOwned,attributes,error
https://www.google.com/maps/place/SMTX+Property+Management/data=!4m7!3m6!1s0x865ca88262862a99:0x5d7b25d80dad4c63!8m2!3d29.8644943!4d-97.9593921!16s%2Fg%2F11g8v5dksw!19sChIJmSqGYoKoXIYRY0ytDdgle10,SMTX Property Management,4.1,58,Property management company,"1920 Corporate Dr #201B, San Marcos, TX 78666, United States","V27R+Q6 San Marcos, Texas, USA",http://smtxpropertymanagement.com/,+1 512-667-6485,Open ⋅ Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipPrvobQAiAnkvBhzWGtmADx5ysSgQpW5VGERYEK=w408-h544-k-no,true,9 am–5 pm,9 am–5 pm,Closed,Closed,9 am–5 pm,9 am–5 pm,9 am–5 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+San+Marcos+San+Marcos+TX/@14.9609782,-91.8074586,14z",2025-09-25T19:41:47.151Z,,,,
https://www.google.com/maps/place/3Z+Property+Management/data=!4m7!3m6!1s0x865ca63c39f6638f:0x3e76e155945b7995!8m2!3d29.852227!4d-97.9744563!16s%2Fg%2F11cllnxtbl!19sChIJj2P2OTymXIYRlXlblFXhdj4,3Z Property Management,4.1,50,Property management company,"2706 Hunter Rd, San Marcos, TX 78666, United States","V22G+V6 San Marcos, Texas, USA",http://www.3zmanagement.com/,+1 512-566-4200,Open ⋅ Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipMQF_MTsdCSvxRW1p4ltZGsLJWEW8swbvcuB3XY=w408-h248-k-no,true,10 am–5 pm,10 am–5 pm,Closed,Closed,10 am–5 pm,10 am–5 pm,10 am–5 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+San+Marcos+San+Marcos+TX/@14.9609782,-91.8074586,14z",2025-09-25T19:41:52.352Z,,,,
https://www.google.com/maps/place/Investors+Property+Management+-+San+Marcos/data=!4m7!3m6!1s0x865ca85e33fbffff:0x9ac71c08abd6bd69!8m2!3d29.8611078!4d-97.9588265!16s%2Fg%2F11gh04r_ll!19sChIJ___7M16oXIYRab3Wqwgcx5o,Investors Property Management - San Marcos,2.8,6,Property management company,"330 Wonder World Dr STE 101, San Marcos, TX 78666, United States","V26R+CF San Marcos, Texas, USA",http://investorspropertymanagement.com/,+1 512-353-3159,Open ⋅ Closes 5:30 pm,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=zwE1UMz9UZOxrtqc20u-Jw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=239.06963&pitch=0&thumbfov=100,true,8:30 am–5:30 pm,8:30 am–5:30 pm,Closed,Closed,8:30 am–5:30 pm,8:30 am–5:30 pm,8:30 am–5:30 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+San+Marcos+San+Marcos+TX/@14.9609782,-91.8074586,14z",2025-09-25T19:41:57.328Z,,,,
https://www.google.com/maps/place/Williamson+Management/data=!4m7!3m6!1s0x865ca865c1ae4dfb:0x436d002d9d31eb29!8m2!3d29.8825921!4d-97.9382608!16s%2Fg%2F1tnjj_fh!19sChIJ-02uwWWoXIYRKesxnS0AbUM,Williamson Management,3.4,27,Property management company,"100 N Edward Gary St Suite B #115, San Marcos, TX 78666, United States","V3M6+2M San Marcos, Texas, USA",,+1 512-392-3600,Open ⋅ Closes 5 pm,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=k0aUKaWG6X_eQHQOsK8IFQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=248.7569&pitch=0&thumbfov=100,true,9 am–5 pm,9 am–5 pm,Closed,Closed,9 am–5 pm,9 am–5 pm,9 am–5 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+San+Marcos+San+Marcos+TX/@14.9609782,-91.8074586,14z",2025-09-25T19:42:01.838Z,,,,
https://www.google.com/maps/place/TX+Real+Estate+Management/data=!4m7!3m6!1s0x865ca8679dabe7fb:0xab4e9de78adade86!8m2!3d29.8508696!4d-97.9759994!16s%2Fg%2F1jkxzy5dr!19sChIJ--ernWeoXIYRht7aiuedTqs,TX Real Estate Management,5.0,17,Property management company,"2804 Hunter Rd, San Marcos, TX 78666, United States","V22F+8J San Marcos, Texas, USA",http://txrealestatemanagement.com/,+1 512-787-0333,Open ⋅ Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipNG59-SwZzz_wlRTk1UODdMD280aL6-XEIuFhtp=w426-h240-k-no,true,"9 am–12 pm, 1–5 pm","9 am–12 pm, 1–5 pm",Closed,Closed,"9 am–12 pm, 1–5 pm","9 am–12 pm, 1–5 pm","9 am–12 pm, 1–5 pm","https://www.google.com/maps/search/HOA+management+businesses+in+San+Marcos+San+Marcos+TX/@14.9609782,-91.8074586,14z",2025-09-25T19:42:06.167Z,,,,
https://www.google.com/maps/place/Planet+San+Marcos/data=!4m7!3m6!1s0x865ca84c9c8f1acf:0xe3d1afeec27e6991!8m2!3d29.8921055!4d-97.9176279!16s%2Fg%2F1263jc226!19sChIJzxqPnEyoXIYRkWl-wu6v0eM,Planet San Marcos,3.9,16,Property management company,"1624 Aquarena Springs Dr, San Marcos, TX 78666, United States","V3RJ+RW San Marcos, Texas, USA",https://psm1.managebuilding.com/Resident/PublicPages/apartmentsearch.aspx,+1 512-392-7400,Closes soon ⋅ 3:30 pm ⋅ Opens 10 am Fri,https://lh3.googleusercontent.com/p/AF1QipNs0ONzgUFOaXdeA025n8X177BCG0tiu4TBuRGq=w408-h408-k-no,true,10 am–3:30 pm,10 am–3:30 pm,Closed,Closed,10 am–3:30 pm,10 am–3:30 pm,10 am–3:30 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+San+Marcos+San+Marcos+TX/@14.9609782,-91.8074586,14z",2025-09-25T19:42:10.463Z,,,,
https://www.google.com/maps/place/Great+Locations+Realty/data=!4m7!3m6!1s0x865ca84b9ab1bac9:0xdd01d07c95eacad4!8m2!3d29.8929658!4d-97.920643!16s%2Fg%2F1tnpfw1f!19sChIJybqxmkuoXIYR1MrqlXzQAd0,Great Locations Realty,3.2,27,Property management company,"1503 Aquarena Springs Dr, San Marcos, TX 78666, United States","V3VH+5P San Marcos, Texas, USA",http://www.mygreatlocations.com/,+1 512-878-2233,Open ⋅ Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipO6_s6Zb_J1rNWwzZS46Vi2OAf1hD8MQnKiaeFM=w408-h272-k-no,true,9 am–5 pm,9 am–5 pm,Closed,Closed,9 am–5 pm,9 am–5 pm,9 am–5 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+San+Marcos+San+Marcos+TX/@14.9609782,-91.8074586,14z",2025-09-25T19:42:14.998Z,LGBTQ+ friendly,,,
https://www.google.com/maps/place/Vance+J.+Elliott+Realty+Group/data=!4m7!3m6!1s0x865ca84b89c1217f:0xdbb285e7542e6df2!8m2!3d29.8918055!4d-97.9193849!16s%2Fg%2F1tf589nf!19sChIJfyHBiUuoXIYR8m0uVOeFsts,Vance J. Elliott Realty Group,3.4,84,Property management company,"1504 Aquarena Springs Dr #204, San Marcos, TX 78666, United States","V3RJ+P6 San Marcos, Texas, USA",http://www.vancejelliottrealty.com/,+1 512-353-3002,Open ⋅ Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipMhVnwaLLzwzS-Dk7R0VJZGE086-R5uP4mzo6fB=w408-h544-k-no,true,9 am–5 pm,9 am–5 pm,Closed,Closed,9 am–5 pm,9 am–5 pm,9 am–5 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+San+Marcos+San+Marcos+TX/@14.9609782,-91.8074586,14z",2025-09-25T19:42:19.517Z,,,,
"https://www.google.com/maps/place/Ash+Group,+LLC/data=!4m7!3m6!1s0x865ca84c8d1602d5:0x352b1ed53d966b49!8m2!3d29.8910025!4d-97.91786!16s%2Fg%2F11cm198yws!19sChIJ1QIWjUyoXIYRSWuWPdUeKzU","Ash Group, LLC",4.0,1,Property management company,"132 Jackson Ln, San Marcos, TX 78666, United States","V3RJ+CV San Marcos, Texas, USA",http://ashgroupproperties.net/,+1 512-754-9139,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=tjZqsYRqGtW0MX_MXwrrcA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=217.45285&pitch=0&thumbfov=100,false,,,,,,,,"https://www.google.com/maps/search/HOA+management+businesses+in+San+Marcos+San+Marcos+TX/@14.9609782,-91.8074586,14z",2025-09-25T19:42:21.778Z,,,,
https://www.google.com/maps/place/Pinnacle+Properties-BMS/data=!4m7!3m6!1s0x865ca86342b4a323:0xcebd303c2c861573!8m2!3d29.8834587!4d-97.9663104!16s%2Fg%2F12lk4pl34!19sChIJI6O0QmOoXIYRcxWGLDwwvc4,Pinnacle Properties-BMS,4.7,56,Real estate agency,"Office Hours by Appointment Only, 1409 N Bishop St Suite A-1, San Marcos, TX 78666, United States","V2MM+9F San Marcos, Texas, USA",http://www.pp-bms.com/,+1 512-754-1227,Open ⋅ Closes 8 pm,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=id9y8LQgp474CzWqoDp5Ww&cb_client=search.gws-prod.gps&w=408&h=240&yaw=181.38794&pitch=0&thumbfov=100,true,9 am–8 pm,9 am–8 pm,9 am–8 pm,1–8 pm,9 am–8 pm,9 am–8 pm,9 am–8 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+San+Marcos+San+Marcos+TX/@14.9609782,-91.8074586,14z",2025-09-25T19:42:26.328Z,,,,
