placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,sunday,monday,tuesday,wednesday,thursday,friday,saturday,query,timestamp,info,isBlackOwned,attributes,error
https://www.google.com/maps/place/West+Tennessee+Healthcare+Infusion+Services/data=!4m7!3m6!1s0x887ea147edba9ca9:0x390ca76a41b2fc52!8m2!3d35.6356539!4d-88.846413!16s%2Fg%2F1jglx596t!19sChIJqZy67UehfogRUvyyQWqnDDk,West Tennessee Healthcare Infusion Services,5.0,1,Hospital equipment and supplies,"1062 W Forest Ave, Jackson, TN 38301, United States","J5P3+7C Jackson, Tennessee, USA",https://www.wth.org/services/medical-products/equipment-and-supplies/?utm_source=GMBSocialClimb&utm_medium=WestTennesseeHealthcareInfusionServices#home-infusion-services,+1 731-660-6954,Closed ⋅ Opens 8 am Mon,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=i7Y_1xcuqKu5WjErkK_S1w&cb_client=search.gws-prod.gps&w=408&h=240&yaw=0.0975382&pitch=0&thumbfov=100,true,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,"https://www.google.com/maps/search/Infusion+centers+in+Jackson+TN/@35.6145169,-88.8139469,14z",2025-09-29T00:21:03.744Z,,,,
https://www.google.com/maps/place/IVX+Health+Infusion+Center/data=!4m7!3m6!1s0x887ea18249c88e4f:0xdd2ffff4735826b6!8m2!3d35.6877279!4d-88.861186!16s%2Fg%2F11qmxkt62x!19sChIJT47ISYKhfogRtiZYc_T_L90,IVX Health Infusion Center,5.0,179,Medical clinic,"54 Exeter Rd STE B, Jackson, TN 38305, United States","M4QQ+3G Jackson, Tennessee, USA",https://ivxhealth.com/locations/tennessee/memphis/jackson?utm_source=gmb&utm_medium=yext,+1 731-540-0220,Closed ⋅ Opens 8:30 am Mon,https://lh3.googleusercontent.com/p/AF1QipMa0bQCgavW-tG7HCIbvwCbDw1rGDZsu2aHhLQZ=w408-h306-k-no,true,Closed,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,Closed,"https://www.google.com/maps/search/Infusion+centers+in+Jackson+TN/@35.6145169,-88.8139469,14z",2025-09-29T00:21:08.559Z,,,,
https://www.google.com/maps/place/Alice+%26+Carl+Kirkland+Cancer+Center/data=!4m7!3m6!1s0x887ea125a2973e35:0x2aeb2bbde4d65b3a!8m2!3d35.6351299!4d-88.8325997!16s%2Fg%2F11bbrh4hz4!19sChIJNT6XoiWhfogROlvW5L0r6yo,Alice & Carl Kirkland Cancer Center,3.8,63,Cancer treatment center,"720 W Forest Ave, Jackson, TN 38301, United States","J5P8+3X Jackson, Tennessee, USA",https://www.wth.org/services/kirkland-cancer-center/,+1 731-541-1700,Closed ⋅ Opens 7:30 am Mon,https://lh3.googleusercontent.com/gps-cs-s/AC9h4noKOr7Li5qiTRG6jrq6AckNJNs7I1YE-FSDZkMKGUHrOkofFpuzbzYe9ymIT-dzOyRH6D-M3VoWPRvleWVdT7J2ppKOt3NtmgUnOnR-rwML0idWngPy-_ue_UbI6iXdLoqGtD442w=w610-h240-k-no,false,Closed,7:30 am–4:30 pm,7:30 am–4:30 pm,7:30 am–4:30 pm,7:30 am–4:30 pm,7:30 am–4:30 pm,Closed,"https://www.google.com/maps/search/Infusion+centers+in+Jackson+TN/@35.6145169,-88.8139469,14z",2025-09-29T00:21:12.942Z,,,,
https://www.google.com/maps/place/Heartland+Infusion/data=!4m7!3m6!1s0x887ea1124618f743:0xe02c19c1b5bc38e4!8m2!3d35.6876235!4d-88.8611747!16s%2Fg%2F11s7qj68d_!19sChIJQ_cYRhKhfogR5Di8tcEZLOA,Heartland Infusion,,,Medical clinic,"54 Exeter Rd STE B, Jackson, TN 38305, United States","M4QQ+2G Jackson, Tennessee, USA",,+1 731-540-0220,Closed ⋅ Opens 8 am Mon,https://lh3.googleusercontent.com/p/AF1QipP-0iS1fv0iceVOhgU6cPO_3YLf6PPQydGlzGFc=w426-h240-k-no,true,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,"https://www.google.com/maps/search/Infusion+centers+in+Jackson+TN/@35.6145169,-88.8139469,14z",2025-09-29T00:21:17.438Z,,,,
https://www.google.com/maps/place/BrookWell+Infusion+-+Outpatient+Infusion+Therapy+Treatment+Center/data=!4m7!3m6!1s0x885a635661b666db:0xe660df7b5bc3cce2!8m2!3d36.3335237!4d-82.4015048!16s%2Fg%2F11x6dg8vth!19sChIJ22a2YVZjWogR4szDW3vfYOY,BrookWell Infusion - Outpatient Infusion Therapy Treatment Center,5.0,3,Medical clinic,"709 Med Tech Pkwy #210, Johnson City, TN 37604, United States","8HMX+C9 Johnson City, Tennessee, USA",https://www.brookwellinfusion.com/,+1 423-427-2943,Closed ⋅ Opens 7:30 am Mon,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=PgdbLAn2nnW_5ETBmpQ4Sg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=137.33449&pitch=0&thumbfov=100,true,Closed,7:30 am–5:30 pm,7:30 am–5:30 pm,7:30 am–5:30 pm,7:30 am–5:30 pm,Closed,Closed,"https://www.google.com/maps/search/Infusion+centers+in+Johnson+City+TN/@36.3206778,-82.3425105,14z",2025-09-29T00:21:29.409Z,,,,
https://www.google.com/maps/place/Health+and+Wellness+Center/data=!4m7!3m6!1s0x885a7d3fd129c109:0x5af3c933281f1914!8m2!3d36.3137592!4d-82.3837817!16s%2Fg%2F11r_tq_0p8!19sChIJCcEp0T99WogRFBkfKDPJ81o,Health and Wellness Center,3.9,7,Medical clinic,"1604 Lamons Ln #205, Johnson City, TN 37604, United States","8J78+GF Johnson City, Tennessee, USA",https://www.awaremed.com/,+1 423-430-6170,Closed ⋅ Opens 9 am Mon,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=A9gtK5kNjF6SHcWhIzhXfg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=2.9790268&pitch=0&thumbfov=100,false,Closed,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,"https://www.google.com/maps/search/Infusion+centers+in+Johnson+City+TN/@36.3206778,-82.3425105,14z",2025-09-29T00:21:33.898Z,,,,
https://www.google.com/maps/place/Revitalist+Ketamine+Therapy+%7C+Johnson+City/data=!4m7!3m6!1s0x885a7d84dd4f7dcd:0xff16ec96b7c6ff9e!8m2!3d36.3518923!4d-82.3678813!16s%2Fg%2F11nffkclnv!19sChIJzX1P3YR9WogRnv_Gt5bsFv8,Revitalist Ketamine Therapy | Johnson City,4.8,16,Mental health clinic,"2 Red Bush Ct, Johnson City, TN 37601, United States","9J2J+QR Johnson City, Tennessee, USA",https://revitalistclinic.com/ketamine-johnson-city-tn/,+1 833-633-1576,Closed ⋅ Opens 8 am Mon,https://lh3.googleusercontent.com/p/AF1QipPG-zDModOBqjvVD9Jfp3w7PmJbb9NUFfhFh85o=w408-h306-k-no,true,Closed,8 am–4 pm,8 am–4 pm,8 am–4 pm,8 am–4 pm,8 am–4 pm,Closed,"https://www.google.com/maps/search/Infusion+centers+in+Johnson+City+TN/@36.3206778,-82.3425105,14z",2025-09-29T00:21:38.452Z,Identifies as veteran-owned,,,
https://www.google.com/maps/place/Quality+of+Life+Hematology+And+Oncology/data=!4m7!3m6!1s0x15258ed4ac16c4e3:0xabe400d85db5b258!8m2!3d36.3529311!4d-82.3755654!16s%2Fg%2F11b6mqmy8z!19sChIJ48QWrNSOJRURWLK1XdgA5Ks,Quality of Life Hematology And Oncology,4.2,19,Medical clinic,"302 Wesley St, Johnson City, TN 37601, United States","9J3F+5Q Johnson City, Tennessee, USA",https://qualityoflife.healthcare/,+1 423-282-0561,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=NSOb2h6XgZoN06OGss73FA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=118.64908&pitch=0&thumbfov=100,false,,,,,,,,"https://www.google.com/maps/search/Infusion+centers+in+Johnson+City+TN/@36.3206778,-82.3425105,14z",2025-09-29T00:21:40.809Z,,,,
https://www.google.com/maps/place/TwelveStone+Infusion+Center+Memphis+%28Germantown%29/data=!4m7!3m6!1s0x887f9b4080fd41e1:0x2ef104404db2c339!8m2!3d35.1158247!4d-89.8228138!16s%2Fg%2F11ld46t183!19sChIJ4UH9gECbf4gROcOyTUAE8S4,TwelveStone Infusion Center Memphis (Germantown),5.0,158,Specialized clinic,"7205 Wolf River Blvd Suite 205, Germantown, TN 38138, United States","458G+8V Germantown, Tennessee, USA",https://www.12stonehealth.com/,+1 901-969-9115,Closed ⋅ Opens 8 am Mon,https://lh3.googleusercontent.com/p/AF1QipPOmoVx2Q7STv2MTW_EcxYMbpLdwApOtmu5SKy7=w408-h272-k-no,true,Closed,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,Closed,"https://www.google.com/maps/search/Infusion+centers+in+Germantown+TN/@35.0867577,-89.8100858,14z",2025-09-29T00:21:52.929Z,,,,
https://www.google.com/maps/place/Restoration+Infusions+Center/data=!4m7!3m6!1s0x887f858acc9925cb:0xba3d3a18f0584532!8m2!3d35.1157696!4d-89.8028202!16s%2Fg%2F11j8x8kxt7!19sChIJyyWZzIqFf4gRMkVY8Bg6Pbo,Restoration Infusions Center,5.0,48,Mental health clinic,"7796 Wolf Trail Cove Ste. 102, Germantown, TN 38138, United States","458W+8V Germantown, Tennessee, USA",https://www.restorationinfusions.com/,+1 901-300-5433,Closed ⋅ Opens 8:30 am Mon,https://lh3.googleusercontent.com/p/AF1QipNPFBFa25KKS4tEklnXjBRdVYeZParo_RAhM-sL=w408-h306-k-no,true,Closed,8:30 am–4:30 pm,8:30 am–4:30 pm,8:30 am–4:30 pm,8:30 am–4:30 pm,8:30 am–4:30 pm,Closed,"https://www.google.com/maps/search/Infusion+centers+in+Germantown+TN/@35.0867577,-89.8100858,14z",2025-09-29T00:21:57.434Z,Identifies as women-owned,,,
