placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,info,imgUrl,isClaimed,monday,tuesday,wednesday,thursday,friday,saturday,sunday,query,timestamp,attributes,isBlackOwned
https://www.google.com/maps/place/Ally+Psychiatry+-+Bowling+Green/data=!4m7!3m6!1s0x152e3632d7836823:0xd3922a91a96db268!8m2!3d36.9666195!4d-86.4297628!16s%2Fg%2F11b6j7psd_!19sChIJI2iD1zI2LhURaLJtqZEqktM,Ally Psychiatry - Bowling Green,4.5,260,Mental health clinic,"1048 Ashley St STE 201, Bowling Green, KY 42103, United States","XH8C+J3 Bowling Green, Kentucky, USA",http://www.allypsychiatry.com/,+1 270-205-4585,Closed · Opens 8 am Tue,LGBTQ+ friendly,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSy2kEsTe-Ln7Wug0gD675DDfg3a7BFrXdRQ7Ue91aAT9JBhNecOk-Bz47vG6tb5ouTxPqHyaean8BTc75e6lgVJhYBAELuEr1AncyMyiV66hqQaXRlO4-OMmvBMwXmZoPJ2jHDVZA=w408-h544-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–12 pm,Closed,Closed,"https://www.google.com/maps/search/Psychiatry+clinics+in+Bowling+Green+KY/@36.9685219,-86.4808043,14z",2025-12-16T01:41:29.452Z,,
https://www.google.com/maps/place/Medical+Center+Psychiatry/data=!4m7!3m6!1s0x8865ef4f09aec12d:0x22eb255c0f47c507!8m2!3d36.995111!4d-86.4314013!16s%2Fg%2F1tgnsd8y!19sChIJLcGuCU_vZYgRB8VHD1wl6yI,Medical Center Psychiatry,3.6,82,Mental health clinic,"350 Park St Suite 204, Bowling Green, KY 42101, United States","XHW9+2C Bowling Green, Kentucky, USA",https://medcenterhealth.org/service/psychiatry/,+1 270-843-5103,Closed · Opens 8 am Tue,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=EL4vPM0wDpU1WAs2QAQ1fA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=147.95552&pitch=0&thumbfov=100,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,"https://www.google.com/maps/search/Psychiatry+clinics+in+Bowling+Green+KY/@36.9685219,-86.4808043,14z",2025-12-16T01:41:35.285Z,,
https://www.google.com/maps/place/Oak+Haven+Psychiatry/data=!4m7!3m6!1s0x8865efefd8495125:0xe5036e88c56d851!8m2!3d36.9929498!4d-86.4337715!16s%2Fg%2F11sgrcmyyg!19sChIJJVFJ2O_vZYgRUdhWjOg2UA4,Oak Haven Psychiatry,4.4,36,Mental health clinic,"730 Fairview Ave Ste A5, Bowling Green, KY 42101, United States","XHV8+5F Bowling Green, Kentucky, USA",http://oakhavenpsychiatry.com/,+1 270-935-5117,Closed · Opens 8 am Tue,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=pQqbS1Dpk79rNrBjD9TbYA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=333.67178&pitch=0&thumbfov=100,true,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,Closed,Closed,Closed,"https://www.google.com/maps/search/Psychiatry+clinics+in+Bowling+Green+KY/@36.9685219,-86.4808043,14z",2025-12-16T01:41:40.321Z,,
https://www.google.com/maps/place/Kentucky+Counseling+Center/data=!4m7!3m6!1s0x8865efea02de10c5:0xae7b12fc92b5f9e5!8m2!3d36.9925243!4d-86.4442176!16s%2Fg%2F11h54d__7t!19sChIJxRDeAurvZYgR5fm1kvwSe64,Kentucky Counseling Center,4.6,91,Mental health service,"1039 College St # 301, Bowling Green, KY 42101, United States","XHV4+28 Bowling Green, Kentucky, USA",http://kentuckycounselingcenter.com/,+1 855-591-0092,Closes soon · 8 pm · Opens 8 am Tue,,https://lh3.googleusercontent.com/p/AF1QipOEAzegmlj7OxHZuRgDUVuNOzjYWAv04_64JNUR=w408-h318-k-no,true,8 am–8 pm,8 am–8 pm,8 am–8 pm,8 am–8 pm,8 am–8 pm,8 am–8 pm,8 am–8 pm,"https://www.google.com/maps/search/Psychiatry+clinics+in+Bowling+Green+KY/@36.9685219,-86.4808043,14z",2025-12-16T01:41:45.382Z,,
https://www.google.com/maps/place/Bowling+Green+Psychiatry/data=!4m7!3m6!1s0x8865e9723f8d5f2b:0xeede0c82849c7bac!8m2!3d36.9936488!4d-86.4357892!16s%2Fg%2F11mvkpfgjt!19sChIJK1-NP3LpZYgRrHuchIIM3u4,Bowling Green Psychiatry,4.2,5,Mental health service,"730 Fairview Ave STE B3, Bowling Green, KY 42101, United States","XHV7+FM Bowling Green, Kentucky, USA",http://bowlinggreenpsychiatry.com/,+1 270-421-3397,Closed · Opens 9 am Tue,Identifies as women-owned,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=XIZO26PEXuNtQqEat_eP2A&cb_client=search.gws-prod.gps&w=408&h=240&yaw=136.90387&pitch=0&thumbfov=100,true,9 am–4 pm,9 am–4 pm,9 am–4 pm,9 am–4 pm,Closed,Closed,Closed,"https://www.google.com/maps/search/Psychiatry+clinics+in+Bowling+Green+KY/@36.9685219,-86.4808043,14z",2025-12-16T01:41:50.456Z,,
https://www.google.com/maps/place/Lake+Behavioral+Health+Management/data=!4m7!3m6!1s0x8865e9d03eec4f7d:0x4ee640f8b85292fa!8m2!3d36.9708611!4d-86.4321291!16s%2Fg%2F11t4yhbhx3!19sChIJfU_sPtDpZYgR-pJSuPhA5k4,Lake Behavioral Health Management,4.7,12,Mental health service,"1143 Fairway St Suite 103, Bowling Green, KY 42103, United States","XHC9+84 Bowling Green, Kentucky, USA",https://lakebh.com/,+1 812-901-6881,Closed · Opens 8 am Tue,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=MJwrQM-xTrQ__MB3BbwNYg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=164.153&pitch=0&thumbfov=100,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–12 pm,Closed,Closed,"https://www.google.com/maps/search/Psychiatry+clinics+in+Bowling+Green+KY/@36.9685219,-86.4808043,14z",2025-12-16T01:41:55.571Z,,
https://www.google.com/maps/place/The+Cognitive+Refinery/data=!4m7!3m6!1s0x8865ef3595f915b9:0xd64e2d5c27e2ff8b!8m2!3d36.990207!4d-86.4400919!16s%2Fg%2F11crzkgwl6!19sChIJuRX5lTXvZYgRi__iJ1wtTtY,The Cognitive Refinery,4.5,35,Mental health clinic,"948 Elm St Ste 2, Bowling Green, KY 42101, United States","XHR5+3X Bowling Green, Kentucky, USA",http://www.thecognitiverefinery.com/,+1 270-266-1188,Closed · Opens 8:30 am Tue,,https://lh3.googleusercontent.com/p/AF1QipPnHy2PFTuZDWTkNWW4pUxEDRSIbIEUEcnhtU0G=w408-h272-k-no,true,8:30 am–7 pm,8:30 am–7 pm,8:30 am–7 pm,8:30 am–7 pm,8:30 am–5 pm,Closed,Closed,"https://www.google.com/maps/search/Psychiatry+clinics+in+Bowling+Green+KY/@36.9685219,-86.4808043,14z",2025-12-16T01:42:00.408Z,,
https://www.google.com/maps/place/Onyx+Regent+Health+%26+Wellness+LLC/data=!4m7!3m6!1s0x8865ef4998e65099:0x65d854c2bb898924!8m2!3d36.9419625!4d-86.4251361!16s%2Fg%2F1tfvzwqz!19sChIJmVDmmEnvZYgRJImJu8JU2GU,Onyx Regent Health & Wellness LLC,3.9,31,Psychiatrist,"351 Pascoe Blvd # 100, Bowling Green, KY 42104, United States","WHRF+QW Bowling Green, Kentucky, USA",http://onyxregenthealthwellness.org/,+1 270-935-5234,Closed · Opens 8 am Tue,,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSy6LPjpY4paLi9eKz-LTfREcKqdQzHY8UA2f7feOuaWF4z9HSuJ9tkqwBBidmk5M0W3884NQNUgBGtJ-P886V7vYsXP2n-SR7LVE4-XF-Ux6yB4D1BmPnxsBygpKFQCjyhwMBKjNA=w408-h306-k-no,true,8 am–6 pm,8 am–6 pm,Closed,8 am–6 pm,8 am–6 pm,Closed,Closed,"https://www.google.com/maps/search/Psychiatry+clinics+in+Bowling+Green+KY/@36.9685219,-86.4808043,14z",2025-12-16T01:42:05.363Z,,
https://www.google.com/maps/place/Insight+Psychiatry+Center/data=!4m7!3m6!1s0x8865e8e6080fffff:0x171c9ceb6a6394dc!8m2!3d36.9527698!4d-86.4226618!16s%2Fg%2F11pkk985gh!19sChIJ__8PCOboZYgR3JRjauucHBc,Insight Psychiatry Center,4.2,19,Mental health service,"1043 Pedigo Way suite 13, Bowling Green, KY 42103, United States","XH3G+4W Bowling Green, Kentucky, USA",http://www.insightpsychiatrycenter.com/,+1 270-439-8304,,LGBTQ+ friendly,https://lh3.googleusercontent.com/p/AF1QipOSwZjEtKg0HZ725BFEOIKk8shD2T4BeF9hIhXx=w408-h544-k-no,true,7 am–3:30 pm,7 am–3:30 pm,7 am–3:30 pm,8 am–4 pm,Closed,Closed,Closed,"https://www.google.com/maps/search/Psychiatry+clinics+in+Bowling+Green+KY/@36.9685219,-86.4808043,14z",2025-12-16T01:42:10.469Z,,
https://www.google.com/maps/place/Cardinal+Behavioral+Health/data=!4m7!3m6!1s0x8865ef523a3a04f3:0x3a40592fcf00af4!8m2!3d36.9493155!4d-86.4708333!16s%2Fg%2F1tdq_g3b!19sChIJ8wQ6OlLvZYgR9Arw_JIFpAM,Cardinal Behavioral Health,4.0,16,Mental health clinic,"719 Dishman Ln Suite C, Bowling Green, KY 42104, United States","WGXH+PM Bowling Green, Kentucky, USA",http://cardinalbh.com/,+1 270-202-8669,Closed · Opens 8 am Tue,LGBTQ+ friendly,https://lh3.googleusercontent.com/p/AF1QipMZqI06V7dyc_-RN8epjHZgOF27EiCWfcRfIEKO=w408-h307-k-no,true,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–6 pm,Closed,Closed,"https://www.google.com/maps/search/Psychiatry+clinics+in+Bowling+Green+KY/@36.9685219,-86.4808043,14z",2025-12-16T01:42:15.556Z,,
