placeUrl,title,rating,reviewCount,category,attributes,address,plusCode,website,phoneNumber,currentStatus,info,imgUrl,isClaimed,monday,tuesday,wednesday,thursday,friday,saturday,sunday,query,timestamp,isBlackOwned
https://www.google.com/maps/place/Waheed%27s+Tire+Center/data=!4m7!3m6!1s0x8805193b63db5755:0x106ed71e3e86fe0b!8m2!3d43.0636983!4d-87.9056911!16s%2Fg%2F1tqclsqv!19sChIJVVfbYzsZBYgRC_6GPh7XbhA,Waheed's Tire Center,4.5,331,Tire shop,· In-store shopping · In-store pick-up · Delivery,"2477 N Holton St, Milwaukee, WI 53212, United States","337V+FP Milwaukee, Wisconsin, USA",,+1 414-562-2477,Open · Closes 5 pm,LGBTQ+ friendly,https://lh3.googleusercontent.com/gps-cs-s/AHVAweoPn-Ay5U_PLmKinnOx_VlwRdcAMM6hTclTKvxdmTtT-QA1O-yAYF8sYH7JVI43_MXvq5nE3NDhcE8Eo7GwjBoOKHzD_8VX2g0K0nCGdqSyd686L5uLTr9MqqG5BrsbZUTRJ9TwPA=w408-h271-k-no,true,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–3 pm,9 am–3 pm,"https://www.google.com/maps/search/tire+service+in+Milwaukee+Milwaukee+WI/@43.0410344,-87.9096783,14z",2026-03-23T16:50:27.544Z,
https://www.google.com/maps/place/Mr+P%27s+Tires/data=!4m7!3m6!1s0x880519946b5866a7:0x71e5aa69ea4a099!8m2!3d43.0235942!4d-87.9178473!16s%2Fg%2F1ty74v6s!19sChIJp2ZYa5QZBYgRmaCknqZaHgc,Mr P's Tires,4.4,279,Tire shop,· In-store shopping · In-store pick-up,"528 W National Ave, Milwaukee, WI 53204, United States","23FJ+CV Milwaukee, Wisconsin, USA",https://www.mrpstires.com/,+1 414-672-9000,Open · Closes 5 pm,,https://lh3.googleusercontent.com/gps-cs-s/AHVAweoLQZeiv_Adwzir1RQ1o5rh3l8iOYuHmGKaeT_Scw0XHh3tVPiUSC8hfBWQSecwrDriTuTLFdAYInaqye2ut9vBw5XoBZ8ynQzUKkn-xdMbZDo3GmYghOSYCVOHazSsN_2HnycpjA=w408-h306-k-no,true,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–3 pm,Closed,"https://www.google.com/maps/search/tire+service+in+Milwaukee+Milwaukee+WI/@43.0410344,-87.9096783,14z",2026-03-23T16:50:33.179Z,
https://www.google.com/maps/place/Mobile+Tire+Pit+Crew/data=!4m7!3m6!1s0x8805a977477d715b:0x9149ae4f1ada9901!8m2!3d43.0377769!4d-87.9065785!16s%2Fg%2F11h6fdjbv0!19sChIJW3F9R3epBYgRAZnaGk-uSZE,Mobile Tire Pit Crew,4.9,172,Auto repair shop,,"603 N Milwaukee St, Milwaukee, WI 53202, United States","23QV+49 Milwaukee, Wisconsin, USA",http://mobiletiremilwaukee.com/,+1 414-858-8473,Open · Closes 12 am,,https://lh3.googleusercontent.com/gps-cs-s/AHVAwerA_EPcFzpnOuzJ9Hk2yX0LdxFcEGu5lEHNUFpyYtkqUeFRt7M3q9vZaMZLqbrufGjqN1zZHcH7_0KixyeqeckGK5yHWAmrZH-ZbkvTc5g1u7QivWsgF6Y8luPsyrMDo0dO2t_8=w442-h240-k-no,true,10 am–12 am,10 am–12 am,10 am–12 am,10 am–12 am,10 am–12 am,10 am–12 am,4 pm–12 am,"https://www.google.com/maps/search/tire+service+in+Milwaukee+Milwaukee+WI/@43.0410344,-87.9096783,14z",2026-03-23T16:50:38.657Z,
https://www.google.com/maps/place/CFL+Tires/data=!4m7!3m6!1s0x88051b3ab8a44a65:0x37cdb2df35d7e108!8m2!3d43.0603161!4d-87.9365751!16s%2Fg%2F11vkd71cw7!19sChIJZUqkuDobBYgRCOHXNd-yzTc,CFL Tires,4.5,52,Tire repair shop,,"1905 W North Ave, Milwaukee, WI 53205, United States","3367+49 Milwaukee, Wisconsin, USA",,+1 414-249-3147,Open · Closes 7 pm,,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqFBcV1DbAGNskCNVnezMQyHVD3XTpaLg3EK4V_-Muty7hk_Ofdd0NZSF8B98r4VbnCzPOYAB3VkzZOfm2Wt9M068oPTex23JyG13yRHJZd0Cw_CONjWHMC2FYrV9lS35GcoPrZ=w408-h306-k-no,true,10 am–7 pm,10 am–7 pm,10 am–7 pm,10 am–7 pm,10 am–7 pm,12–6 pm,Closed,"https://www.google.com/maps/search/tire+service+in+Milwaukee+Milwaukee+WI/@43.0410344,-87.9096783,14z",2026-03-23T16:50:43.790Z,
https://www.google.com/maps/place/Mex+Tires/data=!4m7!3m6!1s0x880519ebedb09a65:0x68103db8068069df!8m2!3d43.0162382!4d-87.9182719!16s%2Fg%2F1thk99rp!19sChIJZZqw7esZBYgR32mABrg9EGg,Mex Tires,3.9,304,Tire shop,· In-store pick-up,"1438 S 6th St, Milwaukee, WI 53204, United States","238J+FM Milwaukee, Wisconsin, USA",https://www.facebook.com/100057121823456/photos/?_rdr,+1 414-671-6522,Open · Closes 7 pm,,https://lh3.googleusercontent.com/gps-cs-s/AHVAwepcgpDDuWorXmE0AXrfQPBSaco2opbLcrxWyqQcgHwA2dkmLXzyl2jRvAdTCcdvG756NNP858_2RacvdeBjElICgBgSid2Tr_dzFuImCqs5BTsEJ4r3PxBIaqqgPShzxd9vNi1W=w426-h240-k-no,true,8 am–7 pm,8 am–7 pm,8 am–7 pm,8 am–7 pm,8 am–7 pm,8 am–7 pm,8 am–3 pm,"https://www.google.com/maps/search/tire+service+in+Milwaukee+Milwaukee+WI/@43.0410344,-87.9096783,14z",2026-03-23T16:50:49.538Z,
https://www.google.com/maps/place/Two+Brothers+Tire+Store/data=!4m7!3m6!1s0x88051babc8a0137b:0x714d2acdac3ea564!8m2!3d43.0358717!4d-87.9481652!16s%2Fg%2F11k24n515n!19sChIJexOgyKsbBYgRZKU-rM0qTXE,Two Brothers Tire Store,4.4,49,Tire shop,,"2705 W Clybourn St, Milwaukee, WI 53208, United States","23P2+8P Milwaukee, Wisconsin, USA",,+1 414-509-6249,Open · Closes 5:30 pm,,https://lh3.googleusercontent.com/gps-cs-s/AHVAweot7Djlh2l6fS1-sh2BlQH4JhJqGD7stW9VCNRoMV-3AIjpWf7-8DDrlM5PWOszXgU2LiqulJ-A0ZivIivGsZkhWHqCPcoZO8Apwn-oiymewVP6244aHINFaKUoHIDlbKUSScDBuQ=w408-h306-k-no,false,8 am–5:30 pm,8 am–5:30 pm,8 am–5:30 pm,8 am–5:30 pm,8 am–5:30 pm,8 am–3 pm,Closed,"https://www.google.com/maps/search/tire+service+in+Milwaukee+Milwaukee+WI/@43.0410344,-87.9096783,14z",2026-03-23T16:50:55.060Z,
https://www.google.com/maps/place/Reliable+Auto+Service/data=!4m7!3m6!1s0x8805196cafc59179:0xd7a4301aa255ee6c!8m2!3d43.0534408!4d-87.9147514!16s%2Fg%2F1tcw45sk!19sChIJeZHFr2wZBYgRbO5VohowpNc,Reliable Auto Service,4.9,152,Auto repair shop,,"Martin Luther King, 1737 N Dr, Milwaukee, WI 53212, United States","333P+93 Milwaukee, Wisconsin, USA",,,Open · Closes 4:30 pm,,https://lh3.googleusercontent.com/gps-cs-s/AHVAwepRkv-C9Gkxu0qSdCWowx5zwyfWXOaxzHhzHCsOWotOLI4SxiUFA7EnMAk9d9uCC8VuvVZ-P1m6f_KkliHZeUTRN8nya8mLzoGtu8x986rvkIx0ZFNmU09XV_eXXPQYwJXVKFk=w408-h271-k-no,true,7 am–4:30 pm,7 am–4:30 pm,7 am–4:30 pm,7 am–4:30 pm,7 am–3 pm,Closed,Closed,"https://www.google.com/maps/search/tire+service+in+Milwaukee+Milwaukee+WI/@43.0410344,-87.9096783,14z",2026-03-23T16:51:00.415Z,
https://www.google.com/maps/place/Pitstop+Tire+Shop/data=!4m7!3m6!1s0x88051b94043e9713:0xccdbccaac512ff88!8m2!3d43.0640309!4d-87.9578151!16s%2Fg%2F1v7tlyz7!19sChIJE5c-BJQbBYgRiP8SxarM28w,Pitstop Tire Shop,4.1,196,Tire shop,· In-store pick-up,"3507 W Wright St, Milwaukee, WI 53210, United States","327R+JV Milwaukee, Wisconsin, USA",,+1 414-444-8711,Open · Closes 6 pm,,https://lh3.googleusercontent.com/gps-cs-s/AHVAweomF8t4peEh648X2A4k8D04C4SUN1LRhRIcE6IzIHKYG-cT6nLA171VF1rcgxuX7jWmCvWQ7aUPiPxNLKZNUsKVwr2KKwnc3b9ncNrtxmARJizgbVe6mikhgY6W2opgXS010mPAFA=w426-h240-k-no,false,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–6 pm,Closed,"https://www.google.com/maps/search/tire+service+in+Milwaukee+Milwaukee+WI/@43.0410344,-87.9096783,14z",2026-03-23T16:51:06.180Z,
https://www.google.com/maps/place/Milwaukee+Auto+Repair/data=!4m7!3m6!1s0x880519f27b12b9c1:0x8ff61a371f9d8c9!8m2!3d43.0173475!4d-87.9241766!16s%2Fg%2F11bwyp39cs!19sChIJwbkSe_IZBYgRydj5caNh_wg,Milwaukee Auto Repair,3.2,91,Auto repair shop,,"1335 S 10th St, Milwaukee, WI 53204, United States","238G+W8 Milwaukee, Wisconsin, USA",,+1 414-204-8097,Open · Closes 5 pm,,https://lh3.googleusercontent.com/gps-cs-s/AHVAwep1BsQKuS7MPSzsci6muKL1R3cAwt1opsqL-HLcnRFXfmgw-MNU4osaPTb9qp1Q5jaN_JZsxey31Thj8WxnED1p7j9_kzMAjYe3ASaqBwaZJdhGYjp8sWGgf0zD2LqIxchTVT8=w408-h306-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–2 pm,Closed,"https://www.google.com/maps/search/tire+service+in+Milwaukee+Milwaukee+WI/@43.0410344,-87.9096783,14z",2026-03-23T16:51:12.161Z,
https://www.google.com/maps/place/Sanfelippo+Auto+Repair+%E2%80%93+Reliable+Auto+Care+in+Milwaukee/data=!4m7!3m6!1s0x8805191701f5d7f3:0xc02e5f7697d2994c!8m2!3d43.0244296!4d-87.9120989!16s%2Fg%2F11hfgbsrb9!19sChIJ89f1ARcZBYgRTJnSl3ZfLsA,Sanfelippo Auto Repair – Reliable Auto Care in Milwaukee,4.8,245,Auto repair shop,,"646 S 2nd St UNIT 600, Milwaukee, WI 53204, United States","23FQ+Q5 Milwaukee, Wisconsin, USA",https://sarfleet.com/,+1 414-220-3282,Open · Closes 4:30 pm,,https://lh3.googleusercontent.com/gps-cs-s/AHVAweo7uAXrUVICUv2YHf71afVQ9eLVedssQ4k82bubCRxYybTohXNa2ww53f9tmjD0kdQipZu_fwARqwtvOt94nkV99LffymZfSe_rJMKp4mheOgLjqO_PrtXg-tO0pV5A7YmV8dfT=w447-h240-k-no,true,7 am–4:30 pm,7 am–4:30 pm,7 am–4:30 pm,7 am–4:30 pm,7 am–3:30 pm,Closed,Closed,"https://www.google.com/maps/search/tire+service+in+Milwaukee+Milwaukee+WI/@43.0410344,-87.9096783,14z",2026-03-23T16:51:18.165Z,
