placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,info,imgUrl,isClaimed,monday,tuesday,wednesday,thursday,friday,saturday,sunday,query,timestamp,isBlackOwned,attributes
https://www.google.com/maps/place/Live+Well+Integrative+Medicine/data=!4m7!3m6!1s0x89ac588f10d26545:0x65f953ef3da0f3c9!8m2!3d35.8308939!4d-78.6302696!16s%2Fg%2F11hbvsmtjf!19sChIJRWXSEI9YrIkRyfOgPe9T-WU,Live Well Integrative Medicine,4.5,84,Medical clinic,"4064 Barrett Dr #9A, Raleigh, NC 27609, United States","R9J9+9V Raleigh, North Carolina, USA",http://www.livewellim.com/,+1 919-803-4188,Open · Closes 5 pm,LGBTQ+ friendly,https://lh3.googleusercontent.com/gps-cs-s/AHVAwepsOrslXEvS9Yp_clnI8h2QdS-Iy9YqUc1-wcFtfjWINupfYGNK7RxN4a0J4RjlQiSOlUsWcaAj_DVj-lyt2betfKog_0NtTaTvaWEpav2WNSbIHhY-68mP-KWay4VYDe3raA2O=w408-h544-k-no,true,8 am–5 pm,8 am–6 pm,8 am–5 pm,8 am–6 pm,8 am–2 pm,Closed,Closed,"https://www.google.com/maps/search/functional+medicine+in+Raleigh+Raleigh+NC/@35.7795897,-78.6381787,14z",2026-02-23T17:02:03.808Z,,
https://www.google.com/maps/place/Carolina+Total+Wellness/data=!4m7!3m6!1s0x89ac5802e75313df:0xe0fc3102d9e37bf2!8m2!3d35.8211417!4d-78.7015165!16s%2Fg%2F12hln8tn_!19sChIJ3xNT5wJYrIkR8nvj2QIx_OA,Carolina Total Wellness,4.7,42,Holistic medicine practitioner,"3708 Forestview Rd #202, Raleigh, NC 27612, United States","R7CX+F9 Raleigh, North Carolina, USA",http://www.carolinatotalwellness.com/,+1 919-999-0831,Open · Closes 5 pm,LGBTQ+ friendly,https://lh3.googleusercontent.com/p/AF1QipNSJT2I5nHhneJK_9OK0zw8RMYO_274OfyV8Yt7=w408-h306-k-no,true,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,Closed,Closed,Closed,"https://www.google.com/maps/search/functional+medicine+in+Raleigh+Raleigh+NC/@35.7795897,-78.6381787,14z",2026-02-23T17:02:10.188Z,,
https://www.google.com/maps/place/FoundationMED/data=!4m7!3m6!1s0x89ac5802e75313df:0x2b4aabce3d3fc74f!8m2!3d35.8529383!4d-78.7120928!16s%2Fg%2F1pp2w_crr!19sChIJ3xNT5wJYrIkRT8c_Pc6rSis,FoundationMED,4.9,42,Holistic medicine practitioner,"5520 McNeely Dr #204, Raleigh, NC 27612, United States","V73Q+55 Raleigh, North Carolina, USA",http://www.foundationmed.com/,+1 919-740-6129,Open · Closes 5 pm,,https://lh3.googleusercontent.com/p/AF1QipORjM9Bmb7oXtzpcRvn2bV6qRUb6zPzBE8zaPj6=w408-h271-k-no,true,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,Closed,"https://www.google.com/maps/search/functional+medicine+in+Raleigh+Raleigh+NC/@35.7795897,-78.6381787,14z",2026-02-23T17:02:15.604Z,,
https://www.google.com/maps/place/Carolina+Center+for+Integrative+Medicine/data=!4m7!3m6!1s0x89acf42a5093a651:0x21e57bf9481f7678!8m2!3d35.8139132!4d-78.7072863!16s%2Fg%2F1tj7fy4y!19sChIJUaaTUCr0rIkReHYfSPl75SE,Carolina Center for Integrative Medicine,4.1,13,Doctor,"4505 Fair Meadow Lane #111, Raleigh, NC 27607, United States","R77V+H3 Raleigh, North Carolina, USA",https://carolinacenter.com/,+1 919-571-4391,Open · Closes 5 pm,,https://lh3.googleusercontent.com/p/AF1QipPUXy8rHvD_lgtebP6YKzwIq_bP1hc7DU4t0YkY=w408-h306-k-no,true,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,Closed,Closed,Closed,"https://www.google.com/maps/search/functional+medicine+in+Raleigh+Raleigh+NC/@35.7795897,-78.6381787,14z",2026-02-23T17:02:20.557Z,,
https://www.google.com/maps/place/Triangle+Functional+Medicine+%2B+Dermatologic+%26+Aesthetic+Medicine/data=!4m7!3m6!1s0x89ac5906d87eeb1f:0xa740f0adb2f3e0ea!8m2!3d35.8666267!4d-78.6244375!16s%2Fg%2F11jpj9bzxp!19sChIJH-t-2AZZrIkR6uDzsq3wQKc,Triangle Functional Medicine + Dermatologic & Aesthetic Medicine,4.7,29,Dermatologist,"809 Spring Forest Rd # 800, Raleigh, NC 27609, United States","V98G+M6 Raleigh, North Carolina, USA",http://www.trianglefunctionalmedicine.com/,+1 919-758-2622,Open · Closes 5 pm,,https://lh3.googleusercontent.com/p/AF1QipN2GVHj3mXWAhKECUcJc6K7474JZzsrSk2gVNvO=w408-h594-k-no,true,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–12 pm,Closed,Closed,"https://www.google.com/maps/search/functional+medicine+in+Raleigh+Raleigh+NC/@35.7795897,-78.6381787,14z",2026-02-23T17:02:25.452Z,,
"https://www.google.com/maps/place/Dr.+Loan+Huynh,+D.C.+%7C+Optimal+Wellness+Holistic+Center+LLC/data=!4m7!3m6!1s0x89ac58c1ebeebb3f:0x4ad6241ff2618dff!8m2!3d35.8716216!4d-78.673186!16s%2Fg%2F1tdk1g7c!19sChIJP7vu68FYrIkR_41h8h8k1ko","Dr. Loan Huynh, D.C. | Optimal Wellness Holistic Center LLC",5.0,36,Holistic medicine practitioner,,,http://optimalwellnessofraleigh.com/,+1 919-791-0445,Open · Closes 5 pm,Identifies as women-owned,https://lh3.googleusercontent.com/gps-cs-s/AHVAwerkOmr32FGKFmrvZtH7zO2BQflA1cZNGI-7OzpOTJGier2nfFCXbYtf7JKL8MzJHI9S1UUeay-RLOG7NQ7KY12wCWZd8s1IT3qoXj5a9MmfSnXu9DQNo7zgptXGdju-8bcCbQeA=w408-h544-k-no,true,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,Closed,"https://www.google.com/maps/search/functional+medicine+in+Raleigh+Raleigh+NC/@35.7795897,-78.6381787,14z",2026-02-23T17:02:30.505Z,,
https://www.google.com/maps/place/Dr.+Karen+H.+Carrick:+Natural+HealthCare+and+Diagnostics/data=!4m7!3m6!1s0x89ac58c1e0fc2273:0x3bbb3247a317be41!8m2!3d35.8758089!4d-78.6416257!16s%2Fg%2F1vpptcy5!19sChIJcyL84MFYrIkRQb4Xo0cyuzs,Dr. Karen H. Carrick: Natural HealthCare and Diagnostics,4.9,15,Alternative medicine practitioner,"Upper Level, 188 Wind Chime Ct Suite 204, Raleigh, NC 27615, United States","V9G5+88 Raleigh, North Carolina, USA",https://drcarrick.com/,+1 919-781-0177,Open · Closes 5 pm,LGBTQ+ friendly,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Tf4TYGoVeCCPo4ZCzcEMWg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=202.95421&pitch=0&thumbfov=100,true,9 am–5 pm,Closed,9 am–5 pm,Closed,9 am–5 pm,Closed,Closed,"https://www.google.com/maps/search/functional+medicine+in+Raleigh+Raleigh+NC/@35.7795897,-78.6381787,14z",2026-02-23T17:02:35.550Z,,
https://www.google.com/maps/place/Anti+Aging+and+Functional+Medicine/data=!4m7!3m6!1s0x89acf7c0ad12b895:0x6f226673f8c364bd!8m2!3d35.873322!4d-78.6790502!16s%2Fg%2F11b7ysbdvc!19sChIJlbgSrcD3rIkRvWTD-HNmIm8,Anti Aging and Functional Medicine,4.7,13,Holistic medicine practitioner,"6400 Creedmoor Rd #104, Raleigh, NC 27613, United States","V8FC+89 Raleigh, North Carolina, USA",https://antiagingraleigh.com/,+1 919-615-0577,Open · Closes 5 pm,LGBTQ+ friendly,https://lh3.googleusercontent.com/p/AF1QipMK4bbDlbr2jpJgHBOzCFVZXqU-kRF7qMoiLvDF=w720-h240-k-no,true,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,Closed,"https://www.google.com/maps/search/functional+medicine+in+Raleigh+Raleigh+NC/@35.7795897,-78.6381787,14z",2026-02-23T17:02:41.549Z,,
https://www.google.com/maps/place/Holistic+Vitality+Center/data=!4m7!3m6!1s0x89acf794b21bfbb3:0xe039a52b1eedbe1d!8m2!3d35.8833718!4d-78.6798547!16s%2Fg%2F1tfzc1bw!19sChIJs_sbspT3rIkRHb7tHiulOeA,Holistic Vitality Center,4.9,260,Holistic medicine practitioner,"7101 Creedmoor Rd #102, Raleigh, NC 27613, United States","V8MC+83 Raleigh, North Carolina, USA",https://www.holisticvitalitycenter.com/,+1 919-848-3333,Open · Closes 7 pm,,https://lh3.googleusercontent.com/p/AF1QipMyKXmbz8885fwNGiwY0Np-ErrK9G5v_GC15Zec=w408-h272-k-no,true,10 am–7 pm,8:30 am–7 pm,8:30 am–7 pm,10 am–7 pm,8:30 am–4 pm,Closed,Closed,"https://www.google.com/maps/search/functional+medicine+in+Raleigh+Raleigh+NC/@35.7795897,-78.6381787,14z",2026-02-23T17:02:46.511Z,,
https://www.google.com/maps/place/North+Hills+Internal+%26+Integrative+Medicine/data=!4m7!3m6!1s0x89ac588f1be662e3:0x3b855c27366dbb8d!8m2!3d35.8312563!4d-78.609559!16s%2Fg%2F1tf87z1q!19sChIJ42LmG49YrIkRjbttNidchTs,North Hills Internal & Integrative Medicine,4.4,75,Medical clinic,"1631 Midtown Pl STE 101, Raleigh, NC 27609, United States","R9JR+G5 Raleigh, North Carolina, USA",http://www.northhillsinternalmedicine.com/,+1 919-977-1675,Closed · Opens 1 pm,,https://lh3.googleusercontent.com/p/AF1QipNOYtZMP11zcePi252doTGCrd8INkad-QmcdOzI=w408-h271-k-no,true,"8 am–12 pm, 1–4 pm","8 am–12 pm, 1–4 pm","8 am–12 pm, 1–4 pm","8 am–12 pm, 1–4 pm","8 am–12 pm, 1–4 pm",Closed,Closed,"https://www.google.com/maps/search/functional+medicine+in+Raleigh+Raleigh+NC/@35.7795897,-78.6381787,14z",2026-02-23T17:02:51.473Z,,
