placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,query,timestamp,info,sunday,monday,tuesday,wednesday,thursday,friday,saturday,attributes,error
https://www.google.com/maps/place/Vita+Drip+%26+Beauty+Bar/data=!4m7!3m6!1s0x89d13576aa29987b:0x56523e44de34569b!8m2!3d43.196258!4d-77.680665!16s%2Fg%2F11rtm3n5sp!19sChIJe5gpqnY10YkRm1Y03kQ-UlY,Vita Drip & Beauty Bar,4.7,25,Weight loss service,"726 Weiland Rd, Rochester, NY 14626, United States","58W9+GP Rochester, New York, USA",https://vitadripbeautybar.com/,+1 585-210-0774,,https://lh3.googleusercontent.com/p/AF1QipMsh4ugSFRUWKbmz2lO4Tiub9shmzwOTJk2fBHy=w408-h271-k-no,true,"https://www.google.com/maps/search/Infusion+centers+in+Byron+Rochester+MN/@43.1565779,-77.6088465,14z",2025-09-28T23:11:53.852Z,,,,,,,,,,
"https://www.google.com/maps/place/Strong+Infusion+Center+Highland/@43.135616,-77.606018,17z/data=!3m1!4b1!4m6!3m5!1s0x89d6b51f8bde9da3:0xd6aa8510ea9c5b00!8m2!3d43.135616!4d-77.606018!16s%2Fg%2F1hc22xnhc",Strong Infusion Center Highland,3.7,3,Medical clinic,"1000 South Ave, Rochester, NY 14620, United States","49PV+6H Rochester, New York, USA",https://www.urmc.rochester.edu/highland/departments-centers/cancer,+1 585-341-8237,,,false,"https://www.google.com/maps/search/Infusion+centers+in+Byron+Rochester+MN/@43.1565779,-77.6088465,14z",2025-09-28T23:11:59.344Z,,,,,,,,,,
"https://www.google.com/maps/place/Olmsted+Medical+Center+-+Infusion+Therapy+Services/@44.0199261,-92.4405228,17z/data=!3m1!4b1!4m6!3m5!1s0x87f9e1c1e9eb151d:0x1c9471fbaaf9e7b3!8m2!3d44.0199261!4d-92.4405228!16s%2Fg%2F11kj11vx8_",Olmsted Medical Center - Infusion Therapy Services,5.0,1,Cancer treatment center,"1650 4th St SE, Rochester, MN 55904, United States","2H95+XQ Rochester, Minnesota, USA",https://www.olmmed.org/clinical-services/infusion-therapy-services/?utm_source=OMC_InfusionTherapyServices&utm_campaign=Local-Listings&utm_medium=Google-My-Business,+1 507-529-6936,,,true,"https://www.google.com/maps/search/Infusion+centers+in+Byron+Rochester+MN/@43.1565779,-77.6088465,14z",2025-09-28T23:12:04.485Z,,,,,,,,,,
https://www.google.com/maps/place/RRH+Infusion+Center+-+20+Hagen/data=!4m7!3m6!1s0x89d6cb4da6bab185:0xb11ceabdfc86765c!8m2!3d43.1248348!4d-77.5158624!16s%2Fg%2F11gr64q80_!19sChIJhbG6pk3L1okRXHaG_L3qHLE,RRH Infusion Center - 20 Hagen,1.0,1,Medical clinic,"20 Hagen Dr #100, Rochester, NY 14625, United States","4FFM+WM Rochester, New York, USA",https://www.rochesterregional.org/locations/infusion/20-hagen?y_source=1_OTkwMTA0Ni03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,+1 585-922-4020,"Closed ⋅ Opens 8 am Mon

Confirmed by this business 7 weeks ago",https://lh3.googleusercontent.com/p/AF1QipO-tUeEpiGsjyAV8cbofsG-dZJJZwEpJmJHRPTj=w426-h240-k-no,true,"https://www.google.com/maps/search/Infusion+centers+in+Byron+Rochester+MN/@43.1565779,-77.6088465,14z",2025-09-28T23:12:09.364Z,LGBTQ+ friendly,Closed,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,Closed,,
"https://www.google.com/maps/place/Strong+Infusion+Center/@43.06736,-77.6303393,17z/data=!3m1!4b1!4m6!3m5!1s0x89d14b961e05332f:0x386bd418f8290f53!8m2!3d43.06736!4d-77.6303393!16s%2Fg%2F11b60qdvdp",Strong Infusion Center,3.0,2,Medical Center,"125 Red Creek Dr, Rochester, NY 14623, United States","3989+WV Rochester, New York, USA",http://www.urmc.rochester.edu/,+1 585-341-8237,,,false,"https://www.google.com/maps/search/Infusion+centers+in+Byron+Rochester+MN/@43.1565779,-77.6088465,14z",2025-09-28T23:12:14.367Z,,,,,,,,,,
https://www.google.com/maps/place/Driftless+Hydration/data=!4m7!3m6!1s0x87f9e1399d5aae41:0xedbc2f134260dacb!8m2!3d44.0351812!4d-92.4620845!16s%2Fg%2F11sdbg12gl!19sChIJQa5anTnh-YcRy9pgQhMvvO0,Driftless Hydration,4.8,23,IV therapy service,"17 12th St NE, Rochester, MN 55906, United States","2GPQ+35 Rochester, Minnesota, USA",https://www.driftlesshydration.com/,+1 507-258-3052,Closed ⋅ Opens 9 am Mon,https://lh3.googleusercontent.com/p/AF1QipPft9IQl5HrXpQ2g6U0YHDpm0DH0F8DUkCZytGE=w408-h266-k-no,true,"https://www.google.com/maps/search/Infusion+centers+in+Dodge+Center+Rochester+MN/@44.0274641,-92.8551933,14z",2025-09-28T23:12:35.362Z,LGBTQ+ friendly,Closed,9 am–6 pm,9 am–6 pm,9 am–6 pm,9 am–6 pm,9 am–6 pm,Closed,,
"https://www.google.com/maps/place/Rochester+Home+Infusion/@44.020853,-92.464974,17z/data=!3m1!4b1!4m6!3m5!1s0x87f75f635da4e9e7:0x4fb47a917353b1ef!8m2!3d44.020853!4d-92.464974!16s%2Fg%2F11cnd53mk7",Rochester Home Infusion,4.8,22,Pharmacy,"221 1st Ave SW STE 105, Rochester, MN 55902, United States","2GCP+82 Rochester, Minnesota, USA",http://rochesterhomeinfusion.com/,+1 507-316-0001,Closed ⋅ Opens 9 am Mon,,true,"https://www.google.com/maps/search/Infusion+centers+in+Dodge+Center+Rochester+MN/@44.0274641,-92.8551933,14z",2025-09-28T23:12:42.361Z,,Closed,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,· Delivery,
https://www.google.com/maps/place/Mayo+Clinic+Comprehensive+Cancer+Center/data=!4m7!3m6!1s0x87f75f7b3595d707:0xa49284586a96d031!8m2!3d44.0226729!4d-92.4667508!16s%2Fg%2F12q4y8hq8!19sChIJB9eVNXtf94cRMdCWaliEkqQ,Mayo Clinic Comprehensive Cancer Center,3.2,14,Cancer treatment center,"200 1st St SW, Rochester, MN 55905, United States","2GFM+37 Rochester, Minnesota, USA",https://www.mayoclinic.org/departments-centers/mayo-clinic-cancer-center/cancer-care/minnesota?mc_id=us&utm_source=yext&utm_medium=l&utm_content=departmentcancer&utm_campaign=mayoclinic&geo=national&placementsite=enterprise&invsrc=cancer&cauid=105142&y_source=1_MzkxODQ4NC03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,+1 507-284-2511,Closed ⋅ Opens 8 am Mon,https://lh3.googleusercontent.com/p/AF1QipP9LrE8D59YdI64VRFNbcfM0cKxEIsGikx_vYu2=w426-h240-k-no,true,"https://www.google.com/maps/search/Infusion+centers+in+Dodge+Center+Rochester+MN/@44.0274641,-92.8551933,14z",2025-09-28T23:12:47.228Z,LGBTQ+ friendly,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,,
https://www.google.com/maps/place/The+Center+Clinic/data=!4m7!3m6!1s0x87f73e78f1eb663b:0x7ce4349fac619f4!8m2!3d44.0281944!4d-92.8550338!16s%2Fg%2F1vzqsts4!19sChIJO2br8Xg-94cR9BnG-klDzgc,The Center Clinic,4.0,1,Reproductive health clinic,"14 W Main St, Dodge Center, MN 55927, United States","24HV+7X Dodge Center, Minnesota, USA",http://www.thecenterclinic.org/,+1 507-633-9200,Closed ⋅ Opens 10:30 am Mon,https://lh3.googleusercontent.com/p/AF1QipNzSO3x-f4q1hVuuP4slzo2mx8hJol9M3tDXKc=w408-h544-k-no,true,"https://www.google.com/maps/search/Infusion+centers+in+Dodge+Center+Rochester+MN/@44.0274641,-92.8551933,14z",2025-09-28T23:12:52.235Z,LGBTQ+ friendly,Closed,10:30 am–4:30 pm,Closed,10:30 am–4:30 pm,10:30 am–4:30 pm,Closed,Closed,,
https://www.google.com/maps/place/Mayo+Clinic+Head+and+Neck+Cancer+Center/data=!4m7!3m6!1s0x87f75f012aa6ff09:0xef288a30d4cb0aad!8m2!3d44.0226729!4d-92.4667508!16s%2Fg%2F11n96knycj!19sChIJCf-mKgFf94cRrQrL1DCKKO8,Mayo Clinic Head and Neck Cancer Center,,,Cancer treatment center,"200 1st St SW, Rochester, MN 55905, United States","2GFM+37 Rochester, Minnesota, USA",https://www.mayoclinic.org/departments-centers/head-and-neck-cancer-center/home/orc-20457069?mc_id=us&utm_source=yext&utm_medium=l&utm_content=departmentcancer&utm_campaign=mayoclinic&geo=national&placementsite=enterprise&invsrc=cancer&cauid=105142&y_source=1_MTM3ODQ0OTUtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,+1 507-284-2511,Closed ⋅ Opens 8 am Mon,https://lh3.googleusercontent.com/p/AF1QipO-CfnjvQKBRgA51D7qEUV7TZAgM_YdELbZxgTk=w426-h240-k-no,true,"https://www.google.com/maps/search/Infusion+centers+in+Dodge+Center+Rochester+MN/@44.0274641,-92.8551933,14z",2025-09-28T23:12:56.973Z,,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,,
