placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,sunday,monday,tuesday,wednesday,thursday,friday,saturday,query,timestamp,info,isBlackOwned,attributes,error
https://www.google.com/maps/place/Kemper+CPA+Group+LLP+-+Accounting+%26+Tax+Services/data=!4m7!3m6!1s0x880cd0e2d012c36d:0xb7123cafef6c3398!8m2!3d40.0935099!4d-88.2748077!16s%2Fg%2F1tfzbs3z!19sChIJbcMS0OLQDIgRmDNs7688Erc,Kemper CPA Group LLP - Accounting & Tax Services,3.0,7,Certified public accountant,"1701 Broadmoor Dr, Champaign, IL 61821, United States","3PVG+C3 Champaign, Illinois, USA",https://www.kempercpa.com/,+1 217-351-2073,Closed ⋅ Opens 8 am Mon,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=gH04MjEFmqlDHA6hlAac9g&cb_client=search.gws-prod.gps&w=408&h=240&yaw=191.72151&pitch=0&thumbfov=100,true,Closed,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,Closed,"https://www.google.com/maps/search/certified+public+accountant+in+Champaign+Champaign+IL/@40.1162884,-88.2435155,14z",2025-10-19T15:15:13.586Z,,,,
https://www.google.com/maps/place/M.A.T.S.+Accounting+and+Tax+Service/data=!4m7!3m6!1s0x880cd1edd180a153:0x8b266b22eb4afd16!8m2!3d40.1304696!4d-88.2533461!16s%2Fg%2F11vl1mz_mh!19sChIJU6GA0e3RDIgRFv1K6yJrJos,M.A.T.S. Accounting and Tax Service,5.0,185,Tax preparation service,"702 Bloomington Rd Suite 217, Champaign, IL 61820, United States","4PJW+5M Champaign, Illinois, USA",https://www.mats-filing.com/,+1 217-799-7601,Closed ⋅ Opens 10 am Mon,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=UaENUsOIV7B7xPP_HDmidA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=10.330101&pitch=0&thumbfov=100,true,Closed,10 am–6 pm,10 am–6 pm,10 am–6 pm,10 am–6 pm,10 am–6 pm,10 am–3 pm,"https://www.google.com/maps/search/certified+public+accountant+in+Champaign+Champaign+IL/@40.1162884,-88.2435155,14z",2025-10-19T15:15:19.337Z,,,,
https://www.google.com/maps/place/MH+CPA+PLLC/data=!4m7!3m6!1s0x880cd12d5dea95eb:0x2bfecacc763fbb3a!8m2!3d40.1424762!4d-88.2810795!16s%2Fg%2F1tftxjtf!19sChIJ65XqXS3RDIgROrs_dszK_is,MH CPA PLLC,3.6,12,Accounting firm,"2110 Clearlake Blvd STE 200, Champaign, IL 61822, United States","4PR9+XH Champaign, Illinois, USA",https://mh.cpa/,+1 217-351-2000,"Closed ⋅ Opens 8 am Mon

Updated by this business 6 weeks ago",https://lh3.googleusercontent.com/p/AF1QipO65zn3ly31lCdgOdB9AWeM6ghmCfAGqhqIqk27=w408-h544-k-no,true,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–12 pm,Closed,"https://www.google.com/maps/search/certified+public+accountant+in+Champaign+Champaign+IL/@40.1162884,-88.2435155,14z",2025-10-19T15:15:24.854Z,,,,
https://www.google.com/maps/place/D%27Amico+Accounting+Services/data=!4m7!3m6!1s0x880cd732dd06baef:0xadf005b202f006a8!8m2!3d40.0946693!4d-88.2449111!16s%2Fg%2F1w0sdfvd!19sChIJ77oG3TLXDIgRqAbwArIF8K0,D'Amico Accounting Services,4.6,11,Accountant,"1710 S Neil St, Champaign, IL 61820, United States","3QV4+V2 Champaign, Illinois, USA",http://www.damicoaccounting.com/,+1 217-352-2591,Closed ⋅ Opens 8 am Mon,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=A577HPUdAZDs5mq3sXnYbg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=113.14157&pitch=0&thumbfov=100,true,Closed,8 am–3 pm,8 am–3 pm,8 am–3 pm,8 am–3 pm,Closed,Closed,"https://www.google.com/maps/search/certified+public+accountant+in+Champaign+Champaign+IL/@40.1162884,-88.2435155,14z",2025-10-19T15:15:29.787Z,,,,
https://www.google.com/maps/place/Feller+Stan+CPA/data=!4m7!3m6!1s0x880cd085b04909d7:0x1e8b7941187c0ef6!8m2!3d40.1243436!4d-88.2783514!16s%2Fg%2F1tdqj19v!19sChIJ1wlJsIXQDIgR9g58GEF5ix4,Feller Stan CPA,5.0,1,Accountant,"806 Parkland Ct # 1, Champaign, IL 61821, United States","4PFC+PM Champaign, Illinois, USA",,+1 217-351-3192,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=dG33uDMW6bMxDDUmHT4e3A&cb_client=search.gws-prod.gps&w=408&h=240&yaw=87.70675&pitch=0&thumbfov=100,false,,,,,,,,"https://www.google.com/maps/search/certified+public+accountant+in+Champaign+Champaign+IL/@40.1162884,-88.2435155,14z",2025-10-19T15:15:32.627Z,,,,
"https://www.google.com/maps/place/Kallembach+%26+Assoc/@40.1159909,-88.2508214,17z/data=!3m1!4b1!4m6!3m5!1s0x880cd0b41cfb7c0f:0xd49d879c08feedc2!8m2!3d40.1159909!4d-88.2508214!16s%2Fg%2F11c605rsjw",Kallembach & Assoc,5.0,2,Accountant,"505 W University Ave #207, Champaign, IL 61820, United States","4P8X+9M Champaign, Illinois, USA",http://kallembach.com/contact-us/,+1 217-355-8979,Closed ⋅ Opens 8 am Mon,,false,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,"https://www.google.com/maps/search/certified+public+accountant+in+Champaign+Champaign+IL/@40.1162884,-88.2435155,14z",2025-10-19T15:15:39.924Z,,,,
https://www.google.com/maps/place/Feller+%26+Kuester+CPAs+PLLC/data=!4m7!3m6!1s0x880cd085b04909d7:0xc642f51f076cbe07!8m2!3d40.1243359!4d-88.2783258!16s%2Fg%2F11_stxqvn!19sChIJ1wlJsIXQDIgRB75sBx_1QsY,Feller & Kuester CPAs PLLC,2.0,4,Accounting firm,"806 Parkland Ct # 1, Champaign, IL 61821, United States","4PFC+PM Champaign, Illinois, USA",https://www.fellerkuester.com/,+1 217-351-3192,Closed ⋅ Opens 8 am Mon,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=dG33uDMW6bMxDDUmHT4e3A&cb_client=search.gws-prod.gps&w=408&h=240&yaw=88.908485&pitch=0&thumbfov=100,true,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,"https://www.google.com/maps/search/certified+public+accountant+in+Champaign+Champaign+IL/@40.1162884,-88.2435155,14z",2025-10-19T15:15:45.065Z,,,,
https://www.google.com/maps/place/Jackson+Hewitt+Tax+Service/data=!4m7!3m6!1s0x880cd083559d8e39:0x2d219e8570e79144!8m2!3d40.1278413!4d-88.2749959!16s%2Fg%2F1v42gd06!19sChIJOY6dVYPQDIgRRJHncIWeIS0,Jackson Hewitt Tax Service,4.6,157,Tax preparation,"1704 W Bradley Ave, Champaign, IL 61821, United States","4PHG+42 Champaign, Illinois, USA",https://office.jacksonhewitt.com/tax-preparation-services-locations/en/il/champaign/1704-w-bradley-ave/11188?utm_source=google&utm_medium=local&utm_campaign=local&utm_content=11188,+1 217-355-8200,Closed ⋅ Opens 10 am Mon,https://lh3.googleusercontent.com/gps-cs-s/AC9h4np45_3JFgyTvFOs-6wx89LvxyUYRcCTGv2tVEDsFl0PsykMMrp8K6_xDFdQlD0ZG6nfY5UjpRhPG3WCweMADcWoTCCXwBZEGsWFZF6JEZQU7zCN7bwD31uVoZFz7vpNstwa39P8Aw=w408-h304-k-no,true,Closed,10 am–6 pm,Closed,Closed,10 am–6 pm,Closed,Closed,"https://www.google.com/maps/search/certified+public+accountant+in+Champaign+Champaign+IL/@40.1162884,-88.2435155,14z",2025-10-19T15:15:50.226Z,Identifies as women-owned,true,,
https://www.google.com/maps/place/RSM+US+LLP/data=!4m7!3m6!1s0x880cd0d5a9fdfd13:0x408067f2f17a3465!8m2!3d40.0887965!4d-88.23875!16s%2Fg%2F1tfbnxsm!19sChIJE_39qdXQDIgRZTR68fJngEA,RSM US LLP,5.0,1,Accountant,"9875, 2021 S 1st St Suite 110, Champaign, IL 61820, United States","3QQ6+GG Champaign, Illinois, USA",https://www.rsmus.com/,+1 217-352-9100,Closed ⋅ Opens 8 am Mon,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=RisGvo8Fr-qWsUAcd6xUtA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=329.61032&pitch=0&thumbfov=100,true,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,"https://www.google.com/maps/search/certified+public+accountant+in+Champaign+Champaign+IL/@40.1162884,-88.2435155,14z",2025-10-19T15:15:55.116Z,,,,
https://www.google.com/maps/place/H%26R+Block/data=!4m7!3m6!1s0x88dd373000000043:0x8f15ae8654dd797e!8m2!3d40.1170079!4d-88.2785065!16s%2Fg%2F1hc41m4wj!19sChIJQwAAADA33YgRfnndVIauFY8,H&R Block,4.3,65,Tax preparation service,"105 N Mattis Ave Ste B, Champaign, IL 61821, United States","4P8C+RH Champaign, Illinois, USA",https://www.hrblock.com/tax-office-near-me/illinois/champaign/12587/?otppartnerid=9308&campaignid=pw_mcm_9308_9762&utm_medium=local,+1 217-352-1462,,https://lh3.googleusercontent.com/p/AF1QipNLH32UTvzxEsDdKvKK2u5k6BgY35c0yKMQhl7k=w426-h240-k-no,true,,,,,,,,"https://www.google.com/maps/search/certified+public+accountant+in+Champaign+Champaign+IL/@40.1162884,-88.2435155,14z",2025-10-19T15:15:57.924Z,,,,
