placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,info,imgUrl,isClaimed,saturday,sunday,monday,tuesday,wednesday,thursday,friday,query,timestamp,attributes,isBlackOwned,error
https://www.google.com/maps/place/Sin+City+Electrical+LLC/data=!4m7!3m6!1s0x4623c96d79c95227:0xde081a7cd79b9df4!8m2!3d36.0685541!4d-114.9985949!16s%2Fg%2F11qgh8dbwm!19sChIJJ1LJeW3JI0YR9J2b13waCN4,Sin City Electrical LLC,4.8,66,Electrician,"2301 Haren Dr, Henderson, NV 89011, United States","3292+CH Henderson, Nevada, USA",http://www.sincityelectrical.com/,+1 702-276-9711,Closed · Opens 8 am Mon,Identifies as veteran-owned,https://lh3.googleusercontent.com/p/AF1QipPEyNGueLgkDLabO9RCyRr9a0Imjrbc9YcAR1ks=w408-h283-k-no,true,Closed,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/generator+installation+services+in+Henderson+Las+Vegas+NV/@36.0395247,-114.9817213,14z",2026-01-10T23:30:12.455Z,,,
https://www.google.com/maps/place/JENSEN+GENERATOR+SOLUTIONS/data=!4m7!3m6!1s0x61a7eaf4fca4b6c1:0xcff62eb72e80fb3b!8m2!3d36.2655174!4d-115.2343695!16s%2Fg%2F11rsgz8hhk!19sChIJwbak_PTqp2ERO_uALrcu9s8,JENSEN GENERATOR SOLUTIONS,5.0,4,Electric generator shop,,,http://www.jensengeneratorsolutions.com/,+1 702-745-5581,Closed · Opens 7 am Mon,,https://lh3.googleusercontent.com/p/AF1QipOzWN76rPYcjvSKuE86-eS2HGeqPBWzRzuTFdYr=w408-h306-k-no,true,Closed,Closed,7 am–5 pm,7 am–5 pm,7 am–5 pm,7 am–5 pm,7 am–5 pm,"https://www.google.com/maps/search/generator+installation+services+in+Henderson+Las+Vegas+NV/@36.0395247,-114.9817213,14z",2026-01-10T23:30:18.239Z,,,
https://www.google.com/maps/place/Mister+Sparky%C2%AE+of+Las+Vegas/data=!4m7!3m6!1s0x4119fb12749f0b:0xc10848dc94fad324!8m2!3d36.0246899!4d-115.0984421!16s%2Fg%2F11np5g3m6w!19sChIJC590EvsZQQARJNP6lNxICME,Mister Sparky® of Las Vegas,4.9,367,Electrician,"43 Avenida Arenas, Henderson, NV 89074, United States","2WF2+VJ Henderson, Nevada, USA",https://www.mistersparky.com/las-vegas/,+1 702-297-5834,Closed · Opens 8 am Mon,,https://lh3.googleusercontent.com/p/AF1QipPre-HZocKzIcRQydy3hFc_IJppADA6RqHBEveO=w408-h272-k-no,true,Closed,Closed,8 am–4 pm,8 am–4 pm,8 am–4 pm,8 am–4 pm,8 am–4 pm,"https://www.google.com/maps/search/generator+installation+services+in+Henderson+Las+Vegas+NV/@36.0395247,-114.9817213,14z",2026-01-10T23:30:23.081Z,,,
https://www.google.com/maps/place/Odyssey+Electrical+Services+LLC/data=!4m7!3m6!1s0x80c8cdb4c16ffb81:0x72cfea9448cffcf5!8m2!3d35.9388038!4d-115.142341!16s%2Fg%2F11tdsqddnq!19sChIJgftvwbTNyIAR9fzPSJTqz3I,Odyssey Electrical Services LLC,5.0,211,Electrician,"2444 Bellinzona Pl, Henderson, NV 89044, United States","WVQ5+G3 Henderson, Nevada, USA",http://www.odysseyelectricalnv.com/,+1 702-574-1376,Open · Closes 9 pm,,https://lh3.googleusercontent.com/p/AF1QipMnwSBX9MkKdsX8X3qWwg0vALsXmQwY6hmRGzq-=w408-h273-k-no,true,7 am–9 pm,7 am–9 pm,7 am–9 pm,7 am–9 pm,7 am–9 pm,7 am–9 pm,7 am–9 pm,"https://www.google.com/maps/search/generator+installation+services+in+Henderson+Las+Vegas+NV/@36.0395247,-114.9817213,14z",2026-01-10T23:30:28.136Z,,,
https://www.google.com/maps/place/Nationwide+Power/data=!4m7!3m6!1s0x80c8d120f7eb8c23:0x704238fd0da6797c!8m2!3d36.038553!4d-115.031678!16s%2Fg%2F1v8k_x0w!19sChIJI4zr9yDRyIARfHmmDf04QnA,Nationwide Power,4.3,6,Industrial equipment supplier,"1060 Mary Crest Rd, Henderson, NV 89074, United States","2XQ9+C8 Henderson, Nevada, USA",http://nationwidepower.com/?utm_source=google&utm_medium=organic&utm_campaign=gmb,+1 800-868-2780,Open 24 hours,,https://lh3.googleusercontent.com/p/AF1QipPzaP2Nx-JaY6SciKr13dDPcZ3xC6LU11-bP3Zj=w426-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/generator+installation+services+in+Henderson+Las+Vegas+NV/@36.0395247,-114.9817213,14z",2026-01-10T23:30:33.027Z,,,
https://www.google.com/maps/place/PROGRESSIVE+ELECTRIC+LV/data=!4m7!3m6!1s0x80c8d1e4d22fe14f:0x14632d61428429a2!8m2!3d35.9277595!4d-114.969872!16s%2Fg%2F11hzqccw9m!19sChIJT-Ev0uTRyIARoimEQmEtYxQ,PROGRESSIVE ELECTRIC LV,4.9,135,Electrical installation service,,,https://progressiveelectriclv.com/,+1 702-349-3215,Open · Closes 9 pm,Identifies as Latino-owned,https://lh3.googleusercontent.com/p/AF1QipNIUSAxxZWUxyDOYqPRwpwU_qsWbf1CaWfK7_7A=w408-h306-k-no,true,5 am–9 pm,5 am–9 pm,5 am–9 pm,5 am–9 pm,5 am–9 pm,5 am–9 pm,5 am–9 pm,"https://www.google.com/maps/search/generator+installation+services+in+Henderson+Las+Vegas+NV/@36.0395247,-114.9817213,14z",2026-01-10T23:30:38.001Z,,,
https://www.google.com/maps/place/D%26R+RV+SERVICES/data=!4m7!3m6!1s0x80c8d1ed27d630d3:0xe546c9107541bbcc!8m2!3d36.0653788!4d-115.0155712!16s%2Fg%2F11jyl632g1!19sChIJ0zDWJ-3RyIARzLtBdRDJRuU,D&R RV SERVICES,4.8,61,RV repair shop,"249 Coroneos Dr, Henderson, NV 89011, United States","3X8M+5Q Henderson, Nevada, USA",,+1 725-735-2479,"Closed · Opens 8 am Mon

Updated by this business 4 weeks ago",,https://lh3.googleusercontent.com/p/AF1QipMBQKe0qbY8CRb9_lKgiGN3c0a8FNwoOZS2YTid=w408-h306-k-no,true,9 am–3 pm,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/generator+installation+services+in+Henderson+Las+Vegas+NV/@36.0395247,-114.9817213,14z",2026-01-10T23:30:42.863Z,,,
https://www.google.com/maps/place/Citywide+Electric+%26+Maintenance+LLC/data=!4m7!3m6!1s0x80c8dad6aaaaaaab:0x3ff91de22fa6b266!8m2!3d36.166129!4d-115.1496825!16s%2Fg%2F1tmqm1t5!19sChIJq6qqqtbayIARZrKmL-Id-T8,Citywide Electric & Maintenance LLC,4.6,36,Electrician,,,https://www.citywideelectriclv.com/,+1 702-664-6250,Closed · Opens 7 am Mon,,https://lh3.googleusercontent.com/p/AF1QipMznbcji6hTudNxG0R3sp61Zch-OjxhxiLAKaJa=w408-h272-k-no,true,Closed,Closed,7 am–3:30 pm,7 am–3:30 pm,7 am–3:30 pm,7 am–3:30 pm,7 am–3:30 pm,"https://www.google.com/maps/search/generator+installation+services+in+Henderson+Las+Vegas+NV/@36.0395247,-114.9817213,14z",2026-01-10T23:30:47.566Z,,,
https://www.google.com/maps/place/Ampere+Electric/data=!4m7!3m6!1s0x80c8d1ac941fbed9:0xbe888b9915e219a3!8m2!3d36.0573023!4d-115.0042818!16s%2Fg%2F11y19sfzmp!19sChIJ2b4flKzRyIARoxniFZmLiL4,Ampere Electric,5.0,45,Electrician,"405 Max Ct, Henderson, NV 89011, United States","3X4W+W7 Henderson, Nevada, USA",https://ampereelectricnv.com/,+1 702-605-4290,"Open 24 hours

Updated by this business 11 weeks ago",,https://lh3.googleusercontent.com/p/AF1QipOhCBvSMlDY2aL-m6Ix1JM_5TZljJoFdXk4HJ_O=w426-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/generator+installation+services+in+Henderson+Las+Vegas+NV/@36.0395247,-114.9817213,14z",2026-01-10T23:30:52.456Z,,,
"https://www.google.com/maps/place/Callidus+Electric+-+The+Best+Electrician,+Electrical+Contractor,+24%2F7+Service/data=!4m7!3m6!1s0x80c8d0361716d1cf:0xa6f6cb7fc7b9727!8m2!3d36.0791196!4d-115.044558!16s%2Fg%2F1tyt5mpk!19sChIJz9EWFzbQyIARJ5d7_Ldsbwo","Callidus Electric - The Best Electrician, Electrical Contractor, 24/7 Service",5.0,403,Electrician,"1010 N Stephanie St C6, Henderson, NV 89014, United States","3XH4+J5 Henderson, Nevada, USA",https://calliduselectric.com/,+1 702-403-4562,Open 24 hours,Identifies as veteran-owned,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwQ9oWIu6UMTGnbNzG3dWvtXssnTVnQsIuyke9_KNKG8fRbuPEhhqzHYNZOGmQc68riyj6Hd3OOLyYZCLd8KhwNyxPgMw-G9L7kfcfqDl4hzu4L7aULzw5zdnvZQhp9VlVroPPmtg=w408-h544-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/generator+installation+services+in+Henderson+Las+Vegas+NV/@36.0395247,-114.9817213,14z",2026-01-10T23:30:57.501Z,,,
