placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,wednesday,thursday,friday,saturday,sunday,monday,tuesday,query,timestamp,info,isBlackOwned,attributes,error
https://www.google.com/maps/place/Bassem+Abraham+MD/data=!4m7!3m6!1s0x89c2a1038ed30dc1:0xb203b5b628def271!8m2!3d41.2055105!4d-73.2053107!16s%2Fg%2F11lkjcxgb2!19sChIJwQ3TjgOhwokRcfLeKLa1A7I,Bassem Abraham MD,4.6,14,Medical office,"3180 Main St Suite 106, Bridgeport, CT 06606, United States","6Q4V+6V Bridgeport, Connecticut, USA",https://www.ctpaincenter.com/,+1 203-548-7590,Open · Closes 5 pm,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=_ixavnLkJ-ElVXMe80TR8A&cb_client=search.gws-prod.gps&w=408&h=240&yaw=22.211723&pitch=0&thumbfov=100,true,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–2 pm,Closed,9 am–5 pm,9 am–5 pm,"https://www.google.com/maps/search/pain+management+physician+in+Bridgeport+CT/@41.17989,-73.1923287,14z",2026-01-28T18:37:28.336Z,,,,
"https://www.google.com/maps/place/Katherine+Purzycki,+APRN/data=!4m7!3m6!1s0x89e80de65cc13cdb:0xf87a41f86f661749!8m2!3d41.2004212!4d-73.2023294!16s%2Fg%2F11mv5g91jj!19sChIJ2zzBXOYN6IkRSRdmb_hBevg","Katherine Purzycki, APRN",5.0,24,Pain control clinic,"2800 Main St, Bridgeport, CT 06606, United States",,https://hartfordhealthcaremedicalgroup.org/KatherinePurzycki,+1 203-382-2350,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=0yUfVn3FCzr7Wd7RRqL2iw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=337.5658&pitch=0&thumbfov=100,true,,,,,,,,"https://www.google.com/maps/search/pain+management+physician+in+Bridgeport+CT/@41.17989,-73.1923287,14z",2026-01-28T18:37:32.437Z,,,,
"https://www.google.com/maps/place/Cristina+Tamasdan,+MD/data=!4m7!3m6!1s0x89e80e8d8befec81:0xbf3c2fd67eed499b!8m2!3d41.1989468!4d-73.2015426!16s%2Fg%2F11hbgs3qrt!19sChIJgezvi40O6IkRm0ntftYvPL8","Cristina Tamasdan, MD",4.4,28,Pain control clinic,"2660 Main St, Bridgeport, CT 06606, United States","5QXX+H9 Bridgeport, Connecticut, USA",https://hartfordhealthcaremedicalgroup.org/CristinaTamasdan,+1 203-382-2350,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Gs7ae2VO0cjW21wk1ZcLvw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=55.968353&pitch=0&thumbfov=100,true,,,,,,,,"https://www.google.com/maps/search/pain+management+physician+in+Bridgeport+CT/@41.17989,-73.1923287,14z",2026-01-28T18:37:35.286Z,,,,
https://www.google.com/maps/place/Core+Medical+Group+%2F+Core+Physical+Therapy/data=!4m7!3m6!1s0x89e80e93330a13f5:0x5fdd05b5f343c630!8m2!3d41.205592!4d-73.2052224!16s%2Fg%2F1yfj5yfjy!19sChIJ9RMKM5MO6IkRMMZD87UF3V8,Core Medical Group / Core Physical Therapy,4.5,66,Pain management physician,"Core Medical Suite 204 (CorePhysical Therapy, 3180 Main St #202, Bridgeport, CT 06606, United States","6Q4V+6W Bridgeport, Connecticut, USA",http://coremedgroup.com/,+1 203-373-1593,Open · Closes 8 pm,https://lh3.googleusercontent.com/p/AF1QipObv7IJyGtf_Zcr1Ro5aWFDjYUsOOGhCsEnGDAG=w408-h306-k-no,true,8 am–8 pm,8 am–8 pm,8 am–8 pm,9 am–2 pm,Closed,8 am–8 pm,8 am–8 pm,"https://www.google.com/maps/search/pain+management+physician+in+Bridgeport+CT/@41.17989,-73.1923287,14z",2026-01-28T18:37:40.418Z,LGBTQ+ friendly,,,
"https://www.google.com/maps/place/Dr.+David+L.+Tung,+MD/data=!4m7!3m6!1s0x89e3b463a8137cf3:0x9b3e36351e762c9e!8m2!3d41.2055884!4d-73.2052826!16s%2Fg%2F1tfkm5n_!19sChIJ83wTqGO044kRnix2HjU2Pps","Dr. David L. Tung, MD",4.2,15,Doctor,"3180 Main St #202, Bridgeport, CT 06606, United States","6Q4V+6V Bridgeport, Connecticut, USA",http://www.coremedgroup.com/,+1 203-373-1593,Open · Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipMAZGcw3X24yHii5ISYiNZikOsiLAxvIJu3TxRO=w408-h306-k-no,true,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,Closed,9 am–5 pm,9 am–5 pm,"https://www.google.com/maps/search/pain+management+physician+in+Bridgeport+CT/@41.17989,-73.1923287,14z",2026-01-28T18:37:45.353Z,,,,
https://www.google.com/maps/place/Connecticut+Spine+%26+Rehab/data=!4m7!3m6!1s0x89e80e70679318e1:0x952c29b6c088bd1e!8m2!3d41.2131962!4d-73.2119253!16s%2Fg%2F1w4vkzbk!19sChIJ4RiTZ3AO6IkRHr2IwLYpLJU,Connecticut Spine & Rehab,4.9,124,Chiropractor,"3851 Main St, Bridgeport, CT 06606, United States","6Q7Q+76 Bridgeport, Connecticut, USA",https://www.ctspinerehab.com/,+1 203-333-2377,"Open · Closes 6 pm

Updated by this business 4 weeks ago",https://lh3.googleusercontent.com/p/AF1QipOX1f52HVI9SYeNMUDTNkglb7n5_s7Za03PLT05=w408-h544-k-no,true,"9 am–12 pm, 1–6 pm","9 am–12 pm, 1–6 pm",9 am–2 pm,Closed,Closed,"9 am–12 pm, 1–6 pm","9 am–12 pm, 1–6 pm","https://www.google.com/maps/search/pain+management+physician+in+Bridgeport+CT/@41.17989,-73.1923287,14z",2026-01-28T18:37:50.166Z,,,,
https://www.google.com/maps/place/Connecticut+Pain+%26+Wellness+Center/data=!4m7!3m6!1s0x89e8103e137b6c3f:0x60f41e68e1dc354f!8m2!3d41.1443638!4d-73.2521503!16s%2Fg%2F1td9rkby!19sChIJP2x7Ez4Q6IkRTzXc4Wge9GA,Connecticut Pain & Wellness Center,4.2,40,Pain control clinic,"52 Beach Rd STE 204, Fairfield, CT 06824, United States","4PVX+P4 Fairfield, Connecticut, USA",http://www.ctpainandwellness.com/,+1 203-319-9355,Open · Closes 5 pm,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqPcp1lsxjJAExVM0P8tlgNywhhhebZO5ofs9ErlHysJ9eccKCCCh1Y_Fy5w61Zay0n62iys0PfhG5iD79S8YDau8Hu3ZNLToJmvq-_Sl20pYyMeS_KpWWloUTd1SFzjmbInaWR=w408-h306-k-no,false,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,Closed,9 am–5 pm,9 am–5 pm,"https://www.google.com/maps/search/pain+management+physician+in+Bridgeport+CT/@41.17989,-73.1923287,14z",2026-01-28T18:37:55.156Z,,,,
"https://www.google.com/maps/place/Mahd+Nishtar,+MD/data=!4m7!3m6!1s0x89e80f3d8cd52d67:0xefd6591f0b13b439!8m2!3d41.2004212!4d-73.2023294!16s%2Fg%2F11lmnkwhkr!19sChIJZy3VjD0P6IkRObQTCx9Z1u8","Mahd Nishtar, MD",4.4,7,Pain control clinic,"2800 Main St Level 1, Bridgeport, CT 06606, United States","6Q2X+53 Bridgeport, Connecticut, USA",https://hartfordhealthcaremedicalgroup.org/MahdNishtar,+1 475-210-4315,Open · Closes 5 pm,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=0yUfVn3FCzr7Wd7RRqL2iw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=337.5658&pitch=0&thumbfov=100,true,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,Closed,9 am–5 pm,9 am–5 pm,"https://www.google.com/maps/search/pain+management+physician+in+Bridgeport+CT/@41.17989,-73.1923287,14z",2026-01-28T18:38:00.213Z,,,,
"https://www.google.com/maps/place/Pedro+Coutinho,+MD/data=!4m7!3m6!1s0x89e81dacc582c1d9:0x4bea8dec6e1b222b!8m2!3d41.1989468!4d-73.2015426!16s%2Fg%2F11jxthpzk3!19sChIJ2cGCxawd6IkRKyIbbuyN6ks","Pedro Coutinho, MD",4.7,67,Neurosurgeon,"2660 Main St Suite 219, Bridgeport, CT 06606, United States",,https://hartfordhealthcaremedicalgroup.org/PedroCoutinho,+1 203-332-4125,,https://lh3.googleusercontent.com/p/AF1QipPlHFtZoyvAacc7CJK8G4etVgFZscvUSPK9Srmq=w426-h240-k-no,true,,,,,,,,"https://www.google.com/maps/search/pain+management+physician+in+Bridgeport+CT/@41.17989,-73.1923287,14z",2026-01-28T18:38:03.171Z,,,,
https://www.google.com/maps/place/Preventative+Healthcare+Solutions/data=!4m7!3m6!1s0x89e80e70680c28e1:0x850e86b926a38d05!8m2!3d41.1797002!4d-73.1910569!16s%2Fg%2F1q6jh52rm!19sChIJ4SgMaHAO6IkRBY2jJrmGDoU,Preventative Healthcare Solutions,4.8,33,Chiropractor,"80 Elm St, Bridgeport, CT 06604, United States","5RH5+VH Bridgeport, Connecticut, USA",http://www.phschiro.com/,+1 203-870-8008,Open · Closes 7 pm,https://lh3.googleusercontent.com/p/AF1QipMc2Va4Lc59KXKLKKWjykOf4c-q50TScAelda1S=w408-h306-k-no,true,10 am–7 pm,10 am–7 pm,10 am–7 pm,10 am–4 pm,Closed,10 am–7 pm,10 am–7 pm,"https://www.google.com/maps/search/pain+management+physician+in+Bridgeport+CT/@41.17989,-73.1923287,14z",2026-01-28T18:38:07.895Z,,,,
