placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,monday,tuesday,wednesday,thursday,friday,saturday,sunday,query,timestamp,info,attributes,isBlackOwned,error
"https://www.google.com/maps/place/On+Target+Cleaning,+Restoration,+and+Construction/data=!4m7!3m6!1s0x8865ea154fe4d24b:0x5a67545eee9c36b!8m2!3d36.9938155!4d-86.4421758!16s%2Fg%2F11c6prcn8p!19sChIJS9LkTxXqZYgRa8Pp7kV1pgU","On Target Cleaning, Restoration, and Construction",4.9,258,Carpet cleaning service,"911 College St #203, Bowling Green, KY 42101, United States","XHV5+G4 Bowling Green, Kentucky, USA",http://www.ontargetcleaning.com/,+1 270-693-3600,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/AHVAwerROhiT5E2RPcLCrsMLdxpJmtJOEBuHnEUAhhobhp6ScU832_Ec3QqeGkPtrkhuD1TxpatSa7WYDM7BAW2SqevFLtQj1GCsx24jphbHyZC-3PKVZXMlBSxRGf6fN-FNB2i0Wjnd_A0SCbKy=w426-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+Bowling+Green+KY/@36.9685219,-86.4808043,14z",2026-03-23T05:37:35.312Z,,,,
https://www.google.com/maps/place/ServiceMaster+Fire+Water+%26+Wind+Damage+Restoration/data=!4m7!3m6!1s0x8865ef34709b451f:0x906dcab1f76808dd!8m2!3d36.9565794!4d-86.4218219!16s%2Fg%2F1tflbd49!19sChIJH0WbcDTvZYgR3Qho97HKbZA,ServiceMaster Fire Water & Wind Damage Restoration,3.9,15,Water damage restoration service,"1051 Searcy Way, Bowling Green, KY 42103, United States","XH4H+J7 Bowling Green, Kentucky, USA",https://www.servicemasterrestore.com/servicemaster-fire-water-and-wind-damage-restoration/,+1 270-225-1694,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/AHVAwepSC39VXl-gnVGf0igAAJ9dv6ICNU4Ui_RWBr2KH2U88zg6sX5QCVSpqNuoxj41NGI27qwQt4IpzUdxHFjA-Hg__shnawxpwhoejgz0Gwdreqkm3LZMBUukOFz6qoOMtpWKKYryDFQYz4nI=w408-h408-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+Bowling+Green+KY/@36.9685219,-86.4808043,14z",2026-03-23T05:37:41.022Z,,,,
https://www.google.com/maps/place/Acculevel/data=!4m7!3m6!1s0x8865ef290ba5a069:0xc490eed7cced5ad2!8m2!3d36.9921443!4d-86.441119!16s%2Fg%2F11y_sqd9yg!19sChIJaaClCynvZYgR0lrtzNfukMQ,Acculevel,5.0,12,Waterproofing service,"922 State St Suite 406, Bowling Green, KY 42101, United States","XHR5+VH Bowling Green, Kentucky, USA",https://acculevel.com/bowling-green/?utm_source=google&utm_medium=organic&utm_campaign=gbp&utm_content=bowling-green,+1 270-229-6154,,https://lh3.googleusercontent.com/gps-cs-s/AHVAwercv29hvVbuyWIIyxCb6z4avJiUol3vsv17SOKUafiUXKHgprrCg-6Pjpkye5Am77JqgitmxlW9GY3KRos1oCtpVlA-YXMBrmLFAXk9GIQhfMEdXCTAtWGZn5cBcfZ32Ts3Z19g8PmsWiPM=w426-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+Bowling+Green+KY/@36.9685219,-86.4808043,14z",2026-03-23T05:37:46.508Z,,,,
https://www.google.com/maps/place/AFS+Foundation+%26+Waterproofing+Specialists/data=!4m7!3m6!1s0x8865ef62bcb67977:0x65e7d3e433b832f0!8m2!3d36.9947135!4d-86.4420764!16s%2Fg%2F11tp9rzz99!19sChIJd3m2vGLvZYgR8DK4M-TT52U,AFS Foundation & Waterproofing Specialists,4.9,140,Waterproofing service,"310 E Main Ave Suite 210, Bowling Green, KY 42101, United States","XHV5+V5 Bowling Green, Kentucky, USA",https://www.afsrepair.com/about/meet-the-team/bowling-green-sat/?utm_source=google&utm_medium=organic&utm_campaign=gmb_afs-bna,+1 270-494-2164,,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqtsIa4TiXyzBjrCJ24aSQHzlj4TAQtwOjmzmnIpm-bjHDJz8Lg_7YXGcvtBYzBq8CBW-vaTTu7McOInQemVZu_RitdX-i9Fml2TgJL5D7l3Nb9LleUvyjWZN73NpsT4MqUR_4=w408-h306-k-no,true,6 am–10 pm,6 am–10 pm,6 am–10 pm,6 am–10 pm,6 am–10 pm,7 am–10 pm,9 am–10 pm,"https://www.google.com/maps/search/water+damage+restoration+in+Bowling+Green+KY/@36.9685219,-86.4808043,14z",2026-03-23T05:37:51.491Z,,,,
"https://www.google.com/maps/place/Paul+Davis+of+Bowling+Green,+KY/data=!4m7!3m6!1s0x8865e62781cef097:0x7f15d5faadbec1ec!8m2!3d36.9575189!4d-86.4189536!16s%2Fg%2F11cms0xj86!19sChIJl_DOgSfmZYgR7MG-rfrVFX8","Paul Davis of Bowling Green, KY",4.6,118,Water damage restoration service,"931 Searcy Way, Bowling Green, KY 42103, United States","XH5J+2C Bowling Green, Kentucky, USA",https://bowling-green.pauldavis.com/,+1 270-782-0123,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqcvF8yUypG4Yae9dsgtqXYa0IiWU6bwqmeB16OQ2MS9WYo0Nx-Xlf8CW6O8IDOJkrdpvoGfNINz4Q6IbjvxdqZj0s_vsSz-WWi8CAQ6duQj2SlPSzeXexK3dAi8Po6vSTyF3-monfSztQ=w426-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+Bowling+Green+KY/@36.9685219,-86.4808043,14z",2026-03-23T05:37:56.477Z,,,,
https://www.google.com/maps/place/SERVPRO+of+Warren+County/data=!4m7!3m6!1s0x8865e5f4a065b3c3:0x97c42a6605eee288!8m2!3d37.0066403!4d-86.4146129!16s%2Fg%2F1q67t9mmg!19sChIJw7NloPTlZYgRiOLuBWYqxJc,SERVPRO of Warren County,4.5,145,Water damage restoration service,"1999 River St, Bowling Green, KY 42101, United States","2H4P+M5 Bowling Green, Kentucky, USA",https://www.servpro.com/locations/ky/servpro-of-warren-county?utm_medium=organic&utm_source=gbp,+1 270-796-8080,,https://lh3.googleusercontent.com/gps-cs-s/AHVAwerJhYDzr1G1wMPaSfpTDJl4SEjN4WHFpLp2GzMfT1PvdizRXXGSw1_Jcxb9WPBAAx40fNv58T7nZdd-Y_kyr5P9KPd-h3TMsZlDv9uMq2yAy88Z7Y5zIegVnAKOsdPQnnLssGJlRVrjHPh8=w427-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+Bowling+Green+KY/@36.9685219,-86.4808043,14z",2026-03-23T05:38:01.296Z,,,,
"https://www.google.com/maps/place/Reliable+Restoration+of+KY,+Inc./data=!4m7!3m6!1s0x8865ef4995d07013:0xefc39271009610f2!8m2!3d36.9763753!4d-86.4224084!16s%2Fg%2F113jwwzb1!19sChIJE3DQlUnvZYgR8hCWAHGSw-8","Reliable Restoration of KY, Inc.",4.9,38,Water damage restoration service,"841 Culpeper St, Bowling Green, KY 42103, United States","XHGH+H2 Bowling Green, Kentucky, USA",http://reliablebg.com/,+1 270-791-3298,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/AHVAweo9-HuT2eqH2_YrIurVHDSdRvFpKK_jyqVuyDQpCuvA1O4bnwlAluNxpRcW0qMGf4lBGgxQ-5cbX2zCL9HeM5NRF4Gbp_ZIhhahBjBRHLY0zEOO8bBCOcrGRO-HMCW7pPGOdjwB=w408-h306-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+Bowling+Green+KY/@36.9685219,-86.4808043,14z",2026-03-23T05:38:06.139Z,,,,
https://www.google.com/maps/place/Foundation+Solutions+Group/data=!4m7!3m6!1s0x8865e7953cdf24cb:0x278437ac9b002adf!8m2!3d36.9982393!4d-86.4420109!16s%2Fg%2F11frs9c7r2!19sChIJyyTfPJXnZYgR3yoAm6w3hCc,Foundation Solutions Group,4.9,108,Waterproofing service,"632 Adams St Suite 400, Bowling Green, KY 42101, United States","XHX5+75 Bowling Green, Kentucky, USA",https://www.foundationsolutionsgroup.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp-bowling-green,+1 270-260-0175,Closed · Opens 8 am,https://lh3.googleusercontent.com/gps-cs-s/AHVAweql4RYlScd7wBk8RDEJGMdw9Q9hvrxpokzP46jd4WdiwR6zUdWZR3Tk3oojznIlihPtxaHRkNEicghozO-javx46NsDet3NBBVs2YwMKDklBRde1rvoYNzypDKu8kzGgebQOV1oTtakT1I=w408-h510-k-no,true,8 am–7 pm,8 am–7 pm,8 am–7 pm,8 am–7 pm,8 am–7 pm,9 am–1 pm,Closed,"https://www.google.com/maps/search/water+damage+restoration+in+Bowling+Green+KY/@36.9685219,-86.4808043,14z",2026-03-23T05:38:10.984Z,,,,
https://www.google.com/maps/place/Chem-Dry+Cleaning+of+Warren+County/data=!4m7!3m6!1s0x8865e8bfaf763b7f:0xa4e9b71223c75ac9!8m2!3d36.9667327!4d-86.4359886!16s%2Fg%2F1tgnxz7k!19sChIJfzt2r7_oZYgRyVrHIxK36aQ,Chem-Dry Cleaning of Warren County,4.6,18,Cleaning service,"1725 Ashley Cir #110, Bowling Green, KY 42104, United States","XH87+MJ Bowling Green, Kentucky, USA",,+1 270-842-9802,Closed · Opens 8 am,https://lh3.googleusercontent.com/gps-cs-s/AHVAwepM5Jv4_0LuYCQv7OIzX3U-OasmD6_NFb8fJ0OYByqoD6HavTc0HW5WOwdsHEs6QqnjY3RS0ZkcQAB2Ju2qVtnxmD9AuelvRb9Ip6F6hfAg5naj3CtjwpCkq1wr8GXnDT1ytI0=w408-h341-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,"https://www.google.com/maps/search/water+damage+restoration+in+Bowling+Green+KY/@36.9685219,-86.4808043,14z",2026-03-23T05:38:15.943Z,,,,
https://www.google.com/maps/place/Mold+Remediation+Bowling+Green+Results/data=!4m7!3m6!1s0x8865e9bdfc7e29c3:0x79c70555081b4038!8m2!3d36.9635633!4d-86.4678618!16s%2Fg%2F11vwlvyqwf!19sChIJwyl-_L3pZYgROEAbCFUFx3k,Mold Remediation Bowling Green Results,5.0,24,Environmental consultant,"2375 Nashville Rd, Bowling Green, KY 42101, United States","XG7J+CV Bowling Green, Kentucky, USA",https://moldremediationbowlinggreen.com/,+1 270-301-1570,Closed · Opens 8 am,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqbb7ptHsx0Sfc907kmWnfuJL0GAuiQGagMYAa_uEAS4Wk45zwZocMIXnMtt3mOqK1_rRp3PLbZzFzRVwNPWyUjtGC8RkR8Cpzp9OxXeWpcHrG3RuJNztiB1bWyAvpOKmZeeT5D=w408-h272-k-no,true,8 am–10 pm,8 am–10 pm,8 am–10 pm,8 am–10 pm,8 am–10 pm,8 am–10 pm,8 am–10 pm,"https://www.google.com/maps/search/water+damage+restoration+in+Bowling+Green+KY/@36.9685219,-86.4808043,14z",2026-03-23T05:38:20.689Z,,,,
