placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,wednesday,thursday,friday,saturday,sunday,monday,tuesday,query,timestamp,info,error,attributes,isBlackOwned
"https://www.google.com/maps/place/ACCfamily,+Inc./data=!4m7!3m6!1s0x89b7b736ffc45179:0x90af875cf2a4360e!8m2!3d38.888185!4d-77.094564!16s%2Fg%2F11ks3_1m7f!19sChIJeVHE_za3t4kRDjak8lyHr5A","ACCfamily, Inc.",,,Home health care service,"3033 Wilson Blvd #700, Arlington, VA 22201, United States","VWQ4+75 Arlington, Virginia, USA",https://accfamily.com/,+1 877-549-7894,Closed ⋅ Opens 9 am Thu,https://lh3.googleusercontent.com/p/AF1QipPEkMZNj6pFywCf-moYjk90l_9_jSphDJf9pzHa=w408-h306-k-no,true,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,Closed,9 am–5 pm,9 am–5 pm,"https://www.google.com/maps/search/Hospice+clinics+in+Georgetown+DC/@38.9097057,-77.0653565,14z",2025-09-17T23:27:14.280Z,,,,
https://www.google.com/maps/place/MedStar+Georgetown+University+Hospital/data=!4m7!3m6!1s0x89b7b63f6c578775:0x2e8c55e6e977ad40!8m2!3d38.911464!4d-77.0751693!16s%2Fm%2F02vs27y!19sChIJdYdXbD-2t4kRQK136eZVjC4,MedStar Georgetown University Hospital,4.6,7675,University hospital,"3800 Reservoir Rd NW, Washington, DC 20007, United States","WW6F+HW Washington, District of Columbia, USA",https://www.medstarhealth.org/locations/medstar-georgetown-university-hospital?utm_campaign=mhs_citations&utm_medium=listing&utm_source=citation_management&utm_term=hospital,+1 202-444-2000,,https://lh3.googleusercontent.com/p/AF1QipPmQvkeTufKqemvuVwuw1b6w4-IgdzN9Io5SPq_=w426-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Hospice+clinics+in+Georgetown+DC/@38.9097057,-77.0653565,14z",2025-09-17T23:27:19.255Z,,,,
https://www.google.com/maps/place/GW+Geriatrics+%26+Palliative+Care+-+Foggy+Bottom+South+Pavilion/data=!4m7!3m6!1s0x89b7b7dccb810fef:0x68553e1bad54f8b!8m2!3d38.9008823!4d-77.0485473!16s%2Fg%2F11tb5shbnb!19sChIJ7w-By9y3t4kRi0_VuuFThQY,GW Geriatrics & Palliative Care - Foggy Bottom South Pavilion,,,Medical Center,"2150 Pennsylvania Ave NW 3RD FLOOR, Washington, DC 20037, United States","WX22+9H Washington, District of Columbia, USA",https://gwdocs.com/locations/gw-geriatrics-palliative-care-foggy-bottom-south-pavilion,+1 202-741-2870,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=4WGa1G6BSeFXad5tM7HGww&cb_client=search.gws-prod.gps&w=408&h=240&yaw=31.783888&pitch=0&thumbfov=100,true,,,,,,,,"https://www.google.com/maps/search/Hospice+clinics+in+Georgetown+DC/@38.9097057,-77.0653565,14z",2025-09-17T23:27:21.536Z,,,,
https://www.google.com/maps/place/American+Hospice/data=!4m7!3m6!1s0x89b7b7b721cb484f:0x3854b80745bc4e0b!8m2!3d38.9034403!4d-77.0476133!16s%2Fg%2F1t_wq7dr!19sChIJT0jLIbe3t4kRC068RQe4VDg,American Hospice,,,Hospice,"2120 L St NW # 200, Washington, DC 20037, United States","WX32+9X Washington, District of Columbia, USA",http://www.americanhospice.org/,+1 202-223-0204,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=aqvLqqf31-A4Mea53l-qpw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=187.18663&pitch=0&thumbfov=100,false,,,,,,,,"https://www.google.com/maps/search/Hospice+clinics+in+Georgetown+DC/@38.9097057,-77.0653565,14z",2025-09-17T23:27:24.244Z,,,,
https://www.google.com/maps/place/Hospice+Care+District-Columbia/data=!4m7!3m6!1s0x89b7b7967e4c7859:0x7b750416785f5f12!8m2!3d38.90053!4d-77.0304647!16s%2Fg%2F1ts3m2mm!19sChIJWXhMfpa3t4kREl9feBYEdXs,Hospice Care District-Columbia,,,Hospice,"1331 H St NW, Washington, DC 20005, United States","WX29+6R Washington, District of Columbia, USA",,+1 202-347-1700,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=nb4acYg6Yclh_PVGkePzeg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=326.58383&pitch=0&thumbfov=100,false,,,,,,,,"https://www.google.com/maps/search/Hospice+clinics+in+Georgetown+DC/@38.9097057,-77.0653565,14z",2025-09-17T23:27:26.504Z,,,,
https://www.google.com/maps/place/Affinity+Care+of+Washington+DC/data=!4m7!3m6!1s0x89b7b986d2646fc7:0x27f7251602a70431!8m2!3d38.9437145!4d-76.9920551!16s%2Fg%2F11t7l17c5m!19sChIJx29k0oa5t4kRMQSnAhYl9yc,Affinity Care of Washington DC,5.0,2,Hospice,"1140 Varnum St NE Suite 208-B, Washington, DC 20017, United States","W2V5+F5 Washington, District of Columbia, USA",http://www.affinitywdc.com/,+1 202-800-9006,Open 24 hours,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=x7LSqT-eBIGT9YK7Jc6pXA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=82.391335&pitch=0&thumbfov=100,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Hospice+clinics+in+Georgetown+DC/@38.9097057,-77.0653565,14z",2025-09-17T23:27:31.112Z,,,,
"https://www.google.com/maps/place/Tania+Alchalabi,+MD/data=!4m7!3m6!1s0x89b7b7b1181c415b:0x738c745ffe2ccc6!8m2!3d38.9012079!4d-77.0485151!16s%2Fg%2F11qgb76j6h!19sChIJW0EcGLG3t4kRxszi_0XHOAc","Tania Alchalabi, MD",4.9,7,Hospice,"2150 Pennsylvania Ave NW 3RD FLOOR, Washington, DC 20037, United States","WX22+FH Washington, District of Columbia, USA",https://gwdocs.com/profile/tania-alchalabi,+1 202-741-2870,,https://lh3.googleusercontent.com/p/AF1QipP8e04QgVvnj6CBD64wug_SIWOwua3Bmzlv_cGa=w426-h240-k-no,true,,,,,,,,"https://www.google.com/maps/search/Hospice+clinics+in+Georgetown+DC/@38.9097057,-77.0653565,14z",2025-09-17T23:27:33.433Z,,,,
https://www.google.com/maps/place/Comm+Hospice+of+Washington/data=!4m7!3m6!1s0x89b7c994580ceab7:0x17313a08150a5609!8m2!3d38.9550374!4d-77.0833459!16s%2Fg%2F1vfn7k1v!19sChIJt-oMWJTJt4kRCVYKFQg6MRc,Comm Hospice of Washington,,,Hospice,"5010 Wisconsin Ave, Washington, DC 20016, United States","XW48+2M Washington, District of Columbia, USA",,+1 202-895-2645,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=n8-ZWq53qt7JgBgQO_v7PQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=17.207764&pitch=0&thumbfov=100,false,,,,,,,,"https://www.google.com/maps/search/Hospice+clinics+in+Georgetown+DC/@38.9097057,-77.0653565,14z",2025-09-17T23:27:35.713Z,,,,
https://www.google.com/maps/place/Georgetown+Home+Care/data=!4m7!3m6!1s0x89b7b64837f16795:0x2922ea3a88087f5b!8m2!3d38.9029131!4d-77.0633812!16s%2Fg%2F11b6bhvm2_!19sChIJlWfxN0i2t4kRW38IiDrqIik,Georgetown Home Care,4.9,28,Home health care service,"1010 Wisconsin Ave NW #350, Washington, DC 20007, United States","WW3P+5J Washington, District of Columbia, USA",https://www.georgetownhomecare.com/contact-us/locations/senior-home-care-in-washington-dc/?utm_source=google&utm_medium=organic&utm_campaign=gmb,+1 202-333-3400,Closed ⋅ Opens 9 am Thu,https://lh3.googleusercontent.com/p/AF1QipOk1a5Fw43skEgpZxowHn_BgduuQLBFA9tV-8YM=w408-h306-k-no,true,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,Closed,9 am–5 pm,9 am–5 pm,"https://www.google.com/maps/search/Hospice+clinics+in+Georgetown+DC/@38.9097057,-77.0653565,14z",2025-09-17T23:27:40.153Z,,,,
"https://www.google.com/maps/place/Tahira+Lodhi,+MD/data=!4m7!3m6!1s0x89b7b7b124451983:0xa351cfcf4e92ccfd!8m2!3d38.9012079!4d-77.0485151!16s%2Fg%2F1hc2rc7g6!19sChIJgxlFJLG3t4kR_cySTs_PUaM","Tahira Lodhi, MD",5.0,4,Hospice,"2150 Pennsylvania Ave NW 3RD FLOOR, Washington, DC 20037, United States","WX22+FH Washington, District of Columbia, USA",https://gwdocs.com/profile/tahira-lodhi,+1 202-741-2870,Closed ⋅ Opens 8 am Thu,https://lh3.googleusercontent.com/p/AF1QipOOvS4sGPlgHVnn-ojd8C1CmKbK-ihozaS3N2G8=w426-h240-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/Hospice+clinics+in+Georgetown+DC/@38.9097057,-77.0653565,14z",2025-09-17T23:27:44.602Z,,,,
