placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,isBlackOwned,imgUrl,isClaimed,sunday,monday,tuesday,wednesday,thursday,friday,saturday,query,timestamp,info
https://www.google.com/maps/place/DWG+CPA+PLLC/data=!4m7!3m6!1s0x8640c146966e97d7:0x62198a256f577098!8m2!3d29.6225884!4d-95.6077797!16s%2Fg%2F1hc749q65!19sChIJ15dulkbBQIYRmHBXbyWKGWI,DWG CPA PLLC,4.8,53,Certified public accountant,"77 Sugar Creek Center Blvd Ste. 600, Sugar Land, TX 77478, United States","J9FR+2V Sugar Land, Texas, USA",https://www.dwg.cpa/,+1 281-201-8348,Closed ⋅ Opens 9 am Mon,true,https://lh3.googleusercontent.com/p/AF1QipPpMwdQZG27pp9ccR1MV6TMQbuWn9J_lEic7DXk=w426-h240-k-no,true,Closed,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,"https://www.google.com/maps/search/certified+public+accountant+in+Sugar+Land+HOU+TX/@29.5984434,-95.6225521,14z",2025-10-19T16:36:20.543Z,
"https://www.google.com/maps/place/MAKH+Accounting+-+Makhija,+CPA/data=!4m7!3m6!1s0x8640e7cec9df0699:0xea81777813375cc2!8m2!3d29.6226347!4d-95.6077694!16s%2Fg%2F11frp1xmb9!19sChIJmQbfyc7nQIYRwlw3E3h3geo","MAKH Accounting - Makhija, CPA",5.0,46,Accounting firm,"77 Sugar Creek Center Blvd Ste. 600, Sugar Land, TX 77478, United States","J9FR+3V Sugar Land, Texas, USA",http://www.makh-accounting.com/,+1 713-258-0196,Closed ⋅ Opens 8 am Mon,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=nGe7gf2GMzuYINFYNuujeA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=310.22504&pitch=0&thumbfov=100,true,Closed,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–6 pm,Closed,"https://www.google.com/maps/search/certified+public+accountant+in+Sugar+Land+HOU+TX/@29.5984434,-95.6225521,14z",2025-10-19T16:36:26.285Z,
"https://www.google.com/maps/place/momin+%26+momin,+CPAs/data=!4m7!3m6!1s0x8640e6c831473aaf:0xda2f443463ab3135!8m2!3d29.6010014!4d-95.6375055!16s%2Fg%2F11c2p_nhyk!19sChIJrzpHMcjmQIYRNTGrYzREL9o","momin & momin, CPAs",4.9,61,Accounting firm,"1470 First Colony Blvd #310, Sugar Land, TX 77479, United States","J926+CX Sugar Land, Texas, USA",,+1 832-377-1272,Closed ⋅ Opens 9 am Mon,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=EkmV-TLJM85ZW_KPa9P1zg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=209.26146&pitch=0&thumbfov=100,false,Closed,9 am–4:30 pm,9 am–4:30 pm,9 am–4:30 pm,9 am–4:30 pm,9 am–4:30 pm,Closed,"https://www.google.com/maps/search/certified+public+accountant+in+Sugar+Land+HOU+TX/@29.5984434,-95.6225521,14z",2025-10-19T16:36:31.807Z,
https://www.google.com/maps/place/Jeffery+Davidson+and+Associates+CPA/data=!4m7!3m6!1s0x8640e7888cf39e73:0xe417eae072fa7baf!8m2!3d29.6184929!4d-95.6348701!16s%2Fg%2F11gzr9x2d8!19sChIJc57zjIjnQIYRr3v6cuDqF-Q,Jeffery Davidson and Associates CPA,4.9,56,Accounting firm,"131 Brooks St #400, Sugar Land, TX 77478, United States","J998+93 Sugar Land, Texas, USA",https://www.davidson.cpa/,+1 281-238-4442,Closed ⋅ Opens 8:30 am Mon,,https://lh3.googleusercontent.com/p/AF1QipOVbg-sed7qf3OdYzsyvvT0nrzeLHfkHXs_Pu7l=w426-h240-k-no,true,Closed,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,Closed,Closed,Closed,"https://www.google.com/maps/search/certified+public+accountant+in+Sugar+Land+HOU+TX/@29.5984434,-95.6225521,14z",2025-10-19T16:36:36.862Z,Identifies as veteran-owned
https://www.google.com/maps/place/Rimple+Mashruwala+CPA+LLC./data=!4m7!3m6!1s0x8640e59975167205:0xad674e48dbdd96a5!8m2!3d29.6048383!4d-95.6408162!16s%2Fg%2F11b7jg5mc3!19sChIJBXIWdZnlQIYRpZbd20hOZ60,Rimple Mashruwala CPA LLC.,5.0,51,Certified public accountant,"800 Bonaventure Wy #152, Sugar Land, TX 77479, United States","J935+WM Sugar Land, Texas, USA",https://www.rmcpa.us/,+1 832-533-2100,Closed ⋅ Opens 8:30 am Mon,,https://lh3.googleusercontent.com/p/AF1QipN0Rzqj256IK5oKPlc4Ud7nfvllQ6jpK8tE50PN=w408-h340-k-no,true,Closed,8:30 am–4:30 pm,8:30 am–4:30 pm,8:30 am–4:30 pm,8:30 am–4:30 pm,8:30 am–4:30 pm,Closed,"https://www.google.com/maps/search/certified+public+accountant+in+Sugar+Land+HOU+TX/@29.5984434,-95.6225521,14z",2025-10-19T16:36:42.051Z,LGBTQ+ friendly
https://www.google.com/maps/place/Jennifer+Wray+CPA+PLLC/data=!4m7!3m6!1s0x8640e0935391747b:0x86f775bae1680fab!8m2!3d29.6056141!4d-95.6408176!16s%2Fg%2F1q69tn_dg!19sChIJe3SRU5PgQIYRqw9o4bp194Y,Jennifer Wray CPA PLLC,4.7,26,Certified public accountant,"800 Bonaventure Wy Suite 168, Sugar Land, TX 77479, United States","J945+6M Sugar Land, Texas, USA",http://www.jenniferwraycpa.com/,+1 281-923-7665,Closed ⋅ Opens 9 am Mon,,https://lh3.googleusercontent.com/p/AF1QipPgpkdTYACWUgAIFyw2L-_CFKnfF-BaVdxo-dHL=w408-h306-k-no,true,Closed,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,"https://www.google.com/maps/search/certified+public+accountant+in+Sugar+Land+HOU+TX/@29.5984434,-95.6225521,14z",2025-10-19T16:36:47.066Z,Identifies as women-owned
https://www.google.com/maps/place/Saleem+Lakhani+CPA/data=!4m7!3m6!1s0x8640e6f8cf0d977f:0x5f66a5f94882965b!8m2!3d29.5991731!4d-95.6293864!16s%2Fg%2F1tfbcjzg!19sChIJf5cNz_jmQIYRW5aCSPmlZl8,Saleem Lakhani CPA,5.0,8,Tax preparation service,"1600 Hwy 6 #200, Sugar Land, TX 77478, United States","H9XC+M6 Sugar Land, Texas, USA",http://www.slakcpa.com/,+1 713-364-9786,Closed ⋅ Opens 9 am Mon,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=dth9UQK9Ps9WEXYQmTtUQA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=218.53908&pitch=0&thumbfov=100,true,Closed,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,"https://www.google.com/maps/search/certified+public+accountant+in+Sugar+Land+HOU+TX/@29.5984434,-95.6225521,14z",2025-10-19T16:36:52.190Z,
"https://www.google.com/maps/place/Riley+Tax+Group,+LLC./data=!4m7!3m6!1s0x8640e780e10c081b:0x9d0e4dbd7d63ba60!8m2!3d29.5967154!4d-95.6203413!16s%2Fg%2F11sg20s1g0!19sChIJGwgM4YDnQIYRYLpjfb1NDp0","Riley Tax Group, LLC.",5.0,44,Tax preparation service,"2245 Texas Dr, Sugar Land, TX 77478, United States","H9WH+MV Sugar Land, Texas, USA",https://rileytaxgroup.com/,+1 972-947-3130,Open ⋅ Closes 10:40 pm,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=SUjj08FfFzlP1mtZthMmew&cb_client=search.gws-prod.gps&w=408&h=240&yaw=61.176895&pitch=0&thumbfov=100,false,8 am–10:40 pm,8 am–10:40 pm,8 am–10:40 pm,8 am–10:40 pm,8 am–10:40 pm,8 am–10:40 pm,8 am–10:40 pm,"https://www.google.com/maps/search/certified+public+accountant+in+Sugar+Land+HOU+TX/@29.5984434,-95.6225521,14z",2025-10-19T16:36:57.167Z,
"https://www.google.com/maps/place/Griffing+%26+Company,+P.C./data=!4m7!3m6!1s0x8640e655710334e9:0xbb0f30d473d57a91!8m2!3d29.6220385!4d-95.6029348!16s%2Fg%2F1tm0c5sh!19sChIJ6TQDcVXmQIYRkXrVc9QwD7s","Griffing & Company, P.C.",4.6,16,Certified public accountant,"1 Sugar Creek Center Blvd Suite 650, Sugar Land, TX 77478, United States","J9CW+RR Sugar Land, Texas, USA",https://www.griffing.com/,+1 281-491-8866,Closed ⋅ Opens 9 am Mon,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=GBlM_SNA2SmhT4etIKb9og&cb_client=search.gws-prod.gps&w=408&h=240&yaw=305.07343&pitch=0&thumbfov=100,true,Closed,9 am–6 pm,9 am–6 pm,9 am–6 pm,9 am–6 pm,9 am–6 pm,Closed,"https://www.google.com/maps/search/certified+public+accountant+in+Sugar+Land+HOU+TX/@29.5984434,-95.6225521,14z",2025-10-19T16:37:02.190Z,
https://www.google.com/maps/place/TN+CPA/data=!4m7!3m6!1s0x8640e79ff6376a81:0x6971d488a287a4bb!8m2!3d29.6291074!4d-95.6051832!16s%2Fg%2F11knr7tf14!19sChIJgWo39p_nQIYRu6SHoojUcWk,TN CPA,5.0,12,Accounting firm,"202 Industrial Blvd Ste 504, Sugar Land, TX 77478, United States","J9HV+JW Sugar Land, Texas, USA",http://www.thncpa.com/,+1 281-564-4444,Closed ⋅ Opens 9 am Tue,,https://lh3.googleusercontent.com/p/AF1QipNT8_LKnfYSiQkrchU_apQQh6Xa-3LdSlvqBy2f=w426-h240-k-no,true,Closed,Closed,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,Closed,"https://www.google.com/maps/search/certified+public+accountant+in+Sugar+Land+HOU+TX/@29.5984434,-95.6225521,14z",2025-10-19T16:37:07.225Z,
