placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,query,timestamp,tuesday,wednesday,thursday,friday,saturday,sunday,monday,info,attributes,error
https://www.google.com/maps/place/Ace+Parking+Management+Inc/data=!4m7!3m6!1s0x80d954b9c1ef3d85:0xb647e90e564fbc88!8m2!3d32.7197338!4d-117.1587036!16s%2Fg%2F1tcw3xlj!19sChIJhT3vwblU2YARiLxPVg7pR7Y,Ace Parking Management Inc,2.8,18,Parking garage,"645 Ash St, San Diego, CA 92101, United States","PR9R+VG San Diego, California, USA",http://aceparking.com/,+1 619-231-9501,,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxYa9nrMrjZp0BTuDel40ZeOYRUo2I8dbmN86gDZPeqRbpu7vjqBDY84UHsw9NhpleynIby-7edPKp92S-4AIcLCL5KAo27edUE5D9QkMev_NRvT4torz7T4GPYC-KFDWZaA3GiHODmcc5t=w408-h306-k-no,true,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+San+Diego+San+Diego+CA/@32.715738,-117.1610838,14z",2025-10-28T18:53:53.982Z,,,,,,,,,,
https://www.google.com/maps/place/ABM+Parking+Services/data=!4m7!3m6!1s0x80d954ac125fe13f:0xdad194a80fd65b08!8m2!3d32.7191417!4d-117.1690036!16s%2Fg%2F1pp2x6cx6!19sChIJP-FfEqxU2YARCFvWD6iU0do,ABM Parking Services,3.0,32,Parking lot,"1329 Kettner Blvd, San Diego, CA 92101, United States","PR9J+M9 San Diego, California, USA",https://www.spotangels.com/#id=296694131&?ref=google_maps_website,,,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxE8zh13z0-v9H3bnx0bPxLuoYMc1pMUIT9tildU-sSLFZ4ahsStrkVtnGjyjZSd5S_VCt2FLwQb9Pqzh1EtLAXA-QMrH5IpwjZZ5JG_R1ba_Xg1_-hufqn4KPRvhK388utJa_R=w408-h544-k-no,false,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+San+Diego+San+Diego+CA/@32.715738,-117.1610838,14z",2025-10-28T18:53:58.806Z,,,,,,,,,,
https://www.google.com/maps/place/Convention+Center+Parking/data=!4m7!3m6!1s0x80d9535090e7952b:0xc51598072631942d!8m2!3d32.7075707!4d-117.1626008!16s%2Fg%2F11hbv4y7fw!19sChIJK5XnkFBT2YARLZQxJgeYFcU,Convention Center Parking,4.1,197,Parking garage,"111 W Harbor Dr, San Diego, CA 92101, United States","PR5P+2X San Diego, California, USA",https://www.visitsandiego.com/parking,,,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxmRMeODLmXN1aZMxI4iX6Y1lse6H04rL_KtJAfQ0SBO4Q0vmcBNoTH6fYDT1pHv3As1PwTr549YSseN2unGeYlg88yLE4ACXd9KkIycSO56nLJS5ST2xpN24yODCXlhghCpzYn=w408-h306-k-no,false,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+San+Diego+San+Diego+CA/@32.715738,-117.1610838,14z",2025-10-28T18:54:02.370Z,,,,,,,,,,
https://www.google.com/maps/place/ABM+Parking/data=!4m7!3m6!1s0x80d953f85fe93f2f:0x3994ac57e2602cfe!8m2!3d32.710025!4d-117.1633445!16s%2Fg%2F11jtzp9_7h!19sChIJLz_pX_hT2YAR_ixg4leslDk,ABM Parking,3.2,43,Parking lot,"450 Second Ave, San Diego, CA 92101, United States","PR6P+2M San Diego, California, USA",https://abmparking.com/cities/san-diego/,+1 619-233-2000,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSz7kk_bhaA7TUpylQ_MzARRF2LcmRYgFDOVF8cYSi-SOdVvXcadsaRUn0EL4ignXyzv-tRHyWu7JyWBKgqnJr0-_dxJoi-kqUfSwc9CfAg-Go97GqBXNKeWMCzPTLHOlWCe-DjNig=w408-h544-k-no,false,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+San+Diego+San+Diego+CA/@32.715738,-117.1610838,14z",2025-10-28T18:54:07.738Z,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,,,
https://www.google.com/maps/place/6th+and+K+Parkade/data=!4m7!3m6!1s0x80d9535a54377843:0xad83ea31232436ec!8m2!3d32.7078159!4d-117.15876!16s%2Fg%2F1hc5zydzr!19sChIJQ3g3VFpT2YAR7DYkIzHqg60,6th and K Parkade,4.2,252,Parking garage,"289 Sixth Ave, San Diego, CA 92101, United States","PR5R+4F San Diego, California, USA",https://aceparking.com/san-diego/,+1 619-818-9137,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSweVsSNhceIGjTKDWwRFchx2zmeinK7H5aFbmpPo1z_oTXiv1p_iUpmbg-NFqW0yJct4_I-MfvG2RvDiyy7fSNFNwj_9jZxWRrFReqEmCtd0ATCmTpzCkqb7okny1Py_z5wwZOI=w408-h544-k-no,true,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+San+Diego+San+Diego+CA/@32.715738,-117.1610838,14z",2025-10-28T18:54:13.057Z,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,,,
https://www.google.com/maps/place/Park+It+On+Market/data=!4m7!3m6!1s0x80d95359a716d827:0xf7fe26682edba693!8m2!3d32.711677!4d-117.1590704!16s%2Fg%2F11h3vc84nd!19sChIJJ9gWp1lT2YARk6bbLmgm_vc,Park It On Market,4.3,97,Parking garage,"614 Market St, San Diego, CA 92101, United States","PR6R+M9 San Diego, California, USA",http://parkdowntownsd.com/garages/park-it-on-market/,+1 619-818-9137,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSw2em6WF0M3H_e76tyZOxWbp1JsJbt-Gux3HhmnA3QnenbGY3lmKUABBbtiSYJPNO-f69fxi5ikJN1qpT2XM8vy9VD_OI-ZLi7VHzjSr2DbipomIAHosU6A36ok5M9PdfYIjWg=w408-h315-k-no,true,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+San+Diego+San+Diego+CA/@32.715738,-117.1610838,14z",2025-10-28T18:54:18.367Z,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,,,
https://www.google.com/maps/place/Ace+Parking/data=!4m7!3m6!1s0x80d9535b02369ee3:0x73627834703dc774!8m2!3d32.7072276!4d-117.1588712!16s%2Fg%2F11clsf3lkt!19sChIJ4542AltT2YARdMc9cDR4YnM,Ace Parking,3.3,12,Parking lot,"675 L St, San Diego, CA 92101, United States","PR4R+VF San Diego, California, USA",https://aceparking.com/find-parking,+1 619-231-6664,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyyJ-sQDpEffS5peJm9lUfEXtjQ4mEl5hldtiGH8uSAo3WZgRqVWzt8sPTnnQ4_fh9AUDrnWE9B5vvOmB-94aNGIgeUoOUk6b0ZvYlUg9amxUed_XiEKjN12e6rcTtRiiQiZ07H4g=w533-h240-k-no,true,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+San+Diego+San+Diego+CA/@32.715738,-117.1610838,14z",2025-10-28T18:54:23.317Z,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,,,
https://www.google.com/maps/place/The+Fish+Market+Valet/data=!4m7!3m6!1s0x80deabe948e2c0e9:0x7b213ee61f9b35d4!8m2!3d32.7124476!4d-117.1754938!16s%2Fg%2F11gd688pvn!19sChIJ6cDiSOmr3oAR1DWbH-Y-IXs,The Fish Market Valet,4.5,11,Parking garage,"3 Tuna Ln, San Diego, CA 92101, United States","PR6F+XR San Diego, California, USA",https://www.spotangels.com/san-diego/the-fish-market-parking?ref=google_maps_website,+1 619-232-8862,,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwxL6yrK3wrxJ6qGyRy1i1FRd-pXEnTjSEfxcs_6H8E74F2CFuT8zlkjLxxXPqc_7PgJj2lC4gp4RYNSPauA2pOar01Y3welVlrYtXht9mD70nZeXs8yLByHW38d75chYJfV65Cag=w408-h306-k-no,false,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+San+Diego+San+Diego+CA/@32.715738,-117.1610838,14z",2025-10-28T18:54:26.205Z,,,,,,,,,,
https://www.google.com/maps/place/Parking+Garage/data=!4m7!3m6!1s0x80d953acd757a88b:0xbee447bd13cf3053!8m2!3d32.7087983!4d-117.1593608!16s%2Fg%2F11qnhqlkxt!19sChIJi6hX16xT2YARUzDPE71H5L4,Parking Garage,1.2,62,Parking garage,"356 Sixth Ave, San Diego, CA 92101, United States","PR5R+G7 San Diego, California, USA",,+1 860-522-7641,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwIT4VQwLKav2PIjozraRZjf6qNWyAmwTFL_ksncxTwK82fkwJOVDb0IRMxfFjh19KIAphLwVfY6x92-3vsFPjKG07Qe8yLRES-BAfzp6ylAPq9VkSbJ7xi-VNf6RjiWv0k4_RZ=w408-h544-k-no,true,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+San+Diego+San+Diego+CA/@32.715738,-117.1610838,14z",2025-10-28T18:54:31.318Z,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,,,
https://www.google.com/maps/place/Padres+Parkade/data=!4m7!3m6!1s0x80d9535ea36d201d:0x2957c9099b80c94c!8m2!3d32.7099724!4d-117.1550376!16s%2Fg%2F1tjy1ssq!19sChIJHSBto15T2YARTMmAmwnJVyk,Padres Parkade,4.4,354,Parking garage,"440 Eleventh Ave, San Diego, CA 92101, United States","PR5V+XX San Diego, California, USA",https://space.aceparking.com/,+1 619-230-0178,Open ⋅ Closes 11 pm,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxFJ_dVedFOL1_NHhiC_76kpBVfaoanPLhvT5_ChlW5iy_A0gAX7NOkDEa3miNB7avd_vjFhjtK0Tl29lSw7XAjTtXQD0svLD5P5xQTQKfADtmS4B0e4JQchtBqyqkuf9hWWZ3R=w408-h306-k-no,true,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+San+Diego+San+Diego+CA/@32.715738,-117.1610838,14z",2025-10-28T18:54:36.896Z,5:30 am–11 pm,5:30 am–11 pm,5:30 am–11 pm,Closed,8 am–12 am,9 am–6 pm,5:30 am–11 pm,,,
