placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,info,imgUrl,isClaimed,saturday,sunday,monday,tuesday,wednesday,thursday,friday,query,timestamp,attributes,isBlackOwned
https://www.google.com/maps/place/Mobile+Marine+Key+West/data=!4m7!3m6!1s0x88d1b1754800ce0b:0x51d601e0335aadf1!8m2!3d24.5713864!4d-81.7377268!16s%2Fg%2F11cs4gtljc!19sChIJC84ASHWx0YgR8a1aM-AB1lE,Mobile Marine Key West,4.9,289,Boat repair shop,"5615 2nd Ave Unit 1, Key West, FL 33040, United States","H7C6+HW Key West, Florida, USA",https://mobilemarinekeywest.com/,+1 305-395-1924,Open 24 hours,Identifies as veteran-owned,https://lh3.googleusercontent.com/p/AF1QipP1M00-jYzwjbYsjEgGBWu0-e_kwBDcIa4qZ0M3=w473-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/generator+installation+services+in+Key+West+FL/@24.5550593,-81.7799871,14z",2026-01-10T21:42:12.760Z,,
https://www.google.com/maps/place/Check+Electric+LLC/data=!4m7!3m6!1s0x88d1b1472e5d2145:0x82ca0ae7158f82d9!8m2!3d24.5625635!4d-81.7627077!16s%2Fg%2F1yg6nr737!19sChIJRSFdLkex0YgR2YKPFecKyoI,Check Electric LLC,4.5,47,Electrician,"3255 Flagler Ave STE 303, Key West, FL 33040, United States","H67P+2W Key West, Florida, USA",http://www.checkelectricllc.com/,+1 305-292-3369,Closed · Opens 8 am Mon,,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSz_NSftQw2pIX_iYmkaXHcYCSxPFa3zr80mI6PEGn4nzX_RV5inQTPV2ad4srU1DdCayLmp69Eeo73Jd2pnViS9ZKwDCXkAMtQ1Va5cgpU3Aj6osfumgMUSoYt1WGzuXjeI=w408-h873-k-no,true,Closed,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/generator+installation+services+in+Key+West+FL/@24.5550593,-81.7799871,14z",2026-01-10T21:42:17.861Z,,
https://www.google.com/maps/place/Harbor+Marine/data=!4m7!3m6!1s0x88d1b76e7bc9adbf:0x585a33fceb5b149b!8m2!3d24.5653837!4d-81.7272175!16s%2Fg%2F11f9fmbrzs!19sChIJv63Je2630YgRmxRb6_wzWlg,Harbor Marine,5.0,43,Boat repair shop,"6011 Peninsular Ave, Key West, FL 33040, United States","H78F+54 Key West, Florida, USA",http://www.store.harbormarine.us/,+1 305-394-2825,Closed · Opens 8:30 am Mon,,https://lh3.googleusercontent.com/p/AF1QipNxRWg4fPrgaCWvPcgTcQMCtz-RLtO3KaY5AkUP=w408-h272-k-no,true,Closed,Closed,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,"https://www.google.com/maps/search/generator+installation+services+in+Key+West+FL/@24.5550593,-81.7799871,14z",2026-01-10T21:42:23.193Z,,
"https://www.google.com/maps/place/Florida+Keys+Electric,+Inc./data=!4m7!3m6!1s0x88d1b178046abc47:0x6160cb65887dfe54!8m2!3d24.5987617!4d-81.6540584!16s%2Fg%2F1tmpl91b!19sChIJR7xqBHix0YgRVP59iGXLYGE","Florida Keys Electric, Inc.",4.9,56,Electrician,"905 Overseas Hwy, Key West, FL 33040, United States","H8XW+G9 Key West, Florida, USA",https://flkeyselectric.com/,+1 305-296-4028,Closed · Opens 8 am Mon,,https://lh3.googleusercontent.com/p/AF1QipPtu8NthdTiNtejU-Q06EtmOqdlgEwtoUIcJycp=w408-h306-k-no,true,Closed,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/generator+installation+services+in+Key+West+FL/@24.5550593,-81.7799871,14z",2026-01-10T21:42:28.044Z,,
https://www.google.com/maps/place/Apollo+Electric+Solutions+LLC/data=!4m7!3m6!1s0x4bc384ea36e468fb:0x6b29fd62b8ce6216!8m2!3d24.6004809!4d-81.6528011!16s%2Fg%2F11rw__gqt0!19sChIJ-2jkNuqEw0sRFmLOuGL9KWs,Apollo Electric Solutions LLC,5.0,87,Electrician,"14 Aquamarine Dr Unit B, Key West, FL 33040, United States","J82W+5V Key West, Florida, USA",http://www.apolloelectricsol.com/,+1 305-708-2782,Closed · Opens 8 am Mon,Identifies as women-owned,https://lh3.googleusercontent.com/p/AF1QipM71BN2WP4UBOqub9WXonNycL-Wuei7tJEIDEgH=w408-h351-k-no,true,Closed,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/generator+installation+services+in+Key+West+FL/@24.5550593,-81.7799871,14z",2026-01-10T21:42:32.769Z,,
https://www.google.com/maps/place/Key+Marine+Service/data=!4m7!3m6!1s0x88d1b12d302ee40d:0xd1cba1a4d69d7816!8m2!3d24.5639709!4d-81.7394905!16s%2Fg%2F11qh83njbd!19sChIJDeQuMC2x0YgRFnid1qShy9E,Key Marine Service,4.7,66,Boat repair shop,"7025 Shrimp Rd Suite 10W, Key West, FL 33040, United States","H776+H6 Key West, Florida, USA",http://www.keymarineservice.com/,+1 305-767-3606,Closed · Opens 8 am Mon,,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSy94jZdZISgCtO_5NQnK_oImgzDS4QRIN34rJkkbyIJR_dN5B5r843INxpqgzjiwqEW7uJYGEIO4zJ1XCOnfTUtjLG6bJugNCyAHTdGzlr9OgONzN0eg4ShESHGsEB3C0zTe3eN=w408-h544-k-no,true,8 am–4:30 pm,Closed,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,"https://www.google.com/maps/search/generator+installation+services+in+Key+West+FL/@24.5550593,-81.7799871,14z",2026-01-10T21:42:37.760Z,,
https://www.google.com/maps/place/Nearshore+Electric+Inc/data=!4m7!3m6!1s0x88d1b1781585cb19:0x457bf200fafc922a!8m2!3d24.5717376!4d-81.736241!16s%2Fg%2F1th1vvp1!19sChIJGcuFFXix0YgRKpL8-gDye0U,Nearshore Electric Inc,3.7,3,Contractor,"5680 1st St #5, Key West, FL 33040, United States","H7C7+MG Key West, Florida, USA",http://www.nearshoreelectric.com/,+1 305-294-3991,Closed · Opens 8 am Mon,,https://lh3.googleusercontent.com/p/AF1QipMX9HhWLtRYrG_bkKLy6MCw9N0isxYptrWhv2Ci=w426-h240-k-no,true,Closed,Closed,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,"https://www.google.com/maps/search/generator+installation+services+in+Key+West+FL/@24.5550593,-81.7799871,14z",2026-01-10T21:42:42.663Z,,
https://www.google.com/maps/place/Lighthouse+Electric/data=!4m7!3m6!1s0x88d1b6c69cc59267:0x856b3f913a34c3f!8m2!3d24.5561425!4d-81.7931109!16s%2Fg%2F1td72szw!19sChIJZ5LFnMa20YgRP0yjE_mzVgg,Lighthouse Electric,3.0,4,Electrician,"900 Frances St #101, Key West, FL 33040, United States","H644+FQ Key West, Florida, USA",http://lighthousekeywest.com/,,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=6FC9k2fPKsx6y4vn1HBBAQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=211.21704&pitch=0&thumbfov=100,false,,,,,,,,"https://www.google.com/maps/search/generator+installation+services+in+Key+West+FL/@24.5550593,-81.7799871,14z",2026-01-10T21:42:45.685Z,,
https://www.google.com/maps/place/Keys+Power+Systems+LLC./data=!4m7!3m6!1s0x88d1b6cb8c781b37:0x5ceabf361e514413!8m2!3d24.5525572!4d-81.7804279!16s%2Fg%2F1tkkvnzv!19sChIJNxt4jMu20YgRE0RRHja_6lw,Keys Power Systems LLC.,4.5,2,Electrician,"Key West, FL 33040, United States","H639+2R Key West, Florida, USA",,+1 305-292-9277,Closed · Opens 9 am Mon,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=pFgi4tS3OLwIf3mQC-PYfg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=319.47037&pitch=0&thumbfov=100,false,Closed,Closed,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,"https://www.google.com/maps/search/generator+installation+services+in+Key+West+FL/@24.5550593,-81.7799871,14z",2026-01-10T21:42:50.619Z,,
https://www.google.com/maps/place/AMP+Electric/data=!4m7!3m6!1s0x88d1b7d9bfe6b663:0xe4a84d9b6e381790!8m2!3d24.5598424!4d-81.7914601!16s%2Fg%2F11f5lxlnbl!19sChIJY7bmv9m30YgRkBc4bptNqOQ,AMP Electric,5.0,1,Electrician,"702 Florida St #7017, Key West, FL 33040, United States","H655+WC Key West, Florida, USA",https://ampelectrickw.com/,+1 305-394-7712,Closed · Opens 8 am Mon,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=BdmOyMDnlMCfykyzkBUf8A&cb_client=search.gws-prod.gps&w=408&h=240&yaw=258.4562&pitch=0&thumbfov=100,true,Closed,Closed,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,"https://www.google.com/maps/search/generator+installation+services+in+Key+West+FL/@24.5550593,-81.7799871,14z",2026-01-10T21:42:55.498Z,,
