placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,info,imgUrl,isClaimed,monday,tuesday,wednesday,thursday,friday,saturday,sunday,query,timestamp,isBlackOwned,error
https://www.google.com/maps/place/Behavioral+Health+Center+of+Illinois/data=!4m7!3m6!1s0x887539bc4d490675:0x79a18c7916f53765!8m2!3d39.7885693!4d-89.6464523!16s%2Fg%2F11d_7_y6r4!19sChIJdQZJTbw5dYgRZTf1FnmMoXk,Behavioral Health Center of Illinois,4.2,14,Mental health clinic,"1220 S 7th St, Springfield, IL 62703, United States","Q9Q3+CC Springfield, Illinois, USA",https://www.behavioralhealth.center/,+1 217-679-5379,Closed · Opens 9 am Tue,Identifies as women-owned,https://lh3.googleusercontent.com/p/AF1QipNz85l_D7DovhHvPIlBCw1zzrP8GZ6sO7ZK3YHQ=w408-h257-k-no,true,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,Closed,"https://www.google.com/maps/search/Psychiatry+clinics+in+Springfield+Springfield+IL/@39.8006593,-89.6449345,14z",2025-12-16T02:55:18.230Z,,
https://www.google.com/maps/place/Memorial+Specialty+Care+Behavioral+Health+%26+Psychiatry/data=!4m7!3m6!1s0x8875476d7f2f4a2d:0xc30a41c339220c2!8m2!3d39.7646281!4d-89.7169947!16s%2Fg%2F11cmp0tv5t!19sChIJLUovf21HdYgRwiCSMxykMAw,Memorial Specialty Care Behavioral Health & Psychiatry,3.7,23,Medical clinic,"3225 Hedley Rd, Springfield, IL 62711, United States","Q77M+V6 Springfield, Illinois, USA",https://www.memorial.health/?y_source=1_MTU0MzQ4NjktNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,+1 217-726-7300,Closed · Opens 7:30 am Tue,,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyBLMTCDU2dtdanlBV9F4tFnVxnfORz0EkbvC5z0YuWVFRc3HgweYvS7jcmw4joHVZHLn6MQvP4EL5IfNvHNHS0dtjPUKB1jL4fqZT0-JzGLDCwC1z6iynnopl7Zjv9lkXVUCuG=w408-h306-k-no,true,7:30 am–5 pm,7:30 am–5 pm,7:30 am–5 pm,7:30 am–5 pm,7:30 am–5 pm,Closed,Closed,"https://www.google.com/maps/search/Psychiatry+clinics+in+Springfield+Springfield+IL/@39.8006593,-89.6449345,14z",2025-12-16T02:55:24.073Z,,
https://www.google.com/maps/place/Psychiatric+Associates/data=!4m7!3m6!1s0x887539bc0526ce8b:0x2952994af55c033e!8m2!3d39.7898479!4d-89.6478218!16s%2Fg%2F1tnssp7m!19sChIJi84mBbw5dYgRPgNc9UqZUik,Psychiatric Associates,3.4,38,Mental health service,"1124 S 6th St, Springfield, IL 62703, United States","Q9Q2+WV Springfield, Illinois, USA",https://www.psychasso.net/,+1 217-523-3143,"Closed · Opens 9 am Tue

Updated by others 3 weeks ago",,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxQGwEKil0LwO_h7-4jKFJgbTDNWJpDOn5zeZuFb8J_vWt8yz38D-NoXwVJCtgYzdSzQX0x3IShy5bB54uuU_GtzuGPt2nfQCS48UUUni2WnW5m-GZQARFfuA9A3FTIEGWdKMhc=w408-h306-k-no,false,9 am–6 pm,9 am–6 pm,9 am–6 pm,8 am–6 pm,8 am–6 pm,Closed,Closed,"https://www.google.com/maps/search/Psychiatry+clinics+in+Springfield+Springfield+IL/@39.8006593,-89.6449345,14z",2025-12-16T02:55:28.929Z,,
https://www.google.com/maps/place/LifeStance+Therapists+%26+Psychiatrists+Springfield/data=!4m7!3m6!1s0x887547f727a443af:0x5c981ae6bfe3742b!8m2!3d39.7598614!4d-89.7209817!16s%2Fg%2F11pqs25ysx!19sChIJr0OkJ_dHdYgRK3Tjv-YamFw,LifeStance Therapists & Psychiatrists Springfield,4.7,123,Mental health clinic,"3008 Happy Landing Dr, Springfield, IL 62711, United States","Q75H+WJ Springfield, Illinois, USA",https://lifestance.com/location/springfield-il-3008-happy-landing-drive/?utm_source=gmb&utm_medium=organic&utm_campaign=locations,+1 217-523-4534,Closed · Opens 8 am Tue,LGBTQ+ friendly,https://lh3.googleusercontent.com/p/AF1QipMGSh-_cy-Nn7yb7Dr3W7xU7hvVE5NEENgjnXA=w427-h240-k-no,true,8 am–8:30 pm,8 am–8:30 pm,8 am–8:30 pm,8 am–8:30 pm,8 am–5 pm,8 am–3 pm,Closed,"https://www.google.com/maps/search/Psychiatry+clinics+in+Springfield+Springfield+IL/@39.8006593,-89.6449345,14z",2025-12-16T02:55:33.929Z,,
https://www.google.com/maps/place/TH+Mental+Health/data=!4m7!3m6!1s0x887539ed7cf3e1ed:0xbf9e6f6197bae8c2!8m2!3d39.7702542!4d-89.6920359!16s%2Fg%2F11xhb5xbd1!19sChIJ7eHzfO05dYgRwui6l2Fvnr8,TH Mental Health,5.0,5,Mental health clinic,"2041 W Iles Ave, Springfield, IL 62704, United States","Q8C5+45 Springfield, Illinois, USA",https://thmentalhealth.com/,+1 217-718-2910,Closed · Opens 9 am Tue,,https://lh3.googleusercontent.com/p/AF1QipPtoSH8jrdCjdhxc_6BmtdMqteb4KCV3pVFpnds=w408-h358-k-no,true,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,Closed,"https://www.google.com/maps/search/Psychiatry+clinics+in+Springfield+Springfield+IL/@39.8006593,-89.6449345,14z",2025-12-16T02:55:38.665Z,,
https://www.google.com/maps/place/Memorial+Behavioral+Health+Center+in+Springfield/data=!4m7!3m6!1s0x887539dd9d93b3b7:0x9bf49d24dd520020!8m2!3d39.808747!4d-89.644537!16s%2Fg%2F1tg826h2!19sChIJt7OTnd05dYgRIABS3SSd9Js,Memorial Behavioral Health Center in Springfield,2.3,43,Mental health clinic,"710 N 8th St, Springfield, IL 62702, United States","R954+F5 Springfield, Illinois, USA",https://www.memorial.health/?y_source=1_MTU0MzQ4ODUtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,+1 217-525-1064,Closed · Opens 8:30 am Tue,,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSx6lwjWOZrXGOlxKH96l5J84ExdtVQ8HcpmTcvM7Duv2rhS1NsYVQNw1AYyOjgR6eKqRrlySk0VeThPjXKtzuwg7xxDeEwMBx5_uMICvYki4ZuQ-jK1tn1KzyIZ3IPwtkDarqIX=w426-h240-k-no,true,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,Closed,Closed,"https://www.google.com/maps/search/Psychiatry+clinics+in+Springfield+Springfield+IL/@39.8006593,-89.6449345,14z",2025-12-16T02:55:43.701Z,,
https://www.google.com/maps/place/SIU+Medicine+Psychiatry/data=!4m7!3m6!1s0x8875383239867863:0x6a51b2e4cab47352!8m2!3d39.8044145!4d-89.651269!16s%2Fg%2F1tdy56ht!19sChIJY3iGOTI4dYgRUnO0yuSyUWo,SIU Medicine Psychiatry,1.6,41,Physiatrist,"319 E Madison St 3 3rd Floor, Springfield, IL 62702, United States","R83X+QF Springfield, Illinois, USA",https://www.siumed.org/buildings/centrum-building/psychiatry?utm_source=gmb,+1 217-545-8000,Closed · Opens 8 am Tue,,https://lh3.googleusercontent.com/p/AF1QipPdAmmX8aA0lDF31gNPUIq3Yq-Lbf8VCOBTAPjR=w408-h271-k-no,true,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,Closed,Closed,"https://www.google.com/maps/search/Psychiatry+clinics+in+Springfield+Springfield+IL/@39.8006593,-89.6449345,14z",2025-12-16T02:55:48.753Z,,
https://www.google.com/maps/place/Killian+Dr+%26+Associates/data=!4m7!3m6!1s0x887539b95f4aa9ab:0xde2d3646ac6cff14!8m2!3d39.7900452!4d-89.6490188!16s%2Fg%2F1thlnv3w!19sChIJq6lKX7k5dYgRFP9srEY2Ld4,Killian Dr & Associates,3.5,11,Mental health clinic,"1020 S 5th St, Springfield, IL 62703, United States","Q9R2+29 Springfield, Illinois, USA",https://killianassociates.com/,+1 217-544-3143,Closed · Opens 9 am Tue,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=RZ1m0Z9vc7XHZhpxIywwiw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=90.3585&pitch=0&thumbfov=100,true,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,Closed,"https://www.google.com/maps/search/Psychiatry+clinics+in+Springfield+Springfield+IL/@39.8006593,-89.6449345,14z",2025-12-16T02:55:53.629Z,,
https://www.google.com/maps/place/ClariPath+Psychiatry/data=!4m7!3m6!1s0x8875391ff8016ae1:0x296a385fb52ed1d1!8m2!3d39.7713962!4d-89.6876806!16s%2Fg%2F11ypxt8l5j!19sChIJ4WoB-B85dYgR0dEutV84aik,ClariPath Psychiatry,5.0,1,Mental health service,"2501 Chatham Rd Suite 4358, Springfield, IL 62704, United States","Q8C6+HW Springfield, Illinois, USA",https://www.claripathpsychiatry.com/?utm_source=gmb_auth,+1 618-270-7879,,,https://lh3.googleusercontent.com/p/AF1QipNwa8VfwvMdbJOl64RlGQbMD5uD0MwXVrJk-ZyA=w408-h408-k-no,true,,,,,,,,"https://www.google.com/maps/search/Psychiatry+clinics+in+Springfield+Springfield+IL/@39.8006593,-89.6449345,14z",2025-12-16T02:55:56.181Z,,
https://www.google.com/maps/place/Lincoln+Prairie+Behavioral+Health+Center/data=!4m7!3m6!1s0x8875393e5657f481:0x9959eb2e6262f6ed!8m2!3d39.7257475!4d-89.6407112!16s%2Fg%2F1tjt2plv!19sChIJgfRXVj45dYgR7fZiYi7rWZk,Lincoln Prairie Behavioral Health Center,2.5,348,Mental health clinic,"5230 S 6th Street Frontage Rd E, Springfield, IL 62703, United States","P9G5+7P Springfield, Illinois, USA",https://lincolnprairiebhc.com/,+1 217-585-1180,Open 24 hours,,https://lh3.googleusercontent.com/p/AF1QipPasAt5j9LfZ8oGVpjPx3BKriVnfIuKzvnn5osY=w426-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Psychiatry+clinics+in+Springfield+Springfield+IL/@39.8006593,-89.6449345,14z",2025-12-16T02:56:01.131Z,,
