placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,sunday,monday,tuesday,wednesday,thursday,friday,saturday,query,timestamp,info,attributes,error
https://www.google.com/maps/place/Chenal+Restoration/data=!4m7!3m6!1s0x87d2a5ed6e8e82a3:0xb340cc4d36086afd!8m2!3d34.7532767!4d-92.3869615!16s%2Fg%2F1tx47l6y!19sChIJo4KObu2l0ocR_WoINk3MQLM,Chenal Restoration,4.3,26,Water damage restoration service,"10201 W Markham St Suite #307A, Little Rock, AR 72205, United States","QJ37+86 Little Rock, Arkansas, USA",http://www.chenalrestoration.com/,+1 501-296-9690,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqOiSEh7nEUzxLAXWgTUy-bms5J3mOvewjzGBDIrBopbvLC2ldIAkSwGTBC0DmomfqfQ0EoMkx6aDLx7_1IpOpdiYU9GfHg_1TLL363YcZ9h3phG31FfdTFaR-8Dav6-LXQcCJLRAnXH0WS=w408-h306-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+Hillcrest+Little+Rock+AR/@34.7547449,-92.3246274,14z",2026-03-23T04:25:18.536Z,,,
https://www.google.com/maps/place/Arko+Water+Damage+Restoration+Llc/data=!4m7!3m6!1s0x87d2a5066d58ba2b:0x524dba40e2d814e6!8m2!3d34.7097572!4d-92.3781812!16s%2Fg%2F11yhlytn5s!19sChIJK7pYbQal0ocR5hTY4kC6TVI,Arko Water Damage Restoration Llc,5.0,14,Water damage restoration service,"9319 Colonel Glenn Rd, Little Rock, AR 72204, United States","PJ5C+WP Little Rock, Arkansas, USA",http://arkowaterdamagerestorationllc.com/,+1 501-300-2818,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/AHVAwepNtoHTGvDxCeYCq9mFTEu4H3sYj9WsFAvcK10OPPHy-jzz1fAOtM7TgB2H0B4fOmt1z7iPy9e24nILWo3MmVbkYMGFeJImhvhyRKIh_5Cp0t8GGOsU157JRbTU8QQv_du7pMmUHSOoyPbQ=w408-h317-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+Hillcrest+Little+Rock+AR/@34.7547449,-92.3246274,14z",2026-03-23T04:25:24.561Z,,,
https://www.google.com/maps/place/Metro+Disaster+Specialists/data=!4m7!3m6!1s0x87d2bdb400000001:0x78f92ca70abea07c!8m2!3d34.7864927!4d-92.303865!16s%2Fg%2F12616zr_x!19sChIJAQAAALS90ocRfKC-Cqcs-Xg,Metro Disaster Specialists,4.6,26,Water damage restoration service,"3500 Bay Oaks Dr, North Little Rock, AR 72118, United States","QMPW+HF North Little Rock, Arkansas, USA",http://www.metrodisaster.com/,+1 501-758-2845,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqyRiJRZaA1w60RDRgscMYBWK8qcB-g1FBMcJdihtjQAKdkGQALuotOtQQQECIFSaqRvH2U9Zpbg0XNyWBAy1ztlQQm20OTXX7pjek_y9RZL_qloAgrdaTr40Ss2so8CZkVchI=w408-h306-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+Hillcrest+Little+Rock+AR/@34.7547449,-92.3246274,14z",2026-03-23T04:25:29.405Z,,,
"https://www.google.com/maps/place/ABS+Services,+Inc./data=!4m7!3m6!1s0x87d2bf34648d8da9:0x499438b924594d9e!8m2!3d34.8031697!4d-92.2138578!16s%2Fg%2F11pxm2hbmq!19sChIJqY2NZDS_0ocRnk1ZJLk4lEk","ABS Services, Inc.",4.9,28,Water damage restoration service,"5301 Warden Rd Suite I-1B, North Little Rock, AR 72116, United States","RQ3P+7F North Little Rock, Arkansas, USA",https://absrs.com/?utm_source=GBP&utm_medium=organic&utm_campaign=office,+1 501-367-7300,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqolz9UKMlKgubx9CWTWbbUr9a6TysPxcBuSmMwM8Lj5it0Klc3RgIbUjZn5wj6wmyaejGkLkwUUTwVEEIFUkhxvlmzxGzejUsZWyk2v8rWlSQ8HCOxdO86SYZ8tyghvrjG-4U=w408-h408-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+Hillcrest+Little+Rock+AR/@34.7547449,-92.3246274,14z",2026-03-23T04:25:34.325Z,,,
https://www.google.com/maps/place/Service+Restoration/data=!4m7!3m6!1s0x87d2a50f5430740b:0xe33acac8a465349c!8m2!3d34.6754393!4d-92.3686471!16s%2Fg%2F11v0zyz13c!19sChIJC3QwVA-l0ocRnDRlpMjKOuM,Service Restoration,5.0,95,Water damage restoration service,"9524 I-30, Little Rock, AR 72209, United States","MJGJ+5G Little Rock, Arkansas, USA",https://servicerestoration.com/,+1 501-381-5440,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/AHVAwer7bPNQRjUKz9Lk7PRHmNNXCwGTMD_j6VPqeiINDcT1dU4sCowX7vP2IjSjOWbWtNqzNz2EMbMJhjE0JZyDHbE7UngIEizx9cJFHra7rqz5ZPKvhajO2X23qW1OyEsKjFOEks4Gn3AHZto=w437-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+Hillcrest+Little+Rock+AR/@34.7547449,-92.3246274,14z",2026-03-23T04:25:39.148Z,,,
https://www.google.com/maps/place/Arkansas+Restoration+Inc./data=!4m7!3m6!1s0x87d2a21b6e5fa78f:0xa4292a0c544abcc2!8m2!3d34.803546!4d-92.3443412!16s%2Fg%2F1thgb_73!19sChIJj6dfbhui0ocRwrxKVAwqKaQ,Arkansas Restoration Inc.,4.6,86,Fire damage restoration service,"5000 Northshore Ln, North Little Rock, AR 72118, United States","RM34+C7 North Little Rock, Arkansas, USA",https://www.arkrestoration.com/,+1 501-753-3600,Closed · Opens 8 am Mon,https://lh3.googleusercontent.com/gps-cs-s/AHVAwep1yQfXqPV6O-c6l78kXxAnpFzhl0gOLn9PS6D9TelTzV_rGkDz67OVRLeW_bqeULMH0ZYr2Pf4wXloIX2Ab10W87wT9RKkxV0ojwKlY3m77R5WMA5CZJZB7xL3A7HZ5ANjj5eb=w408-h306-k-no,true,8 am–7 pm,8 am–7 pm,8 am–7 pm,8 am–7 pm,8 am–7 pm,8 am–7 pm,8 am–7 pm,"https://www.google.com/maps/search/water+damage+restoration+in+Hillcrest+Little+Rock+AR/@34.7547449,-92.3246274,14z",2026-03-23T04:25:44.104Z,,,
https://www.google.com/maps/place/Emergency+Mitigation+Services/data=!4m7!3m6!1s0x81217679847cab91:0xa19824bce688f6b9!8m2!3d34.7454902!4d-92.2751838!16s%2Fg%2F11t2v3cf1d!19sChIJkat8hHl2IYERufaI5rwkmKE,Emergency Mitigation Services,4.1,9,Waterproofing service,"400 W Capitol Ave Suite 1700-#473, Little Rock, AR 72201, United States","PPWF+5W Little Rock, Arkansas, USA",http://www.emergencymitigationservicesllc.com/,+1 855-368-2777,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqfQpmMsyMEdOP8sCOObNm3gmEKeCrblKMZYXZtDOzi-o1pfpzm4ng6gSzWH3aCe7ivMOe0EfCc2UIJ57Mr0OH2C3rysX6Wlfhc5rwOYM03mW0IpF-d_HSrvyZoyUdiMD8JbCs6=w408-h270-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+Hillcrest+Little+Rock+AR/@34.7547449,-92.3246274,14z",2026-03-23T04:25:49.196Z,,,
"https://www.google.com/maps/place/SERVPRO+of+Little+Rock,+Cabot,+Pine+Bluff/data=!4m7!3m6!1s0x87d2a1fbafcd1be7:0x97197a539a53efe!8m2!3d34.8297686!4d-92.3832958!16s%2Fg%2F11clv6g998!19sChIJ5xvNr_uh0ocR_j6lOaWXcQk","SERVPRO of Little Rock, Cabot, Pine Bluff",4.9,291,Water damage restoration service,"7517 Counts Massie Rd, North Little Rock, AR 72113, United States","RJH8+WM North Little Rock, Arkansas, USA",https://www.servpro.com/locations/ar/servpro-of-little-rock-cabot-pine-bluff?utm_medium=organic&utm_source=gbp,+1 501-803-9700,,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqTEkNGr9cIGtk7aGLnwI6inEFhH5-hWI_R9HvHPhWWPJsarWG9ljwZ6LzclAWV0T5dUYdkqSlnKPpFGjkenJlEfgXpLadDQMfBYbqZmdyAPWB1nLbHiYSzfYWFX5s22rco9EheGid7uusP=w408-h315-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+Hillcrest+Little+Rock+AR/@34.7547449,-92.3246274,14z",2026-03-23T04:25:54.161Z,,,
https://www.google.com/maps/place/Service+Restoration/data=!4m7!3m6!1s0x87d2bb64f0eaaaab:0xca9abaf61ae1c9bd!8m2!3d34.6781991!4d-92.3278413!16s%2Fg%2F11hcj4rpcm!19sChIJq6rq8GS70ocRvcnhGva6mso,Service Restoration,5.0,29,Water damage restoration service,"7821 Doyle Springs Rd Suite F, Little Rock, AR 72209, United States","MMHC+7V Little Rock, Arkansas, USA",https://servicerestoration.com/little-rock-ar/?utm_source=gmb&utm_medium=local,+1 501-381-5440,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/AHVAweq63YV53CjPbHvZW9Zr0oZ_2yrwbo3GC-gNk20EBgbOUiW1nAyKTl7yIg3KyUJmu95QzNrg1tDQYo3z9ZO9bhzc7lWIJB25CJpqUcXTdjlOUBGaC9mGhZiHu8jxWANvx8t_eeQFaA=w408-h306-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+Hillcrest+Little+Rock+AR/@34.7547449,-92.3246274,14z",2026-03-23T04:25:59.078Z,,,
https://www.google.com/maps/place/Langenwalter+Carpet+Cleaning+%26+Water+Restoration/data=!4m7!3m6!1s0x87d2a309a0cc3ddd:0x77070a241a4ce494!8m2!3d34.7520156!4d-92.129428!16s%2Fg%2F11gmw8pc9z!19sChIJ3T3MoAmj0ocRlORMGiQKB3c,Langenwalter Carpet Cleaning & Water Restoration,4.9,26,Carpet cleaning service,,,http://www.langenwalterar.com/,+1 501-223-9466,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqJfehcEhgZffwVoiSqEr5RX-fRueybIN_x-z9PwjKI9APgLN-N50UCWv2hhZw1pecHGlZF4rTO5kofRX23yPjs_r5kxVY1qGJROt-a9x2UR26b_tqquKgWQvWcQSkoFMuPJxyW=w408-h306-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+Hillcrest+Little+Rock+AR/@34.7547449,-92.3246274,14z",2026-03-23T04:26:03.912Z,Identifies as veteran-owned,,
