placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,sunday,monday,tuesday,wednesday,thursday,friday,saturday,query,timestamp,info,isBlackOwned,attributes,error
https://www.google.com/maps/place/SERVPRO+of+San+Marcos%2FKyle%2FBuda/data=!4m7!3m6!1s0x865cbd5d152bc28f:0x6ae6a8d8db40e632!8m2!3d29.8710098!4d-97.9190673!16s%2Fg%2F1tg81wvm!19sChIJj8IrFV29XIYRMuZA29io5mo,SERVPRO of San Marcos/Kyle/Buda,4.9,277,Water damage restoration service,"1222 Old Martindale Rd, San Marcos, TX 78666, United States","V3CJ+C9 San Marcos, Texas, USA",https://www.servpro.com/locations/tx/servpro-of-san-marcos-new-braunfels-kyle-buda?utm_medium=organic&utm_source=gbp,+1 512-648-8346,,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqxxiwclj-LFkI7COYbAuh17PsNQGdfBCb5Wy64K_iZKbqf-P2yLTj4Rxl5XVF8kJrFnpLBWAfKWd2HIckdVNp4LfmmQRCi_FlrkeHdEAi_8vFrqymPkcuFyzF__w5e5pZALaqbybLNxUir=w408-h339-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+San+Marcos+San+Marcos+TX/@14.9609782,-91.8074586,14z",2026-03-23T04:49:07.436Z,,,,
https://www.google.com/maps/place/CosmosWaterDamage+Restoration/data=!4m7!3m6!1s0x865ca9001183e631:0xcf675e9b0629500!8m2!3d29.8926978!4d-97.9423841!16s%2Fg%2F11yq7y4kbr!19sChIJMeaDEQCpXIYRAJVisOl19gw,CosmosWaterDamage Restoration,5.0,2,Water damage restoration service,"833 Chestnut St, San Marcos, TX 78666, United States","V3V5+32 San Marcos, Texas, USA",https://waterrestorationsanmarcostx.com/,+1 512-764-5700,Open 24 hours,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=lZl_CmT2dfoJ9QMKg6ayew&cb_client=search.gws-prod.gps&w=408&h=240&yaw=204.67609&pitch=0&thumbfov=100,false,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+San+Marcos+San+Marcos+TX/@14.9609782,-91.8074586,14z",2026-03-23T04:49:12.998Z,,,,
https://www.google.com/maps/place/San+Marcos+Tx+Water+Damage+%7C+Water+Extraction/data=!4m7!3m6!1s0x865ca864f41bd033:0x720ff1e791a71ac1!8m2!3d29.8686434!4d-97.9304725!16s%2Fg%2F1hhx7qb87!19sChIJM9Ab9GSoXIYRwRqnkefxD3I,San Marcos Tx Water Damage | Water Extraction,5.0,16,Water damage restoration service,,,https://24hrs.waterdamagesanmarcostx.com/h,+1 830-542-2337,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqbtDfMZROpbWiBASC6jbOX41OSuG81XDSucb2hakfeydkfPQ82irqAujcfxzPjKwvYpnu5_ZGvwyWEGOpYJ64X1u3L95AeB2NGIGeVzE7CaznD99DBGPjyo1iobRJuNtAiZbwa=w408-h544-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+San+Marcos+San+Marcos+TX/@14.9609782,-91.8074586,14z",2026-03-23T04:49:18.069Z,,,,
https://www.google.com/maps/place/24+Hour+Flood+Pros/data=!4m7!3m6!1s0x4c3e5315c1ffa847:0x329ad5207e0bbc5!8m2!3d30.3137124!4d-97.7070374!16s%2Fg%2F11vh_8_0kn!19sChIJR6j_wRVTPkwRxbvgB1KtKQM,24 Hour Flood Pros,5.0,566,Water damage restoration service,,,https://www.24hourfloodpros.com/austin/,+1 512-616-0827,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/AHVAwepLR5JISZUT0zdQSF5Z-n9DHlloKEPLmGzLxLd6exkNJyxsOKTx7D6FFwjVewm8R-WFW1wuF6RAjG3zcAqpVmpWZNgm09NCBQSc3_QIpxZLeCgjQ5vT4ClZl3LJTY_jxHmJ8KCh=w408-h326-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+San+Marcos+San+Marcos+TX/@14.9609782,-91.8074586,14z",2026-03-23T04:49:22.756Z,,,,
https://www.google.com/maps/place/Elite+Water+Damage+Experts/data=!4m7!3m6!1s0x865ca62f33da25ef:0xd721431c3ba0fa1b!8m2!3d29.8624787!4d-97.964903!16s%2Fg%2F1ts1snfb!19sChIJ7yXaMy-mXIYRG_qgOxxDIdc,Elite Water Damage Experts,5.0,15,Water damage restoration service,"2210 Hunter Rd, San Marcos, TX 78666, United States","V26P+X2 San Marcos, Texas, USA",http://elitewaterdamageexpert.us/,+1 737-317-2066,Closed · Opens 8 am Mon,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqIG1zTs0xeSkQu60aCgSNa6uX3l3h4ldoZACUeDRmm3SFMQt4dEVxZNsN4gPg6gfLUXYOoNMJKOWuqpTt0_0QOxhAcevPVC1n8ysvKaVkbNZO8E0C9FW-Srgsc2JrYvXGXImrpTnXNhjI=w408-h408-k-no,true,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,"https://www.google.com/maps/search/water+damage+restoration+in+San+Marcos+San+Marcos+TX/@14.9609782,-91.8074586,14z",2026-03-23T04:49:27.316Z,,,,
https://www.google.com/maps/place/Truedry+Water/data=!4m7!3m6!1s0x865ca9a72a315e41:0xbab50204c7b3d730!8m2!3d29.8832726!4d-97.940961!16s%2Fg%2F11t9w3v4vy!19sChIJQV4xKqepXIYRMNezxwQCtbo,Truedry Water,5.0,2,Water damage restoration service,"119 E Hopkins St, San Marcos, TX 78666, United States","V3M5+8J San Marcos, Texas, USA",,+1 737-303-4858,Closed · Opens 8 am Mon,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=NMNKzqITKX2fWOZnrOnOYg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=345.40652&pitch=0&thumbfov=100,false,8 am–8 pm,8 am–8 pm,8 am–8 pm,8 am–8 pm,8 am–8 pm,8 am–8 pm,8 am–8 pm,"https://www.google.com/maps/search/water+damage+restoration+in+San+Marcos+San+Marcos+TX/@14.9609782,-91.8074586,14z",2026-03-23T04:49:31.993Z,,,,
https://www.google.com/maps/place/RestoPros+of+New+Braunfels+-+San+Marcos/data=!4m7!3m6!1s0x865ca3fe39cce3bd:0x29391a0356cad7e5!8m2!3d29.6219516!4d-98.3084406!16s%2Fg%2F11k9dj93f9!19sChIJvePMOf6jXIYR5dfKVgMaOSk,RestoPros of New Braunfels - San Marcos,5.0,60,Water damage restoration service,,,https://www.restopros.co/tx-new-braunfels,+1 512-588-3707,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/AHVAwerlWNOFg7Gv0orYUJ6ZJy0K6XWNFKxruM7h0UtH5r49GRJ9ox5WpFymwK9Rs2nxEBeAIzwcXMsIyhuNuVpBBZJVVC9vdzO8f8zaldRQju4JDiPHaHvV28AiFofGeWpYigwcV3xUrQbCoukz=w426-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+San+Marcos+San+Marcos+TX/@14.9609782,-91.8074586,14z",2026-03-23T04:49:36.788Z,,,,
https://www.google.com/maps/place/Able+Water+Damage+Restoration/data=!4m7!3m6!1s0x4b1a984f0b99e09b:0x136fef7ef8918577!8m2!3d30.5914034!4d-98.039164!16s%2Fg%2F11k9df_0x5!19sChIJm-CZC0-YGksRd4WR-H7vbxM,Able Water Damage Restoration,5.0,20,Water damage restoration service,,,https://ablewaterdamagerestoration.com/,+1 512-671-8800,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/AHVAwepjm5io9uGEw4DTow3R-HtF9-6AJHA7GdQAYfSWWXWeWNVcyv3fgCmThGBtKbYxmAjUePB3bVHaUNnZ09UOgs-vSEvuCOhOwaMm4kp24GZcQMDL68vDnRkdeBLNXZFfnlUAeoZ9Lg=w426-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+San+Marcos+San+Marcos+TX/@14.9609782,-91.8074586,14z",2026-03-23T04:49:41.628Z,LGBTQ+ friendly,,,
https://www.google.com/maps/place/Roto-Rooter+Plumbing+%26+Water+Cleanup/data=!4m7!3m6!1s0x865ca9754858a965:0xc4251a60a2cc8172!8m2!3d29.8537074!4d-97.9481729!16s%2Fg%2F11hkrczwcg!19sChIJZalYSHWpXIYRcoHMomAaJcQ,Roto-Rooter Plumbing & Water Cleanup,4.8,422,Plumber,"2004 Medical Pkwy #2004B, San Marcos, TX 78666, United States","V332+FP San Marcos, Texas, USA",https://www.rotorooter.com/sanmarcostx/?utm_source=Google&utm_medium=organic&utm_campaign=gmb&utm_content=website,+1 512-504-7094,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/AHVAweorzsUHiXfYjAq36FuQCY69_EZuhbHx5TeD6AFWEOLQ-D85dky3Frt--CoywJ1GhnipEY-7fqWZ4vzCF0_AGPrWDpL13_iKceDeG_vhG1SnVQq9nm5rPncS6MefZ2qGpWa5lgnn9w=w408-h271-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+San+Marcos+San+Marcos+TX/@14.9609782,-91.8074586,14z",2026-03-23T04:49:46.502Z,LGBTQ+ friendly,,,
https://www.google.com/maps/place/San+Marcos+Mold+Removal+Expert/data=!4m7!3m6!1s0x865caf9e42cad10f:0x6033ff722c27e4f!8m2!3d29.8101208!4d-97.944687!16s%2Fg%2F11vt1vs15j!19sChIJD9HKQp6vXIYRT37CIvc_AwY,San Marcos Mold Removal Expert,,,Home improvement store,"4766 TX-123, San Marcos, TX 78666, United States","R364+24 San Marcos, Texas, USA",,+1 254-249-8190,Closed · Opens 9 am Mon,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=w1dsM8rNQbrBe8jkac2omA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=277.08334&pitch=0&thumbfov=100,false,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,"https://www.google.com/maps/search/water+damage+restoration+in+San+Marcos+San+Marcos+TX/@14.9609782,-91.8074586,14z",2026-03-23T04:49:51.571Z,,,,
