placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,info,imgUrl,isClaimed,monday,tuesday,wednesday,thursday,friday,saturday,sunday,query,timestamp,attributes,isBlackOwned
https://www.google.com/maps/place/Triad+Lifestyle+Medicine/data=!4m7!3m6!1s0x8853051af6498bf1:0xdea685e4700c8a0d!8m2!3d35.958027!4d-80.0099887!16s%2Fg%2F11j3vb5437!19sChIJ8YtJ9hoFU4gRDYoMcOSFpt4,Triad Lifestyle Medicine,5.0,51,Holistic medicine practitioner,"400 W English Rd, High Point, NC 27262, United States","XX5R+62 High Point, North Carolina, USA",http://triadlifestylemedicine.com/,+1 336-298-1017,Open · Closes 3 pm,Identifies as women-owned,https://lh3.googleusercontent.com/p/AF1QipPFZGCInw6nyUDf8bs5NJQ-ZEsm_RoFt_jYvKgp=w408-h544-k-no,true,9 am–3 pm,9 am–3 pm,9 am–3 pm,9 am–3 pm,Closed,Closed,Closed,"https://www.google.com/maps/search/functional+medicine+in+High+Point+NC/@35.9556923,-80.0053176,14z",2026-02-23T17:01:19.281Z,,
https://www.google.com/maps/place/Living+Waters+Natural+Wellness/data=!4m7!3m6!1s0x885307f6c5a0ddf7:0x80f348fd2d6c1e19!8m2!3d35.976063!4d-80.020205!16s%2Fg%2F11mjh43wty!19sChIJ992gxfYHU4gRGR5sLf1I84A,Living Waters Natural Wellness,5.0,9,Naturopathic practitioner,"1416 Long St, High Point, NC 27265, United States","XXGH+CW High Point, North Carolina, USA",http://www.lwnaturopathic.com/,+1 336-949-7484,Open · Closes 5 pm,,https://lh3.googleusercontent.com/p/AF1QipOwa8iJWTvydvPQUWRIpuCpsktKoBPUrUHIUnpt=w408-h272-k-no,true,10 am–5 pm,10 am–5 pm,Closed,10 am–5 pm,Closed,Closed,Closed,"https://www.google.com/maps/search/functional+medicine+in+High+Point+NC/@35.9556923,-80.0053176,14z",2026-02-23T17:01:26.460Z,,
https://www.google.com/maps/place/True+Health+And+Wellness+PLLC/data=!4m7!3m6!1s0x8853054757b94569:0x65040d51c7b5c349!8m2!3d36.02237!4d-79.9753999!16s%2Fg%2F11sqhh14_x!19sChIJaUW5V0cFU4gRScO1x1ENBGU,True Health And Wellness PLLC,5.0,7,Medical office,"2203 Eastchester Dr #105, High Point, NC 27265, United States","22CF+WR High Point, North Carolina, USA",http://truehealthandwellness.net/,+1 336-905-7006,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=CR6LTwD6eIDId3spmwc2hg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=268.8853&pitch=0&thumbfov=100,true,12–1 pm,12 am–1 pm,12 am–1 pm,12 am–1 pm,12 am–1 pm,Closed,Closed,"https://www.google.com/maps/search/functional+medicine+in+High+Point+NC/@35.9556923,-80.0053176,14z",2026-02-23T17:01:31.753Z,,
https://www.google.com/maps/place/Anew+Body+and+Wellness/data=!4m7!3m6!1s0x88530920f2418235:0x6339da1ad84fb117!8m2!3d35.950964!4d-80.0314639!16s%2Fg%2F11p0vz8k8t!19sChIJNYJB8iAJU4gRF7FP2BraOWM,Anew Body and Wellness,5.0,7,Acupuncture clinic,"1001 Phillips Ave #101, High Point, NC 27262, United States","XX29+9C High Point, North Carolina, USA",http://anewbw.com/,+1 336-891-9167,Open · Closes 7 pm,,https://lh3.googleusercontent.com/p/AF1QipMvgLuHYRHSxGHaCqxWxPU1rgkD4XKFf75TycAD=w408-h349-k-no,true,9 am–7 pm,9 am–7 pm,Closed,9 am–7 pm,9 am–7 pm,Closed,Closed,"https://www.google.com/maps/search/functional+medicine+in+High+Point+NC/@35.9556923,-80.0053176,14z",2026-02-23T17:01:36.841Z,,
"https://www.google.com/maps/place/Lakeside+Integrative,+PLLC/data=!4m7!3m6!1s0x88530f46fc400001:0xc91157d7eca93daa!8m2!3d36.0225863!4d-79.9753712!16s%2Fg%2F11h5q8nqvm!19sChIJAQBA_EYPU4gRqj2p7NdXEck","Lakeside Integrative, PLLC",5.0,12,Nurse practitioner,"2205 Eastchester Dr STE 103, High Point, NC 27265, United States","22FF+2V High Point, North Carolina, USA",https://www.lakesideintegrative.com/,+1 336-715-0007,Open · Closes 5 pm,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=8yWOUOt6HHusNpGBpi6vqw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=260.26337&pitch=0&thumbfov=100,true,9 am–5 pm,9 am–5 pm,9 am–5 pm,10 am–12 pm,Closed,Closed,Closed,"https://www.google.com/maps/search/functional+medicine+in+High+Point+NC/@35.9556923,-80.0053176,14z",2026-02-23T17:01:41.949Z,,
https://www.google.com/maps/place/Moksha+Wellness+Collective/data=!4m7!3m6!1s0xa0177be6edf67b63:0x9b7ca2d2ee8805ce!8m2!3d28.6454538!4d-117.0396254!16s%2Fg%2F11yp_c360h!19sChIJY3v27eZ7F6ARzgWI7tKifJs,Moksha Wellness Collective,5.0,41,Wellness program,,,https://vibetribecommunity.com/,+1 530-580-8555,Closed · Opens 8 am,,https://lh3.googleusercontent.com/p/AF1QipNBR4WkX8SfkY6u7OKpKotGtiRvjpFhOQOm0XDr=w408-h272-k-no,true,8 am–8 pm,8 am–8 pm,8 am–8 pm,8 am–8 pm,8 am–8 pm,8 am–8 pm,8 am–8 pm,"https://www.google.com/maps/search/functional+medicine+in+High+Point+NC/@35.9556923,-80.0053176,14z",2026-02-23T17:01:46.909Z,,
https://www.google.com/maps/place/Archdale+Integrative+Medicine/data=!4m7!3m6!1s0x88530dcf44735255:0xbe1b758c2f48da24!8m2!3d35.9122661!4d-79.9780154!16s%2Fg%2F11ytfhhvp5!19sChIJVVJzRM8NU4gRJNpIL4x1G74,Archdale Integrative Medicine,5.0,4,Medical spa,"313 Trindale Rd Suite 101-F, Archdale, NC 27263, United States","W26C+WQ Archdale, North Carolina, USA",https://www.archdaleintegrativemedicine.com/,+1 336-434-0807,"Open · Closes 4:30 pm

Updated by this business 7 weeks ago",,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=f0HRjYEplM2RyaiWnNZXBw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=143.72012&pitch=0&thumbfov=100,true,9 am–4:30 pm,9 am–4:30 pm,9 am–4:30 pm,9 am–4:30 pm,Closed,Closed,Closed,"https://www.google.com/maps/search/functional+medicine+in+High+Point+NC/@35.9556923,-80.0053176,14z",2026-02-23T17:01:51.871Z,,
https://www.google.com/maps/place/Holistic+Hijama+Cupping/data=!4m7!3m6!1s0x88530fd85bbe6e1f:0xcd6aa40b04815444!8m2!3d35.9663242!4d-79.9420263!16s%2Fg%2F11rgst01gw!19sChIJH26-W9gPU4gRRFSBBAukas0,Holistic Hijama Cupping,4.9,55,Holistic medicine practitioner,"1678 Coryton Way, High Point, NC 27260, United States","X385+G5 High Point, North Carolina, USA",http://hhijamacupping.weebly.com/,+1 336-518-4380,Open · Closes 9 pm,,https://lh3.googleusercontent.com/p/AF1QipPlsiOPnaWOLZxXzObYSfBRhGKFj-OVq5aOcEy2=w480-h240-k-no,true,9 am–9 pm,9 am–9 pm,9 am–9 pm,9 am–9 pm,9 am–9 pm,9 am–9 pm,9 am–9 pm,"https://www.google.com/maps/search/functional+medicine+in+High+Point+NC/@35.9556923,-80.0053176,14z",2026-02-23T17:01:56.895Z,,
https://www.google.com/maps/place/Healing+Ways+Holistic+Health/data=!4m7!3m6!1s0x88530fe8552de497:0x1f12836783d0f6f!8m2!3d35.993678!4d-79.933241!16s%2Fg%2F1td0z537!19sChIJl-QtVegPU4gRbw89eDYo8QE,Healing Ways Holistic Health,5.0,2,Health counselor,"207 Oakdale Rd, Jamestown, NC 27282, United States","X3V8+FP Jamestown, North Carolina, USA",https://www.healingwaysholistichealth.com/,+1 336-885-2948,Closed · Opens 3 pm,LGBTQ+ friendly,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Ztne6tz5WmEZR34cA_ZA5g&cb_client=search.gws-prod.gps&w=408&h=240&yaw=23.461357&pitch=0&thumbfov=100,true,3–6 pm,11 am–6 pm,10 am–6 pm,10 am–6 pm,Closed,Closed,Closed,"https://www.google.com/maps/search/functional+medicine+in+High+Point+NC/@35.9556923,-80.0053176,14z",2026-02-23T17:02:02.107Z,,
"https://www.google.com/maps/place/Jeffrey+A.+Fricke,+DC/data=!4m7!3m6!1s0x8853092899705df1:0xcf95ca07139cc5c5!8m2!3d35.9727322!4d-80.0195581!16s%2Fg%2F1tf5lbq3!19sChIJ8V1wmSgJU4gRxcWcEwfKlc8","Jeffrey A. Fricke, DC",4.6,19,Chiropractor,"137 W Lexington Ave, High Point, NC 27262, United States","XXFJ+35 High Point, North Carolina, USA",,+1 336-885-1987,Open · Closes 5 pm,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=ueKAcv0pWbd1puzKkJ_FdA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=178.234&pitch=0&thumbfov=100,false,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,Closed,"https://www.google.com/maps/search/functional+medicine+in+High+Point+NC/@35.9556923,-80.0053176,14z",2026-02-23T17:02:07.596Z,,
https://www.google.com/maps/place/Earnst+Chiropractic+Clinic/data=!4m7!3m6!1s0x88530c303979d359:0x198eb12848c1bfc1!8m2!3d35.918635!4d-79.9736223!16s%2Fg%2F1tf60_4_!19sChIJWdN5OTAMU4gRwb_BSCixjhk,Earnst Chiropractic Clinic,5.0,58,Chiropractor,"231 Baker Rd, High Point, NC 27263, United States","W29G+FH High Point, North Carolina, USA",https://www.earnstchiro.com/,+1 336-434-4600,Closes soon · 1 pm · Reopens 3 pm,,https://lh3.googleusercontent.com/p/AF1QipPS6ZbzX58Ugb3Pa1QahJyCCp6ei8QSt0Mex3rS=w426-h240-k-no,true,"9 am–1 pm, 3–6 pm","9 am–1 pm, 3–6 pm","9 am–1 pm, 3–6 pm","9 am–1 pm, 3–6 pm",Closed,Closed,Closed,"https://www.google.com/maps/search/functional+medicine+in+High+Point+NC/@35.9556923,-80.0053176,14z",2026-02-23T17:02:13.061Z,,
https://www.google.com/maps/place/South+Main+Chiropractic+Clinic/data=!4m7!3m6!1s0x88530ea6a2e81659:0x92cefc8cafc1fab!8m2!3d35.9363033!4d-79.9932815!16s%2Fg%2F1tg_grrr!19sChIJWRbooqYOU4gRqx_8ysjvLAk,South Main Chiropractic Clinic,4.7,34,Chiropractor,"1920 S Main St, High Point, NC 27260, United States","W2P4+GM High Point, North Carolina, USA",https://www.southmainchironc.com/,+1 336-418-2231,Closes soon · 1 pm · Reopens 3 pm,LGBTQ+ friendly,https://lh3.googleusercontent.com/p/AF1QipMHm3TMoaesumOjRCE6h-rsc1pwT07ENKAwYsSD=w408-h408-k-no,true,"9 am–1 pm, 3–6 pm",9 am–1 pm,"9 am–1 pm, 3–6 pm","9 am–1 pm, 3–6 pm",9 am–1 pm,Closed,Closed,"https://www.google.com/maps/search/functional+medicine+in+High+Point+NC/@35.9556923,-80.0053176,14z",2026-02-23T17:02:17.995Z,,
"https://www.google.com/maps/place/Sheri+Lim,+DO/data=!4m7!3m6!1s0x88530daafb8040af:0xeee53eb44360c9e2!8m2!3d35.9221448!4d-79.9809618!16s%2Fg%2F11qk6_9hsj!19sChIJr0CA-6oNU4gR4slgQ7Q-5e4","Sheri Lim, DO",4.3,22,Osteopath,"2850 S Main St #104, High Point, NC 27263, United States","W2C9+VJ High Point, North Carolina, USA",https://www.oakstreethealth.com/doctors/dr-sheri-lim-do?utm_source=listings&utm_vpf=rioseo&utm_campaign=providers&provider_id=1881628121,+1 336-283-8757,Open · Closes 5 pm,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=I0WWHMAxV8FXO4kowj7fhQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=325.9848&pitch=0&thumbfov=100,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,"https://www.google.com/maps/search/functional+medicine+in+High+Point+NC/@35.9556923,-80.0053176,14z",2026-02-23T17:02:23.718Z,,
https://www.google.com/maps/place/The+Only+Earth/data=!4m7!3m6!1s0x885309291034a2ed:0x996df5a91de651bf!8m2!3d35.9732902!4d-80.0163467!16s%2Fg%2F1tfvzvn2!19sChIJ7aI0ECkJU4gRv1HmHan1bZk,The Only Earth,4.4,82,Health food store,"121 E Lexington Ave, High Point, NC 27262, United States","XXFM+8F High Point, North Carolina, USA",http://theonlyearth.com/,+1 336-886-4315,Open · Closes 7 pm,Identifies as women-owned,https://lh3.googleusercontent.com/p/AF1QipOo__Fw7wWIgsH9VCkqyhFVySJUytSi6nudK1hq=w408-h306-k-no,true,9 am–7 pm,9 am–7 pm,9 am–7 pm,9 am–7 pm,9 am–7 pm,9:30 am–5 pm,Closed,"https://www.google.com/maps/search/functional+medicine+in+High+Point+NC/@35.9556923,-80.0053176,14z",2026-02-23T17:02:29.328Z,· In-store shopping · Kerbside pickup · Delivery,
https://www.google.com/maps/place/The+Center+For+Holistic+Healing/data=!4m7!3m6!1s0x8853096a00f5b24d:0x6e15cf8ecbabbe81!8m2!3d36.0293826!4d-79.9667154!16s%2Fg%2F1txc7r1h!19sChIJTbL1AGoJU4gRgb6ry47PFW4,The Center For Holistic Healing,3.9,11,Wellness center,"3929 Tinsley Dr, High Point, NC 27265, United States","22HM+Q8 High Point, North Carolina, USA",http://www.chhtree.com/,+1 336-841-4307,Open · Closes 5 pm,,https://lh3.googleusercontent.com/p/AF1QipO_YwpWtkOPQeOLhmGoCn-yTUVPsM1gvOjI-cQJ=w408-h408-k-no,true,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,Closed,"https://www.google.com/maps/search/functional+medicine+in+High+Point+NC/@35.9556923,-80.0053176,14z",2026-02-23T17:02:34.382Z,,
https://www.google.com/maps/place/Kenny+Clinic+of+Chiropractic/data=!4m7!3m6!1s0x88530c1e2b5844c5:0xd66f22f1fa5e5687!8m2!3d35.9307775!4d-79.9893401!16s%2Fg%2F1tglh_y7!19sChIJxURYKx4MU4gRh1Ze-vEib9Y,Kenny Clinic of Chiropractic,4.9,51,Chiropractor,"2400 S Main St, High Point, NC 27263, United States","W2J6+87 High Point, North Carolina, USA",http://www.kennyclinic.com/,+1 336-889-3831,Closed · Opens 2 pm,,https://lh3.googleusercontent.com/p/AF1QipNC1-vOYiZGHBWjd9HTIN4SKIVmxJaq2u5T-Qz0=w408-h272-k-no,true,"8 am–12 pm, 2–6 pm","8 am–12 pm, 2–6 pm",8 am–12 pm,"8 am–12 pm, 2–6 pm",8 am–12 pm,Closed,Closed,"https://www.google.com/maps/search/functional+medicine+in+High+Point+NC/@35.9556923,-80.0053176,14z",2026-02-23T17:02:40.256Z,,
"https://www.google.com/maps/place/Renew+Integrative+Wellness,+PLLC/data=!4m7!3m6!1s0x88530b0d6ef79311:0xc745043813ef3c8d!8m2!3d35.8844402!4d-80.084295!16s%2Fg%2F11vrrd8kxh!19sChIJEZP3bg0LU4gRjTzvEzgERcc","Renew Integrative Wellness, PLLC",4.9,44,Doctor,"22 W Guilford St, Thomasville, NC 27360, United States","VWM8+Q7 Thomasville, North Carolina, USA",https://renewintegrative.com/,+1 336-510-4013,"Open · Closes 4 pm

Updated by this business 6 weeks ago",Identifies as women-owned,https://lh3.googleusercontent.com/p/AF1QipNz1lu-rlGCew_QO1txkJdGj8JOPPx9Itp3NbM=w408-h326-k-no,true,8:30 am–4 pm,8:30 am–4 pm,8:30 am–4 pm,8:30 am–4 pm,8 am–2 pm,Closed,Closed,"https://www.google.com/maps/search/functional+medicine+in+High+Point+NC/@35.9556923,-80.0053176,14z",2026-02-23T17:02:46.093Z,,
