placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,saturday,sunday,monday,tuesday,wednesday,thursday,friday,query,timestamp,attributes,info,isBlackOwned,error
https://www.google.com/maps/place/Chippewa+Valley+Electrical+Contractors+%28CVEC%29/data=!4m7!3m6!1s0x87f897e35bb0601b:0xc2296c25a9d8ae58!8m2!3d44.7842943!4d-91.4555147!16s%2Fg%2F11_qjdfc1!19sChIJG2CwW-OX-IcRWK7YqSVsKcI,Chippewa Valley Electrical Contractors (CVEC),4.9,113,Electrician,"3310 Miller St Suite B, Eau Claire, WI 54701, United States","QGMV+PQ Eau Claire, Wisconsin, USA",http://chippewavalleyelectricalcontractors.com/,+1 715-713-0123,"Closed · Opens 7 am Mon

Updated by this business 10 weeks ago",https://lh3.googleusercontent.com/p/AF1QipOvYWospyRW5chfMW46SqQxLrBAYSmdsfe8njfm=w408-h272-k-no,true,Closed,Closed,7 am–4 pm,7 am–4 pm,7 am–4 pm,7 am–4 pm,7 am–3 pm,"https://www.google.com/maps/search/generator+installation+services+in+Eau+Claire+Eau+Clair+WI/@44.811349,-91.4984941,14z",2026-01-10T21:24:51.777Z,,,,
https://www.google.com/maps/place/Buck+Country+Electric/data=!4m7!3m6!1s0x87f8a3d7c97d2cab:0x784f91092aa8e905!8m2!3d44.8011864!4d-91.4125602!16s%2Fg%2F11h3nj1q8k!19sChIJqyx9ydej-IcRBemoKgmRT3g,Buck Country Electric,4.8,26,Electrician,"759 Kayson Pl, Altoona, WI 54720, United States","RH2P+FX Altoona, Wisconsin, USA",https://buckcountryelectricwi.com/?utm_source=omg-gbp&utm_medium=webclick,+1 715-558-6620,"Open 24 hours

Confirmed by this business 10 weeks ago",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=3xA10-uGTsazQh4OAnwVYg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=99.91025&pitch=0&thumbfov=100,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/generator+installation+services+in+Eau+Claire+Eau+Clair+WI/@44.811349,-91.4984941,14z",2026-01-10T21:24:56.995Z,,,,
https://www.google.com/maps/place/East+Hill+Electric/data=!4m7!3m6!1s0x87f8bd87e1c4765d:0x236c5d7042369736!8m2!3d44.7984553!4d-91.4606187!16s%2Fg%2F11j7j4sbxq!19sChIJXXbE4Ye9-IcRNpc2QnBdbCM,East Hill Electric,4.8,32,Electrician,"2703 Bauer St, Eau Claire, WI 54701, United States","QGXQ+9Q Eau Claire, Wisconsin, USA",https://www.easthillelectric.com/,+1 715-894-0203,Closed · Opens 8 am Mon,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxGYWGTKRJrtTt7j2Vy8itrigklUjsIq8jvM5ZXQMWaFbNwQ0HQe8hk5-8IOgDSkEeB1kJkXhP4dNg0lUrDw0hcEoDQxs4XuALdYVLx4a4L36ahFEJwniNmc0G0Ga6jAbtspH1c=w408-h324-k-no,true,Closed,Closed,8 am–4 pm,8 am–4 pm,8 am–4 pm,8 am–4 pm,Closed,"https://www.google.com/maps/search/generator+installation+services+in+Eau+Claire+Eau+Clair+WI/@44.811349,-91.4984941,14z",2026-01-10T21:25:02.539Z,,,,
https://www.google.com/maps/place/Lew+Electric/data=!4m7!3m6!1s0x52b33b6950f2cf05:0xc63b52e9f7344b19!8m2!3d44.82765!4d-91.642528!16s%2Fg%2F1thggp6m!19sChIJBc_yUGk7s1IRGUs09-lSO8Y,Lew Electric,4.9,30,Electrician,"2779 Gregerson Dr, Eau Claire, WI 54703, United States","R9H4+3X Eau Claire, Wisconsin, USA",http://www.electriclew.com/,+1 715-797-0297,Open · Closes 4:30 pm,https://lh3.googleusercontent.com/p/AF1QipNvWt11OHVThK_YDrFfb2292-6jNukUtBqXYbve=w408-h544-k-no,true,8 am–4:30 pm,Closed,6 am–4:30 pm,6 am–4:30 pm,6 am–4:30 pm,6 am–4:30 pm,6 am–4:30 pm,"https://www.google.com/maps/search/generator+installation+services+in+Eau+Claire+Eau+Clair+WI/@44.811349,-91.4984941,14z",2026-01-10T21:25:07.362Z,,,,
"https://www.google.com/maps/place/Wolter,+Inc.-+Power+Systems+Group/@44.8373048,-91.5324337,17z/data=!3m1!4b1!4m6!3m5!1s0x87f8bd357f5a4767:0x62fbfb547e8c7ec0!8m2!3d44.8373048!4d-91.5324337!16s%2Fg%2F11pwy3xc7r","Wolter, Inc.- Power Systems Group",5.0,1,Electric generator shop,"1620 Truax Blvd, Eau Claire, WI 54703, United States","RFP9+W2 Eau Claire, Wisconsin, USA",https://www.wolterinc.com/,+1 262-790-6230,Closed · Opens 7 am Mon,,false,Closed,Closed,7 am–5 pm,7 am–5 pm,7 am–5 pm,7 am–5 pm,7 am–5 pm,"https://www.google.com/maps/search/generator+installation+services+in+Eau+Claire+Eau+Clair+WI/@44.811349,-91.4984941,14z",2026-01-10T21:25:13.999Z,,,,
https://www.google.com/maps/place/Next+Step+Energy/data=!4m7!3m6!1s0x87f8bce0c923f29d:0x12d8a6240f6ad2ed!8m2!3d44.8209123!4d-91.4777467!16s%2Fg%2F1pp2xb1td!19sChIJnfIjyeC8-IcR7dJqDySm2BI,Next Step Energy,5.0,9,Solar energy company,"612 Wagner Ave, Eau Claire, WI 54703, United States","RGCC+9W Eau Claire, Wisconsin, USA",http://www.nextstepenergy.com/,+1 715-830-9337,Closed · Opens 8:30 am Mon,https://lh3.googleusercontent.com/p/AF1QipN3W4jyMi2Xo2AcryfeN_jQDpLiRJ9sCGC9OPiS=w408-h250-k-no,true,Closed,Closed,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,"https://www.google.com/maps/search/generator+installation+services+in+Eau+Claire+Eau+Clair+WI/@44.811349,-91.4984941,14z",2026-01-10T21:25:18.951Z,,,,
https://www.google.com/maps/place/Hurlburt+Heating+%26+Plumbing/data=!4m7!3m6!1s0x87f89789d046ddcb:0xa548684ec2981669!8m2!3d44.839605!4d-91.546992!16s%2Fg%2F11dfhv_ry0!19sChIJy91G0ImX-IcRaRaYwk5oSKU,Hurlburt Heating & Plumbing,4.9,2854,HVAC contractor,"2524 Alpine Rd #A, Eau Claire, WI 54703, United States","RFQ3+R6 Eau Claire, Wisconsin, USA",https://www.hurlburthp.com/?utm_source=gmb&utm_medium=organic&utm_campaign=GMB+Eau+Claire+WI,+1 715-322-3759,"Open 24 hours

Confirmed by this business 10 weeks ago",https://lh3.googleusercontent.com/p/AF1QipNCHBX5H6v5LzVNh-uwFgG9ZGg2po1R3JCv0S86=w408-h306-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/generator+installation+services+in+Eau+Claire+Eau+Clair+WI/@44.811349,-91.4984941,14z",2026-01-10T21:25:24.119Z,,,,
https://www.google.com/maps/place/Cummins+Sales+and+Service/data=!4m7!3m6!1s0x87f8961390137137:0x6bef52c6377f1e89!8m2!3d44.7785612!4d-91.5373249!16s%2Fg%2F1tfbcqk5!19sChIJN3ETkBOW-IcRiR5_N8ZS72s,Cummins Sales and Service,4.3,12,Manufacturer,"W2600 Jopke Rd, Eau Claire, WI 54701, United States","QFH7+C3 Eau Claire, Wisconsin, USA",https://www.cummins.com/sales-and-service?utm_source=GMB&utm_medium=yext,+1 715-830-0996,Closed · Opens 7 am Mon,https://lh3.googleusercontent.com/p/AF1QipMawwUlMwx8ROQ7lZWAGt4nrMyh-vep5MiKWi4p=w410-h240-k-no,true,Closed,Closed,7 am–5 pm,7 am–5 pm,7 am–5 pm,7 am–5 pm,7 am–5 pm,"https://www.google.com/maps/search/generator+installation+services+in+Eau+Claire+Eau+Clair+WI/@44.811349,-91.4984941,14z",2026-01-10T21:25:29.103Z,,,,
https://www.google.com/maps/place/B+%26+B+Electric+Inc/data=!4m7!3m6!1s0x87f8bcda1e1b8b33:0x9b640c9445086e1!8m2!3d44.8308249!4d-91.476954!16s%2Fg%2F1w0j4rkl!19sChIJM4sbHtq8-IcR4YZQRMlAtgk,B & B Electric Inc,4.5,49,Electrician,"1303 Western Ave, Eau Claire, WI 54703, United States","RGJF+86 Eau Claire, Wisconsin, USA",http://www.bandbelectric.com/,+1 715-832-1676,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipMLjqtDU7UnxpRScWrzL5i5W0dbJSJOcqvBerHZ=w408-h272-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/generator+installation+services+in+Eau+Claire+Eau+Clair+WI/@44.811349,-91.4984941,14z",2026-01-10T21:25:33.981Z,,,,
https://www.google.com/maps/place/Eau+Claire+Lawn+Equipment/data=!4m7!3m6!1s0x87f8bc5d7b923f25:0x6df7dc123ce27549!8m2!3d44.7918183!4d-91.4574404!16s%2Fg%2F1tjfhdpm!19sChIJJT-Se128-IcRSXXiPBLc920,Eau Claire Lawn Equipment,4.8,355,Lawn mower store,"2612 S Hastings Way, Eau Claire, WI 54701, United States","QGRV+P2 Eau Claire, Wisconsin, USA",http://www.eclawn.com/,+1 715-834-7118,Closed · Opens 7:30 am Mon,https://lh3.googleusercontent.com/p/AF1QipMeISbcsP0NrNUaMh1Gn5Zw-yppFP6PP5kba6VP=w408-h306-k-no,true,Closed,Closed,7:30 am–5:30 pm,7:30 am–5:30 pm,7:30 am–5:30 pm,7:30 am–5:30 pm,7:30 am–5:30 pm,"https://www.google.com/maps/search/generator+installation+services+in+Eau+Claire+Eau+Clair+WI/@44.811349,-91.4984941,14z",2026-01-10T21:25:38.936Z,· In-store pick-up · Delivery,Identifies as women-owned,,
