placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,info,imgUrl,isClaimed,wednesday,thursday,friday,saturday,sunday,monday,tuesday,query,timestamp,attributes,isBlackOwned,error
https://www.google.com/maps/place/Central+Ky+Tree+Service/data=!4m7!3m6!1s0x8842448006569e3d:0xa267a457fd6b8268!8m2!3d38.06228!4d-84.5213587!16s%2Fg%2F1tnhy_w_!19sChIJPZ5WBoBEQogRaIJr_VekZ6I,Central Ky Tree Service,4.7,106,Tree service,"138 1/2 S Forbes Rd, Lexington, KY 40511, United States","3F6H+WF Lexington, Kentucky, USA",https://centralkytreeservice.com/?y_source=1_NTUxNjg5MjctNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,+1 859-333-7246,Open · Closes 9 pm,Identifies as women-owned,https://lh3.googleusercontent.com/gps-cs-s/APNQkAH2PtiG56helbohw3am01u_dxzrJy0pNr8PiqngDeR_YQqN2Do3wWSefakIvCwE5Qob_aVJDJ028CFaGdKP43p0wBdzlsT4QNYvf5oKHidsHZGAdbkc1Hf1H4GPBAtLg08gMDA1qjyMRm0=w408-h544-k-no,true,7:30 am–9 pm,7:30 am–9 pm,7:30 am–9 pm,7:30 am–9 pm,7:30 am–9 pm,7:30 am–9 pm,7:30 am–9 pm,"https://www.google.com/maps/search/tree+service+businesses+in+Lexington+Lexington+KY/@42.4473497,-71.2271531,14z",2026-04-29T19:17:27.654Z,,,
https://www.google.com/maps/place/Horizon+Tree+Removal+Lexington/data=!4m7!3m6!1s0x884245b3e7c03a9f:0x726ca0303117ffde!8m2!3d38.0299184!4d-84.5164225!16s%2Fg%2F11y73v4xyh!19sChIJnzrA57NFQogR3v8XMTCgbHI,Horizon Tree Removal Lexington,4.9,36,Tree service,"333 Waller Ave #390, Lexington, KY 40504, United States","2FHM+XC Lexington, Kentucky, USA",https://horizontreeserviceco.com/,+1 859-710-9964,Open · Closes 9 pm,,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGJl89k9Mx9goFy_oEAtX7SPjVL8OscfyD77efPnwBj0CcXpiSFSbt5fLOtkmYVIlW7MZA7HdQjmVFRgt1utRXPF-z5hrZkzgF3tnnJn9AUkaSu1y_gGtSDn57lpkEFFLRqhbof=w408-h408-k-no,true,7 am–9 pm,7 am–9 pm,7 am–9 pm,7 am–9 pm,7 am–9 pm,7 am–9 pm,7 am–9 pm,"https://www.google.com/maps/search/tree+service+businesses+in+Lexington+Lexington+KY/@42.4473497,-71.2271531,14z",2026-04-29T19:17:33.178Z,,,
https://www.google.com/maps/place/Sure+Notch+Tree+Service/data=!4m7!3m6!1s0x5628f013a0b7a75:0x30e8e1fe69e00f2e!8m2!3d37.9897232!4d-84.519933!16s%2Fg%2F11tn81ssnk!19sChIJdXoLOgGPYgURLg_gaf7h6DA,Sure Notch Tree Service,5.0,302,Tree service,"168 E Reynolds Rd Suite 211, Lexington, KY 40517, United States","XFQJ+V2 Lexington, Kentucky, USA",http://surenotchtreeservice.com/,+1 859-203-4225,"Open · Closes 8 pm

Updated by this business 5 days ago",,https://lh3.googleusercontent.com/gps-cs-s/APNQkAErCcO0t4uKCYiyEnjRxEGp5aM-j0Lx9g4nxJQYFKUcMSfe3CdRU1GFkozqMZG70iN6VSdQlXPRLCqDqxkgGo5hIARticof_m9Qe-Y7tvX2SU2SPug4yF0E4d_lS-ar516-iquDCUNFGvU=w513-h240-k-no,true,8 am–8 pm,8 am–8 pm,8 am–5 pm,Closed,8 am–8 pm,8 am–8 pm,8 am–8 pm,"https://www.google.com/maps/search/tree+service+businesses+in+Lexington+Lexington+KY/@42.4473497,-71.2271531,14z",2026-04-29T19:17:38.342Z,,,
https://www.google.com/maps/place/Lexington+Tree+Service/data=!4m7!3m6!1s0x88424565457f70d3:0x7749d86088102eb6!8m2!3d38.0427774!4d-84.4637526!16s%2Fg%2F11hbn1wnln!19sChIJ03B_RWVFQogRti4QiGDYSXc,Lexington Tree Service,3.5,21,Tree service,"1113 Winchester Rd, Lexington, KY 40505, United States","2GVP+4F Lexington, Kentucky, USA",https://www.lexingtontreeservice.com/,+1 859-263-2701,Open · Closes 5 pm,,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFMwvSz5h6kZVisiQ7Dsu1FjWZY5qhyNziAwrN7VVuBML0Tdpj-5Ewt1G8WW1YrBmwd7v7EN5A3EiM9qcxyQP_D683CP1flK7mnSR3QP451pMavJqzyEU74tjnjIsdk8q5zZqY=w408-h304-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–12 pm,Closed,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/tree+service+businesses+in+Lexington+Lexington+KY/@42.4473497,-71.2271531,14z",2026-04-29T19:17:43.182Z,,,
https://www.google.com/maps/place/Tree+Pro+Inc./data=!4m7!3m6!1s0x88424573c81a33af:0xb295098c75206426!8m2!3d38.074642!4d-84.501803!16s%2Fg%2F1tf1pj4x!19sChIJrzMayHNFQogRJmQgdYwJlbI,Tree Pro Inc.,4.7,63,Tree service,"1008 West, W New Cir Rd, Lexington, KY 40511, United States","3FFX+V7 Lexington, Kentucky, USA",http://www.treeproincky.com/,+1 859-294-4457,Open 24 hours,,https://lh3.googleusercontent.com/gps-cs-s/APNQkAF7iMbShFLHG0NI5R3sD0a8lEdIwHRhj0OVT266YzMNx3byVi6NaqY1Vr6vzxJonLWeD9fxxPRvA0vKjHW6uvZn9vjgJSlhdEEvG4HZVSUBswsw63iu9JoNd3lM4aqEk6hmkR9J=w408-h544-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/tree+service+businesses+in+Lexington+Lexington+KY/@42.4473497,-71.2271531,14z",2026-04-29T19:17:48.279Z,,,
https://www.google.com/maps/place/B%26R+Tree+Care/data=!4m7!3m6!1s0x88425adbbdeee3ab:0x9265fd13d3f5c36b!8m2!3d38.0036099!4d-84.4733379!16s%2Fg%2F11byn0j3cs!19sChIJq-PuvdtaQogRa8P10xP9ZZI,B&R Tree Care,4.7,42,Tree service,"2073 Lakeside Dr, Lexington, KY 40502, United States","2G3G+CM Lexington, Kentucky, USA",https://www.brtree.com/,+1 859-312-8941,Open · Closes 8 pm,Identifies as women-owned,https://lh3.googleusercontent.com/gps-cs-s/APNQkAG_RJ1HuJ8EKCvWmhBVjzKbhkUzTHB1AQwwW7Rk1obioAtG6iAiSjnLyY7s0P_N91Y1Mwg2oZ3eR0u58dcuZsmNR_LOVRCk_j_1TnlmuwbZBQjTjYGlZ7AKRXNgFZnYQnUvDZ91SQ=w426-h240-k-no,true,8 am–8 pm,8 am–8 pm,8 am–8 pm,9 am–5 pm,Closed,8 am–8 pm,8 am–8 pm,"https://www.google.com/maps/search/tree+service+businesses+in+Lexington+Lexington+KY/@42.4473497,-71.2271531,14z",2026-04-29T19:17:53.292Z,,,
https://www.google.com/maps/place/Bartlett+Tree+Experts/data=!4m7!3m6!1s0x884244972617f4c3:0x1dc27d0bf0a010d7!8m2!3d38.0605429!4d-84.4876588!16s%2Fg%2F1hc6hwfhk!19sChIJw_QXJpdEQogR1xCg8At9wh0,Bartlett Tree Experts,4.9,29,Tree service,"734 Price Ave, Lexington, KY 40508, United States","3G66+6W Lexington, Kentucky, USA",https://www.bartlett.com/locations/lexington-ky,+1 859-967-6907,Open · Closes 4:30 pm,,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEnNxQfsASl5YglxGlEhbQeczS1cOmU4ZyTBEOO7icIv-oxwy1NZVlhIYXTvtqTM-bvs4z6rN3h7kEB4woasdBw33lNW-vkY_1A_apjoGLI7Kp6Y7FI4xCmv7BHl3ue6Ag0IAp37g=w408-h544-k-no,true,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,Closed,Closed,8 am–4:30 pm,8 am–4:30 pm,"https://www.google.com/maps/search/tree+service+businesses+in+Lexington+Lexington+KY/@42.4473497,-71.2271531,14z",2026-04-29T19:17:58.523Z,,,
https://www.google.com/maps/place/Lumbee+Tree+Services/data=!4m7!3m6!1s0x884245e89b54d45f:0xe938a52d229c8041!8m2!3d38.0908084!4d-84.4559861!16s%2Fg%2F1261mz3p8!19sChIJX9RUm-hFQogRQYCcIi2lOOk,Lumbee Tree Services,4.7,22,Tree service,"2405 Pierson Dr, Lexington, KY 40505, United States","3GRV+8J Lexington, Kentucky, USA",,+1 859-621-6686,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=3izHFa_5yZaws3DjsCTnnQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=339.96973&pitch=0&thumbfov=100,false,,,,,,,,"https://www.google.com/maps/search/tree+service+businesses+in+Lexington+Lexington+KY/@42.4473497,-71.2271531,14z",2026-04-29T19:18:01.582Z,,,
https://www.google.com/maps/place/A+Economy+Tree+Service/data=!4m7!3m6!1s0x88425ba232c9a56f:0x815a1f3d22417011!8m2!3d37.9699995!4d-84.574316!16s%2Fg%2F1tdfttwv!19sChIJb6XJMqJbQogREXBBIj0fWoE,A Economy Tree Service,4.5,39,Tree service,,,http://treeremovallexingtonky.com/,+1 859-569-4060,Open · Closes 5 pm,,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEzjpnulDNFpKIhOgGr_QPoB67SgJvwFuydMSTBzxjEZdtuVAOO11WFZX6R0D1cGTFFA37ffHJRoioD2KFGrG3ZUCRpcsNQtHMXYfIt2HApRyTJAxCCCZORRyq9ijm1vnGW5D2V=w408-h544-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/tree+service+businesses+in+Lexington+Lexington+KY/@42.4473497,-71.2271531,14z",2026-04-29T19:18:06.489Z,,,
https://www.google.com/maps/place/Los+primos+tree+services+and+landscaping+LLC/data=!4m7!3m6!1s0x87c744ed6bf3abc1:0x830437e71e99d3a!8m2!3d38.037407!4d-84.4868748!16s%2Fg%2F11vm4rvp65!19sChIJwavza-1Ex4cROp3pcX5DMAg,Los primos tree services and landscaping LLC,5.0,67,Tree service,"E Main St, Lexington, KY 40505, United States","2GP7+X7 Lexington, Kentucky, USA",https://www.losprimostreeservicellc.com/,+1 859-368-4670,Open · Closes 11 pm,,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGyDPUWKBM4NTfHvhWf9zX9mP7ui-KbylI8tfqrBB_WWBIAYqfdGqxzJWb_VRukbNgX4FqpzJinS5EXi2Jm-X2pZJPOAl_i9-LJ0X1Am8Y5VGyBKND8cBR4lG2hyq6EZCGeLaI=w408-h544-k-no,true,7 am–11 pm,7 am–11 pm,7 am–11 pm,7 am–11 pm,7 am–11 pm,7 am–11 pm,7 am–11 pm,"https://www.google.com/maps/search/tree+service+businesses+in+Lexington+Lexington+KY/@42.4473497,-71.2271531,14z",2026-04-29T19:18:11.525Z,,,
