placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,wednesday,thursday,friday,saturday,sunday,monday,tuesday,query,timestamp,info,attributes,isBlackOwned,error
https://www.google.com/maps/place/Copper+State+Lawn+%26+Landscape+LLC/data=!4m7!3m6!1s0x872b43b40bea58b9:0xe8b7fa0d198b9252!8m2!3d33.6236985!4d-112.2670544!16s%2Fg%2F11sjqsmpkr!19sChIJuVjqC7RDK4cRUpKLGQ36t-g,Copper State Lawn & Landscape LLC,4.7,25,Lawn care service,,,http://www.copperstatelandscape.com/,+1 602-980-0489,Open · Closes 5 pm,https://lh3.googleusercontent.com/gps-cs-s/APNQkAH4A1v1EL1Dc6CpyyHkIiOOKLjnHryfRTsaKaRHJD1QTKWQKRKSIqtGcvGdG3EeUmBHr2R69jkqkn3N_pMooE6tg_rsIxxSB4FqfI3IgSnmFfQKRYz0Gv1eAqsXLGOYowSg5RBq=w430-h240-k-no,true,7 am–5 pm,7 am–5 pm,7 am–3 pm,Closed,Closed,7 am–5 pm,7 am–5 pm,"https://www.google.com/maps/search/commercial+landscaping+businesses+in+Downtown+Peoria+Peoria+IL/@33.5820771,-112.2384191,14z",2026-04-29T19:43:42.259Z,,,,
https://www.google.com/maps/place/Peoria+Lawn+Care/data=!4m7!3m6!1s0xad4546865cc632bf:0xff3cea8e6f0920ef!8m2!3d33.2766146!4d-112.18749!16s%2Fg%2F11q4dv0rj1!19sChIJvzLGXIZGRa0R7yAJb47qPP8,Peoria Lawn Care,5.0,54,Landscape architect,,,http://peoria-lawncare.com/,+1 623-845-2626,Open · Closes 5 pm,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHgP0Aeaa6TSnavFGkcUYYWO3TCsM_XDRCQH1-nE56jYxUCU6NpheUzbIrpD9WvyLcZNKbZ_p_qZRs6so6sLsjkXTRjOHR2z1EHGBERwk4k-c5JZ4TXdOlxyObmL94G_EDwMjD6=w408-h544-k-no,true,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,9 am–5 pm,9 am–5 pm,"https://www.google.com/maps/search/commercial+landscaping+businesses+in+Downtown+Peoria+Peoria+IL/@33.5820771,-112.2384191,14z",2026-04-29T19:43:47.921Z,,,,
"https://www.google.com/maps/place/Grass+N+More,+Inc./data=!4m7!3m6!1s0x8934017ad5ed4eb:0x5c594dda68bbeedb!8m2!3d40.7851206!4d-89.6128866!16s%2Fg%2F11pz2n603j!19sChIJ69RerRdAkwgR2-67aNpNWVw","Grass N More, Inc.",4.6,27,Landscape designer,"8004 N Sommer St, Peoria, IL 61615, United States","Q9PP+2R Peoria, Illinois, USA",https://www.facebook.com/grassnmore1,+1 309-258-0555,Open · Closes 5 pm,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=3OhwsHv9_iMvze6Ro3iOng&cb_client=search.gws-prod.gps&w=408&h=240&yaw=67.96058&pitch=0&thumbfov=100,true,8 am–5 pm,8 am–5 pm,8 am–3 pm,Closed,Closed,9 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/commercial+landscaping+businesses+in+Downtown+Peoria+Peoria+IL/@33.5820771,-112.2384191,14z",2026-04-29T19:43:53.065Z,,,,
https://www.google.com/maps/place/Oakwood+Landscaping/data=!4m7!3m6!1s0x880a5b45bcf697ab:0x32c97153277c0827!8m2!3d40.7886916!4d-89.6064381!16s%2Fg%2F1th0yygc!19sChIJq5f2vEVbCogRJwh8J1NxyTI,Oakwood Landscaping,4.2,11,Landscaper,"907 W Detweiller Dr, Peoria, IL 61615, United States","Q9QV+FC Peoria, Illinois, USA",http://www.oakwoodlandscape.com/,+1 309-692-8300,Open · Closes 5 pm,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGbSc-LS3YqDzvnliie-RQZpKoOe7T6xAJi3qj5Yo9sE3unHBjIT7ZA9P4HWcjX9fCjZo6fAUUBS1l8tnKaZM6IOkQtG9sEg45kUzicxGWKi_rrVnnsqfQica6sagNb0qZQ8h1rKGMI-Z0g=w408-h307-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–12 pm,Closed,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/commercial+landscaping+businesses+in+Downtown+Peoria+Peoria+IL/@33.5820771,-112.2384191,14z",2026-04-29T19:43:57.863Z,,,,
https://www.google.com/maps/place/Suburban+Landscaping/data=!4m7!3m6!1s0x880a5cdd9942e8b5:0xfe184ac311e11019!8m2!3d40.7773051!4d-89.6561825!16s%2Fg%2F1tdlvvtm!19sChIJtehCmd1cCogRGRDhEcNKGP4,Suburban Landscaping,4.1,10,Landscape designer,"4021 W Willow Knolls Dr, Peoria, IL 61615, United States","Q8GV+WG Peoria, Illinois, USA",https://www.suburbanlandscapingpeoria.com/,+1 309-691-0735,Closed · Opens 10 am Thu,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEPIS1vzPFiT20ua8wf2AtLIcRg02TViOKhlOkqOpaL9m38kytCS3JcbvVOCXoQBrHwJ1zyGUxV3ZL1lHRdtT1FvK-bDyzYBaw144EvWuCTgeMzwD5_rkUP-K0w8CRdVwIIb2YDLQ=w408-h408-k-no,true,10 am–2 pm,10 am–2 pm,10 am–2 pm,Closed,Closed,10 am–2 pm,10 am–2 pm,"https://www.google.com/maps/search/commercial+landscaping+businesses+in+Downtown+Peoria+Peoria+IL/@33.5820771,-112.2384191,14z",2026-04-29T19:44:02.594Z,,,,
https://www.google.com/maps/place/Cuttin%27+It+Close+Lawn+Care+Inc./data=!4m7!3m6!1s0x880a599f417d3787:0x3ab3f003c1cf3f39!8m2!3d40.6694342!4d-89.642899!16s%2Fg%2F1v6p9f6c!19sChIJhzd9QZ9ZCogROT_PwQPwszo,Cuttin' It Close Lawn Care Inc.,4.3,47,Lawn care service,"1715 S Laramie St, Peoria, IL 61605, United States","M994+QR Peoria, Illinois, USA",http://cicpeoria.com/,+1 309-692-7400,"Closes soon · 3:30 pm · Opens 7:30 am Thu

Updated by this business 5 weeks ago",https://lh3.googleusercontent.com/gps-cs-s/APNQkAHZtqotObrO7UjbHZkjMzan8EZNNQqYauxGGnNDiH-E90z16S3bM1WVW0dTyyqFrMK7DxTSPvQEpxWqx8nw3F0fKsCI010twZApBU7mWqVjAIvkZuL_b8zCcswycT9jZSv-EbYlfMNo8wI=w408-h315-k-no,true,7:30 am–3:30 pm,7:30 am–3:30 pm,7:30 am–3:30 pm,Closed,Closed,7:30 am–3:30 pm,7:30 am–3:30 pm,"https://www.google.com/maps/search/commercial+landscaping+businesses+in+Downtown+Peoria+Peoria+IL/@33.5820771,-112.2384191,14z",2026-04-29T19:44:07.797Z,,,,
"https://www.google.com/maps/place/Barr+Landscaping+%26+Lawn+Service,+Inc./data=!4m7!3m6!1s0x880a5e904917b88d:0xf5f87d9dd308742c!8m2!3d40.703164!4d-89.6520153!16s%2Fg%2F1w0sdfsr!19sChIJjbgXSZBeCogRLHQI0519-PU","Barr Landscaping & Lawn Service, Inc.",3.3,29,Landscaper,"3613 W Farmington Rd, Peoria, IL 61604, United States","P83X+75 Peoria, Illinois, USA",https://barrlandscaping.com/,+1 309-673-8668,Open · Closes 4:30 pm,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFo0s5tMdc-gztD__jLdCWTRMqASOXf0B0amliotDddoku8NLzDDUJOnZZvAjGiv6LJTDc9-8BuBvIYkUST01oGiCup9FEccSbX581hsz1OnUbFwxKFF0P8ToEIiNYv7uLQ-Z5t=w426-h240-k-no,true,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,Closed,Closed,8 am–4:30 pm,8 am–4:30 pm,"https://www.google.com/maps/search/commercial+landscaping+businesses+in+Downtown+Peoria+Peoria+IL/@33.5820771,-112.2384191,14z",2026-04-29T19:44:12.664Z,,,,
https://www.google.com/maps/place/GOAL+Landscaping+Peoria/data=!4m7!3m6!1s0x2a7ee901db4d547d:0xf5825162bd83364d!8m2!3d33.5759083!4d-112.2504288!16s%2Fg%2F11x2dtwzjf!19sChIJfVRN2wHpfioRTTaDvWJRgvU,GOAL Landscaping Peoria,5.0,46,Landscape designer,"8844 W Cinnabar Ave, Peoria, AZ 85345, United States","HPGX+9R Peoria, Arizona, USA",https://www.goallandscaping.com/,+1 480-953-9601,Open · Closes 7 pm,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEgI8PhIB5nPHv6XY68AqAqDUdnL8D5rzijCPZ2AIKEdET8aWSJSOmVNmVLZgJJEhvvGs-_LaWRzSZhQhZ5taDurx6BYMgiijNDcipLIaqNv6D0nBDE5qRKxkgI8EAHsrO25YutdB7g13U=w408-h324-k-no,true,6 am–7 pm,6 am–7 pm,6 am–7 pm,6 am–7 pm,Closed,6 am–7 pm,6 am–7 pm,"https://www.google.com/maps/search/commercial+landscaping+businesses+in+Downtown+Peoria+Peoria+IL/@33.5820771,-112.2384191,14z",2026-04-29T19:44:17.649Z,,,,
https://www.google.com/maps/place/TLC+Lawn+Repair+LLC/data=!4m7!3m6!1s0x872b6bb965040e9d:0x52853f5db89dcb4!8m2!3d33.5680895!4d-112.2371687!16s%2Fg%2F11sm78cq8v!19sChIJnQ4EZblrK4cRtNyJ2_VTKAU,TLC Lawn Repair LLC,4.9,74,Landscaper,"9201 N 83rd Ave, Peoria, AZ 85345, United States","HQ97+64 Peoria, Arizona, USA",https://www.facebook.com/TLC-Lawn-Repair-LLC-104777381972265/,+1 480-352-9035,Open · Closes 8 pm,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEzir_nukhX0dnj7H8ar2jB1ZKc3cD474AmxCfTPplevYRsMtLN6PjyPZmRcDtmzB6_WlgCKuZhYr8_DW-g-FFbCzyL5tiaYnyfclai-gGfxpyWJuGX0oRmEB89hwXcDjMQ1ysl=w420-h240-k-no,true,7 am–8 pm,7 am–8 pm,7 am–8 pm,Closed,Closed,7 am–8 pm,7 am–8 pm,"https://www.google.com/maps/search/commercial+landscaping+businesses+in+Downtown+Peoria+Peoria+IL/@33.5820771,-112.2384191,14z",2026-04-29T19:44:22.564Z,,,,
https://www.google.com/maps/place/Victor%27s+Landscaping+Inc./data=!4m7!3m6!1s0x872b6c32484296a1:0xabd619099024aab3!8m2!3d33.5721402!4d-112.2217039!16s%2Fg%2F1261z57l3!19sChIJoZZCSDJsK4cRs6okkAkZ1qs,Victor's Landscaping Inc.,3.9,159,Landscaper,"7563 W Vogel Ave, Peoria, AZ 85345, United States","HQCH+V8 Peoria, Arizona, USA",https://www.victorslandscaping.net/,+1 602-439-5192,Open · Closes 4 pm,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGIDyS5RRUVaBMpLAWzabu8pGHGjNGPl9NZ8MwJuYV0RXIs9UmuqOqaj6pwgwssrA1SauvUHggmmL9uZBHPsqwps4zGG5qhwyn-OtpKK-GslH7BHnO0F6IgHAIwbCwDbWUCWq97AA=w408-h544-k-no,true,6 am–4 pm,6 am–4 pm,6 am–2 pm,Closed,Closed,6 am–4 pm,6 am–4 pm,"https://www.google.com/maps/search/commercial+landscaping+businesses+in+Downtown+Peoria+Peoria+IL/@33.5820771,-112.2384191,14z",2026-04-29T19:44:27.447Z,LGBTQ+ friendly,,,
