placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,info,imgUrl,isClaimed,sunday,monday,tuesday,wednesday,thursday,friday,saturday,query,timestamp,isBlackOwned,attributes,error
https://www.google.com/maps/place/CW+IV+Infusions/data=!4m7!3m6!1s0x8651fd00f2044ad7:0xce2610d14d6a0c31!8m2!3d32.738915!4d-97.794481!16s%2Fg%2F11k4xhdlrk!19sChIJ10oE8gD9UYYRMQxqTdEQJs4,CW IV Infusions,5.0,2,Wellness center,"161 College Park Dr, Weatherford, TX 76086, United States","P6Q4+H6 Weatherford, Texas, USA",https://www.cw-clinic.com/iv-infusions,+1 817-599-4488,Closed ⋅ Opens 8 am Mon,Identifies as women-owned,https://lh3.googleusercontent.com/p/AF1QipPUK0HrQgDv9fHG8QrL9YzkatplclQ0SaXw2TJ1=w408-h306-k-no,true,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,9 am–4 pm,Closed,"https://www.google.com/maps/search/Infusion+centers+in+Weatherford+Weatherford+TX/@32.7592955,-97.7972544,14z",2025-09-29T00:36:38.611Z,,,
https://www.google.com/maps/place/Premier+IV+Weatherford/data=!4m7!3m6!1s0x864e0182429f587d:0xeba4bf0579ce5c13!8m2!3d32.7487706!4d-97.7816191!16s%2Fg%2F11smbx674x!19sChIJfVifQoIBToYRE1zOeQW_pOs,Premier IV Weatherford,4.9,152,Medical spa,"925 Santa Fe Dr #111, Weatherford, TX 76086, United States","P6X9+G9 Weatherford, Texas, USA",https://premieriv.com/,+1 833-484-9376,Closed ⋅ Opens 10 am Mon,,https://lh3.googleusercontent.com/p/AF1QipNcyKvgkUujVrHr3C4lYjnbdyLWmD3UCFFKfmH9=w408-h408-k-no,true,Closed,10 am–4 pm,10 am–6 pm,10 am–4 pm,10 am–6 pm,10 am–4 pm,10 am–4 pm,"https://www.google.com/maps/search/Infusion+centers+in+Weatherford+Weatherford+TX/@32.7592955,-97.7972544,14z",2025-09-29T00:36:44.342Z,,,
https://www.google.com/maps/place/Medix+Infusion+-+Weatherford/data=!4m7!3m6!1s0x864e03e613f05deb:0xd0b5ec4977efecec!8m2!3d32.7405835!4d-97.7776355!16s%2Fg%2F11l2zskl5w!19sChIJ613wE-YDToYR7Ozvd0nstdA,Medix Infusion - Weatherford,5.0,4,Medical clinic,"1429 Clear Lake Rd #500, Weatherford, TX 76086, United States","P6RC+6W Weatherford, Texas, USA",https://medixinfusion.com/,+1 972-661-2273,Closed ⋅ Opens 9 am Mon,,https://lh3.googleusercontent.com/p/AF1QipMxQ6Y8-U8feETjrHBJDV_Dm_6oEjlkQdUyxAN4=w428-h240-k-no,true,Closed,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,"https://www.google.com/maps/search/Infusion+centers+in+Weatherford+Weatherford+TX/@32.7592955,-97.7972544,14z",2025-09-29T00:36:49.725Z,,,
https://www.google.com/maps/place/The+Center+For+Cancer+%26+Blood+Disorders-+Weatherford/data=!4m7!3m6!1s0x864e01ffd74c776b:0x9f6060b22511eef8!8m2!3d32.7491229!4d-97.7848049!16s%2Fg%2F1td9qy9t!19sChIJa3dM1_8BToYR-O4RJbJgYJ8,The Center For Cancer & Blood Disorders- Weatherford,4.0,29,Cancer treatment center,"920 Santa Fe Dr, Weatherford, TX 76086, United States","P6X8+J3 Weatherford, Texas, USA",https://thecentertx.com/?utm_source=GMBSocialClimb&utm_medium=TheCenterForCancer%26BloodDisorders-Weatherford,+1 817-759-7000,Closed ⋅ Opens 8:30 am Mon,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=ZQnnNTS7FkbeUxrKRWKXLg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=227.28062&pitch=0&thumbfov=100,true,Closed,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,Closed,"https://www.google.com/maps/search/Infusion+centers+in+Weatherford+Weatherford+TX/@32.7592955,-97.7972544,14z",2025-09-29T00:36:59.639Z,,,
https://www.google.com/maps/place/The+Resurge+Clinic/data=!4m7!3m6!1s0x864e02017759a903:0x4f22d133885e38a!8m2!3d32.7372823!4d-97.7601332!16s%2Fg%2F1tfc7031!19sChIJA6lZdwECToYRiuOFOBMt8gQ,The Resurge Clinic,4.8,61,Alternative medicine practitioner,"2105 Clear Lake Rd, Weatherford, TX 76087, United States","P6PQ+WW Weatherford, Texas, USA",http://www.theresurgeclinic.com/,+1 817-599-9902,,,https://lh3.googleusercontent.com/p/AF1QipMI5fb4x9WfcVpyIYUdTbuOII9hYiUMHFk0FpE=w408-h272-k-no,true,Closed,12–1 pm,12–1 pm,12–1:30 pm,12–1 pm,Closed,Closed,"https://www.google.com/maps/search/Infusion+centers+in+Weatherford+Weatherford+TX/@32.7592955,-97.7972544,14z",2025-09-29T00:37:04.773Z,,,
https://www.google.com/maps/place/Texas+Oncology-Weatherford/data=!4m7!3m6!1s0x8651fe005467b583:0x4468af0a4f8b3b05!8m2!3d32.7490336!4d-97.7870682!16s%2Fg%2F1tfs1h6j!19sChIJg7VnVAD-UYYRBTuLTwqvaEQ,Texas Oncology-Weatherford,3.4,32,Cancer treatment center,"911 Foster Ln, Weatherford, TX 76086, United States","P6X7+J5 Weatherford, Texas, USA",https://www.texasoncology.com/cancer-centers/weatherford/weatherford/medical-oncology,+1 817-597-7900,Closed ⋅ Opens 8:30 am Mon,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nomzZ_095nnebg1BkKyHNeqF_YzYvoyvflm5kP1UG11A9hgXi5t_NqnX5NDmqb5Sgy-r7ZxDTT97IGltN3vRUkxjIopFtdCE4ezTsK30rJg1qkAzoe0GzBeXvjehRh40qI-1cqpZQ=w408-h306-k-no,true,Closed,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,Closed,"https://www.google.com/maps/search/Infusion+centers+in+Weatherford+Weatherford+TX/@32.7592955,-97.7972544,14z",2025-09-29T00:37:09.833Z,,,
https://www.google.com/maps/place/Paragon+Arlington+Infusion+Center/data=!4m7!3m6!1s0x864e7daa3a06197f:0x248ccc36d33fc002!8m2!3d32.7387354!4d-97.1058602!16s%2Fg%2F1tdqtypm!19sChIJfxkGOqp9ToYRAsA_0zbMjCQ,Paragon Arlington Infusion Center,4.8,28,Specialized clinic,"200 N Mesquite St Suite 115, Arlington, TX 76011, United States","PVQV+FM Arlington, Texas, USA",http://paragonhealthcare.com/ivc,+1 817-200-2530,Closed ⋅ Opens 7 am Mon,,https://lh3.googleusercontent.com/p/AF1QipMu3TZel9iPtic0thU0oSJqkCN1yDcRr4d6Eu1A=w408-h306-k-no,true,Closed,7 am–5 pm,7 am–5 pm,7 am–5 pm,7 am–5 pm,7 am–5 pm,7 am–5 pm,"https://www.google.com/maps/search/Infusion+centers+in+Arlington+Weatherford+TX/@42.4153925,-71.1564729,14z",2025-09-29T00:37:23.934Z,,,
https://www.google.com/maps/place/Metro+Infusion+Center/data=!4m7!3m6!1s0x864e87598c755aa9:0xb8bba5a23044de69!8m2!3d32.763543!4d-97.0776514!16s%2Fg%2F11nmm_6j0d!19sChIJqVp1jFmHToYRad5EMKKlu7g,Metro Infusion Center,5.0,1,Medical group,"2003 E Lamar Blvd Ste 100, Arlington, TX 76006, United States","QW7C+CW Arlington, Texas, USA",https://metroinfusioncenter.com/,+1 877-448-3627,Closed ⋅ Opens 9 am Mon,LGBTQ+ friendly,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Rd_XZvx9GsVMG74POHtxhQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=93.529854&pitch=0&thumbfov=100,true,Closed,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,"https://www.google.com/maps/search/Infusion+centers+in+Arlington+Weatherford+TX/@42.4153925,-71.1564729,14z",2025-09-29T00:37:28.845Z,,,
https://www.google.com/maps/place/Clear+Drip+Wellness/data=!4m7!3m6!1s0x864e218e18029481:0xf3f8424fe818dea1!8m2!3d32.4369631!4d-97.7664772!16s%2Fg%2F11vwnh1xyh!19sChIJgZQCGI4hToYRod4Y6E9C-PM,Clear Drip Wellness,5.0,19,Wellness center,"1401 N Plaza Dr, Granbury, TX 76048, United States","C6PM+QC Granbury, Texas, USA",,+1 817-506-8909,Closed ⋅ Opens 8 am Mon,,https://lh3.googleusercontent.com/p/AF1QipMgLTxkDSOAUXBwTkQnZ3zyCEJiVz8OPo6C1CPG=w408-h272-k-no,true,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–3 pm,"https://www.google.com/maps/search/Infusion+centers+in+Granbury+Weatherford+TX/@32.4488736,-97.7905758,14z",2025-09-29T00:37:48.194Z,,,
https://www.google.com/maps/place/revIVe+Infusion+Therapy/data=!4m7!3m6!1s0x864e2344b5a14af3:0x8729edf8d9a001e4!8m2!3d32.4441708!4d-97.6888702!16s%2Fg%2F11pww8lkqr!19sChIJ80qhtUQjToYR5AGg2fjtKYc,revIVe Infusion Therapy,5.0,113,Medical spa,"3244 Fall Creek Hwy, Granbury, TX 76049, United States","C8V6+MF Granbury, Texas, USA",http://reviveinfusiontherapy.com/,,"Closed ⋅ Opens 8 am Thu

Confirmed by others 9 weeks ago",LGBTQ+ friendly,https://lh3.googleusercontent.com/p/AF1QipPZE3eOHxQApmOE2VdmsQmGf7ryD6a6LzSP-ysf=w408-h590-k-no,true,Closed,Closed,Closed,Closed,8 am–4 pm,10 am–3 pm,10 am–1 pm,"https://www.google.com/maps/search/Infusion+centers+in+Granbury+Weatherford+TX/@32.4488736,-97.7905758,14z",2025-09-29T00:37:53.281Z,,,
