placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,sunday,monday,tuesday,wednesday,thursday,friday,saturday,query,timestamp,info,isBlackOwned
https://www.google.com/maps/place/Rocca+CPA/data=!4m7!3m6!1s0x52b32da4dbf7f139:0xf9d94d542cf541f0!8m2!3d44.9762649!4d-93.249816!16s%2Fg%2F11mc007v5n!19sChIJOfH326Qts1IR8EH1LFRN2fk,Rocca CPA,5.0,40,Certified public accountant,"1240 S 2nd St, Minneapolis, MN 55415, United States","XQG2+G3 Minneapolis, Minnesota, USA",http://www.roccacpa.com/,+1 612-361-6515,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=vmtoSOecXdBnAdgrpWWD8Q&cb_client=search.gws-prod.gps&w=408&h=240&yaw=95.63779&pitch=0&thumbfov=100,true,7 am–7 pm,7 am–7 pm,7 am–7 pm,7 am–7 pm,7 am–7 pm,7 am–7 pm,7 am–7 pm,"https://www.google.com/maps/search/certified+public+accountant+in+Minneapolis+MN/@44.977753,-93.2650108,14z",2025-10-19T16:20:11.300Z,,
https://www.google.com/maps/place/Sundberg+Tax+%26+Consulting+%28DT+Mpls%29+%7C+Small+Business+Tax+%7C+Accountant/data=!4m7!3m6!1s0x52b3329c333bc87b:0x6f463838feb73d8f!8m2!3d44.9785791!4d-93.2664692!16s%2Fg%2F11bxg2m8g7!19sChIJe8g7M5wys1IRjz23_jg4Rm8,Sundberg Tax & Consulting (DT Mpls) | Small Business Tax | Accountant,5.0,2,Certified public accountant,"331 2nd Ave S Floor 4, Minneapolis, MN 55401, United States","XPHM+CC Minneapolis, Minnesota, USA",http://www.sundbergtc.com/,+1 651-689-4789,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipPxcUEr27DOc4Qnr9iMjCiA_CrlgSi413G5YWAz=w408-h271-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/certified+public+accountant+in+Minneapolis+MN/@44.977753,-93.2650108,14z",2025-10-19T16:20:17.207Z,,
https://www.google.com/maps/place/SDK+CPAs+%28Schechter+Dokken+Kanter%29/data=!4m7!3m6!1s0x52b3329caa56f0b5:0x859b09f6897c48c5!8m2!3d44.981387!4d-93.2657002!16s%2Fg%2F1tdgzymk!19sChIJtfBWqpwys1IRxUh8ifYJm4U,SDK CPAs (Schechter Dokken Kanter),4.0,8,Certified public accountant,"100 Washington Ave S S #1600, Minneapolis, MN 55401, United States","XPJM+HP Minneapolis, Minnesota, USA",http://www.sdkcpa.com/,+1 612-332-5500,Closed ⋅ Opens 8 am Mon,https://lh3.googleusercontent.com/p/AF1QipPggf_oaQD5t6xCfhsUVOol6QqB_uf54De1PSrX=w408-h255-k-no,true,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,"https://www.google.com/maps/search/certified+public+accountant+in+Minneapolis+MN/@44.977753,-93.2650108,14z",2025-10-19T16:20:22.398Z,,
"https://www.google.com/maps/place/Morem+%26+Waller,+CPAs/data=!4m7!3m6!1s0x87f627e18f24171d:0x80cf09a775d0771!8m2!3d44.9488055!4d-93.2927128!16s%2Fg%2F11q1vzd38n!19sChIJHRckj-En9ocRcQddd5rwDAg","Morem & Waller, CPAs",5.0,15,Certified public accountant,"The Wilderness Fitness & Coworking, 1010 W Lake St, Minneapolis, MN 55408, United States","WPX4+GW Minneapolis, Minnesota, USA",http://moremwaller.cpa/,+1 612-614-8400,Closed ⋅ Opens 9 am Mon,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=MuB3CK8beFqKNhAcu4HCxA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=89.44849&pitch=0&thumbfov=100,true,Closed,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,"https://www.google.com/maps/search/certified+public+accountant+in+Minneapolis+MN/@44.977753,-93.2650108,14z",2025-10-19T16:20:27.800Z,LGBTQ+ friendly,
https://www.google.com/maps/place/Monthend/data=!4m7!3m6!1s0x52b333b297bbc01b:0x4e2924e8dd288e46!8m2!3d44.9879411!4d-93.2780377!16s%2Fg%2F11gtywwzm6!19sChIJG8C7l7Izs1IRRo4o3egkKU4,Monthend,5.0,66,Accounting firm,"729 N Washington Ave, Minneapolis, MN 55401, United States","XPQC+5Q Minneapolis, Minnesota, USA",https://www.monthend.com/,+1 612-299-1410,Closed ⋅ Opens 8 am Mon,https://lh3.googleusercontent.com/p/AF1QipOGsJ1Sc30djAc6l-QjnC6OxjQs8ByojD20-dM7=w429-h240-k-no,true,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,"https://www.google.com/maps/search/certified+public+accountant+in+Minneapolis+MN/@44.977753,-93.2650108,14z",2025-10-19T16:20:33.460Z,,
"https://www.google.com/maps/place/Romer+%26+Company,+PC/data=!4m7!3m6!1s0x52b332b658800119:0x798bd7dc2b8596d!8m2!3d44.9594026!4d-93.2769326!16s%2Fg%2F1tfrlz_z!19sChIJGQGAWLYys1IRbVm4wn29mAc","Romer & Company, PC",4.6,7,Certified public accountant,"2318 1st Ave S, Minneapolis, MN 55404, United States","XP5F+Q6 Minneapolis, Minnesota, USA",https://www.romercpas.com/,+1 612-872-0012,Closed ⋅ Opens 9 am Mon,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=aN3ky2kWlePxoruu-xGW9A&cb_client=search.gws-prod.gps&w=408&h=240&yaw=87.907196&pitch=0&thumbfov=100,true,Closed,9 am–4:30 pm,9 am–4:30 pm,9 am–4:30 pm,9 am–4:30 pm,9 am–4:30 pm,Closed,"https://www.google.com/maps/search/certified+public+accountant+in+Minneapolis+MN/@44.977753,-93.2650108,14z",2025-10-19T16:20:38.484Z,,
"https://www.google.com/maps/place/Fox+Tax,+an+Archer+Lewis+firm/data=!4m7!3m6!1s0x52b32d786959c6a1:0x39764caadc83d6eb!8m2!3d44.9995595!4d-93.2395959!16s%2Fg%2F1tyt4_f7!19sChIJocZZaXgts1IR69aD3KpMdjk","Fox Tax, an Archer Lewis firm",4.7,28,Tax preparation,"1135 Buchanan St NE, Minneapolis, MN 55413, United States","XQX6+R5 Minneapolis, Minnesota, USA",http://wwww.foxtaxservice.com/,+1 612-824-2829,Closed ⋅ Opens 9 am Mon,https://lh3.googleusercontent.com/p/AF1QipNSUhlVHxnJYx-uQ8fG51rUtG8Gz9gSm79x5TBv=w408-h271-k-no,true,Closed,9 am–4 pm,9 am–4 pm,9 am–4 pm,9 am–4 pm,Closed,Closed,"https://www.google.com/maps/search/certified+public+accountant+in+Minneapolis+MN/@44.977753,-93.2650108,14z",2025-10-19T16:20:43.875Z,,
"https://www.google.com/maps/place/EisnerAmper,+LLP/data=!4m7!3m6!1s0x52b3333d15b47fb3:0x9eb9e426a8e20718!8m2!3d44.9696544!4d-93.3123662!16s%2Fg%2F1tgf2w6d!19sChIJs3-0FT0zs1IRGAfiqCbkuZ4","EisnerAmper, LLP",4.3,6,Accounting firm,"2501 S Wayzata Blvd, Minneapolis, MN 55405, United States","XM9Q+V3 Minneapolis, Minnesota, USA",http://www.eisneramper.com/,+1 612-377-4404,Closed ⋅ Opens 8 am Mon,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nri9p8h-_lIVgNyP9M0wYOBZB2MbK8u5Kc856lWKMtkhHTviFohYOzw2HPqoSBQJrgmQeOEu4lx9KzmPMPd9eGsUNYVnM1Wj8i6957mtOaMjQB0sQ4FHl9O2C4Cm_RKaqWVx_J_ZA=w408-h306-k-no,true,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,"https://www.google.com/maps/search/certified+public+accountant+in+Minneapolis+MN/@44.977753,-93.2650108,14z",2025-10-19T16:20:49.196Z,,
https://www.google.com/maps/place/Noir+Arise+Accounting+LLC/data=!4m7!3m6!1s0x52b33364b222eeff:0x258bd26880391608!8m2!3d44.984152!4d-93.2749745!16s%2Fg%2F11rjj7_x_v!19sChIJ_-4ismQzs1IRCBY5gGjSiyU,Noir Arise Accounting LLC,5.0,11,Accounting firm,"323 N Washington Ave Ste 200, Minneapolis, MN 55401, United States","XPMG+M2 Minneapolis, Minnesota, USA",https://noirariseaccounting.com/,+1 612-440-0317,Closed ⋅ Opens 9 am Mon,https://lh3.googleusercontent.com/p/AF1QipOTufPMKdTYWohC8hVrvWURQGcdwUo753xPRJxE=w455-h240-k-no,true,Closed,9 am–4 pm,9 am–4 pm,9 am–4 pm,9 am–4 pm,9 am–4 pm,Closed,"https://www.google.com/maps/search/certified+public+accountant+in+Minneapolis+MN/@44.977753,-93.2650108,14z",2025-10-19T16:20:54.276Z,Identifies as women-owned,true
https://www.google.com/maps/place/Careful+Counting+Accounting+%26+Taxes/data=!4m7!3m6!1s0x52b3335077b6c0a7:0x8231e10b3d2525ff!8m2!3d44.9843425!4d-93.2739418!16s%2Fg%2F11w355103r!19sChIJp8C2d1Azs1IR_yUlPQvhMYI,Careful Counting Accounting & Taxes,4.7,15,Accounting firm,"333 N Washington Ave, Minneapolis, MN 55401, United States","XPMG+PC Minneapolis, Minnesota, USA",https://www.carefulcountingmn.com/,+1 515-357-3802,Closed ⋅ Opens 9 am Mon,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=NlSbobzuI4iuh_OByZUqRw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=141.47765&pitch=0&thumbfov=100,true,Closed,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,"https://www.google.com/maps/search/certified+public+accountant+in+Minneapolis+MN/@44.977753,-93.2650108,14z",2025-10-19T16:20:59.483Z,,
