placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,monday,tuesday,wednesday,thursday,friday,saturday,sunday,query,timestamp,info,attributes,isBlackOwned,error
https://www.google.com/maps/place/Holistic+Wellness+of+Savannah/data=!4m7!3m6!1s0x88fb75adf4dedabf:0x18bd0197b3146c46!8m2!3d32.0032378!4d-81.1096295!16s%2Fg%2F11bcdzfwhh!19sChIJv9re9K11-4gRRmwUs5cBvRg,Holistic Wellness of Savannah,4.6,24,Holistic medicine practitioner,"1 Oglethorpe Professional Blvd Suite 203 Suite 203, Savannah, GA 31406, United States","2V3R+74 Savannah, Georgia, USA",http://www.holisticwellnesssavannah.com/contact-us-1/,+1 912-235-2968,Open · Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipPH3QTfWaIoe0fvxEIxgJFPICuHslzjTHCdjCVQ=w408-h306-k-no,true,9 am–5 pm,"9 am–12 pm, 2–6 pm",10 am–2 pm,9 am–5 pm,Closed,Closed,Closed,"https://www.google.com/maps/search/functional+medicine+in+Savannah+Savannah+GA/@32.0808989,-81.091203,14z",2026-02-23T17:40:31.215Z,,,,
https://www.google.com/maps/place/Holistic+Health+Center/data=!4m7!3m6!1s0x88fb75baca9ccd1b:0x8ff4c551b2d78454!8m2!3d32.0065389!4d-81.108131!16s%2Fg%2F1tdxwwkc!19sChIJG82cyrp1-4gRVITXslHF9I8,Holistic Health Center,4.8,25,Chiropractor,"100 Commercial Ct Suite B, Savannah, GA 31405, United States","2V4R+JP Savannah, Georgia, USA",http://www.hhcofsavannah.com/,+1 912-355-3185,Open · Closes 6 pm,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=e9Bqiw4Zu73AfbIpBM-nmQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=18.667858&pitch=0&thumbfov=100,true,9 am–6 pm,10 am–4 pm,9 am–2 pm,10 am–6 pm,9 am–1:30 pm,Closed,Closed,"https://www.google.com/maps/search/functional+medicine+in+Savannah+Savannah+GA/@32.0808989,-81.091203,14z",2026-02-23T17:40:37.640Z,,,,
https://www.google.com/maps/place/Functional+%26+Fit+Health+and+Wellness/data=!4m7!3m6!1s0x88fb756192670d71:0x7fe6097e08776a1c!8m2!3d32.0026546!4d-81.1073041!16s%2Fg%2F11vm9hkrl5!19sChIJcQ1nkmF1-4gRHGp3CH4J5n8,Functional & Fit Health and Wellness,5.0,10,Holistic medicine practitioner,"102 Oglethorpe Professional Blvd, Savannah, GA 31406, United States","2V3V+33 Savannah, Georgia, USA",,+1 561-232-5126,Open · Closes 4 pm,https://lh3.googleusercontent.com/gps-cs-s/AHVAweq1GsK-8wFYsR4vzEUhlnaPK_EZNHrOR3Y1Vbbru9A9ck0v0iQgyapm_l3jPBH18a1eO8TiE_i7uAv6p9AsLVnsNnho99hbjlrPHifwD2Pf75L46l5RG4RVy4h3HyAGO0Had6C2Lw=w408-h541-k-no,true,9 am–4 pm,9 am–4 pm,9:30 am–4 pm,9 am–4 pm,9 am–4 pm,9 am–4 pm,9 am–4 pm,"https://www.google.com/maps/search/functional+medicine+in+Savannah+Savannah+GA/@32.0808989,-81.091203,14z",2026-02-23T17:40:42.501Z,LGBTQ+ friendly,,,
https://www.google.com/maps/place/Vitality+Acupuncture+and+Integrative+Medicine/data=!4m7!3m6!1s0x88fb74fc18ed8329:0xf177548e8aa1d1d4!8m2!3d32.0269045!4d-81.096672!16s%2Fg%2F1264nttvz!19sChIJKYPtGPx0-4gR1NGhio5Ud_E,Vitality Acupuncture and Integrative Medicine,4.9,44,Acupuncture clinic,"716 E 71st St, Savannah, GA 31405, United States","2WG3+Q8 Savannah, Georgia, USA",http://www.vitalitysavannah.com/,+1 912-308-1103,Open · Closes 5:30 pm,https://lh3.googleusercontent.com/p/AF1QipPwRC1op7F1cXo5HEYX1HLCvUqjspbyJVRdXNJZ=w408-h270-k-no,true,9 am–5:30 pm,9 am–5:30 pm,9 am–5:30 pm,9 am–5:30 pm,9 am–4:30 pm,Closed,Closed,"https://www.google.com/maps/search/functional+medicine+in+Savannah+Savannah+GA/@32.0808989,-81.091203,14z",2026-02-23T17:40:47.551Z,,,,
https://www.google.com/maps/place/Eden+for+Health+LLC/data=!4m7!3m6!1s0x88fb7501df1fb627:0x33fa0dbb6470cca9!8m2!3d32.078654!4d-81.091708!16s%2Fg%2F11g6yklqvx!19sChIJJ7Yf3wF1-4gRqcxwZLsN-jM,Eden for Health LLC,1.0,1,Naturopathic practitioner,"100 Bull St Suite 200, Savannah, GA 31401, United States","3WH5+F8 Savannah, Georgia, USA",http://www.edenforhealth.com/,+1 912-373-8884,Open · Closes 5 pm,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=KKqKGqj_fc2wXe23hMY3OQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=108.12988&pitch=0&thumbfov=100,true,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–3 pm,Closed,Closed,"https://www.google.com/maps/search/functional+medicine+in+Savannah+Savannah+GA/@32.0808989,-81.091203,14z",2026-02-23T17:40:52.480Z,,,,
https://www.google.com/maps/place/Holistic+Body+Shop+%7C+Savannah+Pain+Relief+Clinic/data=!4m7!3m6!1s0x88fb9fdbaee355e9:0x93b0069a797ae913!8m2!3d32.0029533!4d-81.1077119!16s%2Fg%2F11pv0nr0xt!19sChIJ6VXjrtuf-4gRE-l6eZoGsJM,Holistic Body Shop | Savannah Pain Relief Clinic,5.0,54,Pain control clinic,"117 Oglethorpe Professional Blvd suite 3, Savannah, GA 31406, United States","2V3R+5W Savannah, Georgia, USA",http://holisticbodyshop.com/,+1 912-483-9073,"Open · Closes 5 pm

Updated by this business 1 week ago",https://lh3.googleusercontent.com/p/AF1QipOY9UoASHOo-1onoKu1LYu5TW_3DzG1ec_95gLu=w408-h299-k-no,true,10 am–5 pm,10 am–5 pm,10 am–5 pm,10 am–5 pm,10 am–5 pm,Closed,Closed,"https://www.google.com/maps/search/functional+medicine+in+Savannah+Savannah+GA/@32.0808989,-81.091203,14z",2026-02-23T17:40:57.474Z,LGBTQ+ friendly,,,
https://www.google.com/maps/place/Meli+Kirkwood+at+Bulul%C3%BA+Wellnes+%7C+Functional+Medicine+Nutritionist/data=!4m7!3m6!1s0x88fb75e473ecaba5:0x68eec74e32dd31cd!8m2!3d32.0032481!4d-81.1096126!16s%2Fg%2F11yp7vbjk9!19sChIJpavsc-R1-4gRzTHdMk7H7mg,Meli Kirkwood at Bululú Wellnes | Functional Medicine Nutritionist,5.0,14,Nutritionist,"1 Oglethorpe Professional Blvd STE 203, Savannah, GA 31406, United States","2V3R+75 Savannah, Georgia, USA",https://bululuwellness.com/,+1 786-564-2323,Open · Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipOKtmbLtrnoosOk5KEgmRwbspor4ZJ78swqbKPE=w426-h240-k-no,true,8 am–5 pm,Closed,8 am–5 pm,Closed,1:30–5 pm,Closed,Closed,"https://www.google.com/maps/search/functional+medicine+in+Savannah+Savannah+GA/@32.0808989,-81.091203,14z",2026-02-23T17:41:02.274Z,,,,
https://www.google.com/maps/place/rebirth/data=!4m7!3m6!1s0x88fb75cc2d3a9933:0x5f7f41e9921d2b51!8m2!3d32.0296731!4d-81.0945516!16s%2Fg%2F11r3dcnm5n!19sChIJM5k6Lcx1-4gRUSsdkulBf18,rebirth,5.0,162,Women's health clinic,"810 E 66th St, Savannah, GA 31405, United States","2WH4+V5 Savannah, Georgia, USA",https://www.rebirth.health/,+1 912-662-6191,Open · Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipOPtHvYnrsLsDlS9RECP5mGFzZtNYVRcyvDLDcS=w408-h611-k-no,true,9 am–5 pm,9 am–5 pm,Closed,9 am–5 pm,9 am–5 pm,Closed,Closed,"https://www.google.com/maps/search/functional+medicine+in+Savannah+Savannah+GA/@32.0808989,-81.091203,14z",2026-02-23T17:41:07.076Z,LGBTQ+ friendly,,,
https://www.google.com/maps/place/MuggLyfe007/data=!4m7!3m6!1s0x88fb9fcbde62bad9:0xd9d72fcd9cffdb88!8m2!3d32.0516402!4d-81.1327148!16s%2Fg%2F11h_cftk4n!19sChIJ2bpi3suf-4gRiNv_nM0v19k,MuggLyfe007,5.0,3,Herbalist,"1519 Mills B Ln Blvd, Savannah, GA 31405, United States","3V28+MW Savannah, Georgia, USA",https://mugglyfe007.com/,+1 912-414-0302,Open · Closes 9 pm,https://lh3.googleusercontent.com/p/AF1QipMEUOa0OPK0F597gKGfcEKxRTes74G7zcZ1QhKF=w408-h408-k-no,true,9 am–9 pm,9 am–9 pm,9 am–4 pm,9 am–9 pm,9 am–3 pm,Closed,9 am–6 pm,"https://www.google.com/maps/search/functional+medicine+in+Savannah+Savannah+GA/@32.0808989,-81.091203,14z",2026-02-23T17:41:11.898Z,,,,
"https://www.google.com/maps/place/Front+Porch+Acupuncture+%2F+Sage+Works+Hypnotherapy,+Savannah,+GA/data=!4m7!3m6!1s0x88fb9ffc655ed0a7:0xd2bda43f75fb1d0b!8m2!3d32.0028237!4d-81.1017161!16s%2Fg%2F11mf_j3vl4!19sChIJp9BeZfyf-4gRCx37dT-kvdI","Front Porch Acupuncture / Sage Works Hypnotherapy, Savannah, GA",5.0,47,Acupuncture clinic,"7702 Waters Ave Suite 1, Savannah, GA 31406, United States","2V3X+48 Savannah, Georgia, USA",https://www.frontporchacupuncture.com/.%20https://sageworkshypnotherapy.com/,+1 912-482-4007,"Open · Closes 5:30 pm

Updated by this business 3 weeks ago",https://lh3.googleusercontent.com/gps-cs-s/AHVAwep5hM16_YzrwVk1twA5NQ9hrohLexIO1HQTmqYtVyZFo21Q5b_LWP8VUL9xkpXgJ7OGCkxtebyv3G2XcbmA6qo77ArMJzfPuFur9Txd1TIWqjGSqgFNYlRyhwUFjirMxwo9fC8J=w408-h306-k-no,true,10 am–5:30 pm,10 am–5:30 pm,10 am–5:30 pm,10 am–5:30 pm,Closed,Closed,Closed,"https://www.google.com/maps/search/functional+medicine+in+Savannah+Savannah+GA/@32.0808989,-81.091203,14z",2026-02-23T17:41:17.327Z,Identifies as women-owned,,,
