placeUrl,title,rating,reviewCount,category,attributes,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,monday,tuesday,wednesday,thursday,friday,saturday,sunday,query,timestamp,info,error
https://www.google.com/maps/place/Pomp%27s+Tire+Service/data=!4m7!3m6!1s0x88753a1dc108c099:0x885fef83b08e5ffb!8m2!3d39.8014073!4d-89.6244387!16s%2Fg%2F1tdbg5cr!19sChIJmcAIwR06dYgR-1-OsIPvX4g,Pomp's Tire Service,4.5,614,Tire shop,· In-store shopping · Kerbside pickup,"2110 E Clear Lake Ave, Springfield, IL 62703, United States","R92G+H6 Springfield, Illinois, USA",https://locations.pompstire.com/il/springfield/2110-e-clear-lake-avenue?utm_source=Google&utm_medium=Yext,+1 217-525-1395,"Open · Closes 5 pm

Confirmed by this business 10 weeks ago",https://lh3.googleusercontent.com/gps-cs-s/AHVAweq9Aczwjdx90avR0i7MgGMRNPQZuH6YwYtnpyeaYpjXVfpSRo3gG3TWbX0plcZ4Yk6Y4Z08jyaWxaXZn9avtR4e4d-n-g0vilB-K5UkWYUpNI32vkh7AOUiUarJUUhhphcvSjQ=w426-h240-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–12 pm,Closed,"https://www.google.com/maps/search/tire+service+in+Springfield+Springfield+IL/@39.8006593,-89.6449345,14z",2026-03-23T16:41:58.466Z,,
https://www.google.com/maps/place/A+Cheap+Tire/data=!4m7!3m6!1s0x88753993476206cf:0xe9b7ba1a8f582e23!8m2!3d39.7944461!4d-89.6377676!16s%2Fg%2F11c6y9q94t!19sChIJzwZiR5M5dYgRIy5Yjxq6t-k,A Cheap Tire,4.4,293,Tire shop,· In-store pick-up,"1300 E Cook St, Springfield, IL 62703, United States","Q9V6+QV Springfield, Illinois, USA",,+1 217-670-1596,Open · Closes 5:30 pm,https://lh3.googleusercontent.com/gps-cs-s/AHVAweoml_p40pZyHUrDmPloIGXJsbdb_8kMfmYQPPS_VKlcZLNBS7R2EfrRATTAh2XeVHkXFAUHh6H8ZMnRpSnNFYFkPvCngYDUHC69J88dYX25QV604vfXkDxDZd-KZNZVaNcWbSxgCmtRepbA=w408-h544-k-no,true,9:30 am–5:30 pm,9:30 am–5:30 pm,9:30 am–5:30 pm,9:30 am–5:30 pm,9:30 am–5:30 pm,10 am–2 pm,Closed,"https://www.google.com/maps/search/tire+service+in+Springfield+Springfield+IL/@39.8006593,-89.6449345,14z",2026-03-23T16:42:04.682Z,,
https://www.google.com/maps/place/15th+Street+Tire+Shop/data=!4m7!3m6!1s0x88753991cde67c75:0xef1b565960ed8b64!8m2!3d39.7877027!4d-89.6350318!16s%2Fg%2F1hc1rrw_t!19sChIJdXzmzZE5dYgRZIvtYFlWG-8,15th Street Tire Shop,4.3,137,Tire shop,· In-store pick-up,"1316 S 15th St, Springfield, IL 62703, United States","Q9Q7+3X Springfield, Illinois, USA",http://15th-street-tire-shop.edan.io/,+1 217-679-0782,Open · Closes 5:30 pm,https://lh3.googleusercontent.com/gps-cs-s/AHVAweokgoOdzdTlL6kvrsVS4pr-MQe8EUweodSzs1qjOMxkZNr1ICQO8GAAtNMZdWCrwNHnlfcjKj2dFLEHelcCYaGdv1IiaZ_jO6YWFjV8c0Ybm4pD4BKw1AP_-Vlrjr5UwYwRFj2U4g=w408-h306-k-no,false,9 am–5:30 pm,9 am–5:30 pm,9 am–5:30 pm,9 am–5:30 pm,9 am–5:30 pm,9 am–2 pm,Closed,"https://www.google.com/maps/search/tire+service+in+Springfield+Springfield+IL/@39.8006593,-89.6449345,14z",2026-03-23T16:42:09.632Z,,
https://www.google.com/maps/place/PT+Smile+Tires/data=!4m7!3m6!1s0x887530aa73969691:0x5953a9a1b3077b96!8m2!3d39.8167508!4d-89.6216378!16s%2Fg%2F1hc4jkpbf!19sChIJkZaWc6owdYgRlnsHs6GpU1k,PT Smile Tires,4.2,196,Tire shop,· In-store pick-up,"2201 N Grand Ave E, Springfield, IL 62702, United States","R98H+P8 Springfield, Illinois, USA",,+1 217-679-6216,Open · Closes 5 pm,https://lh3.googleusercontent.com/gps-cs-s/AHVAwerEaPut1i_LR6ZmqM03sbeCJX3aA6ba74PlEM3kRf-s_Exq0ak7aBo76ZEfBPhXeoTlWUMZh510SKxIc2RkEKhjzQMZ2GSOgz8VURMyWfB8El1EnoxDCM2fU3raHO-v6GDlKvcEFg=w426-h240-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–3 pm,Closed,"https://www.google.com/maps/search/tire+service+in+Springfield+Springfield+IL/@39.8006593,-89.6449345,14z",2026-03-23T16:42:14.592Z,,
https://www.google.com/maps/place/Car-X+Tire+%26+Auto/data=!4m7!3m6!1s0x887539e9a8799a2d:0x6993ddb6686fb541!8m2!3d39.8023483!4d-89.641166!16s%2Fg%2F1tgm3m6r!19sChIJLZp5qOk5dYgRQbVvaLbdk2k,Car-X Tire & Auto,4.4,407,Auto repair shop,,"1024 E Jefferson St, Springfield, IL 62703, United States","R925+WG Springfield, Illinois, USA",https://www.carx.com/springfield/1024-e-jefferson-st/?utm_source=Google+Business+Profile&utm_medium=local&utm_campaign=springfield%2F1024-e-jefferson-st&y_source=1_Njg3NjQ1OS03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,+1 217-528-0083,"Open · Closes 7 pm

Confirmed by this business 11 weeks ago",https://lh3.googleusercontent.com/gps-cs-s/AHVAweqCL46lNUueYDAo6L_3xawmrJjamXJhyhfMia5jfdQCAjFL9ez1iwMY2ZYiE0hXguFvUv3GOQhAL_uEIPc8wrWTiJya5fVJzGYFsXlpywYcxKHIMw3hTi-pFNs-U0ib2jGupKHWqw=w408-h249-k-no,true,7:30 am–7 pm,7:30 am–7 pm,7:30 am–7 pm,7:30 am–7 pm,7:30 am–7 pm,7:30 am–6 pm,Closed,"https://www.google.com/maps/search/tire+service+in+Springfield+Springfield+IL/@39.8006593,-89.6449345,14z",2026-03-23T16:42:19.545Z,,
https://www.google.com/maps/place/Brahler+Tire+%26+Auto+Center/data=!4m7!3m6!1s0x887539a366a483d3:0x95c23ec44ce91ba9!8m2!3d39.7830936!4d-89.6489219!16s%2Fg%2F1tjh03j6!19sChIJ04OkZqM5dYgRqRvpTMQ-wpU,Brahler Tire & Auto Center,4.5,198,Auto repair shop,,"531 E Laurel St, Springfield, IL 62703, United States","Q9M2+6C Springfield, Illinois, USA",http://thinkbrahler.com/,+1 217-523-5645,Open · Closes 5 pm,https://lh3.googleusercontent.com/gps-cs-s/AHVAwepX7SaF7KYD-8UfRFYtRaSsdzqDZ-lPcm-wswWR3Zclob3h0Fr2DqyNxTt7Azykje42AuePRv4elo0mF4GyzJP95IhWMLQtKv-33-pQ-fOvY5C6EumeUbm18Y0Ht4nKjmooFFiJ=w426-h240-k-no,true,7:30 am–5 pm,7:30 am–5 pm,7:30 am–5 pm,7:30 am–5 pm,7:30 am–5 pm,Closed,Closed,"https://www.google.com/maps/search/tire+service+in+Springfield+Springfield+IL/@39.8006593,-89.6449345,14z",2026-03-23T16:42:24.451Z,,
https://www.google.com/maps/place/South+Grand+Tires+and+Repair/data=!4m7!3m6!1s0x88753a25c9d16b21:0x2db5eefb3f0d0d55!8m2!3d39.7876622!4d-89.6182579!16s%2Fg%2F11bwh5tnhm!19sChIJIWvRySU6dYgRVQ0NP_vutS0,South Grand Tires and Repair,3.8,92,Auto repair shop,,"2519 S Grand Ave E, Springfield, IL 62703, United States","Q9QJ+3M Springfield, Illinois, USA",,+1 217-725-7475,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/AHVAwepjR1CFLvCQ7dZkSECGnC_14WzPetRQ-g7rAvBkPV5JVGG3Oih91_NyQ9CNNRgPiW2dwk8orT6I96TBcYW3X5KTfjNGbQgRidmrMf3a4Xb4c_okTlB1-F1Ll7W97cYvUXh3BkIuZA=w426-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/tire+service+in+Springfield+Springfield+IL/@39.8006593,-89.6449345,14z",2026-03-23T16:42:29.522Z,,
https://www.google.com/maps/place/Firestone+Complete+Auto+Care/data=!4m7!3m6!1s0x887539c0d74f8319:0xe87d5049b9b3c75c!8m2!3d39.7979186!4d-89.6484406!16s%2Fg%2F1tcv_51w!19sChIJGYNP18A5dYgRXMezuUlQfeg,Firestone Complete Auto Care,4.5,265,Tire shop,· In-store shopping · Kerbside pickup,"407 S 6th St, Springfield, IL 62701, United States","Q9X2+5J Springfield, Illinois, USA",https://www.firestonecompleteautocare.com/illinois/springfield/407-s-6th-st/?utm_source=google&utm_medium=organic&utm_campaign=localmaps&cmp=oloc_google_localmaps_maps,+1 217-717-9550,"Open · Closes 7 pm

Confirmed by this business 7 weeks ago",https://lh3.googleusercontent.com/gps-cs-s/AHVAwerEn4BzyacKRJ6gR6rMA78QxgHfkZfyHcE24sQm-E6-SwUKhPfV_ZW-br06bZ9bojy4kgwnmE1Y3QQN8xxWo7IoPkHYkG4hTAnA_lBzq-XzT1uvYHQLK0wWrvv91Da4lNsxhGOyo5yGoUUF=w408-h307-k-no,true,7 am–7 pm,7 am–7 pm,7 am–7 pm,7 am–7 pm,7 am–7 pm,7 am–6 pm,8 am–5 pm,"https://www.google.com/maps/search/tire+service+in+Springfield+Springfield+IL/@39.8006593,-89.6449345,14z",2026-03-23T16:42:34.553Z,LGBTQ+ friendly,
https://www.google.com/maps/place/Goodyear+Commercial+Tire+%26+Service+Centers/data=!4m7!3m6!1s0x88753a6d573043b1:0x80d7760bb183eccc!8m2!3d39.8060379!4d-89.6054382!16s%2Fg%2F11bc73g3lp!19sChIJsUMwV206dYgRzOyDsQt214A,Goodyear Commercial Tire & Service Centers,4.6,23,Tire shop,· In-store shopping · In-store pick-up,"430 N Dirksen Pkwy, Springfield, IL 62702, United States","R94V+CR Springfield, Illinois, USA",http://www.goodyearctsc.com/,+1 217-528-5617,Open · Closes 5 pm,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=ICNxZgfC1PhXZ6rioJmlQw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=121.24873&pitch=0&thumbfov=100,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,"https://www.google.com/maps/search/tire+service+in+Springfield+Springfield+IL/@39.8006593,-89.6449345,14z",2026-03-23T16:42:39.377Z,,
https://www.google.com/maps/place/Wilson+Tire/data=!4m7!3m6!1s0x887531d34a550527:0xdb94c5d0c88f246b!8m2!3d39.8179434!4d-89.6081425!16s%2Fg%2F11xkpvjk97!19sChIJJwVVStMxdYgRaySPyNDFlNs,Wilson Tire,4.6,19,Tire shop,,"2843 Ridge Ave, Springfield, IL 62702, United States","R99R+5P Springfield, Illinois, USA",https://tireshopspringfieldil.com/,+1 217-416-7041,Open · Closes 6 pm,https://lh3.googleusercontent.com/gps-cs-s/AHVAweq4NtQd-rtbit1IDNhOYqnJMV3YYp89XeyOR_DfBWzM3lttTansfd0DITLV1phuL_t-Y8TLb8qGpNHNf2FXwxb45YjK1ZLRVQKvjjzo6ES3aeLTmTOSkb3WQXYvGn-xWLCobzi5-W9c4Ee2=w430-h240-k-no,true,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–6 pm,9 am–3 pm,9 am–3 pm,"https://www.google.com/maps/search/tire+service+in+Springfield+Springfield+IL/@39.8006593,-89.6449345,14z",2026-03-23T16:42:44.390Z,,
