placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,wednesday,thursday,friday,saturday,sunday,monday,tuesday,query,timestamp,info,error,isBlackOwned
https://www.google.com/maps/place/Big+Bend+Hospice+Inc/data=!4m7!3m6!1s0x88ec5f1a7a8f8d95:0x8a8fc4623befae7!8m2!3d30.462043!4d-84.237893!16s%2Fg%2F1tj4hwrh!19sChIJlY2Pehpf7IgR5_q-I0b8qAg,Big Bend Hospice Inc,3.8,45,Hospice,"1723 Mahan Center Blvd, Tallahassee, FL 32308, United States","FQ66+RR Tallahassee, Florida, USA",http://www.bigbendhospice.org/,+1 850-878-5310,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipPvQJEFWrurN0sKQ2xqJDW5GG4M7eGINRB8N7k6=w408-h272-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Hospice+clinics+in+Crawfordville+Tallahassee+FL/@30.3807552,-84.2902257,14z",2025-09-17T23:37:42.672Z,,,
https://www.google.com/maps/place/Hospice+center/data=!4m7!3m6!1s0x88ec5f1ae720a24f:0x69b011b55af42b33!8m2!3d30.4600298!4d-84.2361784!16s%2Fg%2F11fy1mdfql!19sChIJT6Ig5xpf7IgRMyv0WrURsGk,Hospice center,5.0,2,Hotel,"1733 Mahan Center Blvd, Tallahassee, FL 32308, United States","FQ67+2G Tallahassee, Florida, USA",https://bigbendhospice.org/,+1 850-878-5310,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=hGwwQNwyGA1RRFu18ixDbQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=148.51123&pitch=0&thumbfov=100,false,,,,,,,,"https://www.google.com/maps/search/Hospice+clinics+in+Crawfordville+Tallahassee+FL/@30.3807552,-84.2902257,14z",2025-09-17T23:37:46.297Z,,,
https://www.google.com/maps/place/Big+Bend+Hospice+Inc/data=!4m7!3m6!1s0x88ec85ca0101c1d5:0x59cb69ffc3015aeb!8m2!3d30.1647642!4d-84.3793597!16s%2Fg%2F1tgz69dv!19sChIJ1cEBAcqF7IgR61oBw_9py1k,Big Bend Hospice Inc,5.0,1,Hospice,"14 Medallion Ln, Crawfordville, FL 32327, United States","5J7C+W7 Crawfordville, Florida, USA",https://bigbendhospice.org/contact/wakulla-county,+1 850-878-5310,Open 24 hours,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=33RY8nBa7jUclvC1u86GRg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=168.37181&pitch=0&thumbfov=100,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Hospice+clinics+in+Crawfordville+Tallahassee+FL/@30.3807552,-84.2902257,14z",2025-09-17T23:37:51.479Z,,,
https://www.google.com/maps/place/VITAS+Healthcare/data=!4m7!3m6!1s0x88ec5ff284a85ceb:0x7be527c68fef8533!8m2!3d30.4901599!4d-84.2441582!16s%2Fg%2F11y40wv04x!19sChIJ61yohPJf7IgRM4Xvj8Yn5Xs,VITAS Healthcare,3.0,2,Hospice,"2852 Remington Green Cir Suite 101 and 102, Tallahassee, FL 32308, United States","FQR4+38 Tallahassee, Florida, USA",https://www.vitas.com/locations-search/tallahassee/tallahassee-hospice-office?utm_source=google&utm_medium=locallisting&utm_content=VHC8201&y_source=1_MTA0NTgyMzA4NS03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,+1 850-575-4998,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipM1I4reFhMBgouI42NV4ynOjp6Dc8YIfmAGnVwd=w427-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Hospice+clinics+in+Crawfordville+Tallahassee+FL/@30.3807552,-84.2902257,14z",2025-09-17T23:37:56.923Z,,,
https://www.google.com/maps/place/Florida+Palliative+Care+Coalition/data=!4m7!3m6!1s0x88ecf582565bffff:0xf9039e1f507a5637!8m2!3d30.4511726!4d-84.2777633!16s%2Fg%2F11p0vxsvtf!19sChIJ__9bVoL17IgRN1Z6UB-eA_k,Florida Palliative Care Coalition,5.0,1,Hospice,"817 N Gadsden St, Tallahassee, FL 32303, United States","FP2C+FV Tallahassee, Florida, USA",https://floridapalliativecarecoalition.org/contact/,+1 850-878-2632,Closed ⋅ Opens 8 am Thu,https://lh3.googleusercontent.com/p/AF1QipO6Ko0Pemg-C2WOwk2VSaIaK4aLn5t1lOMCGlA=w408-h557-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/Hospice+clinics+in+Crawfordville+Tallahassee+FL/@30.3807552,-84.2902257,14z",2025-09-17T23:38:01.910Z,,,
https://www.google.com/maps/place/Let+Hospice+Help/data=!4m7!3m6!1s0x88ec5f9629a7f9e9:0x217086e789abc20d!8m2!3d30.4511726!4d-84.2777633!16s%2Fg%2F11c58prnvq!19sChIJ6fmnKZZf7IgRDcKrieeGcCE,Let Hospice Help,5.0,1,Hospice,"817 N Gadsden St, Tallahassee, FL 32303, United States","FP2C+FV Tallahassee, Florida, USA",http://lethospicehelp.org/,+1 800-282-6560,Closed ⋅ Opens 8:30 am Thu,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=TafxfRgPT2VArNcp4_9EdQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=80.13295&pitch=0&thumbfov=100,true,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,Closed,Closed,8:30 am–5 pm,8:30 am–5 pm,"https://www.google.com/maps/search/Hospice+clinics+in+Crawfordville+Tallahassee+FL/@30.3807552,-84.2902257,14z",2025-09-17T23:38:06.816Z,,,
"https://www.google.com/maps/place/Transitions+Supportive+Care/@30.4601764,-84.2357806,17z/data=!3m1!4b1!4m6!3m5!1s0x88ec5f1b1e01edfd:0x4ecb1b7bc34a2da5!8m2!3d30.4601764!4d-84.2357806!16s%2Fg%2F11twq3pb3f",Transitions Supportive Care,,,Hospice,"1669 Mahan Center Blvd, Tallahassee, FL 32308, United States","FQ67+3M Tallahassee, Florida, USA",https://transitions-support.org/contact/,+1 850-446-1077,,,false,,,,,,,,"https://www.google.com/maps/search/Hospice+clinics+in+Crawfordville+Tallahassee+FL/@30.3807552,-84.2902257,14z",2025-09-17T23:38:11.575Z,,,
https://www.google.com/maps/place/Enhabit+Home+Health/data=!4m7!3m6!1s0x88ec58c5e1081877:0xfe17e612c02414de!8m2!3d30.4641335!4d-84.240592!16s%2Fg%2F11dzt5lhpt!19sChIJdxgI4cVY7IgR3hQkwBLmF_4,Enhabit Home Health,3.7,3,Home health care service,"2510 Miccosukee Rd Suite 110, Tallahassee, FL 32308, United States","FQ75+MQ Tallahassee, Florida, USA",https://www.ehab.com/?utm_source=gmb&utm_medium=chatmeter,+1 850-391-4754,"Open 24 hours

Confirmed by this business 5 weeks ago",https://lh3.googleusercontent.com/p/AF1QipN1Y7Y7wQernSrBcMsXQ8vWSYZkB8S4dAxQjIfG=w528-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Hospice+clinics+in+Crawfordville+Tallahassee+FL/@30.3807552,-84.2902257,14z",2025-09-17T23:38:16.661Z,Identifies as women-owned,,
https://www.google.com/maps/place/NHC+HomeCare/data=!4m7!3m6!1s0x88ec83bc0b737ff7:0xd89dd9362bac6018!8m2!3d30.1659662!4d-84.378559!16s%2Fg%2F1v2ky7tk!19sChIJ939zC7yD7IgRGGCsKzbZndg,NHC HomeCare,5.0,2,Home health care service,"3295 Crawfordville Hwy Unit B, Crawfordville, FL 32327, United States","5J8C+9H Crawfordville, Florida, USA",https://nhccare.com/locations/homecare-crawfordville/,+1 850-926-7044,Closed ⋅ Opens 8 am Thu,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=UYlhp7nnh76w0ZAcGAGgBg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=124.13207&pitch=0&thumbfov=100,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/Hospice+clinics+in+Crawfordville+Tallahassee+FL/@30.3807552,-84.2902257,14z",2025-09-17T23:38:21.537Z,,,
https://www.google.com/maps/place/Patients+First+-+Crawfordville/data=!4m7!3m6!1s0x88ec85627096884d:0xfaa1ac1063a0d28e!8m2!3d30.204735!4d-84.3668698!16s%2Fg%2F11qbz3mpyk!19sChIJTYiWcGKF7IgRjtKgYxCsofo,Patients First - Crawfordville,4.9,932,Urgent care center,"2351 Crawfordville Hwy, Crawfordville, FL 32327, United States","6J3M+V7 Crawfordville, Florida, USA",https://patientsfirst.com/location/crawfordville-urgent-care,+1 850-888-0084,Closes soon ⋅ 8 pm ⋅ Opens 8 am Thu,https://lh3.googleusercontent.com/p/AF1QipNrXlg1dYGuK4IY9fiJKNAnY2LW48XZfyDU_Yia=w422-h240-k-no,true,8 am–8 pm,8 am–8 pm,8 am–8 pm,8 am–8 pm,8 am–8 pm,8 am–8 pm,8 am–8 pm,"https://www.google.com/maps/search/Hospice+clinics+in+Crawfordville+Tallahassee+FL/@30.3807552,-84.2902257,14z",2025-09-17T23:38:26.699Z,LGBTQ+ friendly,,
