placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,monday,tuesday,wednesday,thursday,friday,saturday,sunday,query,timestamp,info,attributes,isBlackOwned,error
https://www.google.com/maps/place/Northwest+Lifestyle+Medicine/data=!4m7!3m6!1s0x54955c36d669f1e9:0x1e40f28b0695fa24!8m2!3d44.9432112!4d-123.0552148!16s%2Fg%2F1tf1nk0r!19sChIJ6fFp1jZclVQRJPqVBovyQB4,Northwest Lifestyle Medicine,5.0,40,Doctor,"1025 2nd St NW Ste 100, Salem, OR 97304, United States","WWVV+7W Salem, Oregon, USA",http://www.nwlifestylemedicine.com/,+1 971-983-5433,Open · Closes 6 pm,https://lh3.googleusercontent.com/p/AF1QipM1wYrx4hvm3ovDRVh-mrT8PQgTbUZOUBp8WF6a=w626-h240-k-no,true,9 am–6 pm,9 am–6 pm,9 am–6 pm,9 am–6 pm,9 am–12 pm,Closed,Closed,"https://www.google.com/maps/search/functional+medicine+in+Downtown+Salem+Salem+OR/@44.9406998,-123.0381062,14z",2026-02-23T18:29:45.076Z,,,,
https://www.google.com/maps/place/Salem+Wellness+Clinic/data=!4m7!3m6!1s0x54bfff5d65d2acf3:0x30fbfeb6c0fc2420!8m2!3d44.9273965!4d-123.0430736!16s%2Fg%2F11fy1fh728!19sChIJ86zSZV3_v1QRICT8wLb--zA,Salem Wellness Clinic,4.8,135,Medical clinic,"1395 Liberty St SE, Salem, OR 97302, United States","WXG4+XQ Salem, Oregon, USA",http://www.salemwellnessclinic.com/,+1 503-581-9355,Open · Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipMqT1uu404conxltYlKUbC4IHT1gefqsX0lJvSS=w408-h272-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,Closed,"https://www.google.com/maps/search/functional+medicine+in+Downtown+Salem+Salem+OR/@44.9406998,-123.0381062,14z",2026-02-23T18:29:50.325Z,LGBTQ+ friendly,,,
https://www.google.com/maps/place/Salem+Naturopathic+Clinic+PC/data=!4m7!3m6!1s0x54bfff077bfc57a1:0x4cd855b96f6474c0!8m2!3d44.952157!4d-123.031136!16s%2Fg%2F12636fp18!19sChIJoVf8ewf_v1QRwHRkb7lV2Ew,Salem Naturopathic Clinic PC,4.8,41,Alternative medicine practitioner,"1305 Broadway St NE, Salem, OR 97301, United States","XX29+VG Salem, Oregon, USA",http://www.salemnaturopathic.com/,+1 503-364-1441,Open · Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipNIwAdFXvgLfYkReL02ZG3xCqB0v2BshBy42zWZ=w408-h306-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,"https://www.google.com/maps/search/functional+medicine+in+Downtown+Salem+Salem+OR/@44.9406998,-123.0381062,14z",2026-02-23T18:29:55.536Z,,,,
"https://www.google.com/maps/place/Laika+Rodriguez,+N.D./data=!4m7!3m6!1s0x54bfff37c9c6d57f:0x75f1aa779abfbd48!8m2!3d44.9274164!4d-123.0429903!16s%2Fg%2F11gxfrfp81!19sChIJf9XGyTf_v1QRSL2_mneq8XU","Laika Rodriguez, N.D.",4.9,109,Holistic medicine practitioner,"1395 Liberty St SE 2nd floor, Salem, OR 97302, United States","WXG4+XR Salem, Oregon, USA",,+1 503-581-9355,Open · Closes 5 pm,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=SjPITUkr__X3xtcCuJv3cw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=303.63885&pitch=0&thumbfov=100,false,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,"https://www.google.com/maps/search/functional+medicine+in+Downtown+Salem+Salem+OR/@44.9406998,-123.0381062,14z",2026-02-23T18:29:59.980Z,,,,
https://www.google.com/maps/place/McBride+Donald+D+ND/data=!4m7!3m6!1s0x54bfff077be11b99:0xfc035194822b7253!8m2!3d44.9521684!4d-123.0312443!16s%2Fg%2F11cmyy7m34!19sChIJmRvhewf_v1QRU3IrgpRRA_w,McBride Donald D ND,4.8,18,Alternative medicine practitioner,"1305 Broadway St NE, Salem, OR 97301, United States","XX29+VG Salem, Oregon, USA",http://www.salemnaturopathic.com/,+1 503-364-1441,Open · Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipO4TJ2NYYfJK7okbcwMk_MqE0YvCUB8LdiKpiky=w408-h306-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,"https://www.google.com/maps/search/functional+medicine+in+Downtown+Salem+Salem+OR/@44.9406998,-123.0381062,14z",2026-02-23T18:30:04.395Z,,,,
https://www.google.com/maps/place/Abigail+Bisson+ND/data=!4m7!3m6!1s0x54bfffa0f239b85f:0x798e2e5df0271389!8m2!3d44.9258525!4d-123.0440561!16s%2Fg%2F11ff2159cq!19sChIJX7g58qD_v1QRiRMn8F0ujnk,Abigail Bisson ND,4.7,18,Naturopathic practitioner,"1540 Commercial St SE, Salem, OR 97302, United States","WXG4+89 Salem, Oregon, USA",http://www.doctorbisson.com/,+1 503-581-6239,Open · Closes 12:15 pm · Reopens 1:15 pm,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=RrUHAx_NMc-vapya1sYLtg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=105.50451&pitch=0&thumbfov=100,true,"9 am–12:15 pm, 1:15–5:30 pm","9 am–12:15 pm, 1:15–5:30 pm","9 am–12:15 pm, 1:15–5:30 pm","9 am–12:15 pm, 1:15–5:30 pm",Closed,Closed,Closed,"https://www.google.com/maps/search/functional+medicine+in+Downtown+Salem+Salem+OR/@44.9406998,-123.0381062,14z",2026-02-23T18:30:12.410Z,,,,
https://www.google.com/maps/place/Phoenix+Rising+Family+Medicine/data=!4m7!3m6!1s0x54bfff6f2c8638e5:0x4a9d87b6a2e99144!8m2!3d44.9245815!4d-123.0431772!16s%2Fg%2F11c6_k2grg!19sChIJ5TiGLG__v1QRRJHporaHnUo,Phoenix Rising Family Medicine,4.9,54,Medical clinic,"1655 Liberty St SE, Salem, OR 97302, United States","WXF4+RP Salem, Oregon, USA",http://www.phoenixrising.family/,+1 503-339-7689,Open · Closes 5 pm,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqKfaiGcfT-zmz8HRX5VhXbpCpOAgmev2zc4lMg5n8_ZM8lSe1byj7km2JCIHJSwrDrgQ4gd-DEqZ7eqLwcw9xP6b1zDoNxIwIBhF2QfyOtD8jfPguCr1fDaN6NOzOSzV_WQcMq=w408-h612-k-no,true,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,Closed,Closed,"https://www.google.com/maps/search/functional+medicine+in+Downtown+Salem+Salem+OR/@44.9406998,-123.0381062,14z",2026-02-23T18:30:17.786Z,,,,
https://www.google.com/maps/place/Dr.+Erin+Fix/data=!4m7!3m6!1s0x54bfffc00730291d:0x81309d97eed30469!8m2!3d44.9314787!4d-123.042029!16s%2Fg%2F11smzt8jnt!19sChIJHSkwB8D_v1QRaQTT7pedMIE,Dr. Erin Fix,4.4,7,Alternative medicine practitioner,"960 Liberty St SE #210, Salem, OR 97302, United States","WXJ5+H5 Salem, Oregon, USA",http://www.drerinfix.com/,+1 503-263-1212,Open · Closes 5 am Tue,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=jwpDcVlFo2AXx651pDx-GA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=132.86871&pitch=0&thumbfov=100,true,9 am–5 am,9 am–5 am,9 am–5 am,9 am–5 am,9 am–5 am,Closed,Closed,"https://www.google.com/maps/search/functional+medicine+in+Downtown+Salem+Salem+OR/@44.9406998,-123.0381062,14z",2026-02-23T18:30:22.436Z,,,,
"https://www.google.com/maps/place/Dr.+Jay+Campbell,+DO+-+Base+Camp+Functional+Medicine/data=!4m7!3m6!1s0x54bfff90652ad317:0xc8ed9f741af53104!8m2!3d44.9258525!4d-123.0440552!16s%2Fg%2F11vr14yyp8!19sChIJF9MqZZD_v1QRBDH1GnSf7cg","Dr. Jay Campbell, DO - Base Camp Functional Medicine",5.0,6,Family practice physician,"1540 Commercial St SE, Salem, OR 97302, United States","WXG4+89 Salem, Oregon, USA",https://basecampmedicine.com/,+1 503-877-2125,Closed · Opens 8 am Tue,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=RrUHAx_NMc-vapya1sYLtg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=105.463776&pitch=0&thumbfov=100,true,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,"https://www.google.com/maps/search/functional+medicine+in+Downtown+Salem+Salem+OR/@44.9406998,-123.0381062,14z",2026-02-23T18:30:26.962Z,,,,
"https://www.google.com/maps/place/Wholegenic+Wellness:+Dr.+Liz+Bartman,+ND/data=!4m7!3m6!1s0x54bfff08e2500001:0xd9aa593cafbe70c5!8m2!3d44.9451608!4d-123.0313491!16s%2Fg%2F11fzfd_psd!19sChIJAQBQ4gj_v1QRxXC-rzxZqtk","Wholegenic Wellness: Dr. Liz Bartman, ND",5.0,6,Naturopathic practitioner,"671 Cottage St NE, Salem, OR 97301, United States","WXW9+3F Salem, Oregon, USA",https://wholegenicwellness.com/,,,https://lh3.googleusercontent.com/p/AF1QipPnyy8yUQtkv_8-ZbetQ8xi5OSFz0s8AGZwKxFd=w426-h240-k-no,true,,,,,,,,"https://www.google.com/maps/search/functional+medicine+in+Downtown+Salem+Salem+OR/@44.9406998,-123.0381062,14z",2026-02-23T18:30:29.528Z,LGBTQ+ friendly,,,
