placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,monday,tuesday,wednesday,thursday,friday,saturday,sunday,query,timestamp,info,attributes,error
https://www.google.com/maps/place/Burke+Emergency/data=!4m7!3m6!1s0x89e24fb680ee624f:0xbbc8d4bb663ed76!8m2!3d42.9840245!4d-71.4095649!16s%2Fg%2F1ptwct455!19sChIJT2LugLZP4okRdu1jtkuNvAs,Burke Emergency,4.9,94,Water damage restoration service,"850 E Industrial Park Dr STE 6, Manchester, NH 03109, United States","XHMR+J5 Manchester, New Hampshire, USA",http://www.burkerestoration.com/,+1 603-716-2921,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/AHVAwerjEbLobiVTu3FoVJaCbHhA_jbkKTH_XiAHsk0De0HnWBH3ZDtdPhqaDaUbFPoH00_zN040L8CE8-yE5cLpi5slazAX6fPzlaYOpJMba3M_cTVyhkGrgRC1ur7xHd2wzv1dhabgKw=w408-h272-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+Manchester+NH/@42.9956397,-71.4547891,14z",2026-03-23T05:44:38.174Z,,,
https://www.google.com/maps/place/SERVPRO+of+Manchester/data=!4m7!3m6!1s0x89e24fb5b873ae61:0x316436dfdfcfa577!8m2!3d42.9786476!4d-71.41347!16s%2Fg%2F1tctmt0n!19sChIJYa5zuLVP4okRd6XP3982ZDE,SERVPRO of Manchester,4.5,91,Water damage restoration service,"571 Holt Ave, Manchester, NH 03109, United States","XHHP+FJ Manchester, New Hampshire, USA",https://www.servpro.com/locations/nh/servpro-of-manchester?utm_medium=organic&utm_source=gbp,+1 603-669-7733,,https://lh3.googleusercontent.com/gps-cs-s/AHVAwep50eewhDvzPCi1hGLZVsk4LZoSsfBcmL4KyooE1pJ4RGHwInx8WfSpGMi89EnihpatrUYpwZwiDSC1Re0TfOEmLgrxu18sIHVE70qUIFlOp2_A7Zr7FEH6yplfSjyqbauvcZ-w-A=w426-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+Manchester+NH/@42.9956397,-71.4547891,14z",2026-03-23T05:44:44.324Z,,,
https://www.google.com/maps/place/911+Restoration+of+New+Hampshire/data=!4m7!3m6!1s0x89e24ece0f3b1ce5:0x1d3e54f86e63a4ba!8m2!3d42.9791148!4d-71.4713961!16s%2Fg%2F11c3k3158f!19sChIJ5Rw7D85O4okRuqRjbvhUPh0,911 Restoration of New Hampshire,4.2,22,Water damage restoration service,"20 Blaine St, Manchester, NH 03102, United States","XGHH+JC Manchester, New Hampshire, USA",https://www.911restorationnewhampshire.com/?utm_source=google&utm_medium=organic&utm_campaign=gmb,+1 603-693-6195,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/AHVAweo0J3HXgd2LKMxYQ5XYP7NsCpB9xLVseAf4DocTFiXZ_M8gD88ftksPevcjHd0v2yP39Q6EbmheLRBnm2taDSyR-lWom3xcNYY512_NIr8vp-juUAGdi06gMj_WHdjw8op-zvFF=w408-h272-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+Manchester+NH/@42.9956397,-71.4547891,14z",2026-03-23T05:44:49.254Z,,,
"https://www.google.com/maps/place/Soil-Away+Cleaning+Services,+LLC/data=!4m7!3m6!1s0x89e24558e7136b85:0x3e9a4e33175fe451!8m2!3d43.0167299!4d-71.3981628!16s%2Fg%2F1w0p6my1!19sChIJhWsT51hF4okRUeRfFzNOmj4","Soil-Away Cleaning Services, LLC",4.8,243,Water damage restoration service,"5 Eastpoint Dr Unit 23, Hooksett, NH 03106, United States","2J82+MP Hooksett, New Hampshire, USA",https://www.soilaway.com/,+1 603-641-6555,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/AHVAwepNoGUBW13x--uKVThyMqrZ9wjwOyZ3NCdQMaFfEvmpx7QmVct02I9i6nFahVbEzbwi2owqd24D-atonSiUv8fz0TnGrKp2Pt1_SyvQwGvM8L1M0GJwtLIgbXDTUQ6ztRceedA-=w414-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+Manchester+NH/@42.9956397,-71.4547891,14z",2026-03-23T05:44:54.423Z,,,
https://www.google.com/maps/place/1-800+WATER+DAMAGE+-+Manchester+and+Nashua/data=!4m7!3m6!1s0x4760f2e1d7999d59:0x4ee567da515c281c!8m2!3d42.9935689!4d-71.5208812!16s%2Fg%2F11v001w0vf!19sChIJWZ2Z1-HyYEcRHChcUdpn5U4,1-800 WATER DAMAGE - Manchester and Nashua,5.0,12,Water damage restoration service,"4 Cote Ave Suite 8, Goffstown, NH 03045, United States","XFVH+CJ Goffstown, New Hampshire, USA",https://www.1800waterdamage.com/manchester-nashua/,+1 603-634-9406,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/AHVAwerEh97hia-2qOaflb8pBw8kXR1qW-mq7PLJCI3NnXP6iOwcS7oSNpgQFTHOMK9iIZ6u8Gzi_Oq5Z-1YNeF6Tlsww68W5slOgsXtF4ysThC0ID3bY1qTc2ktWzjd15mwvE-wKxJk4A=w408-h544-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+Manchester+NH/@42.9956397,-71.4547891,14z",2026-03-23T05:44:59.481Z,,,
https://www.google.com/maps/place/Crack-X/data=!4m7!3m6!1s0x89e24f687763f97f:0xeb18024187624911!8m2!3d43.013979!4d-71.4514791!16s%2Fg%2F11cnb8rjx_!19sChIJf_ljd2hP4okREUlih0ECGOs,Crack-X,4.8,43,Waterproofing service,"497 Hooksett Rd, Manchester, NH 03104, United States","2G7X+HC Manchester, New Hampshire, USA",https://crackx.com/new-hampshire/?utm_source=gmbnh&utm_medium=organic,+1 603-893-3367,,https://lh3.googleusercontent.com/gps-cs-s/AHVAwerNoU78L-6eI-8glyy9V8BV5dzclPK2itGHBQf5YNRut-kdJ77x6pnZ_hwH5KpeGI1RHHV2WvCTqO8U1CbhDu6Oo6Ysrt8zhQ8pVnYll-wcgJzHcQoP3ah1CO5iiWCBHbaV5Xk=w408-h408-k-no,true,Open 24 hours,Closed,Closed,Closed,Closed,Closed,Closed,"https://www.google.com/maps/search/water+damage+restoration+in+Manchester+NH/@42.9956397,-71.4547891,14z",2026-03-23T05:45:04.516Z,,,
https://www.google.com/maps/place/New+England+Water+Remediation/data=!4m7!3m6!1s0x89e24f5ca06bdfb7:0xef3e7a03f060936e!8m2!3d42.924582!4d-71.46572!16s%2Fg%2F11jh703w9f!19sChIJt99roFxP4okRbpNg8AN6Pu8,New England Water Remediation,4.8,115,Water damage restoration service,"25 Harvey Rd UNIT 6, Bedford, NH 03110, United States","WGFM+RP Bedford, New Hampshire, USA",http://www.newaterremediation.com/?utm_campaign=gmb,+1 603-836-9544,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqnVF_0eIk1kEdmxMywz6JtrJUZNLYpJBXx2kkEcCBRYDhs3eqirQxaUOmXtJplSHgJENtvDs8vw7jxkmhb8NUOCMMk0JOKXOm-XrbzkFLbInJ8u5QNh8aun-inelJVL66MiAAXzg=w519-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+Manchester+NH/@42.9956397,-71.4547891,14z",2026-03-23T05:45:09.407Z,,,
https://www.google.com/maps/place/Roto-Rooter+Plumbing+%26+Water+Cleanup/data=!4m7!3m6!1s0x89e24c2a1519eafd:0x4980422e5d9e82ff!8m2!3d42.9589367!4d-71.434001!16s%2Fg%2F1tghql93!19sChIJ_eoZFSpM4okR_4KeXS5CgEk,Roto-Rooter Plumbing & Water Cleanup,4.7,414,Plumber,"862 S Porter St, Manchester, NH 03103, United States","XH58+H9 Manchester, New Hampshire, USA",https://www.rotorooter.com/manchester/?utm_source=Google&utm_medium=organic&utm_campaign=gmb&utm_content=website,+1 603-782-4211,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/AHVAweoaexetwpHoZaBUQWJh6OwXTz6lHdRCQEQ2SnH4I93yGzvueZJO9H90vQPdESxQAnWfhD00WaylGAy1dtnW91ntDVgmeTeagt4sYRMKTfkbysJQxO3GLEszF2pBmCkB1iz8uYwaM1Tu40aN=w408-h306-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+Manchester+NH/@42.9956397,-71.4547891,14z",2026-03-23T05:45:14.263Z,LGBTQ+ friendly,,
https://www.google.com/maps/place/NH+Total+Home+Care/data=!4m7!3m6!1s0x89e24f378ca011db:0x66fddda43b25d3cb!8m2!3d42.9771055!4d-71.4641792!16s%2Fg%2F11h1r_drjv!19sChIJ2xGgjDdP4okRy9MlO6Td_WY,NH Total Home Care,4.8,31,Remodeler,"40 Ronald St Unit #3, Manchester, NH 03101, United States","XGGP+R8 Manchester, New Hampshire, USA",https://www.nhtotalhomecare.com/,+1 603-714-0130,Closed · Opens 7:30 am,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqpY5UqbfAqqBpJmjyzaP4kLrUhzrZWT3V9hHsFoDAjx5wn7fgBULf1mRL_rJNAEFm8o2J4a2JT1WpwN17wIRGTJrHSmRO9u3gikg4rhZmp9e5aUXLTNhannX-dkMQsCjgoD-y9C4s6zD_n=w408-h306-k-no,true,7:30 am–4 pm,7:30 am–4 pm,7:30 am–4 pm,7:30 am–4 pm,7:30 am–4 pm,Closed,Closed,"https://www.google.com/maps/search/water+damage+restoration+in+Manchester+NH/@42.9956397,-71.4547891,14z",2026-03-23T05:45:19.014Z,Identifies as women-owned,,
https://www.google.com/maps/place/Groundworks/data=!4m7!3m6!1s0x89e2525b19aa1ddf:0xfd82a9c2e4fc4764!8m2!3d43.0156178!4d-71.3975013!16s%2Fg%2F1tfwlc7z!19sChIJ3x2qGVtS4okRZEf85MKpgv0,Groundworks,4.9,567,Waterproofing service,"3 Eastpoint Dr, Hooksett, NH 03106, United States","2J82+6X Hooksett, New Hampshire, USA",https://www.groundworks.com/locations/groundworks-manchester/groundworks-manchester-branch/?utm_source=google&utm_medium=organic&utm_campaign=gmbappointment_gw-mht,+1 603-377-8559,Closed · Opens 7 am,https://lh3.googleusercontent.com/gps-cs-s/AHVAweokL2fsnqFqS4QxQb2i__zk3GDnhTkb1UOjwE0Eub6YgaGNAxTAcxweFQ5mFwjrF0PLCfioM3Ork-58QvZYMIbl99JjWVtPVn-DbiwS4M2L5uCf3niuoCYz7IIxx_6HXxR2PF10Dg=w408-h544-k-no,true,7 am–11 pm,7 am–11 pm,7 am–11 pm,7 am–11 pm,7 am–11 pm,8 am–11 pm,10 am–11 pm,"https://www.google.com/maps/search/water+damage+restoration+in+Manchester+NH/@42.9956397,-71.4547891,14z",2026-03-23T05:45:23.741Z,,,
