placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,sunday,monday,tuesday,wednesday,thursday,friday,saturday,query,timestamp,info,attributes,isBlackOwned,error
https://www.google.com/maps/place/AleraCare+Infusion+Center+-+Yuma/data=!4m7!3m6!1s0x80d6f7bf7cd52dbd:0xd530ea502f828bcb!8m2!3d32.684293!4d-114.645243!16s%2Fg%2F11l6mk87b4!19sChIJvS3VfL_31oARy4uCL1DqMNU,AleraCare Infusion Center - Yuma,5.0,10,Medical clinic,"2110 W 24th St A, Yuma, AZ 85364, United States","M9M3+PW Yuma, Arizona, USA",https://www.aleracare.com/location/yuma-infusion-center/,+1 888-209-8874,Closed ⋅ Opens 7:30 am Mon,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=HOVFs4b73ZsJTx1eukGCoQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=64.50353&pitch=0&thumbfov=100,true,Closed,7:30 am–5:30 pm,7:30 am–5:30 pm,7:30 am–5:30 pm,7:30 am–5:30 pm,7:30 am–5:30 pm,Closed,"https://www.google.com/maps/search/Infusion+centers+in+Yuma+AZ/@32.6926512,-114.6276916,14z",2025-09-28T23:01:22.830Z,,,,
https://www.google.com/maps/place/Onvida+Health+Outpatient+Infusion+Therapy/data=!4m7!3m6!1s0x80d6f61dc145ba29:0xf34377e556e8eb46!8m2!3d32.6843756!4d-114.6359278!16s%2Fg%2F11c6snrxj1!19sChIJKbpFwR321oARRuvoVuV3Q_M,Onvida Health Outpatient Infusion Therapy,4.6,88,Medical clinic,"1320 W 24th St, Yuma, AZ 85364, United States","M9M7+QJ Yuma, Arizona, USA",https://www.onvidahealth.org/location/outpatient-infusion-therapy/,+1 928-336-7304,Closed ⋅ Opens 6:30 am Mon,https://lh3.googleusercontent.com/p/AF1QipN15ZLP3XxCiwkXaqnQkjPwE1C5-fD1pu9Wdliu=w426-h240-k-no,true,Closed,6:30 am–7 pm,6:30 am–7 pm,6:30 am–7 pm,6:30 am–7 pm,6:30 am–7 pm,Closed,"https://www.google.com/maps/search/Infusion+centers+in+Yuma+AZ/@32.6926512,-114.6276916,14z",2025-09-28T23:01:28.522Z,,,,
https://www.google.com/maps/place/Onvida+Health+Cancer+and+Blood+Disorders+Center/data=!4m7!3m6!1s0x14e4cadd54994133:0xe137e36b20375ade!8m2!3d32.6843176!4d-114.6370238!16s%2Fg%2F11b7dzxh41!19sChIJM0GZVN3K5BQR3lo3IGvjN-E,Onvida Health Cancer and Blood Disorders Center,4.7,196,Cancer treatment center,"2375 Ridgeview Dr, Yuma, AZ 85364, United States","M9M7+P5 Yuma, Arizona, USA",https://www.onvidahealth.org/location/cancer-and-blood-disorders-center/,+1 928-336-2518,Closed ⋅ Opens 8 am Mon,https://lh3.googleusercontent.com/p/AF1QipPvaZLomV32k7713kw2a6eh3526JGCmJQ07Tav3=w408-h292-k-no,true,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,"https://www.google.com/maps/search/Infusion+centers+in+Yuma+AZ/@32.6926512,-114.6276916,14z",2025-09-28T23:01:33.927Z,,,,
"https://www.google.com/maps/place/Yuma+Ambulatory+Infusion+Center/@32.6861906,-114.6388906,17z/data=!3m1!4b1!4m6!3m5!1s0x80d6f61eca96ce7d:0xef7d4f667f7011e0!8m2!3d32.6861906!4d-114.6388906!16s%2Fg%2F1260_9_5m",Yuma Ambulatory Infusion Center,,,,"2270 W Ridgeview Dr # 130, Yuma, AZ 85364, United States","M9P6+FC Yuma, Arizona, USA",,+1 928-783-4038,Permanently closed,,false,,,,,,,,"https://www.google.com/maps/search/Infusion+centers+in+Yuma+AZ/@32.6926512,-114.6276916,14z",2025-09-28T23:01:40.739Z,,,,
https://www.google.com/maps/place/AleraCare+Infusion+Center+-+Flagstaff/data=!4m7!3m6!1s0x872d8f3e0aac356d:0x4baf159a7f0b5174!8m2!3d35.2057762!4d-111.6421774!16s%2Fg%2F11l36z9y2c!19sChIJbTWsCj6PLYcRdFELf5oVr0s,AleraCare Infusion Center - Flagstaff,,,Medical clinic,"930 N Switzer Canyon Dr Suite 201, Flagstaff, AZ 86001, United States","6945+84 Flagstaff, Arizona, USA",https://www.aleracare.com/location/flagstaff-infusion-center/,+1 888-209-8874,Closed ⋅ Opens 7:30 am Mon,https://lh3.googleusercontent.com/p/AF1QipNQCsMeoAtm5hPXJlH5TDr292M_C-K8sEz5-VM=w408-h306-k-no,true,Closed,7:30 am–5:30 pm,7:30 am–5:30 pm,7:30 am–5:30 pm,7:30 am–5:30 pm,7:30 am–5:30 pm,Closed,"https://www.google.com/maps/search/Infusion+centers+in+Flagstaff+AZ/@35.1982836,-111.651302,14z",2025-09-28T23:01:54.585Z,,,,
https://www.google.com/maps/place/AZIV+Infusion+Therapy+Center/data=!4m7!3m6!1s0x872d8f5c538996ad:0x7212494e858c1be6!8m2!3d35.1944221!4d-111.6575951!16s%2Fg%2F11rkmtrtj4!19sChIJrZaJU1yPLYcR5huMhU5JEnI,AZIV Infusion Therapy Center,,,Medical clinic,"399 S Malpais Ln, Flagstaff, AZ 86001, United States","58VR+QX Flagstaff, Arizona, USA",https://azivinfusion.com/contact-us/,+1 602-386-4968,Closed ⋅ Opens 8 am Mon,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=xGerCq6vRsg5UwDgZ57bUw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=259.34103&pitch=0&thumbfov=100,false,Closed,8 am–4 pm,8 am–4 pm,8 am–4 pm,8 am–4 pm,Closed,Closed,"https://www.google.com/maps/search/Infusion+centers+in+Flagstaff+AZ/@35.1982836,-111.651302,14z",2025-09-28T23:01:59.377Z,,,,
https://www.google.com/maps/place/Soleo+Health+Infusion+Center/data=!4m7!3m6!1s0x872d8f80f8914cb3:0x95067bda081c8dd0!8m2!3d35.2081413!4d-111.6475982!16s%2Fg%2F11y496p_zh!19sChIJs0yR-ICPLYcR0I0cCNp7BpU,Soleo Health Infusion Center,,,Specialized clinic,"1000 N Humphreys St #210, Flagstaff, AZ 86001, United States","6952+7X Flagstaff, Arizona, USA",https://www.soleohealth.com/location/flagstaff/?utm_source=gmb&utm_medium=google&utm_campaign=gmb-location-listings&utm_content=flagstaff,+1 480-296-0222,Closed ⋅ Opens 8:30 am Mon,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=LODok1YbgO25HV8otY6v0Q&cb_client=search.gws-prod.gps&w=408&h=240&yaw=52.88311&pitch=0&thumbfov=100,true,Closed,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,Closed,"https://www.google.com/maps/search/Infusion+centers+in+Flagstaff+AZ/@35.1982836,-111.651302,14z",2025-09-28T23:02:04.308Z,,,,
"https://www.google.com/maps/place/Radiation+Oncology+at+Cancer+Centers+of+Northern+Arizona+Healthcare/@35.2097109,-111.6459859,17z/data=!3m1!4b1!4m6!3m5!1s0x872d8f4963bcf923:0x6fb1463f8af5e0cd!8m2!3d35.2097109!4d-111.6459859!16s%2Fg%2F1q69pl19r",Radiation Oncology at Cancer Centers of Northern Arizona Healthcare,4.8,10,Cancer treatment center,"1329 N Beaver St, Flagstaff, AZ 86001, United States","6953+VJ Flagstaff, Arizona, USA",https://nahealth.com/cancer-centers-northern-arizona-healthcare,+1 928-773-2261,Closed ⋅ Opens 8 am Mon,,true,Closed,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,Closed,"https://www.google.com/maps/search/Infusion+centers+in+Flagstaff+AZ/@35.1982836,-111.651302,14z",2025-09-28T23:02:11.187Z,,,,
https://www.google.com/maps/place/AleraCare+Infusion+Center+-+Avondale/data=!4m7!3m6!1s0x872b39f050b22cbf:0x295b75292e1ec1a0!8m2!3d33.4622861!4d-112.3362477!16s%2Fg%2F11l2y1n6s_!19sChIJvyyyUPA5K4cRoMEeLil1Wyk,AleraCare Infusion Center - Avondale,5.0,21,Medical clinic,"13026 W Rancho Santa Fe Blvd Ste, Avondale, AZ 85392, United States","FM67+WG Avondale, Arizona, USA",https://www.aleracare.com/location/avondale-infusion-center/,+1 888-209-8874,Closed ⋅ Opens 7:30 am Mon,https://lh3.googleusercontent.com/p/AF1QipOGkoChZRZWw7Vx8DUCYYdMSpf7Ki8l0pKn6_1S=w408-h306-k-no,true,Closed,7:30 am–5:30 pm,7:30 am–5:30 pm,7:30 am–5:30 pm,7:30 am–5:30 pm,7:30 am–5:30 pm,Closed,"https://www.google.com/maps/search/Infusion+centers+in+Avondale+AZ/@33.4355977,-112.3496021,14z",2025-09-28T23:02:24.750Z,,,,
https://www.google.com/maps/place/FlexCare+Infusion+Centers/data=!4m7!3m6!1s0x872b39cf282dc7bb:0x6ff2ed2caaf22d1d!8m2!3d33.4544621!4d-112.3946409!16s%2Fg%2F11q1pm8b02!19sChIJu8ctKM85K4cRHS3yqizt8m8,FlexCare Infusion Centers,5.0,65,Medical clinic,"700 N Estrella Pkwy #200, Goodyear, AZ 85338, United States","FJ34+Q4 Goodyear, Arizona, USA",https://www.flexcareinfusion.com/,+1 623-299-2991,Open ⋅ Closes 6:30 pm,https://lh3.googleusercontent.com/p/AF1QipPf3_j33XXyO4A_hanvt3TxzoKY1YMC58RxChQi=w408-h544-k-no,true,8 am–6:30 pm,8 am–6:30 pm,8 am–6:30 pm,8 am–6:30 pm,8 am–6:30 pm,8 am–6:30 pm,8 am–6:30 pm,"https://www.google.com/maps/search/Infusion+centers+in+Avondale+AZ/@33.4355977,-112.3496021,14z",2025-09-28T23:02:29.717Z,,,,
