placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,monday,tuesday,wednesday,thursday,friday,saturday,sunday,query,timestamp,attributes,info,isBlackOwned,error
https://www.google.com/maps/place/Probuilt+Pool+%26+Patio/data=!4m7!3m6!1s0x87c06638fdfa381b:0x633c18d567a84d2b!8m2!3d39.179248!4d-94.613858!16s%2Fg%2F1hc682d5f!19sChIJGzj6_ThmwIcRK02oZ9UYPGM,Probuilt Pool & Patio,4.8,97,Swimming pool contractor,"4708 NW Gateway Ave, Riverside, MO 64150, United States","59HP+MF Riverside, Missouri, USA",https://probuiltpatio.com/,+1 816-786-3893,Open ⋅ Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipNwkDbnchV7F5T2VHDR3nAdx42hdCeS6-O8tMe3=w426-h240-k-no,true,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–4 pm,Closed,"https://www.google.com/maps/search/pool+services+businesses+in+Independence+MO/@39.0911161,-94.4155068,14z",2025-10-27T19:30:46.521Z,,,,
https://www.google.com/maps/place/Trinity+Aquatics+LLC/data=!4m7!3m6!1s0x87c0fd0157ef5913:0xea52b24e0848e4f7!8m2!3d39.058078!4d-94.5052!16s%2Fg%2F11fd43lltj!19sChIJE1nvVwH9wIcR9-RICE6yUuo,Trinity Aquatics LLC,5.0,2,Swimming pool repair service,,,,+1 816-376-8088,Open ⋅ Closes 9 pm,https://lh3.googleusercontent.com/p/AF1QipME8Tdwk6crRo7dEExOOuAC5SwGzsSiey-7LZs=w427-h240-k-no,true,7 am–9 pm,7 am–9 pm,7 am–9 pm,7 am–9 pm,7 am–9 pm,9 am–3:30 pm,Closed,"https://www.google.com/maps/search/pool+services+businesses+in+Independence+MO/@39.0911161,-94.4155068,14z",2025-10-27T19:30:52.186Z,,,,
https://www.google.com/maps/place/Midwest+Pool+Management/data=!4m7!3m6!1s0x87c0e2e46248d06f:0x38e39391a3bc40fd!8m2!3d39.0417442!4d-94.4315719!16s%2Fg%2F12607vc73!19sChIJb9BIYuTiwIcR_UC8o5GT4zg,Midwest Pool Management,3.0,15,Swimming pool contractor,"12500 E US Hwy 40 L, Independence, MO 64055, United States","2HR9+M9 Independence, Missouri, USA",http://midwestpool.com/,+1 816-350-2628,Open ⋅ Closes 5 pm,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=f-vupdJBzrqZgMsazTM3YA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=116.76181&pitch=0&thumbfov=100,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,"https://www.google.com/maps/search/pool+services+businesses+in+Independence+MO/@39.0911161,-94.4155068,14z",2025-10-27T19:30:57.732Z,,,,
https://www.google.com/maps/place/Leslie%27s+Pool+Supplies/data=!4m7!3m6!1s0x87c0e293842cf679:0xc5a5ed305e322eae!8m2!3d39.0432894!4d-94.4131342!16s%2Fg%2F1vs1sd9j!19sChIJefYshJPiwIcRri4yXjDtpcU,Leslie's Pool Supplies,3.5,57,Swimming pool supply store,"4201 S Noland Rd L-2, Independence, MO 64055, United States","2HVP+8P Independence, Missouri, USA",https://lesliespool.com/location/independence-missouri-independence-363.html?utm_source=gmb&utm_medium=organic&utm_campaign=store_363,+1 816-373-4265,"Open ⋅ Closes 6 pm

Updated by this business 1 week ago",https://lh3.googleusercontent.com/gps-cs-s/AG0ilSy25MaPm4_EY0YcFMthYou42sAtb1XUnnhw_qHDhmyov0uOrFZj1fSi1OaRyE6DgmWrpdL0MO94uvHGX5TlhzatyhPdcHP1KOG5slXF7wFSzxoe0sEvtcxAu5kOxLTRegflpr5A=w408-h544-k-no,true,10 am–6 pm,10 am–6 pm,10 am–6 pm,10 am–6 pm,10 am–6 pm,10 am–6 pm,10 am–5 pm,"https://www.google.com/maps/search/pool+services+businesses+in+Independence+MO/@39.0911161,-94.4155068,14z",2025-10-27T19:31:02.603Z,"Chain providing a full range of swimming pool equipment, chemicals & accessories, plus water toys. · In-store shopping · Kerbside pickup · Delivery",LGBTQ+ friendly,,
https://www.google.com/maps/place/Elite+Pool+Service/data=!4m7!3m6!1s0x87c11bb330729fb7:0xd1ce6bab3f0da59c!8m2!3d39.0208991!4d-94.2749365!16s%2Fg%2F1tglzhwv!19sChIJt59yMLMbwYcRnKUNP6trztE,Elite Pool Service,4.5,143,Swimming pool supply store,"817 NW Vesper St, Blue Springs, MO 64015, United States","2PCG+92 Blue Springs, Missouri, USA",https://elitepoolkc.com/,+1 816-220-1870,Open ⋅ Closes 6 pm,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwLUl51Xtj-PvYzD9oR5CFI4QR09N6RBSoB26W6-_dZ51COa4ZT-r6FE2CUJKDIeGuN-6FaODZnlC6q7Kbne6GzWiyat8_8FADtvMGXqsXtf_009UNW9_2-Sj-G39-LN1goUmc3=w513-h240-k-no,true,10 am–6 pm,10 am–6 pm,10 am–6 pm,10 am–6 pm,10 am–6 pm,9 am–4 pm,12–4 pm,"https://www.google.com/maps/search/pool+services+businesses+in+Independence+MO/@39.0911161,-94.4155068,14z",2025-10-27T19:31:07.611Z,· In-store pick-up,,,
"https://www.google.com/maps/place/That+One+Couple+Pool+Pros+Offering+Swimming+Pool+Closings,+Openings,+Service,+And+Pool+Cleanings/data=!4m7!3m6!1s0x87c0e327213be79d:0x6fddf774805ccf0f!8m2!3d38.3046624!4d-92.436836!16s%2Fg%2F1q64b7n8b!19sChIJnec7ISfjwIcRD89cgHT33W8","That One Couple Pool Pros Offering Swimming Pool Closings, Openings, Service, And Pool Cleanings",3.5,2,Pool cleaning service,,,,+1 816-651-7153,Open ⋅ Closes 9 pm,https://lh3.googleusercontent.com/p/AF1QipOu_IecB9Yl-FVMHkRytoZ4tV7XMhR4JwPhl0Bg=w427-h240-k-no,true,7 am–9 pm,7 am–9 pm,7 am–9 pm,7 am–9 pm,7 am–9 pm,7 am–9 pm,7 am–9 pm,"https://www.google.com/maps/search/pool+services+businesses+in+Independence+MO/@39.0911161,-94.4155068,14z",2025-10-27T19:31:12.654Z,,,,
"https://www.google.com/maps/place/MidWest+Pool+and+Landscape/@36.123592,-95.852143,10z/data=!3m1!4b1!4m6!3m5!1s0x87c103179e66d085:0x7131354268e68d57!8m2!3d36.123592!4d-95.852143!16s%2Fg%2F11ftgw7b31",MidWest Pool and Landscape,4.7,9,Swimming pool repair service,,,,+1 913-390-3381,Open ⋅ Closes 5 pm,,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,"https://www.google.com/maps/search/pool+services+businesses+in+Independence+MO/@39.0911161,-94.4155068,14z",2025-10-27T19:31:19.372Z,,,,
https://www.google.com/maps/place/Kansas+City+Pool+Guys/data=!4m7!3m6!1s0x87c11f002a73e405:0xddd2ac41e6cdc3d7!8m2!3d39.0825761!4d-94.3979275!16s%2Fg%2F11vqn9gy_2!19sChIJBeRzKgAfwYcR18PN5kGs0t0,Kansas City Pool Guys,5.0,5,,"4304 S Mills St, Independence, MO 64050, United States","3JM2+2R Independence, Missouri, USA",http://www.kansascitypoolguys.com/,,Permanently closed,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxZDIBq1y9a05JyhHdSf7oAAc6zUsdpewLT7gYs2-Aite1Z4HpcauHCLesuoA-9VZmexQbdps-Tjxf_1KIRgf75FIW4jmaN7HrEWi-dxx_vUnnM1V7_DaqHEJjptKNEgr1RMJ0wqQ=w408-h306-k-no,false,,,,,,,,"https://www.google.com/maps/search/pool+services+businesses+in+Independence+MO/@39.0911161,-94.4155068,14z",2025-10-27T19:31:24.350Z,,,,
https://www.google.com/maps/place/BlueStone+Pools/data=!4m7!3m6!1s0x87c121fdd0d20ac9:0x56ddec3175c1c8d5!8m2!3d38.9258122!4d-94.3855562!16s%2Fg%2F11h04qng6r!19sChIJyQrS0P0hwYcR1cjBdTHs3VY,BlueStone Pools,4.4,9,Swimming pool contractor,"720 NW Commerce Dr, Lee's Summit, MO 64086, United States","WJG7+8Q Lee's Summit, Missouri, USA",https://bluestonepoolskc.com/,+1 816-702-7665,Open ⋅ Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipMfZDUqOu36iKUPxk6YTnZ3-WQ1CpvXzjgbI-4Q=w426-h240-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/pool+services+businesses+in+Lee's+Summit+MO/@38.9108408,-94.3821724,14z",2025-10-27T19:31:41.361Z,,,,
https://www.google.com/maps/place/Recreation+Wholesale/data=!4m7!3m6!1s0x87c11fad4fbd6d13:0xf53c452fe78bc8bc!8m2!3d38.9541411!4d-94.3615749!16s%2Fg%2F1td9r103!19sChIJE229T60fwYcRvMiL5y9FPPU,Recreation Wholesale,4.7,247,Swimming pool contractor,"2321 NE Independence Ave, Lee's Summit, MO 64064, United States","XJ3Q+M9 Lee's Summit, Missouri, USA",https://www.recreationwholesale.com/,+1 816-875-1240,Open ⋅ Closes 6 pm,https://lh3.googleusercontent.com/p/AF1QipNw1AEDgtvpuN6y1JUsD_LDZCGcWXUJ2YUAsw2a=w408-h306-k-no,true,10 am–6 pm,10 am–6 pm,10 am–6 pm,10 am–6 pm,10 am–6 pm,9:30 am–4 pm,Closed,"https://www.google.com/maps/search/pool+services+businesses+in+Lee's+Summit+MO/@38.9108408,-94.3821724,14z",2025-10-27T19:31:46.594Z,,,,
