placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,sunday,monday,tuesday,wednesday,thursday,friday,saturday,query,timestamp,info,attributes,isBlackOwned,error
https://www.google.com/maps/place/UPMC+Hamot+Infusion+Center/data=!4m7!3m6!1s0x882d7feeefdde2b1:0x57746a33809ad592!8m2!3d42.1345131!4d-80.0833196!16s%2Fg%2F11b63vxs6v!19sChIJseLd7-5_LYgRktWagDNqdFc,UPMC Hamot Infusion Center,4.5,8,Medical clinic,"215 Holland St, Erie, PA 16507, United States","4WM8+RM Erie, Pennsylvania, USA",https://www.upmc.com/services/infusion-services/locations/northwest-pa-ny,+1 814-877-6600,Closed ⋅ Opens 7:30 am Mon,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=1lEPy66xDPP4qK3Yq0nZQw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=67.34164&pitch=0&thumbfov=100,true,Closed,7:30 am–5:30 pm,7:30 am–5:30 pm,7:30 am–5:30 pm,7:30 am–5:30 pm,7:30 am–5:30 pm,Closed,"https://www.google.com/maps/search/Infusion+centers+in+Erie+PA/@42.1290386,-80.0849716,14z",2025-09-29T00:53:47.740Z,,,,
https://www.google.com/maps/place/Saint+Vincent+Infusion+Center/data=!4m7!3m6!1s0x405daa4da5b92c6b:0x750b192294e7204!8m2!3d42.1121776!4d-80.0806132!16s%2Fg%2F11b7dsfmng!19sChIJayy5pU2qXUARBHJOKZKxUAc,Saint Vincent Infusion Center,5.0,2,Hospital,"2315 Myrtle St Suite G30, Erie, PA 16502, United States","4W69+VQ Erie, Pennsylvania, USA",https://www.ahn.org/,+1 814-452-7848,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=gX3otu95PhnIZr82Y_r21w&cb_client=search.gws-prod.gps&w=408&h=240&yaw=59.504887&pitch=0&thumbfov=100,true,,,,,,,,"https://www.google.com/maps/search/Infusion+centers+in+Erie+PA/@42.1290386,-80.0849716,14z",2025-09-29T00:53:51.421Z,,,,
https://www.google.com/maps/place/Reading+Hospital+Hematology+Oncology/data=!4m7!3m6!1s0x89c67128adbf1601:0x5597494e4d963d4f!8m2!3d40.3296835!4d-75.9497178!16s%2Fg%2F1tc_rzbk!19sChIJARa_rShxxokRTz2WTU5Jl1U,Reading Hospital Hematology Oncology,4.8,10,Cancer treatment center,"420 S 5th Ave, West Reading, PA 19611, United States","83H2+V4 West Reading, Pennsylvania, USA",https://towerhealth.org/locations/reading-hospital-hematology-oncology,+1 484-628-0900,,https://lh3.googleusercontent.com/p/AF1QipM8I3etoJe46oVohfSu12gXQkwt13c7kgItCWnO=w408-h408-k-no,true,,,,,,,,"https://www.google.com/maps/search/Infusion+centers+in+Reading+PA/@40.3369615,-75.9214385,14z",2025-09-29T00:54:05.069Z,LGBTQ+ friendly,,,
https://www.google.com/maps/place/McGlinn+Cancer+Institute+-+Reading+Hospital/data=!4m7!3m6!1s0x89c671291d507337:0x482533e9ec1b705!8m2!3d40.3304786!4d-75.9501101!16s%2Fg%2F1hhvy8b3j!19sChIJN3NQHSlxxokRBbfBnj5TggQ,McGlinn Cancer Institute - Reading Hospital,4.4,12,Cancer treatment center,"420 S 5th Ave, West Reading, PA 19611, United States","82JX+5X West Reading, Pennsylvania, USA",https://towerhealth.org/locations/mcglinn-cancer-institute-reading-hospital,+1 484-628-0900,Closed ⋅ Opens 7 am Mon,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrsrEIBHasPf68Cls215p56_NRZU3TNmh6NtZ8FlUi7orMtiwRDTKYZjllJB7mCz4Za3NqzFBLV35nIdd2Xy26W93PPco8xVTe12Ze8xTpkaAuOgCSlv62EKiykgZcz7w0N8WSZ=w426-h240-k-no,true,Closed,7 am–5 pm,7 am–5 pm,7 am–5 pm,7 am–5 pm,7 am–5 pm,Closed,"https://www.google.com/maps/search/Infusion+centers+in+Reading+PA/@40.3369615,-75.9214385,14z",2025-09-29T00:54:09.836Z,,,,
"https://www.google.com/maps/place/Crossroads+Treatment+Center+of+Reading,+PA/data=!4m7!3m6!1s0x89c677429361e89f:0xb116b4cf4433c640!8m2!3d40.3357241!4d-75.9274075!16s%2Fg%2F11fmx_9c72!19sChIJn-hhk0J3xokRQMYzRM-0FrE","Crossroads Treatment Center of Reading, PA",4.7,44,Addiction treatment center,"505 Penn St 1st Floor, Reading, PA 19601, United States","83PF+72 Reading, Pennsylvania, USA",https://www.crossroadstreatmentcenters.com/center/crossroads-of-reading-pa/,+1 877-848-9810,,https://lh3.googleusercontent.com/p/AF1QipN5HW51V7rc-Eo-uFJQqFlNcFWTm1PogmpKXrvV=w408-h306-k-no,true,,,,,,,,"https://www.google.com/maps/search/Infusion+centers+in+Reading+PA/@40.3369615,-75.9214385,14z",2025-09-29T00:54:14.796Z,,,,
https://www.google.com/maps/place/Renewed+Vitality/data=!4m7!3m6!1s0x89c67133277ef015:0x11622a1804adb8bd!8m2!3d40.3404362!4d-75.9608767!16s%2Fg%2F11fz_ybks5!19sChIJFfB-JzNxxokRvbitBBgqYhE,Renewed Vitality,4.8,80,Medical group,"560 Van Reed Rd #101, Wyomissing, PA 19610, United States","82RQ+5J Wyomissing, Pennsylvania, USA",https://www.renewedvitality4you.com/,+1 484-516-2937,Closed ⋅ Opens 8 am Mon,https://lh3.googleusercontent.com/p/AF1QipMU0b9MwBPFR4Q8xu7KF2poBwmYFg5iS-CG9yk=w408-h404-k-no,true,Closed,8 am–4 pm,8 am–4 pm,8 am–7 pm,8 am–4 pm,8 am–3 pm,Closed,"https://www.google.com/maps/search/Infusion+centers+in+Reading+PA/@40.3369615,-75.9214385,14z",2025-09-29T00:54:19.788Z,,,,
https://www.google.com/maps/place/Reading+Hospital/data=!4m7!3m6!1s0x89c671291d507337:0x2a5752805ee82e1!8m2!3d40.3309329!4d-75.9510879!16s%2Fm%2F0100pd0m!19sChIJN3NQHSlxxokR4YLuBSh1pQI,Reading Hospital,2.9,597,General hospital,"420 S 5th Ave, West Reading, PA 19611, United States","82JX+9H West Reading, Pennsylvania, USA",https://towerhealth.org/locations/reading-hospital,+1 484-628-8000,,https://lh3.googleusercontent.com/p/AF1QipO6g8u7belNIoleM4m6Nn6qxJxyQOsBqDVOg4zY=w408-h408-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Infusion+centers+in+Reading+PA/@40.3369615,-75.9214385,14z",2025-09-29T00:54:24.802Z,LGBTQ+ friendly,,,
https://www.google.com/maps/place/Penn+State+Health+St.+Joseph+-+Cancer+Center/data=!4m7!3m6!1s0x89c677397c28c4e3:0xfd1be94dbc24eadc!8m2!3d40.3754423!4d-75.9785787!16s%2Fg%2F11tg4d9258!19sChIJ48QofDl3xokR3OokvE3pG_0,Penn State Health St. Joseph - Cancer Center,2.6,8,Cancer treatment center,"2494 Bernville Rd g04, Reading, PA 19605, United States","92GC+5H Reading, Pennsylvania, USA",https://www.pennstatehealth.org/locations/penn-state-health-st-joseph-cancer-center,+1 610-378-2117,Closed ⋅ Opens 8 am Mon,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Kt0D19Hrf1zSNhQ7xPikWQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=172.29872&pitch=0&thumbfov=100,true,Closed,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,Closed,"https://www.google.com/maps/search/Infusion+centers+in+Reading+PA/@40.3369615,-75.9214385,14z",2025-09-29T00:54:29.860Z,,,,
https://www.google.com/maps/place/Caron+Outpatient+Treatment+Center/data=!4m7!3m6!1s0x89c676ce3c3f2377:0xaa8cfb5f0cea2db6!8m2!3d40.347593!4d-75.9588579!16s%2Fg%2F1pp2wyb51!19sChIJdyM_PM52xokRti3qDF_7jKo,Caron Outpatient Treatment Center,3.9,12,Addiction treatment center,"845 N Park Rd, Wyomissing, PA 19610, United States","82XR+2F Wyomissing, Pennsylvania, USA",https://www.caron.org/locations/caron-outpatient-pennsylvania?utm_source=google&utm_medium=organic&utm_campaign=gmb,+1 877-544-5881,Closed ⋅ Opens 9 am Mon,https://lh3.googleusercontent.com/p/AF1QipMy718RKzWyc7e4bg-OIQ3FZ-5QXS49u_mDi24F=w408-h272-k-no,true,Closed,9 am–9 pm,8:30 am–9 pm,8:30 am–8 pm,8:30 am–9 pm,8:30 am–4 pm,Closed,"https://www.google.com/maps/search/Infusion+centers+in+Reading+PA/@40.3369615,-75.9214385,14z",2025-09-29T00:54:34.613Z,,,,
https://www.google.com/maps/place/New+Directions+Treatment+Services/data=!4m7!3m6!1s0x89c676cddc030c3b:0xbcb06210b8e46aff!8m2!3d40.3461587!4d-75.9587068!16s%2Fg%2F11crzs5807!19sChIJOwwD3M12xokR_2rkuBBisLw,New Directions Treatment Services,3.1,31,Mental health clinic,"832 N Park Rd, Wyomissing, PA 19610, United States","82WR+FG Wyomissing, Pennsylvania, USA",http://www.ndts.org/,+1 610-750-6130,Closed ⋅ Opens 8 am Mon,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=-ErLUmUrI-F5gn8zJxFuEQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=120.64745&pitch=0&thumbfov=100,false,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,"https://www.google.com/maps/search/Infusion+centers+in+Reading+PA/@40.3369615,-75.9214385,14z",2025-09-29T00:54:39.554Z,,,,
