placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,monday,tuesday,wednesday,thursday,friday,saturday,sunday,query,timestamp,info,attributes,isBlackOwned,error
https://www.google.com/maps/place/Wet+Kat+Pool+LLC/data=!4m7!3m6!1s0x54950a7ba79e8549:0x48cba61d1fcdc24a!8m2!3d45.5003968!4d-122.6523638!16s%2Fg%2F1tn05hvq!19sChIJSYWep3sKlVQRSsLNHx2my0g,Wet Kat Pool LLC,3.9,10,Pool cleaning service,"3111 SE 13th Ave Ste. 500, Portland, OR 97202, United States","G82X+53 Portland, Oregon, USA",http://www.wetkatpool.com/,+1 503-449-8881,Open ⋅ Closes 4 pm,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=HZtRty20lULLDHckV2pw3Q&cb_client=search.gws-prod.gps&w=408&h=240&yaw=292.91626&pitch=0&thumbfov=100,true,9 am–4 pm,9 am–4 pm,9 am–4 pm,9 am–4 pm,9 am–4 pm,Closed,Closed,"https://www.google.com/maps/search/pool+services+businesses+in+Downtown+Portland+Portland+OR/@45.5173454,-122.6835562,14z",2025-10-27T18:24:32.522Z,,,,
"https://www.google.com/maps/place/Cover+Care,+LLC/data=!4m7!3m6!1s0x54950b5c210f2d4f:0x8b8a5a81696cdd!8m2!3d45.5221871!4d-122.6762912!16s%2Fg%2F11nm_22fm7!19sChIJTy0PIVwLlVQR3WxpgVqKiwA","Cover Care, LLC",4.5,15,Swimming pool repair service,"111 SW 5th Ave Suite 3150, Portland, OR 97204, United States","G8CF+VF Portland, Oregon, USA",http://www.covercare.com/,+1 503-877-2277,Open ⋅ Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipOhznBHYY6No3bASr8iU9oUACAYiyik0ROUr8Ql=w408-h306-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,"https://www.google.com/maps/search/pool+services+businesses+in+Downtown+Portland+Portland+OR/@45.5173454,-122.6835562,14z",2025-10-27T18:24:38.510Z,,,,
https://www.google.com/maps/place/Neptune+Pools/data=!4m7!3m6!1s0x54950a3e55555555:0xb3cb18af2437c755!8m2!3d45.5055919!4d-122.6882164!16s%2Fg%2F1hc6vwkg7!19sChIJVVVVVT4KlVQRVcc3JK8Yy7M,Neptune Pools,5.0,4,Swimming pool contractor,"Portland, OR 97201, United States","G846+6P Portland, Oregon, USA",,+1 971-313-8057,Open 24 hours,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=1XRIZsbtLFyJbdGwkGEcIw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=208.06505&pitch=0&thumbfov=100,false,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Closed,"https://www.google.com/maps/search/pool+services+businesses+in+Downtown+Portland+Portland+OR/@45.5173454,-122.6835562,14z",2025-10-27T18:24:43.753Z,,,,
https://www.google.com/maps/place/Portland+Pool+Company/data=!4m7!3m6!1s0x83a27b08fc65bce9:0x6fc692f753d1b993!8m2!3d45.4819691!4d-122.622596!16s%2Fg%2F11ty73tkjp!19sChIJ6bxl_Ah7ooMRk7nRU_eSxm8,Portland Pool Company,5.0,5,Swimming pool contractor,,,https://www.portlandpoolco.com/,+1 503-809-5884,Open ⋅ Closes 7 pm,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxTZURnDy3j5DcHKNaqLGU1btBTbr_jtlP6K1Ek15TcJ0uEyCPs_6Lneaq9eq8O2Jb9YlyjR-9hKDme04AIHugzVTpKwqQJ0YGffjB4pkG6eYnnUVGns9JHMM5bwxj8xHg-WQKTiQ=w408-h306-k-no,true,7 am–7 pm,7 am–7 pm,7 am–7 pm,7 am–7 pm,7 am–7 pm,7 am–7 pm,7 am–5 pm,"https://www.google.com/maps/search/pool+services+businesses+in+Downtown+Portland+Portland+OR/@45.5173454,-122.6835562,14z",2025-10-27T18:24:48.550Z,,,,
https://www.google.com/maps/place/Rose+City+Pool+%26+Spa+LLC/data=!4m7!3m6!1s0x5495a3853c9a7579:0xa0eb1cb2cd020d42!8m2!3d45.5288915!4d-122.4630017!16s%2Fg%2F11ftmbqf_s!19sChIJeXWaPIWjlVQRQg0CzbIc66A,Rose City Pool & Spa LLC,5.0,121,Pool cleaning service,"818 NE 194th Ave, Portland, OR 97230, United States","GGHP+HQ Portland, Oregon, USA",https://rosecitypool.com/,+1 971-801-0303,Open ⋅ Closes 5 pm,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxOlGtNZLhTqo537ipmKrSShT6nQjyKqgml7l27Qd9DBZ4WnMzp81PHYnVzCVoSNaclXQHfg6hC2wU8WvA0Zr9gobCdUWDUEabpCcJREZckohYOvtm1L9LIyLbHI6HhpCjvTwrf=w408-h306-k-no,true,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,Closed,"https://www.google.com/maps/search/pool+services+businesses+in+Downtown+Portland+Portland+OR/@45.5173454,-122.6835562,14z",2025-10-27T18:24:53.554Z,,,,
https://www.google.com/maps/place/The+Royal+Sonesta+Portland+Downtown/data=!4m7!3m6!1s0x54950a0437aaa5e1:0x281ed1f91eb1949c!8m2!3d45.5201019!4d-122.6772547!16s%2Fg%2F1tfcsyfk!19sChIJ4aWqNwQKlVQRnJSxHvnRHig,The Royal Sonesta Portland Downtown,4.5,1900,,"506 SW Washington St, Portland, OR 97204, United States","G8CF+23 Portland, Oregon, USA",https://www.sonesta.com/royal-sonesta/or/portland/royal-sonesta-portland-downtown?utm_source=google&utm_medium=organic&utm_campaign=gmb,+1 503-222-0001,,https://lh3.googleusercontent.com/p/AF1QipOXNrb6NaLV59jFXn8Wmvflh2tvoqa1GOSa3D0i=w408-h273-k-no,true,,,,,,,,"https://www.google.com/maps/search/pool+services+businesses+in+Downtown+Portland+Portland+OR/@45.5173454,-122.6835562,14z",2025-10-27T18:24:57.021Z,,,,
https://www.google.com/maps/place/The+Pool+%26+Spa+House/data=!4m7!3m6!1s0x54950ac18e071623:0x7657b1e99f8167a6!8m2!3d45.4718269!4d-122.648745!16s%2Fg%2F1tdjqvv0!19sChIJIxYHjsEKlVQRpmeBn-mxV3Y,The Pool & Spa House,4.3,31,Swimming pool supply store,"7235 SE Milwaukie Ave, Portland, OR 97202, United States","F9C2+PG Portland, Oregon, USA",http://www.thepoolandspahouse.com/,+1 503-233-8059,Open ⋅ Closes 6 pm,https://lh3.googleusercontent.com/p/AF1QipOpeuKSaTIWqrvBakdDpG2RkTETjoahemlWUqcA=w408-h274-k-no,true,9 am–6 pm,9 am–6 pm,9 am–6 pm,9 am–6 pm,9 am–6 pm,9 am–5 pm,Closed,"https://www.google.com/maps/search/pool+services+businesses+in+Downtown+Portland+Portland+OR/@45.5173454,-122.6835562,14z",2025-10-27T18:25:01.991Z,,· In-store shopping · In-store pick-up,,
https://www.google.com/maps/place/Superb+pool+service/data=!4m7!3m6!1s0x549599c673230cd1:0xb848be65c3f42f19!8m2!3d45.5078727!4d-122.5159103!16s%2Fg%2F11jvqn9d02!19sChIJ0Qwjc8aZlVQRGS_0w2W-SLg,Superb pool service,4.5,8,Pool cleaning service,"2051 SE 143rd Ave, Portland, OR 97233, United States","GF5M+4J Portland, Oregon, USA",https://superbpoolservice.wixsite.com/superbpoolservice,+1 971-500-1876,,https://lh3.googleusercontent.com/p/AF1QipMVihjVitLLAzwVFxoM7prvBpXHoX2CwqtEQR0n=w426-h240-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,"https://www.google.com/maps/search/pool+services+businesses+in+Downtown+Portland+Portland+OR/@45.5173454,-122.6835562,14z",2025-10-27T18:25:06.844Z,,,,
https://www.google.com/maps/place/Teresa%27s+Pool+and+Spa+Care/data=!4m7!3m6!1s0x5495742190ef7bab:0x3ec1a3cc591ea426!8m2!3d45.3878724!4d-122.6021082!16s%2Fg%2F1tfv07nm!19sChIJq3vvkCF0lVQRJqQeWcyjwT4,Teresa's Pool and Spa Care,4.9,55,Pool cleaning service,"5954 Duniway Ave, Gladstone, OR 97207, United States","99QX+45 Gladstone, Oregon, USA",,+1 971-837-5632,"Open ⋅ Closes 7 pm

Updated by this business 3 weeks ago",https://lh3.googleusercontent.com/p/AF1QipPVq83DqNFgr98VWr6K_ibl0zA5JP1Rq8L7MnLO=w408-h498-k-no,true,5 am–7 pm,5 am–7 pm,5 am–7 pm,5 am–7 pm,5 am–7 pm,5 am–7 pm,5 am–7 pm,"https://www.google.com/maps/search/pool+services+businesses+in+Downtown+Portland+Portland+OR/@45.5173454,-122.6835562,14z",2025-10-27T18:25:11.815Z,LGBTQ+ friendly,,,
"https://www.google.com/maps/place/Elevated+Pool+and+Spa,+LLC/data=!4m7!3m6!1s0x54950b5aa72e9301:0x2d221d9923f9b689!8m2!3d45.4952805!4d-122.6543856!16s%2Fg%2F11jg1t5sb2!19sChIJAZMup1oLlVQRibb5I5kdIi0","Elevated Pool and Spa, LLC",4.7,15,Pool cleaning service,,,https://elevatedpoolspaor.com/,+1 503-858-8732,Open ⋅ Closes 6 pm,https://lh3.googleusercontent.com/p/AF1QipNt8NidjJJt7vbTTjx9yZMOpk8oX6wLXWrzo-4c=w426-h240-k-no,true,9 am–6 pm,9 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–6 pm,10 am–6 pm,Closed,"https://www.google.com/maps/search/pool+services+businesses+in+Downtown+Portland+Portland+OR/@45.5173454,-122.6835562,14z",2025-10-27T18:25:16.693Z,,,,
