placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,monday,tuesday,wednesday,thursday,friday,saturday,sunday,query,timestamp,attributes,info,isBlackOwned,error
https://www.google.com/maps/place/Spremulli+Tire/data=!4m7!3m6!1s0x8830f299fbd56103:0x8aa3ebaf9163d426!8m2!3d41.480549!4d-81.839201!16s%2Fg%2F1tctg7rz!19sChIJA2HV-5nyMIgRJtRjka_ro4o,Spremulli Tire,4.9,102,Auto repair shop,"19548 Detroit Rd, Rocky River, OH 44116, United States","F5J6+68 Rocky River, Ohio, USA",http://spremullitire.com/tires-auto-repair-rocky-river-oh,+1 440-331-4647,Open · Closes 5 pm,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqNE4emykMMYSd_jK33h8ZZ0gcbydcdlm_yhzPb0QMRbmbHjfBVrRVFL2iYTVW24p-oUTXMi8mFhGRHG_x6d3puRAV16IL2Z1TcCnQjiQ_nniq-MdHchG16aGy8sPk7zmt5XyfgrcOPjEVw=w408-h257-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,"https://www.google.com/maps/search/tire+service+in+Rocky+River+Cleveland+OH/@41.4768217,-81.8497567,14z",2026-03-23T14:49:25.114Z,,,,
https://www.google.com/maps/place/Firestone+Complete+Auto+Care/data=!4m7!3m6!1s0x8830ed5aacaee4cf:0x2ce3b2c65ae5d717!8m2!3d41.4613904!4d-81.8548596!16s%2Fg%2F1tf9nxhg!19sChIJz-SurFrtMIgRF9flWsay4yw,Firestone Complete Auto Care,4.4,469,Tire shop,"21210 Center Ridge Rd, Rocky River, OH 44116, United States","F46W+H3 Rocky River, Ohio, USA",https://www.firestonecompleteautocare.com/ohio/rocky-river/21210-center-ridge-rd/?utm_source=google&utm_medium=organic&utm_campaign=localmaps&cmp=oloc_google_localmaps_maps,+1 440-462-1853,"Open · Closes 7 pm

Confirmed by this business 7 weeks ago",https://lh3.googleusercontent.com/gps-cs-s/AHVAweqoDhWyetHFEC1Zu1MiS-NFl1ei0HMe7-tBX7tah_yP5RW557Xobj9JWt4JElm1NZugKB-mS_rIEIktII32dUowvkTzqt_dbHaEaSiZNYFF8U-PQYHBmEezz1dkPi3U2IQK2bwUT93hQVok=w408-h316-k-no,true,7 am–7 pm,7 am–7 pm,7 am–7 pm,7 am–7 pm,7 am–7 pm,7 am–6 pm,9 am–5 pm,"https://www.google.com/maps/search/tire+service+in+Rocky+River+Cleveland+OH/@41.4768217,-81.8497567,14z",2026-03-23T14:49:31.414Z,· In-store shopping · Kerbside pickup,LGBTQ+ friendly,,
https://www.google.com/maps/place/Mr.+Tire+Auto+Service+Centers/data=!4m7!3m6!1s0x8830ed9847e99bdd:0xdcb2f368781e4c41!8m2!3d41.4511741!4d-81.8128232!16s%2Fg%2F1tdgqgq7!19sChIJ3ZvpR5jtMIgRQUweeGjzstw,Mr. Tire Auto Service Centers,4.5,505,Tire shop,"16420 Lorain Ave, Cleveland, OH 44111, United States","F52P+FV Cleveland, Ohio, USA",https://locations.mrtire.com/oh/cleveland/16420-lorain-avenue?&utm_source=google&utm_medium=organic&utm_campaign=gbp-listing-store_473,+1 216-941-0700,Open · Closes 7 pm,https://lh3.googleusercontent.com/gps-cs-s/AHVAweo-LsOmG2t4cEHeUDU2bc6HaQ2riURMbJUP54xG1Lqq4uUIoP_i1VxSa7EDDN2ztic7jNJpKYkzH9kp-avxA2i5y5yNxHLJJ0QR9sFF63hFKjz2_4JT4yojtdiNdwQDrYVOfRATPw=w408-h408-k-no,true,7:30 am–7 pm,7:30 am–7 pm,7:30 am–7 pm,7:30 am–7 pm,7:30 am–7 pm,7:30 am–6 pm,Closed,"https://www.google.com/maps/search/tire+service+in+Rocky+River+Cleveland+OH/@41.4768217,-81.8497567,14z",2026-03-23T14:49:36.652Z,· In-store shopping · In-store pick-up,LGBTQ+ friendly,,
https://www.google.com/maps/place/Conrad%27s+Tire+Express+%26+Total+Car+Care/data=!4m7!3m6!1s0x8830ed4f08e10bc3:0x34bf882a6412ab94!8m2!3d41.4601625!4d-81.8570291!16s%2Fg%2F1tdfnxn4!19sChIJwwvhCE_tMIgRlKsSZCqIvzQ,Conrad's Tire Express & Total Car Care,4.3,395,Auto repair shop,"21399 Center Ridge Rd, Rocky River, OH 44116, United States","F46V+35 Rocky River, Ohio, USA",https://econrads.com/?utm_source=google&utm_medium=GBP&utm_campaign=organic,+1 440-333-8400,Open · Closes 6 pm,https://lh3.googleusercontent.com/gps-cs-s/AHVAwepKXzu3qk-bvJxQHRG-2yiAeW1tCVesrqqpIbDYWe3ptiqV1wXPXj-6fei4BM4AddrwMkOGG_vAQhN2gyWI2Xk0gAbIvpO_e5kJ3RS5TdZG_krGtoZF_sBqYeyO3vHORc_K2BTh=w648-h240-k-no,true,7:30 am–6 pm,7:30 am–6 pm,7:30 am–6 pm,7:30 am–6 pm,7:30 am–6 pm,8 am–5 pm,Closed,"https://www.google.com/maps/search/tire+service+in+Rocky+River+Cleveland+OH/@41.4768217,-81.8497567,14z",2026-03-23T14:49:41.743Z,,,,
https://www.google.com/maps/place/Drellishak%27s+Service/data=!4m7!3m6!1s0x8830ed4fb19a2431:0xcc84e68d5228924b!8m2!3d41.4608216!4d-81.8574861!16s%2Fg%2F1vknq0g5!19sChIJMSSasU_tMIgRS5IoUo3mhMw,Drellishak's Service,4.8,127,Auto repair shop,"21512 Center Ridge Rd, Rocky River, OH 44116, United States","F46V+82 Rocky River, Ohio, USA",http://drellishakservice.com/,+1 440-333-9933,Open · Closes 5:30 pm,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqV4A-Bdgmv6dZzZiZ2s0vjLCvFsgo1fInnmJAKZZc9mTx00xMxb-jMmeujqt8OaB2qa9R10EUwmvyFEm1UFHkN-ilx2cor9yOWBJPJyW7zzmJ-LIekKcJ59Fn3qzUc-Oy0xEF1=w426-h240-k-no,true,8 am–5:30 pm,8 am–5:30 pm,8 am–5:30 pm,8 am–5:30 pm,8 am–5:30 pm,Closed,Closed,"https://www.google.com/maps/search/tire+service+in+Rocky+River+Cleveland+OH/@41.4768217,-81.8497567,14z",2026-03-23T14:49:46.663Z,,,,
https://www.google.com/maps/place/River+Automotive+LLC/data=!4m7!3m6!1s0x8830f29df7302a8b:0x1245bc52f9fa8127!8m2!3d41.4713899!4d-81.8376422!16s%2Fg%2F1tjz8llx!19sChIJiyow953yMIgRJ4H6-VK8RRI,River Automotive LLC,4.8,109,Auto repair shop,"19400 Hilliard Blvd, Rocky River, OH 44116, United States","F5C6+HW Rocky River, Ohio, USA",,+1 440-331-4933,Open · Closes 6 pm,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=z_6GllStpIa3DlKBQtDL4w&cb_client=search.gws-prod.gps&w=408&h=240&yaw=6.261587&pitch=0&thumbfov=100,false,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–6 pm,Closed,Closed,"https://www.google.com/maps/search/tire+service+in+Rocky+River+Cleveland+OH/@41.4768217,-81.8497567,14z",2026-03-23T14:49:52.229Z,,,,
https://www.google.com/maps/place/Royal%27s+Service+Center/data=!4m7!3m6!1s0x8830eda16940e299:0xa6bd390ce99fa060!8m2!3d41.446174!4d-81.8176027!16s%2Fg%2F1tf71l01!19sChIJmeJAaaHtMIgRYKCf6Qw5vaY,Royal's Service Center,4.7,70,Auto repair shop,"3985 Rocky River Dr, Cleveland, OH 44111, United States","C5WJ+FX Cleveland, Ohio, USA",,+1 216-252-4040,Open · Closes 5 pm,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Livij6mHY6mfFp4_m9BOTQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=186.32349&pitch=0&thumbfov=100,false,7 am–5 pm,7 am–5 pm,7 am–5 pm,7 am–5 pm,7 am–5 pm,Closed,Closed,"https://www.google.com/maps/search/tire+service+in+Rocky+River+Cleveland+OH/@41.4768217,-81.8497567,14z",2026-03-23T14:49:57.914Z,,,,
https://www.google.com/maps/place/Take+5+Oil+Change/data=!4m7!3m6!1s0x8830ed4fa8ca6e73:0x8c2393f09f60b75e!8m2!3d41.460102!4d-81.8573453!16s%2Fg%2F1wzt304q!19sChIJc27KqE_tMIgRXrdgn_CTI4w,Take 5 Oil Change,4.6,709,Oil change service,"21459 Center Ridge Rd, Cleveland, OH 44116, United States","F46V+23 Cleveland, Ohio, USA",https://www.take5.com/locations/oil-change/ohio/fairview-park/30146/?utm_source=google&utm_medium=organic&utm_campaign=gbp_website,+1 440-462-1917,Open · Closes 8 pm,https://lh3.googleusercontent.com/gps-cs-s/AHVAweoEVkmGqQJnqBK0qVnue6gQ7QRnYl2X0RK5PCjVR_LUAyfjpHGJNF2nUBurH9xcm5RYrMushd4-QH5fBlktL8gR8Rjb4bz2AR1iEd9G08FwIvWGfusBdmtqVCDs5qv_9fATbsMy2A=w426-h240-k-no,true,7 am–8 pm,7 am–8 pm,7 am–8 pm,7 am–8 pm,7 am–8 pm,7 am–8 pm,8 am–6 pm,"https://www.google.com/maps/search/tire+service+in+Rocky+River+Cleveland+OH/@41.4768217,-81.8497567,14z",2026-03-23T14:50:03.397Z,,,,
https://www.google.com/maps/place/Complete+Automotive+Repair+Service/data=!4m7!3m6!1s0x8830ed7254630605:0xde567d856168ab5!8m2!3d41.4534328!4d-81.8309364!16s%2Fg%2F1tm1r32w!19sChIJBQZjVHLtMIgRtYoWVthn5Q0,Complete Automotive Repair Service,4.8,86,Auto repair shop,"18990 Lorain Rd, Cleveland, OH 44126, United States","F539+9J Cleveland, Ohio, USA",http://www.completeautomotivefairview.com/,+1 440-331-2274,Open · Closes 5 pm,https://lh3.googleusercontent.com/gps-cs-s/AHVAwer80JA5Rfe_G816OzLlz8e3JvQ7u5-eLtZgJFbg-ocm639selPTCt8wknx-cFkxcyHJtRKWbHkDZlYuKQVq3QFwxWRymIyoIo4rnUTBoUaXh9ehNG6l4iff06xGEyrX-sUSWC24=w426-h240-k-no,true,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,Closed,Closed,"https://www.google.com/maps/search/tire+service+in+Rocky+River+Cleveland+OH/@41.4768217,-81.8497567,14z",2026-03-23T14:50:08.472Z,,,,
https://www.google.com/maps/place/Valvoline+Instant+Oil+Change/data=!4m7!3m6!1s0x8830ed84fac25797:0x1d1e338adea86a1d!8m2!3d41.46156!4d-81.85411!16s%2Fg%2F11rc_z28dp!19sChIJl1fC-oTtMIgRHWqo3oozHh0,Valvoline Instant Oil Change,4.5,248,Oil change service,"21114 Center Ridge Rd, Rocky River, OH 44116, United States","F46W+J9 Rocky River, Ohio, USA",https://store.vioc.com/oh/rocky-river/21114-center-ridge-road?utm_source=google&utm_medium=local&utm_campaign=localsearch,+1 216-727-3574,"Open · Closes 7 pm

Confirmed by this business 9 weeks ago",https://lh3.googleusercontent.com/gps-cs-s/AHVAweppN89uDvgEy2aV64S-qUje2I2N4av4-7uz2a56zl4QXofSN3wYeawMfBG81GI5Xxv9hBn9HlIK6MZKbGlJGBJjr-rhwmfraoRENwIDIl9UfAXRKwcIzF4Liwgl_XcnWy-yzH9qzlJp9UWB=w426-h240-k-no,true,8 am–7 pm,8 am–7 pm,8 am–7 pm,8 am–7 pm,8 am–7 pm,8 am–6 pm,9 am–4 pm,"https://www.google.com/maps/search/tire+service+in+Rocky+River+Cleveland+OH/@41.4768217,-81.8497567,14z",2026-03-23T14:50:13.874Z,,,,
