placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,monday,tuesday,wednesday,thursday,friday,saturday,sunday,query,timestamp,info,attributes,error
https://www.google.com/maps/place/Royal+Plumbing/data=!4m7!3m6!1s0x54d2ece86f1c228b:0x5df4cb697a92b2e7!8m2!3d40.4662506!4d-122.319133!16s%2Fg%2F1tr7cjql!19sChIJiyIcb-js0lQR57KSemnL9F0,Royal Plumbing,4.9,506,Plumber,"19810 Hirsch Ct, Anderson, CA 96007, United States","FM8J+G8 Anderson, California, USA",http://www.royalplumbingredding.com/,+1 530-734-2252,,https://lh3.googleusercontent.com/p/AF1QipNrBuAEmYHjMssFtsrfcW9JIaE_IoskicJjhklJ=w408-h306-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/plumbing++services+in+Anderson+Redding+CA/@40.4482,-122.2967,14z",2025-11-11T05:36:02.067Z,,,
https://www.google.com/maps/place/Accurate+Plumbing+-+Redding/data=!4m7!3m6!1s0x54d2c1830039a38d:0xea8d3b05a133f499!8m2!3d40.4661396!4d-122.319285!16s%2Fg%2F11w8dt0mpn!19sChIJjaM5AIPB0lQRmfQzoQU7jeo,Accurate Plumbing - Redding,5.0,19,Plumber,"19806 Hirsch Ct Suite 3, Anderson, CA 96007, United States","FM8J+F7 Anderson, California, USA",https://accurateplumbingservices.net/,+1 530-227-1717,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipN8qHQny3dwJl-PBHtQ7C_vHFKtQmSfe6pXZJIo=w426-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/plumbing++services+in+Anderson+Redding+CA/@40.4482,-122.2967,14z",2025-11-11T05:36:07.543Z,,,
https://www.google.com/maps/place/Enterprise+Plumbing/data=!4m7!3m6!1s0x54d2c18522f4c275:0xb23e1432d663f33b!8m2!3d40.467172!4d-122.3166977!16s%2Fg%2F1tfm15mh!19sChIJdcL0IoXB0lQRO_Nj1jIUPrI,Enterprise Plumbing,3.9,18,Plumber,"19869 Hirsch Ct, Anderson, CA 96007, United States","FM8M+V8 Anderson, California, USA",https://www.enterpriseplumbingservice.com/,+1 530-221-5525,Closed ⋅ Opens 8 am Tue,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=gM5W1n8dMUlJc9RNc4HcZQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=99.64618&pitch=0&thumbfov=100,true,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,Closed,Closed,"https://www.google.com/maps/search/plumbing++services+in+Anderson+Redding+CA/@40.4482,-122.2967,14z",2025-11-11T05:36:12.969Z,,,
https://www.google.com/maps/place/Bulletproof+Plumbing/data=!4m7!3m6!1s0xad18812a1f06c08f:0xe0f723d6e9f78cf3!8m2!3d40.4647041!4d-122.3206217!16s%2Fg%2F11x5rf6p6w!19sChIJj8AGHyqBGK0R84z36dYj9-A,Bulletproof Plumbing,5.0,28,Plumber,"19771 Hirsch Ct, Anderson, CA 96007, United States","FM7H+VQ Anderson, California, USA",https://bulletproofplumbing.net/,+1 530-338-5888,Closed ⋅ Opens 8 am Tue,https://lh3.googleusercontent.com/p/AF1QipOjvB0D-3xP4wOQxUhCv3pVP_OiZ_vWAjwEfyzw=w408-h544-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,"https://www.google.com/maps/search/plumbing++services+in+Anderson+Redding+CA/@40.4482,-122.2967,14z",2025-11-11T05:36:17.827Z,,,
https://www.google.com/maps/place/Cascade+Plumbing+%26+Rooter/data=!4m7!3m6!1s0x2c1a328c2c94df89:0x2b442f2a434299e9!8m2!3d40.5657524!4d-121.8371185!16s%2Fg%2F11s7qcck35!19sChIJid-ULIwyGiwR6ZlCQyovRCs,Cascade Plumbing & Rooter,4.7,31,Plumber,,,,+1 530-691-0000,Closed ⋅ Opens 8 am Tue,https://lh3.googleusercontent.com/p/AF1QipMS_hbPNhfPa2vQGrHSEcNBiLtlMK1E04LgMvQ=w408-h306-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 am,10 am–2 pm,10 am–2 pm,"https://www.google.com/maps/search/plumbing++services+in+Anderson+Redding+CA/@40.4482,-122.2967,14z",2025-11-11T05:36:22.734Z,,,
https://www.google.com/maps/place/Bradley+Plumbing/data=!4m7!3m6!1s0x54d2929aac7f0a6f:0x434fcec1198dcb0b!8m2!3d40.4659385!4d-122.3194539!16s%2Fg%2F1td32sh0!19sChIJbwp_rJqS0lQRC8uNGcHOT0M,Bradley Plumbing,5.0,2,Plumber,"19800 Hirsch Ct #4, Anderson, CA 96007, United States","FM8J+96 Anderson, California, USA",,+1 530-355-5965,Closed ⋅ Opens 8 am Tue,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=rCS9UV3pAuAZs46o6MIHDw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=303.88806&pitch=0&thumbfov=100,false,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/plumbing++services+in+Anderson+Redding+CA/@40.4482,-122.2967,14z",2025-11-11T05:36:27.617Z,,,
https://www.google.com/maps/place/Mann+Plumbing/data=!4m7!3m6!1s0x54d2c22bce2caf3d:0xcd37a0ac8374a39e!8m2!3d40.4585875!4d-122.3244028!16s%2Fg%2F1tjmdd5c!19sChIJPa8szivC0lQRnqN0g6ygN80,Mann Plumbing,5.0,6,Plumber,"Anderson, CA 96007, United States","FM5G+C6 Anderson, California, USA",,+1 530-365-6960,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=4E_xmg9gPRIARskYgYYMHQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=227.07986&pitch=0&thumbfov=100,false,,,,,,,,"https://www.google.com/maps/search/plumbing++services+in+Anderson+Redding+CA/@40.4482,-122.2967,14z",2025-11-11T05:36:30.503Z,,,
https://www.google.com/maps/place/Roto-Rooter+Plumbers/data=!4m7!3m6!1s0x54d294492941e26d:0xee5c5ea7de21ac76!8m2!3d40.491603!4d-122.3167443!16s%2Fg%2F1tfbn1cv!19sChIJbeJBKUmU0lQRdqwh3qdeXO4,Roto-Rooter Plumbers,4.3,70,Plumber,"19960 Countryside Ln, Redding, CA 96002, United States","FMRM+J8 Redding, California, USA",http://www.rotorooterredding.com/,+1 530-221-7686,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzAp7zDPD02TeCRL2TAy2ZZ-W_1uY1FHp-JwNRK9DkIsarE7OfT9cFwhCH4rzS5zmyp1gIcyWFl4_SDd0STVOilWXFrISGw7NbwTfg5XQaaP56VxhmNO-4ZIuiezAPc7my5vuencg=w408-h906-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/plumbing++services+in+Anderson+Redding+CA/@40.4482,-122.2967,14z",2025-11-11T05:36:35.611Z,,,
"https://www.google.com/maps/place/J%26J+Pumps,+Inc./data=!4m7!3m6!1s0x54d2ea5a9db9fd97:0x2a9cda913ee6d09e!8m2!3d40.4319872!4d-122.283709!16s%2Fg%2F1tf69sdp!19sChIJl_25nVrq0lQRntDmPpHanCo","J&J Pumps, Inc.",4.8,162,Water pump supplier,"4952 S Barney Rd, Anderson, CA 96007, United States","CPJ8+QG Anderson, California, USA",http://jandjpumps.com/,+1 530-222-3393,Closed ⋅ Opens 7:30 am Tue,https://lh3.googleusercontent.com/p/AF1QipMfneXNFFQURlSvd31RoxC3GgBg5ZmgiygqQzJZ=w427-h240-k-no,true,7:30 am–4 pm,7:30 am–4 pm,7:30 am–4 pm,7:30 am–4 pm,7:30 am–4 pm,Closed,Closed,"https://www.google.com/maps/search/plumbing++services+in+Anderson+Redding+CA/@40.4482,-122.2967,14z",2025-11-11T05:36:40.601Z,,,
https://www.google.com/maps/place/Earl%27s+Performance+Plumbing/data=!4m7!3m6!1s0x54d2eca10885c723:0x7f88dcf3fdd72528!8m2!3d40.5159665!4d-122.3799216!16s%2Fg%2F1wfcnwn_!19sChIJI8eFCKHs0lQRKCXX_fPciH8,Earl's Performance Plumbing,4.8,2300,Plumber,"6841 Eastside Rd Ste F, Redding, CA 96001, United States","GJ8C+92 Redding, California, USA",https://www.earlsplumbing.net/,+1 530-244-3275,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipOLS1hIWrlKGSOJyaFFCv40J2L4K9g4XDVxc3R3=w426-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/plumbing++services+in+Anderson+Redding+CA/@40.4482,-122.2967,14z",2025-11-11T05:36:45.571Z,,,
