placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,wednesday,thursday,friday,saturday,sunday,monday,tuesday,query,timestamp,info,attributes,isBlackOwned
https://www.google.com/maps/place/JOE%27S+TREE+SERVICE./data=!4m7!3m6!1s0x89c3c0a04e95be19:0xd95f77ea4ce6d13a!8m2!3d29.4378632!4d-98.5106395!16s%2Fg%2F1q5gpkfh_!19sChIJGb6VTqDAw4kROtHmTOp3X9k,JOE'S TREE SERVICE.,4.6,42,Tree service,"1118 N Smith St, San Antonio, TX 78207, United States","CFQQ+4P San Antonio, Texas, USA",https://joestreeserviceandlandscaping.net/,+1 210-355-5345,Closed · Opens 7 am,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHvqjIO823qXfwmVZ_sGWkUCYGeu0WPac-kfHxDCOc7ot-pdN-9EtMmV9uUYM2UXiUGAmgweWkTV6zEOulsqEw03BaIPn-v4R3_543XQFI5E2ris0IwCF91DBRjZ-WfF8l5Spi8=w408-h544-k-no,false,7 am–8 pm,7 am–8 pm,7:30 am–8 pm,7 am–8 pm,Closed,7 am–8 pm,7 am–8 pm,"https://www.google.com/maps/search/tree+service+businesses+in+Downtown+San+Antonio+San+Antonio+TX/@29.4239862,-98.4916586,14z",2026-04-29T06:58:40.663Z,,,
https://www.google.com/maps/place/TEXANS+TREE+SERVICE/data=!4m7!3m6!1s0x865cf5fb7606e765:0x9eb1794217be1ec3!8m2!3d29.4313046!4d-98.4568493!16s%2Fg%2F11fp8r3tkj!19sChIJZecGdvv1XIYRwx6-F0J5sZ4,TEXANS TREE SERVICE,5.0,12,Tree service,"Lamar St, San Antonio, TX 78202, United States","CGJV+G7 San Antonio, Texas, USA",,+1 210-322-3689,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEwtwyQN4SrQ2S2f-4-vDZeb_tCAarmKFZEWY0RpWIi2-dlz97lh3dppu8x7WNIU2ICU1oLiG1G9T12xO1UUYepZqlxp9Qe0F7hTGyyzzfX0x6d1ozWvref3YuOMM8o1X37CinsSQ=w558-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/tree+service+businesses+in+Downtown+San+Antonio+San+Antonio+TX/@29.4239862,-98.4916586,14z",2026-04-29T06:58:46.735Z,,,
https://www.google.com/maps/place/Time+Out+Tree/data=!4m7!3m6!1s0x865c58aac69c67c3:0x5a7311b1bde291c8!8m2!3d29.4245661!4d-98.4860043!16s%2Fg%2F1262lly97!19sChIJw2ecxqpYXIYRyJHivbERc1o,Time Out Tree,,,Tree service,"204T Alamo Plaza, San Antonio, TX 78205, United States","CGF7+RH San Antonio, Texas, USA",,+1 210-229-0662,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=d40pASIQ3WKbpurLWSLOpQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=23.968046&pitch=0&thumbfov=100,false,,,,,,,,"https://www.google.com/maps/search/tree+service+businesses+in+Downtown+San+Antonio+San+Antonio+TX/@29.4239862,-98.4916586,14z",2026-04-29T06:58:49.242Z,,,
"https://www.google.com/maps/place/J%26T+Texas+Tree+Service+-+Affordable+and+Quality+Tree+Trimming+Service,+Tree+Removal+Service/data=!4m7!3m6!1s0x2357d4a67d9a8265:0x9d0ce5022cabced5!8m2!3d29.4581826!4d-98.518079!16s%2Fg%2F11sc2bw9sz!19sChIJZYKafabUVyMR1c6rLALlDJ0","J&T Texas Tree Service - Affordable and Quality Tree Trimming Service, Tree Removal Service",5.0,251,Tree service,,,https://treeservicesanantonio-tx.com/,+1 210-942-2140,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEAVh6XRvje7xWP25Z4Hofdq8DDFgPjQkMZr1t86sbWrrFlekIoUrw8lkTN9Q7af-orSzWUFnAhm6LTp4FSARr_gPsJArXBZBXHnPFyyh0XouqDXkcYXLdRxvG6mOKJw33NO894KA=w408-h306-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/tree+service+businesses+in+Downtown+San+Antonio+San+Antonio+TX/@29.4239862,-98.4916586,14z",2026-04-29T06:58:53.917Z,,,
https://www.google.com/maps/place/Tree+Wise+Men./data=!4m7!3m6!1s0x865c5f7aaaaaaaab:0xda9c37c2c974eefe!8m2!3d29.4761103!4d-98.4919354!16s%2Fg%2F1w4f8jgj!19sChIJq6qqqnpfXIYR_u50ycI3nNo,Tree Wise Men.,4.1,20,Tree service,"4823 McCullough Ave, San Antonio, TX 78212, United States","FGG5+C6 San Antonio, Texas, USA",http://www.treewisemen.net/,+1 210-737-8733,Closed · Opens 9 am,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFd7TirWqkWRggRT154gnaprRrZuY31jiIel9mP06AvVaLU3qyq1pg_Bie9IiXi-ov_IID_tDO_DmDUMEETFCiTx51S64vrZTD3JvZlZOGXbkiBVk3EZroY_v5_UNo4rzpx39A=w408-h306-k-no,false,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–7 pm,Closed,9 am–5 pm,9 am–5 pm,"https://www.google.com/maps/search/tree+service+businesses+in+Downtown+San+Antonio+San+Antonio+TX/@29.4239862,-98.4916586,14z",2026-04-29T06:58:58.870Z,,,
https://www.google.com/maps/place/Graham%27s+Tree+Service/data=!4m7!3m6!1s0x89aa1d9faa94ce85:0x61937eda3af4761c!8m2!3d29.534559!4d-98.7561095!16s%2Fg%2F11h4tpxl2b!19sChIJhc6Uqp8dqokRHHb0Otp-k2E,Graham's Tree Service,4.8,47,Tree service,,,http://www.grahamstrees.com/,+1 210-741-0913,Closed · Opens 8 am,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHOY9LgIYQ_2L_rwUZhsAfA-Ym6vtPuplxDD8Qo3IpRXaJFKoXa3xmdZsNhyHnLLt8hr11p02FucO9097YZQFad6eTB0-8vDnQrJWE1qjR-mazFhS15rHkQlI5RYOfUWnapu9It=w408-h544-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–5 am,8 am–5 pm,"https://www.google.com/maps/search/tree+service+businesses+in+Downtown+San+Antonio+San+Antonio+TX/@29.4239862,-98.4916586,14z",2026-04-29T06:59:03.578Z,,,
https://www.google.com/maps/place/Berrios+tree+service/data=!4m7!3m6!1s0x865c5f6a561abfdb:0x7cca5914b149dfd5!8m2!3d29.460248!4d-98.464644!16s%2Fg%2F11fk8c9dr0!19sChIJ278aVmpfXIYR1d9JsRRZynw,Berrios tree service,5.0,30,Arborist service,,,https://www.berriostreeservice.com/,+1 210-409-0076,Closed · Opens 6 am,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEhTJR-uz76k60-Hb24vbtPMCXK-NxuKvFUv3Hv00rLrsWan4wFOo1Q2FfqYpdfcanH3FxgrXK8N1WYO94ANSvzMQKSsKLID6ps8_wR5mCQP4d82FA7_dFR9j6J5DUMoOd57J4=w425-h240-k-no,true,6 am–7 pm,6 am–7 pm,6 am–7 pm,6 am–7 pm,6 am–7 pm,6 am–7 pm,6 am–7 pm,"https://www.google.com/maps/search/tree+service+businesses+in+Downtown+San+Antonio+San+Antonio+TX/@29.4239862,-98.4916586,14z",2026-04-29T06:59:08.389Z,,,
https://www.google.com/maps/place/ProGreen+Arbor+Care/data=!4m7!3m6!1s0x865cf7bec1c1b501:0xefb5d3a87ff6bba9!8m2!3d29.3961964!4d-98.4868471!16s%2Fg%2F11kj5c6yp0!19sChIJAbXBwb73XIYRqbv2f6jTte8,ProGreen Arbor Care,5.0,17,Arborist service,"807 Roosevelt Ave, San Antonio, TX 78210, United States","9GW7+F7 San Antonio, Texas, USA",https://progreenarborcare.com/,+1 210-947-7015,Open · Closes 5 am · Reopens 8 am,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEiCuSfxxzMolaCm20K7eHqcePCl57tn8EYqfyoj7dGpU_OTc2e5T6ZT0SW263qmE8ofdlwb8hu1vwZi9ymTmvSl9ZLFVp2vkA6uPYaFXQyfyPlXVvWsdd1cWiDg-oj_Vq7VcoQ=w426-h240-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–5 pm,8 am–5 am,"https://www.google.com/maps/search/tree+service+businesses+in+Downtown+San+Antonio+San+Antonio+TX/@29.4239862,-98.4916586,14z",2026-04-29T06:59:13.155Z,,,
https://www.google.com/maps/place/Luna%27s+Tree+Service/data=!4m7!3m6!1s0x865c5fba0821cce9:0x208a1b5e166ce4ee!8m2!3d29.4535577!4d-98.5546458!16s%2Fg%2F11hf27_y5p!19sChIJ6cwhCLpfXIYR7uRsFl4biiA,Luna's Tree Service,4.9,98,Tree service,"231 Notre Dame Dr, San Antonio, TX 78228, United States","FC3W+C4 San Antonio, Texas, USA",https://www.lunastreeservice.com/,+1 210-461-0590,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/APNQkAE7IxnLbuhp0DYGGFiyO8bU8fu-aMWKuUa8D-4Kd5MlChMWCdPrJtGsUMQsZ20U7FzpShbbr8A1gSDMuAJiYhUcS7nSaxxV8OHZDgiU2Cv_hxxGaqOPNh1hr2XFXOd1l23Eu9qFcA=w426-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/tree+service+businesses+in+Downtown+San+Antonio+San+Antonio+TX/@29.4239862,-98.4916586,14z",2026-04-29T06:59:17.866Z,,,
https://www.google.com/maps/place/Ranger+Tree+Service/data=!4m7!3m6!1s0x865c592b42ce17a7:0x1a5cab7f9a5c41b6!8m2!3d29.5729985!4d-98.521141!16s%2Fg%2F11n8v52x6r!19sChIJpxfOQitZXIYRtkFcmn-rXBo,Ranger Tree Service,4.9,37,Tree service,,,https://tx-treeservice.com/,+1 726-256-8293,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHPyxbGqVk3eQjFkX3KRj3VHeXMH9271jMgsjySo13fvsCMFGYoYjKyHgYG4lu7-ARwsyU2QzR2whdHkktoqImKaBTZi7Qe1vnwYQ-kQV_j4NoO_DXsD4i44v9rh-mWn1TxfBbQ=w408-h544-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/tree+service+businesses+in+Downtown+San+Antonio+San+Antonio+TX/@29.4239862,-98.4916586,14z",2026-04-29T06:59:22.516Z,,,
