placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,wednesday,thursday,friday,saturday,sunday,monday,tuesday,query,timestamp,info,attributes,isBlackOwned
https://www.google.com/maps/place/Gentiva+Hospice/data=!4m7!3m6!1s0x88e7656c1d7c24fb:0x6356c97b58c26e7b!8m2!3d28.5659146!4d-81.3281324!16s%2Fg%2F1tmpwt2d!19sChIJ-yR8HWxl54gRe27CWHvJVmM,Gentiva Hospice,4.5,35,Hospice,"4776 New Broad St #200, Orlando, FL 32814, United States","HM8C+9P Orlando, Florida, USA",https://www.gentivahs.com/,+1 407-514-1300,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipMvH8VcKEFEjTSRlnJzTAxAE6HW1Y04FoZMzZTf=w426-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Hospice+clinics+in+Winter+Park+Orlando+FL/@28.5949767,-81.3508787,14z",2025-09-18T00:04:58.283Z,,,
https://www.google.com/maps/place/BAYADA+Assistive+Care/data=!4m7!3m6!1s0x88e76f9621e63083:0xa00ece8a4d18cd22!8m2!3d28.6155856!4d-81.3099164!16s%2Fg%2F1263x7ph6!19sChIJgzDmIZZv54gRIs0YTYrODqA,BAYADA Assistive Care,4.8,78,Home health care service,"1890 FL-436 Suite 315, Winter Park, FL 32792, United States","JM8R+62 Winter Park, Florida, USA",https://www.bayada.com/personal-care-and-companionship/locations/fl/winter-park/1890-state-rd-436-suite-315/10090?utm_source=google&utm_medium=local&utm_campaign=google-my-business&utm_content=local-listings,+1 407-679-0500,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipNZq5GvEwEN7YZcPI4NPBObBfSU3YQ0DZ0KwL2R=w426-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Hospice+clinics+in+Winter+Park+Orlando+FL/@28.5949767,-81.3508787,14z",2025-09-18T00:05:04.557Z,LGBTQ+ friendly,,
https://www.google.com/maps/place/AdventHealth+Orlando+Hospice/data=!4m7!3m6!1s0x88e77b74a92b01d3:0x18e5ee1134bfa929!8m2!3d28.5751245!4d-81.3696726!16s%2Fg%2F11wvmyl_zm!19sChIJ0wErqXR754gRKam_NBHu5Rg,AdventHealth Orlando Hospice,,,Hospice,"601 E Rollins St, Orlando, FL 32803, United States","HJGJ+24 Orlando, Florida, USA",https://www.adventhealth.com/our-services/hospice-care,+1 407-682-0808,Open 24 hours,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=LeHhxeZrdUllMgIV_MBHtA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=42.919373&pitch=0&thumbfov=100,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Hospice+clinics+in+Winter+Park+Orlando+FL/@28.5949767,-81.3508787,14z",2025-09-18T00:05:09.322Z,,,
https://www.google.com/maps/place/ADVENTHEALTH+MEDICAL+GROUP+PALLIATIVE+CARE+AT+ORLANDO/data=!4m7!3m6!1s0x88e77a9ab9d2a6bf:0xffb45fbef24528ee!8m2!3d28.5745584!4d-81.372208!16s%2Fg%2F11c59x70ks!19sChIJv6bSuZp654gR7ihF8r5ftP8,ADVENTHEALTH MEDICAL GROUP PALLIATIVE CARE AT ORLANDO,1.5,2,Hospital department,"2501 N Orange Ave Suite 235, Orlando, FL 32804, United States","HJFH+R4 Orlando, Florida, USA",https://www.adventhealth.com/hospital/adventhealth-orlando/palliative-care,+1 407-303-7270,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=cVLOhrRQ6Tft9CRo5mFX6Q&cb_client=search.gws-prod.gps&w=408&h=240&yaw=143.85591&pitch=0&thumbfov=100,true,,,,,,,,"https://www.google.com/maps/search/Hospice+clinics+in+Winter+Park+Orlando+FL/@28.5949767,-81.3508787,14z",2025-09-18T00:05:12.238Z,,,
https://www.google.com/maps/place/AdventHealth+Winter+Park/data=!4m7!3m6!1s0x88e76fef2490bc53:0xdbdbe7727fa51f27!8m2!3d28.5983771!4d-81.3268672!16s%2Fg%2F1tglztf6!19sChIJU7yQJO9v54gRJx-lf3Ln29s,AdventHealth Winter Park,4.4,3206,General hospital,"200 N Lakemont Ave, Winter Park, FL 32792, United States","HMXF+97 Winter Park, Florida, USA",https://www.adventhealth.com/hospital/adventhealth-winter-park,+1 407-646-7000,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4noRJd16Gfeu8iaK3plpYA8iwy8KilyQANKuDIXAxxTw2JQQMAiDwvscC7JxnHYfD_3hEOx4zaURUZDOANQRXitGZ6MoWvD3jgbCxIkRtb-LL7G3cYHx2HVizR1caabqIFOtMw_-=w408-h306-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Hospice+clinics+in+Winter+Park+Orlando+FL/@28.5949767,-81.3508787,14z",2025-09-18T00:05:17.366Z,,,
https://www.google.com/maps/place/Interim+HealthCare+of+Orlando/data=!4m7!3m6!1s0x88e7706d1b09dfd3:0xb712ca04d976eb18!8m2!3d28.6155364!4d-81.3099408!16s%2Fg%2F1hc57r84x!19sChIJ098JG21w54gRGOt22QTKErc,Interim HealthCare of Orlando,4.7,49,Home health care service,"1890 FL-436 Suite 355, Winter Park, FL 32792, United States","JM8R+62 Winter Park, Florida, USA",https://www.interimhealthcare.com/location/winter-park-fl,+1 407-740-5284,"Open 24 hours

Confirmed by this business 6 weeks ago",https://lh3.googleusercontent.com/p/AF1QipOZBq3aMGdkFsSfArdsoLtyJOKBlUPCsCwADYVm=w426-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Hospice+clinics+in+Winter+Park+Orlando+FL/@28.5949767,-81.3508787,14z",2025-09-18T00:05:22.348Z,,,
https://www.google.com/maps/place/Griswold+Care+Pairing+for+Greater+Orlando/data=!4m7!3m6!1s0x88e770879c5b76af:0x4cfdf507c1aafc1f!8m2!3d28.6053435!4d-81.3737734!16s%2Fg%2F1ptz3m5vp!19sChIJr3ZbnIdw54gRH_yqwQf1_Uw,Griswold Care Pairing for Greater Orlando,5.0,48,Home health care service,"1850 Lee Rd #330, Winter Park, FL 32789, United States","JJ4G+4F Winter Park, Florida, USA",https://www.griswoldcare.com/greater-orlando/,+1 407-740-7419,"Open 24 hours

Updated by this business 5 weeks ago",https://lh3.googleusercontent.com/p/AF1QipMAGvAK-arok_gWXIWnifeKazBStMOVJnUkQCmI=w408-h271-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Hospice+clinics+in+Winter+Park+Orlando+FL/@28.5949767,-81.3508787,14z",2025-09-18T00:05:27.647Z,LGBTQ+ friendly,,
https://www.google.com/maps/place/AdventHealth+Orlando/data=!4m7!3m6!1s0x88e77a9bb5ceec91:0x242b355582ac8db9!8m2!3d28.5751245!4d-81.3696726!16zL20vMDdnZzd4!19sChIJkezOtZt654gRuY2sglU1KyQ,AdventHealth Orlando,4.4,9139,Hospital,"601 E Rollins St, Orlando, FL 32803, United States","HJGJ+24 Orlando, Florida, USA",https://www.adventhealth.com/hospital/adventhealth-orlando,+1 407-303-5600,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4noGoFeYN6dSfuNZwNUhdfifrqPJU-rD5K0nnQPkEdkIpOH3YlFmAl1KH_I44mPlRdGsK5q7wTii0RAg9LJ5G_sqsVMgi6WIf6jjm-fKlUd8gZfu87GQNKbR3VPuFaGj3B2TgpM=w408-h308-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Hospice+clinics+in+Winter+Park+Orlando+FL/@28.5949767,-81.3508787,14z",2025-09-18T00:05:32.906Z,,,
https://www.google.com/maps/place/Cornerstone/data=!4m7!3m6!1s0x88e77b29d6501eb1:0xfb55cddf3c6099b5!8m2!3d28.5208472!4d-81.3781701!16s%2Fg%2F11ssc705zq!19sChIJsR5Q1il754gRtZlgPN_NVfs,Cornerstone,5.0,4,Hospice,"51 W Kaley St, Orlando, FL 32806, United States","GJCC+8P Orlando, Florida, USA",,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npP3UNSf3E1ofu8fCC_QCfg6jRtgE7QDy_ldJRbNJtLutZ8RSeB2Ck-4DHa6eKVxYpCcFa4loXoNMHhV0m7Gx12MQK4L_gv6bpBpJT8AQ98Cm9mHE3qro_TykBpFCN37lr2x4XNxA=w408-h272-k-no,false,,,,,,,,"https://www.google.com/maps/search/Hospice+clinics+in+Winter+Park+Orlando+FL/@28.5949767,-81.3508787,14z",2025-09-18T00:05:35.870Z,,,
https://www.google.com/maps/place/Visiting+Angels+Senior+Home+Care+Winter+Park/data=!4m7!3m6!1s0x88e770696cdd77f5:0xc2896b692c8f0811!8m2!3d28.6071757!4d-81.3778767!16s%2Fg%2F1tf5r1b8!19sChIJ9XfdbGlw54gREQiPLGlricI,Visiting Angels Senior Home Care Winter Park,4.7,38,Home health care service,"2221 Lee Rd #17, Winter Park, FL 32789, United States","JJ4C+VR Winter Park, Florida, USA",https://www.visitingangels.com/orlando/home-care-winter-park-florida?utm_source=gmb&utm_medium=organic&utm_campaign=local,+1 407-236-9997,,https://lh3.googleusercontent.com/p/AF1QipPw7dz5FE3CZq5lQyX725cZDPJeDOZjbWUyIBk9=w426-h240-k-no,true,8 am–4 pm,8 am–4 pm,8 am–4 pm,Closed,Closed,8 am–4 pm,8 am–4 pm,"https://www.google.com/maps/search/Hospice+clinics+in+Winter+Park+Orlando+FL/@28.5949767,-81.3508787,14z",2025-09-18T00:05:41.437Z,,,
