placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,monday,tuesday,wednesday,thursday,friday,saturday,sunday,query,timestamp,info,attributes,isBlackOwned
https://www.google.com/maps/place/Preferred+Plumbing+Professionals/data=!4m7!3m6!1s0x87befdfe99b32271:0x62e80c989f4a6aed!8m2!3d39.0176377!4d-95.7320772!16s%2Fg%2F11k587y42q!19sChIJcSKzmf79vocR7WpKn5gM6GI,Preferred Plumbing Professionals,5.0,105,Plumber,"2713 SW Burnett Rd, Topeka, KS 66614, United States","2799+35 Topeka, Kansas, USA",https://preferredplumbingprofessionals.com/,+1 785-566-5028,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipMFUc35Lf01pPFzN7x--2A7zDbezzaoN73l3xs=w408-h544-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/plumbing++services+in+Topeka+KS/@39.0473451,-95.6751576,14z",2025-11-11T04:18:30.156Z,,,
https://www.google.com/maps/place/Lower+Plumbing+Heating+%26+Air+Conditioning/data=!4m7!3m6!1s0x87bf033de56f0a13:0x1a46b4a5ee35b10d!8m2!3d39.0366561!4d-95.6730599!16s%2Fg%2F1tlgygh5!19sChIJEwpv5T0Dv4cRDbE17qW0Rho,Lower Plumbing Heating & Air Conditioning,4.6,116,Plumber,"501 SE 17th St, Topeka, KS 66607, United States","28PG+MQ Topeka, Kansas, USA",https://lowerplumbingheatingandair.com/#utm_source=GMB&utm_medium=Organic&utm_campaign=Listing,+1 785-357-5123,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipOvey-Vm6WOHPnOYXhGaeH4o2R7ieF-lJCddI2w=w408-h306-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/plumbing++services+in+Topeka+KS/@39.0473451,-95.6751576,14z",2025-11-11T04:18:36.384Z,,,
"https://www.google.com/maps/place/Blue+Dot+Heating,+Air,+Plumbing+%26+Electrical/data=!4m7!3m6!1s0x87bee2a9ca36f79d:0xb38096691f0d72a!8m2!3d39.0063352!4d-95.7311644!16s%2Fg%2F1hf12zkmv!19sChIJnfc2yqnivocRKtfwkWYJOAs","Blue Dot Heating, Air, Plumbing & Electrical",4.9,2809,HVAC contractor,"3365 SW Gage Blvd, Topeka, KS 66614, United States","2749+GG Topeka, Kansas, USA",https://www.bluedotkansas.com/?utm_source=google&utm_medium=organic&utm_campaign=gmb_listing,+1 785-272-1633,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipOB71Umk9ZJnfEC5OywerIg-4Mp8bfuAybR6pt8=w426-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/plumbing++services+in+Topeka+KS/@39.0473451,-95.6751576,14z",2025-11-11T04:18:41.471Z,,,
https://www.google.com/maps/place/A2B+Plumbing+LLC/data=!4m7!3m6!1s0x87bf02e045fdd0b9:0xc8d0fd6e726fc981!8m2!3d39.0276119!4d-95.7482568!16s%2Fg%2F11hd6lshn4!19sChIJudD9ReACv4cRgclvcm790Mg,A2B Plumbing LLC,4.8,203,Plumber,"2121 SW Chelsea Dr Suite A, Topeka, KS 66614, United States","27H2+2M Topeka, Kansas, USA",https://www.a2bplumbingllc.com/,+1 785-730-6816,Closed ⋅ Opens 8 am Tue,https://lh3.googleusercontent.com/p/AF1QipN7cbHue-XrIz2ZVosot8bCXNaZKiOvaJwAbzaw=w408-h543-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,"https://www.google.com/maps/search/plumbing++services+in+Topeka+KS/@39.0473451,-95.6751576,14z",2025-11-11T04:18:46.373Z,LGBTQ+ friendly,,
https://www.google.com/maps/place/Iwig+Plumbing/data=!4m7!3m6!1s0x87bf0529ae53a709:0x2a16817be84eb93c!8m2!3d39.0517844!4d-95.6746327!16s%2Fg%2F1263q4ytf!19sChIJCadTrikFv4cRPLlO6HuBFio,Iwig Plumbing,4.6,68,Plumber,"123 SW 6th Ave, Topeka, KS 66603, United States","382G+P4 Topeka, Kansas, USA",http://www.iwigplumbing.com/,+1 785-608-1233,Closed ⋅ Opens 8 am Tue,https://lh3.googleusercontent.com/p/AF1QipMnG_TyLG4vAEQfrJ-Zpdb6jc4pJU5nWyzxbgvf=w425-h240-k-no,true,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,Closed,Closed,"https://www.google.com/maps/search/plumbing++services+in+Topeka+KS/@39.0473451,-95.6751576,14z",2025-11-11T04:18:51.177Z,,,
https://www.google.com/maps/place/Blackburn+Plumbing+Inc/data=!4m7!3m6!1s0x87bf035a8bff2b3b:0x94b54e430e87a0e6!8m2!3d39.013958!4d-95.733198!16s%2Fg%2F11g__4m6jp!19sChIJOyv_i1oDv4cR5qCHDkNOtZQ,Blackburn Plumbing Inc,4.9,145,Plumber,,,http://www.blackburnplumbingtopeka.com/,+1 785-503-9543,Closed ⋅ Opens 8:30 am Tue,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwwL6K0bpwVzRuVfieRxjqaYuK2TmtQI_nCB7jTOEbuEpW1SEhAwuARzbLCtT8sPjHi07F4ruTtZnFTIUi59VWkxrfL50AbE33R52TPmJldg1NTZ--ofFNewXsiEpwPep5esZxzUX6gCxs=w408-h544-k-no,true,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,Closed,Closed,"https://www.google.com/maps/search/plumbing++services+in+Topeka+KS/@39.0473451,-95.6751576,14z",2025-11-11T04:18:56.228Z,,,
https://www.google.com/maps/place/College+Hill+Plumbing+and+Heating+Inc./data=!4m7!3m6!1s0x87bf1ccb23bfa2f5:0x868c2e12e1f6bcf5!8m2!3d39.015614!4d-95.6697865!16s%2Fg%2F1vpq7dm5!19sChIJ9aK_I8scv4cR9bz24RIujIY,College Hill Plumbing and Heating Inc.,3.7,64,HVAC contractor,"2850 SE Adams St, Topeka, KS 66605, United States","288J+63 Topeka, Kansas, USA",http://www.collegehillplumbing.com/,+1 785-235-6201,Closed ⋅ Opens 8 am Tue,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyHLo9ZemQv0UqJ6AIrMHIJSX7HtRcowoFNG6TDpUeU_uD8hUANF9lwDVGoIBVGKSiuMCiytxXlUdh6nIvS67vMP2_O5gcy24DXNqXfTJhrn5oCnvlIx1KOiB69sL4zLEfF4RWSNw=w759-h240-k-no,true,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,Closed,Closed,"https://www.google.com/maps/search/plumbing++services+in+Topeka+KS/@39.0473451,-95.6751576,14z",2025-11-11T04:19:01.245Z,,,
https://www.google.com/maps/place/Blue+Sage+Plumbing/data=!4m7!3m6!1s0x87befdce9f85ce11:0xb466d4091e153bf8!8m2!3d39.0138604!4d-95.7481758!16s%2Fg%2F11mcsgnvw2!19sChIJEc6Fn879vocR-DsVHgnUZrQ,Blue Sage Plumbing,5.0,23,Plumber,"5501 SW 29th St Suite #4B, Topeka, KS 66614, United States","2772+GP Topeka, Kansas, USA",https://www.bluesageplumbing.com/,+1 785-329-2882,Closed ⋅ Opens 8 am Tue,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=ZWeOkW8qDT0hI4fEjervzA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=178.73222&pitch=0&thumbfov=100,true,8 am–5:30 pm,8 am–5:30 pm,8 am–5:30 pm,8 am–5:30 pm,8 am–5:30 pm,Closed,Closed,"https://www.google.com/maps/search/plumbing++services+in+Topeka+KS/@39.0473451,-95.6751576,14z",2025-11-11T04:19:06.142Z,,,
https://www.google.com/maps/place/H+%26+R+Plumbing/data=!4m7!3m6!1s0x87bf0316fcaa52e9:0xcb8c5b6c331a0964!8m2!3d39.0398802!4d-95.6747894!16s%2Fg%2F1tgn57lf!19sChIJ6VKq_BYDv4cRZAkaM2xbjMs,H & R Plumbing,4.6,16,Plumber,"1324 SE Monroe St, Topeka, KS 66612, United States","28QG+X3 Topeka, Kansas, USA",,+1 785-233-4427,Closed ⋅ Opens 8 am Tue,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=s-IOGrXmHm3ngULcHdMx7g&cb_client=search.gws-prod.gps&w=408&h=240&yaw=185.19781&pitch=0&thumbfov=100,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,"https://www.google.com/maps/search/plumbing++services+in+Topeka+KS/@39.0473451,-95.6751576,14z",2025-11-11T04:19:11.129Z,,,
"https://www.google.com/maps/place/Pat+Plumbing,+Heating,+Air+and+Electric/data=!4m7!3m6!1s0x87bf1d3d5b82930b:0x849dc52e09d202d4!8m2!3d38.9974934!4d-95.6831196!16s%2Fg%2F1wv_sr2z!19sChIJC5OCWz0dv4cR1ALSCS7FnYQ","Pat Plumbing, Heating, Air and Electric",4.9,1971,HVAC contractor,"3761 SW South Park Ave, Topeka, KS 66609, United States","X8W8+XQ Topeka, Kansas, USA",https://www.callpattheplumber.com/,+1 785-783-5780,Closed ⋅ Opens 7 am Tue,https://lh3.googleusercontent.com/p/AF1QipNZ7ZPwsVpgPiXCtKLeqP4kewtzAogvLL6diTY0=w408-h375-k-no,true,7 am–5 pm,7 am–5 pm,7 am–5 pm,7 am–5 pm,7 am–5 pm,Closed,Closed,"https://www.google.com/maps/search/plumbing++services+in+Topeka+KS/@39.0473451,-95.6751576,14z",2025-11-11T04:19:16.273Z,Identifies as veteran-owned,,
