placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,monday,tuesday,wednesday,thursday,friday,saturday,sunday,query,timestamp,info,isBlackOwned,attributes,error
https://www.google.com/maps/place/Camelot+Emergency+Water+Removal/data=!4m7!3m6!1s0x8822c1923fc806d7:0xa7a778fa0a60227e!8m2!3d42.7288059!4d-84.5915641!16s%2Fg%2F11pf7zmn1v!19sChIJ1wbIP5LBIogRfiJgCvp4p6c,Camelot Emergency Water Removal,4.9,296,Water damage restoration service,"453 Lentz Ct, Lansing, MI 48917, United States","PCH5+G9 Lansing, Michigan, USA",https://www.camelotservice.com/service-area/lansing-mi/?utm_campaign=gmb&utm_medium=local&utm_source=gmb,+1 517-878-9241,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqBcbdjUExZLHVmxkm17rxoBS7qrrGbjVqoN5ithqaYvcRQwkSe3aWdwBwRu-xsG0nfIxZeubt9-tSOcpp29f1I5MeIvcFfox2YuMB21W5gK6cBdlPR3cAKz-_tO2LG-Ff4Df5LRQ=w588-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+Lansing+MI/@42.7335993,-84.5538664,14z",2026-03-23T04:51:01.744Z,,,,
https://www.google.com/maps/place/SERVPRO+of+East+Lansing+%2F+Haslett/data=!4m7!3m6!1s0x8822ea5842922bc5:0xa0fc16f14e2507f!8m2!3d42.7610718!4d-84.5596868!16s%2Fg%2F1tfgp_w3!19sChIJxSuSQljqIogRf1DiFG_BDwo,SERVPRO of East Lansing / Haslett,4.7,68,Water damage restoration service,"515 Filley St, Lansing, MI 48906, United States","QC6R+C4 Lansing, Michigan, USA",https://www.servpro.com/locations/mi/servpro-of-east-lansing-haslett?utm_medium=organic&utm_source=gbp,+1 517-999-0789,,https://lh3.googleusercontent.com/gps-cs-s/AHVAwerNOOPEhKWQeKRxisCgnDZ2Hc7w69YUW_vY5aoAqrgFKTjzirdH8sddW-gxDyVV4iv423El6mrfhCU6qz76itP6FM6TabD6tz5kFhC7G4-EcrhfGt-RKps28x07BFBCuUJEGKzg=w427-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+Lansing+MI/@42.7335993,-84.5538664,14z",2026-03-23T04:51:07.840Z,,,,
https://www.google.com/maps/place/Acculevel/data=!4m7!3m6!1s0x8822c14851bf66fd:0x94d6917a5825ed07!8m2!3d42.7341302!4d-84.5517987!16s%2Fg%2F11y_yllz25!19sChIJ_Wa_UUjBIogRB-0lWHqR1pQ,Acculevel,5.0,10,Waterproofing service,"120 N Washington Square Suite 339, Lansing, MI 48933, United States","PCMX+M7 Lansing, Michigan, USA",https://acculevel.com/lansing/?utm_source=google&utm_medium=organic&utm_campaign=gbp&utm_content=lansing,+1 517-765-6329,,https://lh3.googleusercontent.com/gps-cs-s/AHVAwepOGW1algvMc1iO8lOjNPCwtjqaYd6Eh0dYoOwzb3HO68O84Ix27j0Xmw4R6v1vptYfC0prLdXNTfuRsBSL14XODaX7OS_Nl1wt2KLb037Xg6hkhSD0T2rBY6rstU2Vf_WtvVfw3RfLplaS=w426-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+Lansing+MI/@42.7335993,-84.5538664,14z",2026-03-23T04:51:12.640Z,,,,
https://www.google.com/maps/place/BOARDUP/data=!4m7!3m6!1s0x8822ea1027735451:0x11b9f25aa9f6c6f!8m2!3d42.7430864!4d-84.5344787!16s%2Fg%2F1pp2tklnh!19sChIJUVRzJxDqIogRb2yfqiWfGwE,BOARDUP,5.0,1,Fire damage restoration service,"1202 E Oakland Ave, Lansing, MI 48906, United States","PFV8+66 Lansing, Michigan, USA",http://www.1-800boardup.com/,+1 517-374-3566,Open 24 hours,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=lBfHsgsj4sfLpbjc2HbiyA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=190.68378&pitch=0&thumbfov=100,false,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Closed,"https://www.google.com/maps/search/water+damage+restoration+in+Lansing+MI/@42.7335993,-84.5538664,14z",2026-03-23T04:51:17.372Z,,,,
"https://www.google.com/maps/place/616+Restore,+Inc./data=!4m7!3m6!1s0x8819b207f4d7724d:0x11190b34f0c2722a!8m2!3d42.742285!4d-85.38067!16s%2Fg%2F1tsjf7sl!19sChIJTXLX9AeyGYgRKnLC8DQLGRE","616 Restore, Inc.",4.2,58,Water damage restoration service,,,http://616restore.com/,+1 616-737-8673,Closed · Opens 7 am,https://lh3.googleusercontent.com/gps-cs-s/AHVAwerqe0F_LykFkf9bAJZGwApTAKq36jNT8UgCtbSYtChjFL8QqD9O2WPGNE5BzneeZWPXxSLaK8WKcaeU6aH9FDrAg1pK5KJ4IHcrFd3XhWCDL3gKKkwR-Pgtt3VMpXkibYzLrg=w408-h306-k-no,true,7 am–8 pm,7 am–8 pm,7 am–8 pm,7 am–8 pm,7 am–8 pm,7 am–8 pm,Closed,"https://www.google.com/maps/search/water+damage+restoration+in+Lansing+MI/@42.7335993,-84.5538664,14z",2026-03-23T04:51:21.980Z,LGBTQ+ friendly,,,
https://www.google.com/maps/place/ACE+Cleaning+%26+Restoration/data=!4m7!3m6!1s0x8822c39b996f82a5:0x306674d2a1bbbe49!8m2!3d42.7296253!4d-84.5094099!16s%2Fg%2F1td2n2sl!19sChIJpYJvmZvDIogRSb67odJ0ZjA,ACE Cleaning & Restoration,4.5,46,Carpet cleaning service,"3000 Kalamazoo St, Lansing, MI 48912, United States","PFHR+V6 Lansing, Michigan, USA",https://www.acecleans.com/,+1 517-337-1771,Closed · Opens 8 am,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqEmGdLcojC2r9Gu9cFWzPahN0c2PxhuRhH6P3SqJFwF2f76zxsW1sz97volNAdy8aYcCNP8s8OskTha-AflnrWeM06g6bkW4nD87_t_Gc7ubSVzXaPNKKFbrYlOYcz4cSn6c9UBn5AhtA=w426-h240-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,"https://www.google.com/maps/search/water+damage+restoration+in+Lansing+MI/@42.7335993,-84.5538664,14z",2026-03-23T04:51:26.806Z,,,,
https://www.google.com/maps/place/Palmer+Construction/data=!4m7!3m6!1s0x8822ea23c24ff4d3:0x385516fb107350bd!8m2!3d42.754238!4d-84.5313152!16s%2Fg%2F12644yzxj!19sChIJ0_RPwiPqIogRvVBzEPsWVTg,Palmer Construction,5.0,1,Water damage restoration service,"1817 Indiana Ave, Lansing, MI 48906, United States","QF39+MF Lansing, Michigan, USA",,+1 517-481-3388,Closed · Opens 8 am,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=bWScyfaaPMWht4cyhjftIA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=266.13773&pitch=0&thumbfov=100,false,8 am–8 pm,8 am–8 pm,8 am–8 pm,8 am–8 pm,8 am–8 pm,8 am–9 pm,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+Lansing+MI/@42.7335993,-84.5538664,14z",2026-03-23T04:51:31.745Z,,,,
https://www.google.com/maps/place/Magna+Dry/data=!4m7!3m6!1s0x8822c01a7d055555:0xbc50f9a3b5d51e2c!8m2!3d42.7271619!4d-84.5928141!16s%2Fg%2F11kc8mdckz!19sChIJVVUFfRrAIogRLB7VtaP5ULw,Magna Dry,5.0,7,Water damage restoration service,"3232 W St Joseph St, Lansing, MI 48917, United States","PCG4+VV Lansing, Michigan, USA",https://www.magnadrylansing.com/,+1 517-371-2565,Closed · Opens 8:30 am,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=KRWsdYh81YlzKb2L-Jccbg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=99.277534&pitch=0&thumbfov=100,true,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,Closed,Closed,"https://www.google.com/maps/search/water+damage+restoration+in+Lansing+MI/@42.7335993,-84.5538664,14z",2026-03-23T04:51:36.372Z,,,,
"https://www.google.com/maps/place/McCardel+Restoration,+LLC/data=!4m7!3m6!1s0x8822e6f6c2d7265b:0xa81214dd1c5d7400!8m2!3d42.7755969!4d-84.4814264!16s%2Fg%2F1tt1hv9w!19sChIJWybXwvbmIogRAHRdHN0UEqg","McCardel Restoration, LLC",4.2,87,Water damage restoration service,"4100 Hunsaker Dr, East Lansing, MI 48823, United States","QGG9+6C East Lansing, Michigan, USA",https://www.mccardelrestoration.com/,+1 517-675-8439,"Open 24 hours

Confirmed by this business 6 weeks ago",https://lh3.googleusercontent.com/gps-cs-s/AHVAweqZWn2_853fxwRC33LexEtdWiSlS12QC_a2V9IyEr_hx3dF_pAT5aEMC8WYobn4bUgQsLVayYijg2lvG3ebWrH6gQVKTH6CQ2AbPhFyR85VGSuUlsBdw5y46nrYk2LCC0C2iEZnOQ=w433-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+Lansing+MI/@42.7335993,-84.5538664,14z",2026-03-23T04:51:41.101Z,,,,
https://www.google.com/maps/place/Above+and+Beyond+Professional+Services/data=!4m7!3m6!1s0x8822c1f05dc707a1:0xe759cc17d1f32!8m2!3d42.5284754!4d-84.590538!16s%2Fg%2F11c57cxwpl!19sChIJoQfHXfDBIogRMh99wZx1DgA,Above and Beyond Professional Services,5.0,70,Waterproofing service,,,https://www.aboveandbeyond517.com/,+1 517-703-7614,Closed · Opens 8 am,https://lh3.googleusercontent.com/gps-cs-s/AHVAweo1fm3YvzdA7s2_XT6o33CXOrLX5i3GMUtWyzKEV1WqfltvBX8t5vf8kxOniyG8_uX9p2i7f4OtrbnJNgevoq77z0Ci5hX_UEHVSUkvKi_oGEnG7iohafl6IMhJKv7KBjCCcPiW=w408-h544-k-no,true,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–6 pm,Closed,"https://www.google.com/maps/search/water+damage+restoration+in+Lansing+MI/@42.7335993,-84.5538664,14z",2026-03-23T04:51:45.866Z,,,,
