placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,info,imgUrl,isClaimed,wednesday,thursday,friday,saturday,sunday,monday,tuesday,query,timestamp,attributes,isBlackOwned
https://www.google.com/maps/place/Magnolia+Landscape+Construction/data=!4m7!3m6!1s0x885c3d9b34b8f253:0xbab4a575d6cea386!8m2!3d35.9929004!4d-83.9477641!16s%2Fg%2F11p678xnvj!19sChIJU_K4NJs9XIgRhqPO1nWltLo,Magnolia Landscape Construction,5.0,51,Landscaper,"3015 N Central St, Knoxville, TN 37917, United States","X3V2+5V Knoxville, Tennessee, USA",https://www.magnolialandscapeconstruction.com/,+1 865-660-6367,Closed · Opens 8 am Thu,Identifies as women-owned,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGy3cLYeT8OsqoTBqfb5RgOKjwFE30ZfS37BlB5nFGUUbbU-d_kpZhokzqddy5PIKZEv9W_QGUtpJ3cKk5UzBOlDjXjpYtL0usxNUPsZlAS67EhQqmALYYlP9nDZCSJZzWVO7fxT0u8r4w=w408-h306-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/commercial+landscaping+businesses+in+Knoxville+TN+Knoxville+TN/@35.965266,-83.923304,14z",2026-04-29T21:06:16.659Z,,
https://www.google.com/maps/place/Carex+Design+Group/data=!4m7!3m6!1s0x885c158d6327165f:0x801bdcb63c8ad688!8m2!3d35.9533786!4d-83.9622852!16s%2Fg%2F1pv5xmnc1!19sChIJXxYnY40VXIgRiNaKPLbcG4A,Carex Design Group,5.0,39,Landscape architect,"2800 Sutherland Ave, Knoxville, TN 37919, United States","X23Q+93 Knoxville, Tennessee, USA",http://www.carexdesigngroup.com/,+1 865-765-5550,Closes soon · 5:30 pm · Opens 8 am Thu,,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEwuO1QlVKDh_NAXaKP9znbFtyay246qWDs9RRF1V1Z_JbtFcOWA1QTCGI2XwTefi2N2HKz-QPX_DcMPSGHTMoqs9dWY9iE2z8BBtuqq7VsgIVPAEnG5MhkuodqIQbjhcshiAMndQ=w408-h408-k-no,true,8 am–5:30 pm,8 am–5:30 pm,8 am–5:30 pm,8 am–5:30 pm,Closed,8 am–5:30 pm,8 am–5:30 pm,"https://www.google.com/maps/search/commercial+landscaping+businesses+in+Knoxville+TN+Knoxville+TN/@35.965266,-83.923304,14z",2026-04-29T21:06:22.350Z,,
https://www.google.com/maps/place/Seeds+of+Change+Landscaping+%26+Lawn+Care/data=!4m7!3m6!1s0x885c3d731a6c81eb:0x98356d272f37b33c!8m2!3d35.9435444!4d-83.9847766!16s%2Fg%2F11g9s_ck2w!19sChIJ64FsGnM9XIgRPLM3LydtNZg,Seeds of Change Landscaping & Lawn Care,4.8,161,Landscaper,"419 N Forest Park Blvd Suite 300, Knoxville, TN 37919, United States","W2V8+C3 Knoxville, Tennessee, USA",https://growingseedsofchange.com/,+1 865-635-9412,,,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHgy_KnoFHA-6X6HXkfGEkEGbe15s1HH4G5BcPaGahcSVr2gYWUfYY1xnif-VZoBT4bfJrxzioHjHALTNjh_xUYCHG0KceKbdHV6a8DCj3a8HEs7rsm2zXFwXislh9XxR7x_8TA=w408-h272-k-no,true,,,,,,,,"https://www.google.com/maps/search/commercial+landscaping+businesses+in+Knoxville+TN+Knoxville+TN/@35.965266,-83.923304,14z",2026-04-29T21:06:25.160Z,,
https://www.google.com/maps/place/Four+Seasons+Grounds+Management+Inc/data=!4m7!3m6!1s0x885c3d180f9fc057:0xfc118f021e8d71cc!8m2!3d35.9596855!4d-83.9643573!16s%2Fg%2F1thct1hf!19sChIJV8CfDxg9XIgRzHGNHgKPEfw,Four Seasons Grounds Management Inc,4.3,17,Landscape designer,"3323 Morris Ave, Knoxville, TN 37909, United States","X25P+V7 Knoxville, Tennessee, USA",http://www.fourseasonsknox.com/,+1 865-633-8311,Closed · Opens 10 am Thu,,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGuBkHxW8gBRgASIC7yHW3VLiRkTleQF8wv54J8sXjwh9F1k2CGAModro9kwod36q1GdZX4Yf8_fseXMkdePudahX-8pBD7p0sYAcyFiFoe_cPGBBDKvNG0_O32oKGPxHL5zyD8=w408-h271-k-no,true,10 am–5 pm,10 am–5 pm,10 am–5 pm,Closed,Closed,10 am–5 pm,10 am–5 pm,"https://www.google.com/maps/search/commercial+landscaping+businesses+in+Knoxville+TN+Knoxville+TN/@35.965266,-83.923304,14z",2026-04-29T21:06:30.005Z,,
https://www.google.com/maps/place/St+Landscaping+%26+Design+LLC/data=!4m7!3m6!1s0xc7a06bc28d2ce1d:0x3e86fb49c629df2c!8m2!3d35.8550805!4d-84.011914!16s%2Fg%2F11z3xdfx8y!19sChIJHc7SKLwGegwRLN8pxkn7hj4,St Landscaping & Design LLC,5.0,3,Landscape designer,,,https://www.facebook.com/share/1CQq5nCuii/,+1 865-243-6257,Open · Closes 7 pm,,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFgDUCel0QO_UIgn0x8Djf77getN_3b7ScZHuCjr1_9vzjheP-DT2qt7gTN_TJEp2JbnujXeNY25o5cm5fTXdUrYpbqwxfFVbV69wnTXHSQm7WGhd0aLmnFM03UFyZmCDn3pdLDw7gtLzg=w408-h306-k-no,true,7 am–7 pm,7 am–7 pm,7 am–7 pm,7:30 am–2 pm,Closed,7 am–7 pm,7 am–7 pm,"https://www.google.com/maps/search/commercial+landscaping+businesses+in+Knoxville+TN+Knoxville+TN/@35.965266,-83.923304,14z",2026-04-29T21:06:34.779Z,,
https://www.google.com/maps/place/Acadia+Landscape+Co/data=!4m7!3m6!1s0x885c2349af1bdc43:0xf82023542cd47bf8!8m2!3d35.9623329!4d-83.9865372!16s%2Fg%2F1tfd7q0b!19sChIJQ9wbr0kjXIgR-HvULFQjIPg,Acadia Landscape Co,5.0,80,Landscaper,"4408 Middlebrook Pike #100, Knoxville, TN 37921, United States","X267+W9 Knoxville, Tennessee, USA",https://acadialandscape.com/,+1 865-902-7664,Closed · Opens 8 am Thu,,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHfnNDkJSLjPZM1lCFNqY47HGTl_mKm0KH_uTCldCxjRrnGaeKpeWvR-8ZsLek8uvCb0yHqropKUgXumhPvj7T9OwX7eeX4-ZBZAVn2yufO2artbThQpG6iC3ks200kU3hNnj-a8g=w433-h240-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/commercial+landscaping+businesses+in+Knoxville+TN+Knoxville+TN/@35.965266,-83.923304,14z",2026-04-29T21:06:39.899Z,,
https://www.google.com/maps/place/Wild+West+Landscape+Designs/data=!4m7!3m6!1s0xa5bd9e9d16ed096b:0x4844fe21273ef143!8m2!3d33.8452675!4d-89.8578855!16s%2Fg%2F11ycy348l6!19sChIJawntFp2evaURQ_E-JyH-REg,Wild West Landscape Designs,4.8,31,Landscaper,,,https://wildwest-landscapedesigns.com/,+1 865-469-9089,Open 24 hours,,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEOTGgKYrNkuG8NLjbEwPuEGFFhh_OaPBIP12tZUavQZUA23iq1gJhNLaeoEmjR3LyfI6NZDUHAjVnF42UTrBg7COOjcFm46iSEP7Xfk1pX4C4FwxNHc7oaGln5IqTZgDLXld4lhX3_EBs=w427-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/commercial+landscaping+businesses+in+Knoxville+TN+Knoxville+TN/@35.965266,-83.923304,14z",2026-04-29T21:06:44.700Z,,
https://www.google.com/maps/place/Eternal+Lawn+Landscaping+%26+Hardscaping/data=!4m7!3m6!1s0x885c21e5c7121833:0x963b58bf202b239f!8m2!3d35.7702215!4d-83.948455!16s%2Fg%2F11nsbh23tn!19sChIJMxgSx-UhXIgRnyMrIL9YO5Y,Eternal Lawn Landscaping & Hardscaping,5.0,48,Landscaper,,,http://www.eternallandscapingtn.com/,+1 865-469-5072,Closed · Opens 8 am Thu,,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFUSetR5Im2mWPQYv-8BPiko2O_RIR0epwjSwbJBfkyOgdrvgfgm-WbokI193GkYjaURuKJyqOnun2NFSFAoFrd_PEPz7f9om84D-KjAM7eNsm87Yn598kBwc3Nmt3kGvrZ8nJDjw=w408-h306-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–2 pm,Closed,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/commercial+landscaping+businesses+in+Knoxville+TN+Knoxville+TN/@35.965266,-83.923304,14z",2026-04-29T21:06:49.357Z,,
https://www.google.com/maps/place/Jf+Landscaping/data=!4m7!3m6!1s0x885c3ded0dff0bc3:0xb14e7ddbe0d34d1c!8m2!3d35.979535!4d-84.0030052!16s%2Fg%2F11j8kw0gvn!19sChIJwwv_De09XIgRHE3T4Nt9TrE,Jf Landscaping,4.9,35,Landscape designer,"4925 Malta Rd, Knoxville, TN 37921, United States","XXHW+RQ Knoxville, Tennessee, USA",http://jflandscapingtn.com/?utm_source=googlemap&utm_medium=organic&utm_campaign=googlebusinessprofile,+1 865-455-3964,Open · Closes 7 pm,,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEh8_6HlCbeyWsrkIBUTqRrRLe0q42cXJ0ODlqKid4HD4joGYSVa6IL6lRNjL-nUXpIUTCkfJ1agUUUtXfi1gqn1d12xrD8aL_w0pjWlNRaFcGdu0MLbP2I2m0jTWVQwUxryXCY=w427-h240-k-no,true,7 am–7 pm,7 am–7 pm,7 am–7 pm,7 am–7 pm,Closed,7 am–7 pm,7 am–7 pm,"https://www.google.com/maps/search/commercial+landscaping+businesses+in+Knoxville+TN+Knoxville+TN/@35.965266,-83.923304,14z",2026-04-29T21:06:54.261Z,,
https://www.google.com/maps/place/Emerald+Island+Lawn+Services/data=!4m7!3m6!1s0x885c3cbc53e88051:0x82038640b533464e!8m2!3d35.9608819!4d-84.0037471!16s%2Fg%2F1th1dfv5!19sChIJUYDoU7w8XIgRTkYztUCGA4I,Emerald Island Lawn Services,4.9,1027,Lawn care service,"3414 Henson Rd E, Knoxville, TN 37921, United States","XX6W+9G Knoxville, Tennessee, USA",https://emeraldislandlawnservice.com/?utm_source=local&utm_medium=organic&utm_campaign=yext,+1 865-588-4497,Closed · Opens 8:30 am Thu,,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHIeQChtOqKWQcmTuArT9U5eTrSCzeVNbylSxLCb-zpZ1KNaJpaXk7qlvJ46nTAy0xze-lPItFkfRKehAPl7fCRG-Hr2djqCUUIlXS2OsH3m056TuMYm5X_pi5CIlidagzKyFDwpHb9-LRq=w408-h544-k-no,true,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,Closed,Closed,8:30 am–5 pm,8:30 am–5 pm,"https://www.google.com/maps/search/commercial+landscaping+businesses+in+Knoxville+TN+Knoxville+TN/@35.965266,-83.923304,14z",2026-04-29T21:06:59.093Z,,
