placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,info,imgUrl,isClaimed,thursday,friday,saturday,sunday,monday,tuesday,wednesday,query,timestamp,attributes,isBlackOwned
https://www.google.com/maps/place/Ocean+Club+Realty/data=!4m7!3m6!1s0x89c0ee63693b9995:0x458e4225b60ba918!8m2!3d39.3509602!4d-74.4474283!16s%2Fg%2F1vv2t43y!19sChIJlZk7aWPuwIkRGKkLtiVCjkU,Ocean Club Realty,4.8,108,Condominium rental agency,"3109 Boardwalk, Atlantic City, NJ 08401, United States","9H23+92 Atlantic City, New Jersey, USA",http://www.oceanclubrealty.com/,+1 609-345-3101,Open ⋅ Closes 5 pm,Identifies as women-owned,https://lh3.googleusercontent.com/p/AF1QipNNybTdDl_cleFL5lBJgrEUwfZ_xtf9uip1C4VX=w408-h306-k-no,true,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+Atlantic+City+Atlantic+City+NJ/@39.3636917,-74.4291041,14z",2025-09-25T17:01:30.948Z,,
https://www.google.com/maps/place/Thompson+Realty/data=!4m7!3m6!1s0x89c0ee40c31a303b:0x204845c6a032c9bc!8m2!3d39.361144!4d-74.4312075!16s%2Fg%2F1wv_t37y!19sChIJOzAaw0DuwIkRvMkyoMZFSCA,Thompson Realty,2.7,13,Real estate agency,"1613 Atlantic Ave, Atlantic City, NJ 08401, United States","9H69+FG Atlantic City, New Jersey, USA",http://www.thompsonrealtyac.com/,+1 609-348-3188,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nocIFDYCdTnU_4UwmSfSOWG3aW26HWZJjjqz3JBCaqBnR5Nu-mGMNHOkyWDhBGuHtdigPU4uMeI-kFQR6mG7QPL-6bfytxlSkSfJ1yzx6Cq0_ALdNqJKbkYLmqyt9K0-3euz-jfSQ=w408-h607-k-no,false,,,,,,,,"https://www.google.com/maps/search/HOA+management+businesses+in+Atlantic+City+Atlantic+City+NJ/@39.3636917,-74.4291041,14z",2025-09-25T17:01:35.312Z,,
https://www.google.com/maps/place/Brighton+Towers+Condo+Associates/data=!4m7!3m6!1s0x89c0ee66ab999c95:0x19af64b39b41da4f!8m2!3d39.3544971!4d-74.4465086!16s%2Fg%2F1tjprdf6!19sChIJlZyZq2buwIkRT9pBm7Nkrxk,Brighton Towers Condo Associates,3.9,20,Condominium complex,"2834 Atlantic Ave, Atlantic City, NJ 08401, United States","9H33+Q9 Atlantic City, New Jersey, USA",http://acboardwalkrealty.com/,+1 609-348-3200,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4np0Fpuz3Nk_nBOtkFW-qnm7eyPF7rgiyD1DXRcRHfDjOqDbUxHErXAet37KJeDE-uOkfgjt8ni9-rYGWG9D2mQFx7mGhpm8QbZEYYVDGDMvXhC_QC8O3LB6y-OpJ4CETlx7oz6u=w408-h615-k-no,true,,,,,,,,"https://www.google.com/maps/search/HOA+management+businesses+in+Atlantic+City+Atlantic+City+NJ/@39.3636917,-74.4291041,14z",2025-09-25T17:01:38.236Z,,
https://www.google.com/maps/place/localSTR/data=!4m7!3m6!1s0x89c0ee255bb3f12d:0x11d7dbdfdddbfff4!8m2!3d39.3702622!4d-74.4212967!16s%2Fg%2F11twq36cgh!19sChIJLfGzWyXuwIkR9P_b3d_b1xE,localSTR,4.6,11,Property management company,"613 Melrose Ave, Atlantic City, NJ 08401, United States","9HCH+4F Atlantic City, New Jersey, USA",https://www.localstr.com/,+1 609-264-6639,"Open 24 hours

Updated by this business 5 weeks ago",,https://lh3.googleusercontent.com/p/AF1QipPGb_rCtghRC-aljWzyFbxLCWjM07brZuvUn7rk=w426-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/HOA+management+businesses+in+Atlantic+City+Atlantic+City+NJ/@39.3636917,-74.4291041,14z",2025-09-25T17:01:43.385Z,,
"https://www.google.com/maps/place/Levin+Commercial+Real+Estate,+LLC/data=!4m7!3m6!1s0x89c0ee40614a0f27:0xb6a11b8fdac0481!8m2!3d39.3632746!4d-74.4232292!16s%2Fg%2F1tcwxmjv!19sChIJJw9KYUDuwIkRgQSs_bgRags","Levin Commercial Real Estate, LLC",4.8,23,Commercial real estate agency,"17 South S Presbyterian Ave, Atlantic City, NJ 08401, United States","9H7G+8P Atlantic City, New Jersey, USA",http://www.levinre.com/,+1 609-344-5200,Open ⋅ Closes 5 pm,,https://lh3.googleusercontent.com/p/AF1QipNc58fIWuS2agbOv_TwhVKiEIkzfFCQSIZ_i932=w467-h240-k-no,true,9 am–5 pm,9 am–5 pm,Closed,Closed,9 am–5 pm,9 am–5 pm,9 am–5 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+Atlantic+City+Atlantic+City+NJ/@39.3636917,-74.4291041,14z",2025-09-25T17:01:48.882Z,,
https://www.google.com/maps/place/Bright%27s+Villa+Inc/data=!4m7!3m6!1s0x89c0ee469e02ef0f:0x4f311dda03ea42d7!8m2!3d39.3640385!4d-74.4355482!16s%2Fg%2F1tdn9l0g!19sChIJD-8CnkbuwIkR10LqA9odMU8,Bright's Villa Inc,3.2,5,Property management company,"263 N Indiana Ave A, Atlantic City, NJ 08401, United States","9H77+JQ Atlantic City, New Jersey, USA",,+1 609-347-8049,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=u4ObuJq6_3ab0YqR24hryg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=79.10268&pitch=0&thumbfov=100,false,,,,,,,,"https://www.google.com/maps/search/HOA+management+businesses+in+Atlantic+City+Atlantic+City+NJ/@39.3636917,-74.4291041,14z",2025-09-25T17:01:52.609Z,,
https://www.google.com/maps/place/Boardwalk+Realty/data=!4m7!3m6!1s0x89c0ee65b4dd8ef3:0xa5876bcfc0a8c843!8m2!3d39.3525564!4d-74.4435946!16s%2Fg%2F1td0ny58!19sChIJ847dtGXuwIkRQ8iowM9rh6U,Boardwalk Realty,4.2,26,Real estate agency,"Ritz-Carlton Atlantic City, 2715 Boardwalk Suite 101-c, Atlantic City, NJ 08401, United States","9H34+2H Atlantic City, New Jersey, USA",http://www.acboardwalkrealty.com/,+1 609-345-2062,Open ⋅ Closes 5 pm,Identifies as women-owned,https://lh3.googleusercontent.com/p/AF1QipPMnspUaVXHsd6DdsqeAAWL58BQ4Fy3egvDXiFs=w408-h342-k-no,true,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,9 am–5 pm,9 am–5 pm,9 am–5 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+Atlantic+City+Atlantic+City+NJ/@39.3636917,-74.4291041,14z",2025-09-25T17:01:58.995Z,,
https://www.google.com/maps/place/Ocean+Breeze+PROPERTY+MANAGEMENT/data=!4m7!3m6!1s0x89c0ec1bee195555:0xbcac161462fea492!8m2!3d39.3381577!4d-74.4829!16s%2Fg%2F11rxhzrrvv!19sChIJVVUZ7hvswIkRkqT-YhQWrLw,Ocean Breeze PROPERTY MANAGEMENT,1.0,1,Property management company,"6411 Ventnor Ave, Ventnor City, NJ 08406, United States","8GQ8+7R Ventnor City, New Jersey, USA",,+1 609-569-5235,Open 24 hours,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=gboAwPhaz31LA-YeelYqww&cb_client=search.gws-prod.gps&w=408&h=240&yaw=336.8101&pitch=0&thumbfov=100,false,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/HOA+management+businesses+in+Atlantic+City+Atlantic+City+NJ/@39.3636917,-74.4291041,14z",2025-09-25T17:02:04.855Z,,
https://www.google.com/maps/place/Weichert/data=!4m7!3m6!1s0x89c0ee255a3edd73:0xbb6c4b9ce7700ccb!8m2!3d39.3646756!4d-74.4164738!16s%2Fg%2F12htvnbs4!19sChIJc90-WiXuwIkRywxw55xLbLs,Weichert,4.7,78,Real estate agency,"524 Pacific Ave, Atlantic City, NJ 08401, United States","9H7M+VC Atlantic City, New Jersey, USA",http://www.weichertac.com/,+1 609-344-6200,Open ⋅ Closes 5 pm,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4no_m7n0tSZkx9NCBrzHCX15PMhyS6OGggXfoaM9SGZbn7nLejIZbQgLxB2mNzPukux_pvz-zRvvcsoQx-ONRnH25wSFb2ntI3Ewny-KOSCcRcv2fzCGZPTJGN_AHVy-jxBRDLgw=w408-h873-k-no,true,10 am–5 pm,10 am–5 pm,Closed,Closed,10 am–5 pm,10 am–5 pm,10 am–5 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+Atlantic+City+Atlantic+City+NJ/@39.3636917,-74.4291041,14z",2025-09-25T17:02:10.781Z,,
https://www.google.com/maps/place/Number+One+Realty+LLC/data=!4m7!3m6!1s0x89c0ee6316bd5063:0xd8e60c9ad5ab6aac!8m2!3d39.3508292!4d-74.4485745!16s%2Fg%2F1tdskpj8!19sChIJY1C9FmPuwIkRrGqr1ZoM5tg,Number One Realty LLC,1.0,2,Property management company,"108 S Montpelier Ave # 1, Atlantic City, NJ 08401, United States","9H22+8H Atlantic City, New Jersey, USA",,+1 609-345-7775,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=EnjtMWHunRKdmPYMLgo-IA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=232.02525&pitch=0&thumbfov=100,false,,,,,,,,"https://www.google.com/maps/search/HOA+management+businesses+in+Atlantic+City+Atlantic+City+NJ/@39.3636917,-74.4291041,14z",2025-09-25T17:02:14.072Z,,
