placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,tuesday,wednesday,thursday,friday,saturday,sunday,monday,query,timestamp,info,error
"https://www.google.com/maps/place/AtlantiCare+Regional+Medical+Center,+Atlantic+City+Campus/data=!4m7!3m6!1s0x89c0ee41e37084e9:0x5ce08eddfee7b03c!8m2!3d39.3582822!4d-74.4343139!16s%2Fg%2F1tdg8q2y!19sChIJ6YRw40HuwIkRPLDn_t2O4Fw","AtlantiCare Regional Medical Center, Atlantic City Campus",2.8,315,General hospital,"1925 Pacific Ave, Atlantic City, NJ 08401, United States","9H58+87 Atlantic City, New Jersey, USA",https://www.atlanticare.org/,+1 609-345-4000,,https://lh3.googleusercontent.com/p/AF1QipO5vDoFLF4M8h6_SjZ8KJRZ6vsbQNhymQ5OnjnJ=w426-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/vein+clinics+in+Atlantic+City+Atlantic+City+NJ/@39.3636917,-74.4291041,14z",2025-12-16T21:57:17.618Z,,
https://www.google.com/maps/place/Labcorp/data=!4m7!3m6!1s0x89c0ef371211da29:0xa31508f8a69fb127!8m2!3d39.3625305!4d-74.4288387!16s%2Fg%2F11rz4n42f7!19sChIJKdoREjfvwIkRJ7GfpvgIFaM,Labcorp,1.9,12,Medical laboratory,"1401 Atlantic Ave, Atlantic City, NJ 08401, United States","9H7C+2F Atlantic City, New Jersey, USA",https://locations.labcorp.com/nj/atlantic-city/39565/,+1 609-998-3323,"Closed · Opens 7 am Wed

Updated by this business 2 weeks ago",https://lh3.googleusercontent.com/p/AF1QipPd95kFxdddpkNvfgi7Pf8yGk-IptyyPjd8X6s=w408-h272-k-no,true,7 am–2:30 pm,7 am–2:30 pm,7 am–2:30 pm,7 am–2:30 pm,Closed,Closed,7 am–2:30 pm,"https://www.google.com/maps/search/vein+clinics+in+Atlantic+City+Atlantic+City+NJ/@39.3636917,-74.4291041,14z",2025-12-16T21:57:22.786Z,,
https://www.google.com/maps/place/Anne+Judge+Aesthetics/data=!4m7!3m6!1s0x89c0f1b18c413c41:0x2bb8758b98ff8643!8m2!3d39.3943085!4d-74.3945514!16s%2Fg%2F11w8lbq6wv!19sChIJQTxBjLHxwIkRQ4b_mIt1uCs,Anne Judge Aesthetics,5.0,23,Medical spa,"3838 Atlantic Brigantine Blvd Fl 2, Brigantine, NJ 08203, United States","9JV4+P5 Brigantine, New Jersey, USA",https://www.annejudgeaesthetics.com/,+1 609-264-5932,"Open · Closes 6 pm

Updated by this business 11 weeks ago",https://lh3.googleusercontent.com/p/AF1QipNS095VgrLQnZvGhPxMGSc4rQEGLXFzdY8CDR-p=w408-h611-k-no,true,10 am–6 pm,10 am–6 pm,12–6 pm,10 am–6 pm,10 am–5 pm,Closed,Closed,"https://www.google.com/maps/search/vein+clinics+in+Atlantic+City+Atlantic+City+NJ/@39.3636917,-74.4291041,14z",2025-12-16T21:57:28.367Z,,
https://www.google.com/maps/place/AtlantiCare+Regional+Medical+Center+Heart+and+Vascular+Institute/data=!4m7!3m6!1s0x89c0e6fece6f703d:0xacab11229ab4b7ce!8m2!3d39.4785262!4d-74.5398726!16s%2Fg%2F1hc2lm80w!19sChIJPXBvzv7mwIkRzre0miIRq6w,AtlantiCare Regional Medical Center Heart and Vascular Institute,5.0,1,Vascular surgeon,"65 W Jimmie Leeds Rd, Absecon, NJ 08201, United States","FFH6+C3 Absecon, New Jersey, USA",https://www.atlanticare.org/services/heart-and-vascular-care/,+1 888-569-1000,,https://lh3.googleusercontent.com/p/AF1QipNG8qhYILF6c5HfOhJBzJJ5qldVIXGVHUUIT26R=w426-h240-k-no,true,,,,,,,,"https://www.google.com/maps/search/vein+clinics+in+Atlantic+City+Atlantic+City+NJ/@39.3636917,-74.4291041,14z",2025-12-16T21:57:31.039Z,,
https://www.google.com/maps/place/Renal+Treatment+Center/data=!4m7!3m6!1s0x89c0ee669551bdb3:0xb8562866a22890ee!8m2!3d39.3550484!4d-74.4451939!16s%2Fg%2F1tfrn78q!19sChIJs71RlWbuwIkR7pAoomYoVrg,Renal Treatment Center,,,Medical clinic,"2720 Atlantic Ave, Atlantic City, NJ 08401, United States","9H43+2W Atlantic City, New Jersey, USA",,+1 609-344-4494,Temporarily closed,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=yETdW5DbEQsQwuWqLQSB4w&cb_client=search.gws-prod.gps&w=408&h=240&yaw=151.89651&pitch=0&thumbfov=100,false,,,,,,,,"https://www.google.com/maps/search/vein+clinics+in+Atlantic+City+Atlantic+City+NJ/@39.3636917,-74.4291041,14z",2025-12-16T21:57:35.693Z,,
https://www.google.com/maps/place/Center+for+Vein+Restoration+%7C+Dr.+David+Feng/data=!4m7!3m6!1s0x89c0e9a3d064dfdb:0xd44c1d79dedee3cb!8m2!3d39.3769688!4d-74.5529333!16s%2Fg%2F11ckr7914z!19sChIJ299k0KPpwIkRy-Pe3nkdTNQ,Center for Vein Restoration | Dr. David Feng,4.8,112,Vascular surgeon,"1015 New Rd d, Northfield, NJ 08225, United States","9CGW+QR Northfield, New Jersey, USA",https://www.centerforvein.com/our-clinics/locations/northfield-new-jersey,+1 609-301-5450,Open · Closes 6 pm,https://lh3.googleusercontent.com/p/AF1QipNcWtPFIPJxEU0If6gKvZ5dd4skIwwzKIMgWb8w=w426-h240-k-no,true,7 am–6 pm,7 am–6 pm,7 am–6 pm,7 am–6 pm,Closed,Closed,7 am–6 pm,"https://www.google.com/maps/search/vein+clinics+in+Atlantic+City+Atlantic+City+NJ/@39.3636917,-74.4291041,14z",2025-12-16T21:57:40.738Z,,
https://www.google.com/maps/place/Shore+Vascular+%26+Vein+Center/data=!4m7!3m6!1s0x89c0c1d5850d43c1:0xb9e347b38409b409!8m2!3d39.3214161!4d-74.59376!16s%2Fg%2F11b7w0h74b!19sChIJwUMNhdXBwIkRCbQJhLNH47k,Shore Vascular & Vein Center,4.9,61,Surgical center,"442 Bethel Rd, Somers Point, NJ 08244, United States","8CC4+HF Somers Point, New Jersey, USA",http://www.getgreatlegs.com/,+1 609-927-8346,,https://lh3.googleusercontent.com/p/AF1QipN2d7a1JdGWzDPgIu55wrYnqeL3bYXHZ24E9xM0=w486-h240-k-no,true,,,,,,,,"https://www.google.com/maps/search/vein+clinics+in+Atlantic+City+Atlantic+City+NJ/@39.3636917,-74.4291041,14z",2025-12-16T21:57:43.574Z,,
https://www.google.com/maps/place/The+Vascular+Institute+at+AMI+Galloway/data=!4m7!3m6!1s0x89c0e68a4e67ef43:0x1c6785602de0a1a2!8m2!3d39.472365!4d-74.5190889!16s%2Fg%2F11b7fycxhk!19sChIJQ-9nTormwIkRoqHgLWCFZxw,The Vascular Institute at AMI Galloway,4.9,148,Surgical center,"44 E Jimmie Leeds Rd, Galloway, NJ 08205, United States","FFCJ+W9 Galloway, New Jersey, USA",http://www.ami-ir.com/,+1 609-652-6094,Closes soon · 5 pm · Opens 7:30 am Wed,https://lh3.googleusercontent.com/p/AF1QipPPiRMgJrTRLli7XuLOYTWQlJLCJu0h8q0-Ea9o=w412-h240-k-no,true,7:30 am–5 pm,7:30 am–5 pm,7:30 am–5 pm,7:30 am–5 pm,Closed,Closed,7:30 am–5 pm,"https://www.google.com/maps/search/vein+clinics+in+Atlantic+City+Atlantic+City+NJ/@39.3636917,-74.4291041,14z",2025-12-16T21:57:48.556Z,,
https://www.google.com/maps/place/AMI+Vascular+Institute/data=!4m7!3m6!1s0x89c0e7c3e5463cab:0x56cdd5fa7064043e!8m2!3d39.4715539!4d-74.5436539!16s%2Fg%2F11ls2qc3cr!19sChIJqzxG5cPnwIkRPgRkcPrVzVY,AMI Vascular Institute,4.9,50,Surgical center,"415 Chris Gaupp Dr, Galloway, NJ 08205, United States","FFC4+JG Galloway, New Jersey, USA",https://www.vi-ami.com/,+1 877-595-9512,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=chf3vYtBOgDgNym1OZRppA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=7.654154&pitch=0&thumbfov=100,true,,,,,,,,"https://www.google.com/maps/search/vein+clinics+in+Atlantic+City+Atlantic+City+NJ/@39.3636917,-74.4291041,14z",2025-12-16T21:57:51.480Z,,
https://www.google.com/maps/place/Atlantic+County+Vascular+Institute/data=!4m7!3m6!1s0x89c0e9f67c69b115:0x311f976d4c543f1c!8m2!3d39.4540756!4d-74.6537965!16s%2Fg%2F11r801_6g6!19sChIJFbFpfPbpwIkRHD9UTG2XHzE,Atlantic County Vascular Institute,5.0,2,Medical office,"4622 Black Horse Pike #102, Mays Landing, NJ 08330, United States","F83W+JF Mays Landing, Hamilton, NJ, USA",http://www.atlanticcountyvascular.com/,+1 609-363-9300,Closed · Opens 8 am Wed,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=1IUhBZ4yK68nGclyw88Glg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=20.288536&pitch=0&thumbfov=100,true,8 am–4 pm,8 am–4 pm,8 am–4 pm,8 am–4 pm,8 am–3 pm,Closed,8 am–4 pm,"https://www.google.com/maps/search/vein+clinics+in+Atlantic+City+Atlantic+City+NJ/@39.3636917,-74.4291041,14z",2025-12-16T21:57:56.252Z,,
