placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,saturday,sunday,monday,tuesday,wednesday,thursday,friday,query,timestamp,info,attributes,error,isBlackOwned
https://www.google.com/maps/place/Powered+Up+Generator+Service/data=!4m7!3m6!1s0x8fdbe61f20a0eaa3:0x38b93b8d86e70cd7!8m2!3d39.4805295!4d-74.566938!16s%2Fg%2F11sjmfpt03!19sChIJo-qgIB_m248R1wznho07uTg,Powered Up Generator Service,5.0,20,Electrical installation service,,,http://www.poweredupnj.com/,+1 609-380-1755,Closed · Opens 8 am Mon,https://lh3.googleusercontent.com/p/AF1QipPG_-rw5dj6UaN8XESQksUUF7JYDuKpmKDnjpUl=w408-h306-k-no,true,9 am–4 pm,Closed,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–6 pm,"https://www.google.com/maps/search/generator+installation+services+in+Atlantic+City+Atlantic+City+NJ/@39.3636917,-74.4291041,14z",2026-01-10T21:23:09.431Z,,,,
https://www.google.com/maps/place/Mister+Sparky+Electric/data=!4m7!3m6!1s0x89c0e846f3970d25:0xc978703940c02799!8m2!3d39.3919612!4d-74.5174264!16s%2Fg%2F1ts3051g!19sChIJJQ2X80bowIkRmSfAQDlweMk,Mister Sparky Electric,4.9,942,Electrician,"100 N Franklin Blvd, Pleasantville, NJ 08232, United States","9FRM+Q2 Pleasantville, New Jersey, USA",https://www.mistersparky.com/pleasantville/,+1 609-270-4650,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzLmBbAfw3krHWv0HfjtFTf9j8wdJ4fgWp4QX0ZBlcriZtJWpHaapaVbyr-TXF9QhhZW7iSSyS26eA5lJKMCeKPwwUpvFPpHNOw49sfS60Gk2wDKiwdqDe83amGEiKsFX0nENEgyw=w408-h306-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/generator+installation+services+in+Atlantic+City+Atlantic+City+NJ/@39.3636917,-74.4291041,14z",2026-01-10T21:23:14.923Z,,,,
https://www.google.com/maps/place/Calvi+Electric+Company/data=!4m7!3m6!1s0x89c0ee67ea11504f:0x45881a90ccbbd93e!8m2!3d39.3573356!4d-74.4420176!16s%2Fg%2F1txc7yjf!19sChIJT1AR6mfuwIkRPtm7zJAaiEU,Calvi Electric Company,,,Electrical installation service,"17 N Florida Ave, Atlantic City, NJ 08401, United States","9H45+W5 Atlantic City, New Jersey, USA",http://www.calvielectric.com/,+1 609-345-0151,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=2GKgyJVZFG47djDIoohI1A&cb_client=search.gws-prod.gps&w=408&h=240&yaw=60.72399&pitch=0&thumbfov=100,false,,,,,,,,"https://www.google.com/maps/search/generator+installation+services+in+Atlantic+City+Atlantic+City+NJ/@39.3636917,-74.4291041,14z",2026-01-10T21:23:18.103Z,,,,
https://www.google.com/maps/place/Residential+Generator+Service+LLC/data=!4m7!3m6!1s0xaf9bdd12366a4f6b:0x4c2b35ea577bace4!8m2!3d39.9831524!4d-74.8620666!16s%2Fg%2F11k4bbkvfl!19sChIJa09qNhLdm68R5Kx7V-o1K0w,Residential Generator Service LLC,5.0,397,Electric generator shop,"204 Creek Rd, Mt Laurel Township, NJ 08054, United States","X4MQ+75 Mt Laurel Township, New Jersey, USA",https://www.rgs-llc.com/,+1 800-801-7780,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSweQuXirNbKxqyAbcAHIVFu8AsupOuNQuH49nf0hEXn7p1L04tQ3AMiUy27QCGXOVqwa01u_aZ3SfBQYBQfzyaVh2DNs-Z1Hnrd916Z7zDKFPxLWWZCDGhmQtXi--NRgcb5whwYxA=w408-h544-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/generator+installation+services+in+Atlantic+City+Atlantic+City+NJ/@39.3636917,-74.4291041,14z",2026-01-10T21:23:23.079Z,LGBTQ+ friendly,,,
https://www.google.com/maps/place/J%26B%27s+Electrical+Service+%26+Contracting/data=!4m7!3m6!1s0x89c0c5c10837ae0b:0xdf75cf37b730574e!8m2!3d39.3926861!4d-74.5249491!16s%2Fg%2F11hg33p_53!19sChIJC643CMHFwIkRTlcwtzfPdd8,J&B's Electrical Service & Contracting,4.8,10,Electrician,"201 W Washington Ave, Pleasantville, NJ 08232, United States","9FVG+32 Pleasantville, New Jersey, USA",https://jandbelectricalservices.com/,+1 609-500-0706,Closed · Opens 8 am Mon,https://lh3.googleusercontent.com/p/AF1QipPsbK3tyCJvjA2hIH0hjUOCZUCInT-h6_Ou3l8K=w408-h306-k-no,true,Closed,Closed,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,"https://www.google.com/maps/search/generator+installation+services+in+Atlantic+City+Atlantic+City+NJ/@39.3636917,-74.4291041,14z",2026-01-10T21:23:27.975Z,,,,
https://www.google.com/maps/place/Brighton+Electric/data=!4m7!3m6!1s0x89c0eb042907596d:0xb4efe00d3aa103d2!8m2!3d39.3221422!4d-74.522594!16s%2Fg%2F11lgdwx_y_!19sChIJbVkHKQTrwIkR0gOhOg3g77Q,Brighton Electric,5.0,4,Electrician,"219 N 34th Ave, Longport, NJ 08403, United States","8FCG+VX Longport, New Jersey, USA",http://www.brighton-electric.com/,+1 609-385-0569,"Open 24 hours

Confirmed by this business 12 weeks ago",https://lh3.googleusercontent.com/p/AF1QipOoUrfqOagqKg02vr1ctFwfbCXK7jfe5KRx7zf0=w408-h288-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/generator+installation+services+in+Atlantic+City+Atlantic+City+NJ/@39.3636917,-74.4291041,14z",2026-01-10T21:23:32.902Z,,,,
https://www.google.com/maps/place/Corson+Electric+Contractors/data=!4m7!3m6!1s0x89c0ee5aeea701e1:0x3b7e5db8ca12c262!8m2!3d39.3670943!4d-74.4427103!16s%2Fg%2F1v_w37rj!19sChIJ4QGn7lruwIkRYsISyrhdfjs,Corson Electric Contractors,5.0,1,Electrician,"900 N Arkansas Ave, Atlantic City, NJ 08401, United States","9H84+RW Atlantic City, New Jersey, USA",https://us-electrical.com/Atlantic-City,+1 856-548-5833,Open 24 hours,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Bm2QH-vGBArFKb5RT3BhRg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=261.83487&pitch=0&thumbfov=100,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/generator+installation+services+in+Atlantic+City+Atlantic+City+NJ/@39.3636917,-74.4291041,14z",2026-01-10T21:23:37.511Z,,,,
https://www.google.com/maps/place/Brighton+Electric/data=!4m7!3m6!1s0x89c0ebeb7b93aecb:0xf657a4890bb6c572!8m2!3d39.3234643!4d-74.5140722!16s%2Fg%2F11fb0frjx1!19sChIJy66Te-vrwIkRcsW2C4mkV_Y,Brighton Electric,4.9,373,Electrician,"18 N Decatur Ave, Margate City, NJ 08402, United States","8FFP+99 Margate City, New Jersey, USA",http://www.brighton-electric.com/,+1 609-385-0569,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipMaDmRaflm0vUzAZSvu7vkR3fsCngdKptdApY79=w408-h305-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/generator+installation+services+in+Atlantic+City+Atlantic+City+NJ/@39.3636917,-74.4291041,14z",2026-01-10T21:23:42.673Z,,,,
"https://www.google.com/maps/place/Motors+%26+Drives,+Inc.+d%2Fb%2Fa+Park+Electric+Motor+Co./data=!4m7!3m6!1s0x89c0ee4eb6f77849:0xedcbac0f17b0aefa!8m2!3d39.3719566!4d-74.4355996!16s%2Fg%2F1tgwbtd9!19sChIJSXj3tk7uwIkR-q6wFw-sy-0","Motors & Drives, Inc. d/b/a Park Electric Motor Co.",4.7,13,Store,"1413 Marmora Ave #2338, Atlantic City, NJ 08401, United States","9HC7+QQ Atlantic City, New Jersey, USA",http://www.motorsanddrives.net/,+1 609-344-8058,Closed · Opens 8 am Mon,https://lh3.googleusercontent.com/p/AF1QipPyVves7BzfsCLD91qqv8do3yduRMMpvR4tMQR8=w408-h306-k-no,true,Closed,Closed,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,"https://www.google.com/maps/search/generator+installation+services+in+Atlantic+City+Atlantic+City+NJ/@39.3636917,-74.4291041,14z",2026-01-10T21:23:47.593Z,,· In-store shopping,,
https://www.google.com/maps/place/Horn+Electric+Company/data=!4m7!3m6!1s0x89c0ec1e354c96fd:0x9807604cf8b62423!8m2!3d39.3421279!4d-74.478999!16s%2Fg%2F11dfxjzh9m!19sChIJ_ZZMNR7swIkRIyS2-ExgB5g,Horn Electric Company,4.4,24,Electrician,"100 N Dorset Ave, Ventnor City, NJ 08406, United States","8GRC+VC Ventnor City, New Jersey, USA",https://hornelectric.biz/,+1 609-823-1019,Closed · Opens 8:30 am Mon,https://lh3.googleusercontent.com/p/AF1QipOcJyKY9rYFmWpq6t-ysp0X7OF_MGckAxYkMIKK=w408-h306-k-no,true,Closed,Closed,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,"https://www.google.com/maps/search/generator+installation+services+in+Atlantic+City+Atlantic+City+NJ/@39.3636917,-74.4291041,14z",2026-01-10T21:23:52.582Z,Identifies as women-owned,,,
