placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,sunday,monday,tuesday,wednesday,thursday,friday,saturday,query,timestamp,info,attributes,error
https://www.google.com/maps/place/Tatum+Water+Damage+Restoration/data=!4m7!3m6!1s0x89c0ef6b5bf522b5:0xf318b5789834cfeb!8m2!3d39.363565!4d-74.425583!16s%2Fg%2F11xsgr_qhf!19sChIJtSL1W2vvwIkR6880mHi1GPM,Tatum Water Damage Restoration,5.0,39,Water damage restoration service,"1125 Atlantic Ave suite 317, Atlantic City, NJ 08401, United States","9H7F+CQ Atlantic City, New Jersey, USA",https://tatumwaterrepair.com/,+1 609-307-2916,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/AHVAwepASvaiWc8N1D611McduZDr5pOK2Oa4tuiPxCdLk94RGtst968fhXXTCasmhnAOxCNhZMDZmpKMg7wfJNgdXirxnvWVEXbaBm74n2XBot9N0b4W8iiEWAEqTmTtjhtZsiW9Eqg8q5zXQi-p=w408-h272-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+Atlantic+City+Atlantic+City+NJ/@39.3636917,-74.4291041,14z",2026-03-23T03:32:22.030Z,,,
"https://www.google.com/maps/place/Waterproofing+4+Less,+LLC+Mold+Remediation+And+Basement+Waterproofing+Specialist/data=!4m7!3m6!1s0x89c0f02617852e13:0xa03e0ebbaeb4c165!8m2!3d39.653876!4d-74.724323!16s%2Fg%2F1pxwr2kkj!19sChIJEy6FFybwwIkRZcG0rrsOPqA","Waterproofing 4 Less, LLC Mold Remediation And Basement Waterproofing Specialist",5.0,1,Waterproofing service,,,http://www.waterproofing4lessllc.com/,+1 609-270-7705,Closes soon · 11:59 pm · Opens 12 am Mon,https://lh3.googleusercontent.com/gps-cs-s/AHVAwep_oShXdDmr_dVrwsRcZKzTcIWp1DQRMKIVTdzuhP_8rh8U9PeGxNOLy526h89olzfuP9YZ3AeGEZc8rr-RJ0CItQ1I-WwG29374w3eAJWo3lIl10Z2-bT7rnmG5knHi3feJgFAQg=w426-h240-k-no,true,12 am–11:59 pm,12 am–11:59 pm,12 am–11:59 pm,12 am–11:59 pm,12 am–11:59 pm,12 am–11:59 pm,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+Atlantic+City+Atlantic+City+NJ/@39.3636917,-74.4291041,14z",2026-03-23T03:32:26.577Z,,,
https://www.google.com/maps/place/Marven+Gardens+Mold+Inspections/data=!4m7!3m6!1s0x89c0ef9da71cc6e1:0x5de65cabb353b0b2!8m2!3d39.3635652!4d-74.4255828!16s%2Fg%2F11s2262sm5!19sChIJ4cYcp53vwIkRsrBTs6tc5l0,Marven Gardens Mold Inspections,5.0,9,Environmental consultant,"1125 Atlantic Ave, Atlantic City, NJ 08401, United States","9H7F+CQ Atlantic City, New Jersey, USA",http://www.moldinspectionmargatenj.com/,+1 609-547-3007,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/AHVAweoNYhvreOvYckIYTVCXPuklzVjPIPSL7VEbXDCluEtni-AbIZKC39qcpOCQVNQd_8EBdj7xlCD1EOn8RRDHDdUsrlsqseH1qZF4lN1pN5Dh6OvakCnbh1XGKphaHjdA6Zmk7z9R5w=w408-h408-k-no,false,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+Atlantic+City+Atlantic+City+NJ/@39.3636917,-74.4291041,14z",2026-03-23T03:32:30.744Z,,,
https://www.google.com/maps/place/SERVPRO+of+Egg+Harbor%2FVentnor+City/data=!4m7!3m6!1s0x89c0e9aaa786622d:0x903cbf729067a959!8m2!3d39.3923425!4d-74.5464655!16s%2Fg%2F1q67rs16m!19sChIJLWKGp6rpwIkRWalnkHK_PJA,SERVPRO of Egg Harbor/Ventnor City,4.6,140,Water damage restoration service,"8 Steelmans Ln C-1, Egg Harbor Township, NJ 08234, United States","9FR3+WC Egg Harbor Township, New Jersey, USA",https://www.servpro.com/locations/nj/servpro-of-egg-harbor-ventnor-city?utm_medium=organic&utm_source=gbp,+1 609-383-9785,,https://lh3.googleusercontent.com/gps-cs-s/AHVAwerkU3DM2lGTyRIs93JV_2F8_nIwpISUrLqAHlNCWcF2bn8zNnRFKzzoO3f2ur_MudminVWig1l7a41CY6hluM5X6JuODSLVS-waHJVsidMHml63-fRuhxwodcILgiVR3NkM-28H2hbH9SbK=w427-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+Atlantic+City+Atlantic+City+NJ/@39.3636917,-74.4291041,14z",2026-03-23T03:32:35.388Z,,,
https://www.google.com/maps/place/Jimmy%27s+Flood+Restoration/data=!4m7!3m6!1s0x89c0e943477d3e21:0xc055af17569d750!8m2!3d39.3933849!4d-74.5360793!16s%2Fg%2F11jdgs5mtz!19sChIJIT59R0PpwIkRUNdpdfFaBQw,Jimmy's Flood Restoration,4.9,93,Water damage restoration service,"652 Black Horse Pike #4000, Pleasantville, NJ 08232, United States","9FV7+9H Pleasantville, New Jersey, USA",,+1 609-745-1396,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/AHVAweoldXatrA6mZWUnQRcJMSF9d_Fq1RrZfliFGxFOWykfrF8vCpkjmVj6wUk03fCf01axM653wgxDGOl7IEgqRHlm3ITH_iI8hgA--c2zEap0iEoWjs5S7OpXMk5OTLbdmRCp67jG3s2s31wH=w408-h306-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+Atlantic+City+Atlantic+City+NJ/@39.3636917,-74.4291041,14z",2026-03-23T03:32:39.743Z,,,
https://www.google.com/maps/place/All+Dry+Services+of+The+Jersey+Shore/data=!4m7!3m6!1s0x89c0e9bfb402f229:0xae556d4b5393e93f!8m2!3d39.486446!4d-74.7645001!16s%2Fg%2F11pybbxxf7!19sChIJKfICtL_pwIkRP-mTU0ttVa4,All Dry Services of The Jersey Shore,4.5,24,Water damage restoration service,,,,+1 609-546-4332,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/AHVAweq7DU21C5aBi7vIyS7dnlJybjXrCT9PbNIidlPuym_vERbFUCsQ2wuwn_iDHm6f2RtfK2X_7bN5CkHZEsML59QXwM-kmdTDifukLAa4Q-4J8eAsyda46LVdUyDjLBzwKi-sQI4=w408-h544-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+Atlantic+City+Atlantic+City+NJ/@39.3636917,-74.4291041,14z",2026-03-23T03:32:44.011Z,LGBTQ+ friendly,,
https://www.google.com/maps/place/DRYmedic+Restoration+Services+of+Pleasantville/data=!4m7!3m6!1s0xbdfdf3c50fb649:0xa6b1cefd214521b1!8m2!3d39.3919674!4d-74.5174939!16s%2Fg%2F11y49nh9dm!19sChIJSbYPxfP9vQARsSFFIf3OsaY,DRYmedic Restoration Services of Pleasantville,5.0,27,Water damage restoration service,"100 N Franklin Blvd, Pleasantville, NJ 08232, United States","9FRM+Q2 Pleasantville, New Jersey, USA",https://www.drymedic.com/locations/pleasantville/service/water-flood-damage-cleanup/?utm_source=Google&utm_medium=Organic&utm_campaign=LocalSEO,+1 609-793-8010,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/AHVAweoFJeeqBZeFzBAMrQFBhbbdEP8k_s_IKpIjOnIa_7k8O8v7PL2x2Ctx7c8vg_zFUad_wfWXObej1WIr8F0Cgl6opkBAKzVZnEAHLGVX6qL-QJL8d7m2UchocliNhxfYXtvPRJ88xKd9Ei-7=w408-h408-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+Atlantic+City+Atlantic+City+NJ/@39.3636917,-74.4291041,14z",2026-03-23T03:32:48.220Z,,,
https://www.google.com/maps/place/The+Queen+Team+G.+C./data=!4m7!3m6!1s0x89c0ef328f762ab3:0xcb101dd6f8e80877!8m2!3d39.3706263!4d-74.4427743!16s%2Fg%2F11rwrhnb5v!19sChIJsyp2jzLvwIkRdwjo-NYdEMs,The Queen Team G. C.,5.0,91,Roofing contractor,"1142 Monroe Ave, Atlantic City, NJ 08401, United States","9HC4+7V Atlantic City, New Jersey, USA",https://queenteamgc.com/,+1 833-347-8336,,https://lh3.googleusercontent.com/gps-cs-s/AHVAwerHOoCJQNxdVtsDvhipFOqE2WZ1VyC8EIvcmaXlkaP38tnlbPZ62Q7nHEfpNJEbWhba_vpzRCAMf50uPBW8pttkNYlDlypW_PLoblNThEPXrpKWID-245as6YPKotWiclBfc8wQ=w408-h544-k-no,true,,,,,,,,"https://www.google.com/maps/search/water+damage+restoration+in+Atlantic+City+Atlantic+City+NJ/@39.3636917,-74.4291041,14z",2026-03-23T03:32:50.567Z,,,
https://www.google.com/maps/place/SERVPRO+of+Atlantic+City+%2F+Hamilton+%2F+Hammonton/data=!4m7!3m6!1s0x89c128191f24bf8d:0x6b4b519b9fcf5887!8m2!3d39.5035723!4d-74.9024627!16s%2Fg%2F11b6syt0v_!19sChIJjb8kHxkowYkRh1jPn5tRS2s,SERVPRO of Atlantic City / Hamilton / Hammonton,4.9,49,Water damage restoration service,"948 Harding Hwy, Buena, NJ 08310, United States","G33X+C2 Buena, New Jersey, USA",https://www.servpro.com/locations/nj/servpro-of-atlantic-city-hamilton-hammonton?utm_medium=organic&utm_source=gbp,+1 609-965-0885,,https://lh3.googleusercontent.com/gps-cs-s/AHVAweo49WU0n5EOGABHMNS7acUi2V0daqPFWieGhBRbySezH0Kn4uur9cPkgCwEgwNS3HTAsePXJH3FONHxYU2ar1Q0KoEFoNM7a4LkXAdCvrkqxRl7lQc6PTWNU0mzPLOiYe6YxpLYxvtU2ys=w427-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+Atlantic+City+Atlantic+City+NJ/@39.3636917,-74.4291041,14z",2026-03-23T03:32:54.897Z,,,
https://www.google.com/maps/place/Lacovara+Public+Adjusters/data=!4m7!3m6!1s0x89c0eea33e31512d:0x98d576cfa047cec5!8m2!3d39.3523116!4d-74.4801129!16s%2Fg%2F1tf7b_hm!19sChIJLVExPqPuwIkRxc5HoM921Zg,Lacovara Public Adjusters,5.0,103,Loss adjuster,"5215 Wellington Ave # 400, Ventnor City, NJ 08406, United States","9G29+WX Ventnor City, New Jersey, USA",http://lacovarapublicadjusters.com/,+1 609-487-1717,Closed · Opens 7 am Mon,https://lh3.googleusercontent.com/gps-cs-s/AHVAwepHeMo5hxZb8gLe2YNaoF2ANVzHCZmqeE2dD4u5lOxFlzD-nN8iZrpuQtrrIJq0nBprUu3isktWgW1RvFlZi-1FTtdUxpEeWDQXUcRmDDtRb4s0vxm0JNb6rImnKhhJpA1blsg9uw=w408-h271-k-no,true,7 am–9 pm,7 am–9 pm,7 am–9 pm,7 am–9 pm,7 am–9 pm,7 am–9 pm,7 am–9 pm,"https://www.google.com/maps/search/water+damage+restoration+in+Atlantic+City+Atlantic+City+NJ/@39.3636917,-74.4291041,14z",2026-03-23T03:32:59.301Z,,,
