placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,friday,saturday,sunday,monday,tuesday,wednesday,thursday,query,timestamp,info,isBlackOwned,attributes,error
https://www.google.com/maps/place/Precision+Garage+Door+Sacramento+Valley/data=!4m7!3m6!1s0x809adb25fdf3dccf:0xd234e2001b86c1e0!8m2!3d38.5360006!4d-121.4056963!16s%2Fg%2F11k5sj275z!19sChIJz9zz_SXbmoAR4MGGGwDiNNI,Precision Garage Door Sacramento Valley,4.9,1230,Garage door supplier,"8175 Alpine Ave C, Sacramento, CA 95826, United States","GHPV+CP Sacramento, California, USA",https://precisiondoorsacramentovalley.com/?utm_source=gmb&utm_medium=location_sacramento&utm_campaign=website,+1 916-229-9580,Open ⋅ Closes 11 pm,https://lh3.googleusercontent.com/p/AF1QipO861WcLTAnuINBoGtdJUA6PkyLYMLPEPWATHyr=w426-h240-k-no,true,6 am–11 pm,6 am–11 pm,6 am–11 pm,6 am–11 pm,6 am–11 pm,6 am–11 pm,6 am–11 pm,"https://www.google.com/maps/search/garage+door+services+in+Sacramento+Sacramento+CA/@38.5781342,-121.4944209,14z",2025-11-07T23:10:15.763Z,,,,
https://www.google.com/maps/place/Elite+Garage+Door+Repair+Inc./data=!4m7!3m6!1s0x809ad7eec7e71161:0xa3f317b5c15d406f!8m2!3d38.6674475!4d-121.149648!16s%2Fg%2F11gxg993v2!19sChIJYRHnx-7XmoARb0BdwbUX86M,Elite Garage Door Repair Inc.,4.9,240,Garage door supplier,,,http://www.elitegaragedoorpros.com/,+1 916-758-1773,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipPeG7aX2mmXlmewjT8YRq7I7uAzNJ-vGNF8xINi=w408-h272-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/garage+door+services+in+Sacramento+Sacramento+CA/@38.5781342,-121.4944209,14z",2025-11-07T23:10:21.134Z,Identifies as veteran-owned,,,
https://www.google.com/maps/place/Eagle+Garage+Door+Repair/data=!4m7!3m6!1s0x67b990ac9c86a393:0xa1f85729ed2dae79!8m2!3d38.569742!4d-121.4658656!16s%2Fg%2F11wfh3x3g2!19sChIJk6OGnKyQuWcRea4t7SlX-KE,Eagle Garage Door Repair,5.0,45,Garage door supplier,"1221 Alhambra Blvd #1975, Sacramento, CA 95816, United States","HG9M+VM Sacramento, California, USA",,+1 916-537-3393,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipNQ59KvDXsDv4ptRzOxeD45dxlrp5HatD9txEJR=w408-h370-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/garage+door+services+in+Sacramento+Sacramento+CA/@38.5781342,-121.4944209,14z",2025-11-07T23:10:25.783Z,,,,
https://www.google.com/maps/place/QuikFix+Garage+Door+Repair+of+Sacramento/data=!4m7!3m6!1s0x872a4b25681a7125:0xc65b83734f21b371!8m2!3d38.5793747!4d-121.4940588!16s%2Fg%2F11vlp612xs!19sChIJJXEaaCVLKocRcbMhT3ODW8Y,QuikFix Garage Door Repair of Sacramento,5.0,16,Garage door supplier,"931 K St, Sacramento, CA 95814, United States","HGH4+P9 Sacramento, California, USA",https://quikfixgaragedoors.com/sacramento-ca/,+1 916-352-6166,Open ⋅ Closes 9 pm,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwfs29RlB-D-dZXPVb4ixOcKI31R9vD4IHdpDMzcxxeJ8nS4hHm60DgalJNsSNK2oyXl4IKxVgpWcRXlWGZ6KRUa8h7JvY3iFtgJOiYMvjsaTS-GaL91FBPkpo58_4-09JL0H-4eciszW2Y=w408-h497-k-no,false,6 am–9 pm,6 am–9 pm,6 am–9 pm,6 am–9 pm,6 am–9 pm,6 am–9 pm,6 am–9 pm,"https://www.google.com/maps/search/garage+door+services+in+Sacramento+Sacramento+CA/@38.5781342,-121.4944209,14z",2025-11-07T23:10:30.678Z,,,,
https://www.google.com/maps/place/Dependable+Garage+Door+Repair+INC/data=!4m7!3m6!1s0x809ad960ea92db47:0x8a2fb4975488b524!8m2!3d38.6368562!4d-121.3779717!16s%2Fg%2F11k2dyrj_k!19sChIJR9uS6mDZmoARJLWIVJe0L4o,Dependable Garage Door Repair INC,4.9,179,Garage door supplier,"3900 Annadale Ln #39, Sacramento, CA 95821, United States","JJPC+PR Sacramento, California, USA",https://dependablegaragedoorrepair.com/,+1 916-347-7934,Open ⋅ Closes 11 pm,https://lh3.googleusercontent.com/p/AF1QipMTGfuR8fplQHGWKm-6xLc6JsmAtboHUjHgFZsA=w408-h306-k-no,true,7 am–11 pm,7 am–11 pm,7 am–11 pm,7 am–11 pm,7 am–11 pm,7 am–11 pm,7 am–11 pm,"https://www.google.com/maps/search/garage+door+services+in+Sacramento+Sacramento+CA/@38.5781342,-121.4944209,14z",2025-11-07T23:10:35.407Z,,,,
"https://www.google.com/maps/place/Overhead+Door+Company+of+Sacramento,+Inc./data=!4m7!3m6!1s0x809acfe96ed88ce1:0xd5e5122d5620fa98!8m2!3d38.5042643!4d-121.4646008!16s%2Fg%2F11dylw5b_d!19sChIJ4YzYbunPmoARmPogVi0S5dU","Overhead Door Company of Sacramento, Inc.",4.8,165,Garage door supplier,"6756 Franklin Blvd, Sacramento, CA 95823, United States","GG3P+P5 Sacramento, California, USA",http://www.overheaddoorofsacramento.com/?utm_source=google&utm_medium=organic&utm_campaign=google_business_profile,+1 916-421-3747,Open ⋅ Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipNzsL3XlPiR4stqKcyLs4vx3sNTYitlRs6cITvB=w408-h306-k-no,true,8 am–5 pm,9 am–12 pm,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/garage+door+services+in+Sacramento+Sacramento+CA/@38.5781342,-121.4944209,14z",2025-11-07T23:10:41.142Z,Identifies as veteran-owned,,,
https://www.google.com/maps/place/SCF+Garage+Doors/data=!4m7!3m6!1s0xa9990a1e6a748eab:0x81ea871baa9a2f67!8m2!3d38.5652046!4d-121.4339148!16s%2Fg%2F11y73z4k4b!19sChIJq450ah4KmakRZy-aqhuH6oE,SCF Garage Doors,5.0,74,Garage door supplier,"922 57th St, Sacramento, CA 95819, United States","HH88+3C Sacramento, California, USA",https://www.scfgaragedoors.com/,+1 916-818-6123,Open ⋅ Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipNOst-wCIgCmlyycHqNAEQ3-BtdtveQJXBbs6Rt=w408-h544-k-no,true,8 am–5 pm,Closed,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/garage+door+services+in+Sacramento+Sacramento+CA/@38.5781342,-121.4944209,14z",2025-11-07T23:10:45.948Z,,,,
https://www.google.com/maps/place/Help+Garage+Door/data=!4m7!3m6!1s0x809ad7afa5a0c831:0x7b525749c309aa9!8m2!3d38.586447!4d-121.497654!16s%2Fg%2F1q5bw87t1!19sChIJMcigpa_XmoARqZownHQltQc,Help Garage Door,5.0,291,Garage door supplier,,,http://www.helpgaragedoors.com/,+1 916-222-4443,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipNJUQsxfpGR1ZLzNjLH9Y13ipZuGWIS2ETDPSXd=w408-h306-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/garage+door+services+in+Sacramento+Sacramento+CA/@38.5781342,-121.4944209,14z",2025-11-07T23:10:50.470Z,,,,
https://www.google.com/maps/place/Western+Garage+Doors+CA/data=!4m7!3m6!1s0x809ad1899d3ffae1:0xa05d298dd46f4114!8m2!3d38.5573146!4d-121.5326489!16s%2Fg%2F11j219gxzc!19sChIJ4fo_nYnRmoARFEFv1I0pXaA,Western Garage Doors CA,4.9,57,Garage door supplier,"2171 Valley Oak Ln #2096, West Sacramento, CA 95691, United States","HF48+WW West Sacramento, California, USA",,+1 279-972-8985,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzgXxLlMcwolRp29EAsowjVRsn3MnHntTVhtRlkvir_yhspoBk_R3K5GpQ740tH8oxVgbpT6P91-8G741F6Fbw_ayAyQUv1L0HYxtqmIxOtMgtr3TLur9zGTdVbyK4O1ZN3J8Oz=w408-h306-k-no,false,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/garage+door+services+in+Sacramento+Sacramento+CA/@38.5781342,-121.4944209,14z",2025-11-07T23:10:55.126Z,,,,
https://www.google.com/maps/place/24hr+River+City+Locksmith+%26+Garage+Doors+Services/data=!4m7!3m6!1s0x809ad1a6189be8eb:0xbb27e2fe89ab61cf!8m2!3d38.377413!4d-121.4448529!16s%2Fg%2F11f5_4g0r6!19sChIJ6-ibGKbRmoARz2Grif7iJ7s,24hr River City Locksmith & Garage Doors Services,4.9,88,Locksmith,,,http://locksmithngaragedoors.com/,+1 916-397-0965,Open ⋅ Closes 10 pm,https://lh3.googleusercontent.com/p/AF1QipMbBn4NtQQFz0gtjT_IcpDTEBP2VwvOOEoCBfHy=w408-h306-k-no,true,7 am–10 pm,7 am–10 pm,7 am–10 pm,7 am–10 pm,7 am–10 pm,7 am–10 pm,8 am–10 pm,"https://www.google.com/maps/search/garage+door+services+in+Sacramento+Sacramento+CA/@38.5781342,-121.4944209,14z",2025-11-07T23:10:59.950Z,,,,
