placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,wednesday,thursday,friday,saturday,sunday,monday,tuesday,query,timestamp,info,attributes,isBlackOwned
https://www.google.com/maps/place/Interim+HealthCare+of+Annapolis/data=!4m7!3m6!1s0x89b7f75ab53abcbf:0xe974fefa7938224f!8m2!3d38.9553815!4d-76.4922258!16s%2Fg%2F11vm2_bzrp!19sChIJv7w6tVr3t4kRTyI4efr-dOk,Interim HealthCare of Annapolis,4.9,37,Home health care service,"1819 Bay Ridge Ave Unit 235 suite 235, Annapolis, MD 21403, United States","XG45+54 Annapolis, Maryland, USA",https://www.interimhealthcare.com/location/annapolis-md,+1 443-808-1003,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipPfKPSNndNw5IlAXFKQ9kh6jZlyV4_DJs_IR-cj=w408-h272-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Home+Health+clinics+in+Annapolis+MD/@38.9713816,-76.4790021,14z",2025-09-10T20:53:24.259Z,,,
https://www.google.com/maps/place/Chesapeake+Caregivers+Inc/data=!4m7!3m6!1s0x89b7f68ddc315575:0x5463f8cf0a744df2!8m2!3d38.9609479!4d-76.5095758!16s%2Fg%2F1tnhz6q1!19sChIJdVUx3I32t4kR8k10Cs_4Y1Q,Chesapeake Caregivers Inc,4.4,14,Home health care service,"1410 Forest Dr STE 31, Annapolis, MD 21403, United States","XF6R+95 Annapolis, Maryland, USA",https://chesapeakecaregivers.com/,+1 410-919-0190,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipNyveyhEwh45itqwN1K7JOY0opLsbBtuqEvsihp=w408-h419-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Home+Health+clinics+in+Annapolis+MD/@38.9713816,-76.4790021,14z",2025-09-10T20:53:30.283Z,Identifies as women-owned,,
https://www.google.com/maps/place/Freedom+Home+Care/data=!4m7!3m6!1s0x89b7f65033b976b1:0x88d237f51e321823!8m2!3d38.9777095!4d-76.5387986!16s%2Fg%2F11ggz4h5tk!19sChIJsXa5M1D2t4kRIxgyHvU30og,Freedom Home Care,4.6,31,Home health care service,"108 Old Solomons Island Rd STE U3, Annapolis, MD 21401, United States","XFH6+3F Annapolis, Maryland, USA",http://www.freedomhomecaremd.com/,+1 443-364-4663,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipPZB4WLdX4MTg1e4vh5PcXyf_RbXabwTz_qnb6Q=w408-h444-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Home+Health+clinics+in+Annapolis+MD/@38.9713816,-76.4790021,14z",2025-09-10T20:53:35.315Z,,,
https://www.google.com/maps/place/Wellington+Care+%26+Services/data=!4m7!3m6!1s0x89b7f7604bbeaf69:0xd7193c9c45c87301!8m2!3d38.9769704!4d-76.5123722!16s%2Fg%2F11ycbkdqsj!19sChIJaa--S2D3t4kRAXPIRZw8Gdc,Wellington Care & Services,,,Home health care service,"1125 West St, Annapolis, MD 21401, United States","XFGQ+Q3 Annapolis, Maryland, USA",https://www.wellingtoncareandservices.com/,+1 301-658-8658,Open 24 hours,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=J-94i3oeiKl6TlIZQP64HA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=322.53592&pitch=0&thumbfov=100,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Home+Health+clinics+in+Annapolis+MD/@38.9713816,-76.4790021,14z",2025-09-10T20:53:40.714Z,,,
https://www.google.com/maps/place/Evolve+Direct+Primary+Care+%26+Urgent+Care/data=!4m7!3m6!1s0x89b7f6935f936c79:0x697fbc9788e4a6ff!8m2!3d38.967949!4d-76.520135!16s%2Fg%2F1q6j5t7l5!19sChIJeWyTX5P2t4kR_6bkiJe8f2k,Evolve Direct Primary Care & Urgent Care,4.9,216,Urgent care center,"509 S Cherry Grove Ave suite c, Annapolis, MD 21401, United States","XF9H+5W Annapolis, Maryland, USA",https://evolvemedicalclinics.com/,+1 844-322-4222,Open ⋅ Closes 7 pm,https://lh3.googleusercontent.com/p/AF1QipNPeG_rQWIMGYhjZupMgvSL6bCkHb1YBnxl0d1N=w408-h272-k-no,true,8 am–7 pm,8 am–7 pm,8 am–7 pm,9 am–2 pm,Closed,8 am–7 pm,8 am–7 pm,"https://www.google.com/maps/search/Home+Health+clinics+in+Annapolis+MD/@38.9713816,-76.4790021,14z",2025-09-10T20:53:45.931Z,LGBTQ+ friendly,,
https://www.google.com/maps/place/Nearby+Home+Caregiving+Annapolis/data=!4m7!3m6!1s0x89b7f790630716d7:0xb78783afd307dec2!8m2!3d38.9785439!4d-76.4954366!16s%2Fg%2F11nxt4111r!19sChIJ1xYHY5D3t4kRwt4H06-Dh7c,Nearby Home Caregiving Annapolis,,,Home health care service,"60 West St, Annapolis, MD 21401, United States","XGH3+CR Annapolis, Maryland, USA",,+1 410-216-0760,Open 24 hours,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=xM3QoEnPbKZ3w5i_dYXtGQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=10.149862&pitch=0&thumbfov=100,false,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Home+Health+clinics+in+Annapolis+MD/@38.9713816,-76.4790021,14z",2025-09-10T20:53:50.999Z,,,
https://www.google.com/maps/place/Assisting+Hands+Home+Care+Annapolis/data=!4m7!3m6!1s0x89b7f7438596d025:0xb0454703c0e1e0ac!8m2!3d38.9829994!4d-76.5387091!16s%2Fg%2F11v0_6m_wn!19sChIJJdCWhUP3t4kRrODhwANHRbA,Assisting Hands Home Care Annapolis,5.0,18,Home health care service,"170 Jennifer Rd suite 120, Annapolis, MD 21401, United States","XFM6+5G Annapolis, Maryland, USA",https://assistinghandsannapolis.com/,+1 667-408-8400,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipOBB0irKgvDg0Fqhwu1j8oSB-yuvSm9DSylUxGB=w408-h272-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Home+Health+clinics+in+Annapolis+MD/@38.9713816,-76.4790021,14z",2025-09-10T20:53:56.015Z,,,
https://www.google.com/maps/place/Remote+Care+Today+By+Seniors+Home+Services/data=!4m7!3m6!1s0x89b7f7007ad6ab8b:0x79e8101a282889bb!8m2!3d38.990746!4d-76.5032693!16s%2Fg%2F11rnb3nfhz!19sChIJi6vWegD3t4kRu4koKBoQ6Hk,Remote Care Today By Seniors Home Services,5.0,2,Consultant,"608 Melvin Ave Suite 102, Annapolis, MD 21401, United States","XFRW+7M Annapolis, Maryland, USA",https://www.remotecaretoday.com/,+1 800-480-3344,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=kjeD-76_wN1xJN4PS7FQNw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=114.80346&pitch=0&thumbfov=100,true,,,,,,,,"https://www.google.com/maps/search/Home+Health+clinics+in+Annapolis+MD/@38.9713816,-76.4790021,14z",2025-09-10T20:54:00.839Z,,,
https://www.google.com/maps/place/One+You+Love+Homecare/data=!4m7!3m6!1s0x89b7f74a83eaecff:0x829bce950975ae55!8m2!3d38.9877446!4d-76.5383275!16s%2Fg%2F11p0gnzzg1!19sChIJ_-zqg0r3t4kRVa51CZXOm4I,One You Love Homecare,5.0,21,Aged care,"1997 Annapolis Exchange Ste 300, Annapolis, MD 21401, United States","XFQ6+3M Annapolis, Maryland, USA",https://oneyoulovehomecare.com/locations/annapolis-md/,+1 800-410-3818,Open 24 hours,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=HffoqJJ0VexAJa66ZKYpJw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=178.8713&pitch=0&thumbfov=100,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Home+Health+clinics+in+Annapolis+MD/@38.9713816,-76.4790021,14z",2025-09-10T20:54:05.855Z,,,
https://www.google.com/maps/place/Complete+Care+at+Annapolis/data=!4m7!3m6!1s0x89b7f66f55be11f1:0x2da8393c7bd92cf4!8m2!3d38.9613772!4d-76.4909149!16s%2Fg%2F11ggs3t5s6!19sChIJ8RG-VW_2t4kR9CzZezw5qC0,Complete Care at Annapolis,4.0,102,Nursing home,"900 Van Buren St, Annapolis, MD 21403, United States","XG65+HJ Annapolis, Maryland, USA",https://ccannapolis.com/,+1 410-267-8653,Open 24 hours,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=A1wH2mHZBv376TcWw20KxA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=203.76111&pitch=0&thumbfov=100,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Home+Health+clinics+in+Annapolis+MD/@38.9713816,-76.4790021,14z",2025-09-10T20:54:10.712Z,,,
