placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,query,timestamp,wednesday,thursday,friday,saturday,sunday,monday,tuesday,info,error,attributes,isBlackOwned
https://www.google.com/maps/place/Massachusetts+General+Hospital:+Palliative+Care+-+Outpatient/data=!4m7!3m6!1s0x89e37099bea5d153:0x75e1b40a504ea9ac!8m2!3d42.3629499!4d-71.0686008!16s%2Fg%2F1hjgy0ng6!19sChIJU9Glvplw44kRrKlOUAq04XU,Massachusetts General Hospital: Palliative Care - Outpatient,,,Hospital department,"55 Fruit St # 7B, Boston, MA 02114, United States","9W7J+5H Boston, Massachusetts, USA",http://www.massgeneral.org/,+1 617-724-4000,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=h-POchltRAtFvQ3NQnLOJA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=5.155073&pitch=0&thumbfov=100,true,"https://www.google.com/maps/search/Hospice+clinics+in+Back+Bay+Boston+MA/@42.3495236,-71.0794717,14z",2025-09-17T23:26:27.231Z,,,,,,,,,,,
https://www.google.com/maps/place/Continuum+Project/data=!4m7!3m6!1s0x89e37099e644672b:0x67a32394f4655f75!8m2!3d42.362706!4d-71.068658!16s%2Fg%2F11rghq3jzs!19sChIJK2dE5plw44kRdV9l9JQjo2c,Continuum Project,,,,"55 Fruit St, Boston, MA 02114, United States","9W7J+3G Boston, Massachusetts, USA",https://mghcontinuumproject.org/about-us,+1 617-643-2880,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=CypLCLej5v96IcL9Hi0EQg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=59.150845&pitch=0&thumbfov=100,false,"https://www.google.com/maps/search/Hospice+clinics+in+Back+Bay+Boston+MA/@42.3495236,-71.0794717,14z",2025-09-17T23:26:30.505Z,,,,,,,,,,,
https://www.google.com/maps/place/Pediatric+Palliative+Care+Service+MassGeneral+Hospital+for+Children/data=!4m7!3m6!1s0x89e37099e65ca44d:0x8411650a9905cf0b!8m2!3d42.3633005!4d-71.0689537!16s%2Fg%2F11cs5p8fjf!19sChIJTaRc5plw44kRC88FmQplEYQ,Pediatric Palliative Care Service MassGeneral Hospital for Children,,,Children's hospital,"Yawkey Center for Outpatient Care Suite 6D, 55 Fruit St, Boston, MA 02114, United States","9W7J+8C Boston, Massachusetts, USA",,+1 888-644-3248,,https://lh3.googleusercontent.com/p/AF1QipMiLAppiyF92WU-5ZCtd1wigWvKXTa3qCcjp_S-=w408-h290-k-no,true,"https://www.google.com/maps/search/Hospice+clinics+in+Back+Bay+Boston+MA/@42.3495236,-71.0794717,14z",2025-09-17T23:26:33.145Z,,,,,,,,,,,
https://www.google.com/maps/place/Tufts+Medical+Center+Palliative+and+Supportive+Care/data=!4m7!3m6!1s0x89e37a776d184017:0x1a80aa87c4a1b95d!8m2!3d42.3491249!4d-71.0634266!16s%2Fg%2F1pv5yqf_9!19sChIJF0AYbXd644kRXbmhxIeqgBo,Tufts Medical Center Palliative and Supportive Care,,,Medical clinic,"South Building, 860 Washington St 7th floor, Boston, MA 02111, United States","8WXP+JJ Boston, Massachusetts, USA",https://www.tuftsmedicine.org/services-treatments/palliative-care?utm_source=Yext&utm_medium=Listings%20Management,+1 617-636-7957,"Open 24 hours

Confirmed by this business 10 weeks ago",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=nBhr1HBNvjG4fwwfwavryg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=100.689926&pitch=0&thumbfov=100,true,"https://www.google.com/maps/search/Hospice+clinics+in+Back+Bay+Boston+MA/@42.3495236,-71.0794717,14z",2025-09-17T23:26:38.496Z,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,,,,
https://www.google.com/maps/place/Tufts+Medical+Center+Perinatal+Palliative+Care/data=!4m7!3m6!1s0x89e37a7714932657:0x39c4056ff7e9bc7e!8m2!3d42.350389!4d-71.0637442!16s%2Fg%2F11cll_59l3!19sChIJVyaTFHd644kRfrzp928FxDk,Tufts Medical Center Perinatal Palliative Care,,,Medical clinic,"North Mezzanine, 800 Washington Street, Main Entrance, Boston, MA 02111, United States","9W2P+5G Boston, Massachusetts, USA",https://www.tuftsmedicine.org/?utm_source=Yext&utm_medium=Listings%20Management,+1 617-636-8176,Open 24 hours,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=NWA32WohNj4WQmLIg49Qag&cb_client=search.gws-prod.gps&w=408&h=240&yaw=46.316097&pitch=0&thumbfov=100,true,"https://www.google.com/maps/search/Hospice+clinics+in+Back+Bay+Boston+MA/@42.3495236,-71.0794717,14z",2025-09-17T23:26:43.584Z,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,,,,
"https://www.google.com/maps/place/Massachusetts+General+Hospital:+Palliative+Care+-+Inpatient/@42.3633005,-71.0689537,17z/data=!3m1!4b1!4m6!3m5!1s0x89e37099bea5d153:0x27338d17e4b1be23!8m2!3d42.3633005!4d-71.0689537!16s%2Fg%2F1hjh70r8x",Massachusetts General Hospital: Palliative Care - Inpatient,,,Hospital department,"55 Fruit St, Boston, MA 02114, United States","9W7J+8C Boston, Massachusetts, USA",http://www.massgeneral.org/,+1 617-724-9197,,,true,"https://www.google.com/maps/search/Hospice+clinics+in+Back+Bay+Boston+MA/@42.3495236,-71.0794717,14z",2025-09-17T23:26:48.140Z,,,,,,,,,,,
https://www.google.com/maps/place/Mass+General+Hospital:+Geriatric+Medicine+Unit/data=!4m7!3m6!1s0x89e3709a42a74f8b:0x955176009180c74!8m2!3d42.3630051!4d-71.0684303!16s%2Fg%2F1hjghqkqd!19sChIJi0-nQppw44kRdAwYCWAXVQk,Mass General Hospital: Geriatric Medicine Unit,2.3,10,Hospital department,"55 Fruit St, Boston, MA 02114, United States","9W7J+6J Boston, Massachusetts, USA",http://www.massgeneral.org/geriatrics,+1 617-726-4600,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Ux9UDkJVbu8uoLdcWz5U_w&cb_client=search.gws-prod.gps&w=408&h=240&yaw=32.265&pitch=0&thumbfov=100,true,"https://www.google.com/maps/search/Hospice+clinics+in+Back+Bay+Boston+MA/@42.3495236,-71.0794717,14z",2025-09-17T23:26:51.077Z,,,,,,,,,,,
https://www.google.com/maps/place/AFC+Urgent+Care+Back+Bay/data=!4m7!3m6!1s0x89e37b5fba64ff17:0xc8c75407e083436f!8m2!3d42.3505887!4d-71.0765653!16s%2Fg%2F11stydh34j!19sChIJF_9kul9744kRb0OD4AdUx8g,AFC Urgent Care Back Bay,4.7,1158,Urgent care center,"575 Boylston St, Boston, MA 02116, United States","9W2F+69 Boston, Massachusetts, USA",https://www.afcurgentcare.com/back-bay/?utm_source=gmb&utm_medium=organic&utm_campaign=afc-back-bay,+1 617-869-0500,Closes soon ⋅ 8 pm ⋅ Opens 8 am Thu,https://lh3.googleusercontent.com/p/AF1QipORPKXlLzb9zKbB0P8LpJM7dU1GkOH3u2vvczAw=w408-h306-k-no,true,"https://www.google.com/maps/search/Hospice+clinics+in+Back+Bay+Boston+MA/@42.3495236,-71.0794717,14z",2025-09-17T23:26:56.184Z,8 am–8 pm,8 am–8 pm,8 am–8 pm,8 am–8 pm,8 am–8 pm,8 am–8 pm,8 am–8 pm,LGBTQ+ friendly,,,
https://www.google.com/maps/place/Carbon+Health+Immediate+%26+Primary+Care+Boston+-+Back+Bay/data=!4m7!3m6!1s0x89e37b482f8ee69d:0x6a857a956f7d6019!8m2!3d42.3518033!4d-71.0721548!16s%2Fg%2F11l2h28836!19sChIJneaOL0h744kRGWB9b5V6hWo,Carbon Health Immediate & Primary Care Boston - Back Bay,4.6,254,Urgent care center,"399 Boylston St, Boston, MA 02116, United States","9W2H+P4 Boston, Massachusetts, USA",https://carbonhealth.com/locations/boston-ma-back-bay-boylston?utm_source=gmb&utm_medium=referral&utm_campaign=boston-ma-back-bay-boylston&utm_content=website,+1 857-416-9218,Closed ⋅ Opens 9 am Thu,https://lh3.googleusercontent.com/p/AF1QipPambCY18rPj_ZyUXUskX--uvP8WXUf2gkRawvy=w408-h306-k-no,true,"https://www.google.com/maps/search/Hospice+clinics+in+Back+Bay+Boston+MA/@42.3495236,-71.0794717,14z",2025-09-17T23:27:01.337Z,9 am–7 pm,9 am–7 pm,9 am–7 pm,9 am–7 pm,9 am–7 pm,9 am–7 pm,9 am–7 pm,,,,
"https://www.google.com/maps/place/Beacon+Hospice+Care,+an+Amedisys+Company/data=!4m7!3m6!1s0x89e370e7a5351577:0x67768f0dbd8d2369!8m2!3d42.3847796!4d-71.071412!16s%2Fg%2F1tczrc6q!19sChIJdxU1pedw44kRaSONvQ2Pdmc","Beacon Hospice Care, an Amedisys Company",5.0,1,Hospice,"529 Main St Suite 126, Charlestown, MA 02129, United States","9WMH+WC Charlestown, Boston, MA, USA",https://locations.amedisys.com/ma/charlestown/hospice-4419/?utm_source=google&utm_medium=organic&utm_campaign=locallisting,+1 617-242-8370,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipNoOvENRkmAwgMRFGUgrhT5SLYJI2_loMYM6n3Q=w426-h240-k-no,true,"https://www.google.com/maps/search/Hospice+clinics+in+Back+Bay+Boston+MA/@42.3495236,-71.0794717,14z",2025-09-17T23:27:06.291Z,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,,,,
