placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,query,timestamp,tuesday,wednesday,thursday,friday,saturday,sunday,monday,error,info
https://www.google.com/maps/place/Office+of+Transportation+Services/data=!4m7!3m6!1s0x86249d71f7c77247:0x554a4bca9b31cc3f!8m2!3d30.2120277!4d-92.0167315!16s%2Fg%2F11gzs3wgsl!19sChIJR3LH93GdJIYRP8wxm8pLSlU,Office of Transportation Services,1.6,5,Educational institution,"619 McKinley St suite 100, Lafayette, LA 70503, United States","6X6M+R8 Lafayette, Louisiana, USA",,+1 337-482-6858,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=mshy3oUagZflMH0ceHjObg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=130.76636&pitch=0&thumbfov=100,false,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Scott+Lafeyette+LA/@30.2357569,-92.0945672,14z",2025-10-28T19:13:24.849Z,,,,,,,,,
https://www.google.com/maps/place/Parking+Management+Company/data=!4m7!3m6!1s0x8644b58ece9e6077:0x8e60b66890778f30!8m2!3d30.2694284!4d-97.7484133!16s%2Fg%2F11pv26cb5m!19sChIJd2Cezo61RIYRMI93kGi2YI4,Parking Management Company,2.4,28,Public parking space,"583 W 6th St, Austin, TX 78701, United States","7792+QJ Austin, Texas, USA",https://parkingmgt.com/,+1 512-916-1111,Open 24 hours,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=szGWlB621P6Vqh6160Zb_Q&cb_client=search.gws-prod.gps&w=408&h=240&yaw=190.91039&pitch=0&thumbfov=100,false,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Scott+Lafeyette+LA/@30.2357569,-92.0945672,14z",2025-10-28T19:13:30.786Z,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,,
https://www.google.com/maps/place/parkingmgt.com/data=!4m7!3m6!1s0x86249dfa92419359:0xc6486e9c5a92dbb4!8m2!3d30.2276421!4d-92.0183229!16s%2Fg%2F11vzfd2nzk!19sChIJWZNBkvqdJIYRtNuSWpxuSMY,parkingmgt.com,,,Parking lot,"210 W Garfield St, Lafayette, LA 70501, United States","6XHJ+3M Lafayette, Louisiana, USA",https://parkingmgt.com/garfield-lot-lafayette/,,Open 24 hours,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=hHYaG_-zpeMmgLyKiLKv0Q&cb_client=search.gws-prod.gps&w=408&h=240&yaw=192.8819&pitch=0&thumbfov=100,true,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Scott+Lafeyette+LA/@30.2357569,-92.0945672,14z",2025-10-28T19:13:36.185Z,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,,
https://www.google.com/maps/place/419+Saint+Joseph+St+Parking/data=!4m7!3m6!1s0x8620a6716821dda3:0x7939cccb8a3ea6ee!8m2!3d29.9443105!4d-90.068824!16s%2Fg%2F11f_p32jzz!19sChIJo90haHGmIIYR7qY-isvMOXk,419 Saint Joseph St Parking,5.0,3,Parking lot,"419 St Joseph St, New Orleans, LA 70130, United States","WWVJ+PF New Orleans, Louisiana, USA",http://pmsiparking.com/,,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxrrW5CFazWMi3qr5SL2nurEADavmUpQ22XHW7T-YYbMvt1GcpKyaeTYvz18bgI_KD8IUupQRH40hhsZx1-045Yltm4rd4MqIJtwiZnAv7FIKcd9iAh7jrW9LJMpbbXK9EXDte8=w408-h544-k-no,false,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Scott+Lafeyette+LA/@30.2357569,-92.0945672,14z",2025-10-28T19:13:41.224Z,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,,
https://www.google.com/maps/place/Parking+Management+Company/data=!4m7!3m6!1s0x8864610032ca3e45:0xa11254366995dfcc!8m2!3d36.1523597!4d-86.8293096!16s%2Fg%2F11xrmrfvjk!19sChIJRT7KMgBhZIgRzN-VaTZUEqE,Parking Management Company,1.0,4,Park,"3713 Charlotte Ave, Nashville, TN 37209, United States","552C+W7 Nashville, Tennessee, USA",,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=QhkfOpO6U1k9xPGXPtQiGQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=178.28635&pitch=0&thumbfov=100,false,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Scott+Lafeyette+LA/@30.2357569,-92.0945672,14z",2025-10-28T19:13:44.073Z,,,,,,,,,
"https://www.google.com/maps/place/Lafayette+Parish+Sheriff's+Office+Public+Safety+Complex+(ALETA)/@30.2426496,-92.0550654,17z/data=!3m1!4b1!4m6!3m5!1s0x86249bf0ecd84f95:0xf1a78cecbbdbd32d!8m2!3d30.2426496!4d-92.0550654!16s%2Fg%2F11b6g9xj2y",Lafayette Parish Sheriff's Office Public Safety Complex (ALETA),3.0,3,Public safety office,"1825-2 W Willow St, Scott, LA 70583, United States","6WVV+3X Scott, Louisiana, USA",http://www.lafayettesheriff.com/site385.php,+1 337-236-3969,Open ⋅ Closes 4 pm,,false,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Scott+Lafeyette+LA/@30.2357569,-92.0945672,14z",2025-10-28T19:13:50.959Z,8 am–4 pm,8 am–4 pm,8 am–4 pm,8 am–4 pm,Closed,Closed,8 am–4 pm,,
https://www.google.com/maps/place/Short+Term+Parking+%28Lafayette+Regional+Airport+Parking%29/data=!4m7!3m6!1s0x86249dbe41215555:0x7e04b8682ce03a55!8m2!3d30.2096278!4d-91.992085!16s%2Fg%2F11fl7ftd2l!19sChIJVVUhQb6dJIYRVTrgLGi4BH4,Short Term Parking (Lafayette Regional Airport Parking),3.9,12,Parking lot,"200 Terminal Dr, Lafayette, LA 70508, United States","6255+V5 Lafayette, Louisiana, USA",https://lftairport.com/parking/,+1 337-237-9664,,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzJs6LuI1-ytVUvAOsry2B0Q3AgjIvfIm7ptwNUErBuC3HGjYnKpS4iN0fzpKLJwHH6rokHLjM13aj4hp1GrgwdZdSIFnOb_hSYsZi7FeO8zrKl5vdDgvPzTXT_1tq6uxwl_Kw9=w408-h306-k-no,true,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Scott+Lafeyette+LA/@30.2357569,-92.0945672,14z",2025-10-28T19:13:53.824Z,,,,,,,,,
https://www.google.com/maps/place/Professional+Cleaning+%26+Maintenance+Services+LLC/data=!4m7!3m6!1s0x86249c900b1d9dff:0x47eba1c13db04505!8m2!3d30.1595937!4d-91.9546234!16s%2Fg%2F1td76ykl!19sChIJ_50dC5CcJIYRBUWwPcGh60c,Professional Cleaning & Maintenance Services LLC,4.3,43,Janitorial service,"109 Jared Dr, Broussard, LA 70518, United States","525W+R5 Broussard, Louisiana, USA",http://www.pcmserv.com/,+1 337-330-8430,Open ⋅ Closes 5 pm,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=sb8MGUGOwgX3FaJDdkB1zA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=1.7902975&pitch=0&thumbfov=100,true,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Broussard+Lafeyette+LA/@30.147146,-91.9612305,14z",2025-10-28T19:14:08.582Z,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–5 pm,,
"https://www.google.com/maps/place/Industrial+Fabrication+Services,+LLC/data=!4m7!3m6!1s0x8624829020055555:0x16bbb3afe69f954e!8m2!3d30.157415!4d-91.9588389!16s%2Fg%2F11g0k22yrv!19sChIJVVUFIJCCJIYRTpWf5q-zuxY","Industrial Fabrication Services, LLC",,,Contractor,"200 Burgess Dr, Broussard, LA 70518, United States","524R+XF Broussard, Louisiana, USA",http://www.ifsllc.net/contacts.htm,+1 337-330-2326,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=uBY0y75vOTAtYgYw4XFnig&cb_client=search.gws-prod.gps&w=408&h=240&yaw=103.85328&pitch=0&thumbfov=100,false,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Broussard+Lafeyette+LA/@30.147146,-91.9612305,14z",2025-10-28T19:14:11.245Z,,,,,,,,,
,,,,,,,,,,,,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Carencro+Lafeyette+LA/@30.317144,-92.0490096,14z",2025-10-28T19:14:20.208Z,,,,,,,,No new results found,
