placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,query,timestamp,tuesday,wednesday,thursday,friday,saturday,sunday,monday,info,attributes,isBlackOwned,error
https://www.google.com/maps/place/Alabama+Vein+%26+Restoration+Medspa/data=!4m7!3m6!1s0x8888a83211591e07:0x122e26d76e63b17!8m2!3d33.2331278!4d-87.5354471!16s%2Fg%2F11b6t7dzd5!19sChIJBx5ZETKoiIgRFzvmdm3iIgE,Alabama Vein & Restoration Medspa,5.0,8,Surgical center,"401 Towncenter Blvd STE B, Tuscaloosa, AL 35406, United States","6FM7+7R Tuscaloosa, Alabama, USA",https://www.alabamaveincenter.com/?utm_source=gmb_auth,+1 877-268-8346,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=38yAM4BR1GxTL1lxqlD8wQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=136.78285&pitch=0&thumbfov=100,true,"https://www.google.com/maps/search/vein+clinics+in+Tuscaloosa+AL/@33.21031,-87.5658722,14z",2025-12-16T21:56:51.237Z,,,,,,,,,,,
https://www.google.com/maps/place/West+Alabama+Vascular+%26+Endovascular+Surgery/data=!4m7!3m6!1s0x8888a99bc26801c3:0xbf3784325e5ed6d1!8m2!3d33.2050242!4d-87.5276849!16s%2Fg%2F11y30ds6fg!19sChIJwwFowpupiIgR0dZeXjKEN78,West Alabama Vascular & Endovascular Surgery,,,Vascular surgeon,"701 University Blvd E, Tuscaloosa, AL 35401, United States","6F4C+2W Tuscaloosa, Alabama, USA",https://www.dchsystem.com/locations/west-alabama-vascular-endovascular-surgery/,+1 205-750-5752,Open · Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipNKcNZIYIqxVVJD-Wmv3e7OOHg3YZMYPYP4mkcZ=w408-h510-k-no,true,"https://www.google.com/maps/search/vein+clinics+in+Tuscaloosa+AL/@33.21031,-87.5658722,14z",2025-12-16T21:56:56.246Z,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–12 pm,Closed,Closed,8 am–5 pm,,,,
https://www.google.com/maps/place/Alabama+Heart+%26+Vascular+Medicine/data=!4m7!3m6!1s0x8888a805bb4b02ff:0xce1d4f0e486c2a4b!8m2!3d33.226747!4d-87.53158!16s%2Fg%2F1260mqysz!19sChIJ_wJLuwWoiIgRSypsSA5PHc4,Alabama Heart & Vascular Medicine,4.2,39,Medical clinic,"100 Rice Mine Rd Loop # 104, Tuscaloosa, AL 35406, United States","6FG9+M9 Tuscaloosa, Alabama, USA",http://www.bamaheartdoc.com/,+1 205-561-2370,Closes soon · 4 pm · Opens 8 am Wed,https://lh3.googleusercontent.com/p/AF1QipOyH2yuph3osxwuuS1RpjZIy-j3CiPSYU53ir7p=w408-h544-k-no,true,"https://www.google.com/maps/search/vein+clinics+in+Tuscaloosa+AL/@33.21031,-87.5658722,14z",2025-12-16T21:57:01.167Z,8 am–4 pm,8 am–4 pm,8 am–4 pm,8 am–12 pm,Closed,Closed,8 am–4 pm,,,,
"https://www.google.com/maps/place/Charles+Austin+Hunt+II,+MD,+FACS,+RVT/data=!4m7!3m6!1s0x8888a93f457b2441:0xa1f46fe2a1c22dd7!8m2!3d33.2331165!4d-87.5354933!16s%2Fg%2F11gtynb_pk!19sChIJQSR7RT-piIgR1y3CoeJv9KE","Charles Austin Hunt II, MD, FACS, RVT",,,Vascular surgeon,"401 Towncenter Blvd STE B, Tuscaloosa, AL 35406, United States","6FM7+6R Tuscaloosa, Alabama, USA",https://www.alabamaveincenter.com/?utm_source=gmb_auth,+1 877-268-8346,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=1vx2HaeIov4NBK1SVoKuow&cb_client=search.gws-prod.gps&w=408&h=240&yaw=124.605995&pitch=0&thumbfov=100,true,"https://www.google.com/maps/search/vein+clinics+in+Tuscaloosa+AL/@33.21031,-87.5658722,14z",2025-12-16T21:57:04.473Z,,,,,,,,,,,
https://www.google.com/maps/place/Varicosity+Vein+Center/data=!4m7!3m6!1s0x888cf3e206d0d7e5:0x72ba5025ccfb31b4!8m2!3d32.606208!4d-85.4393514!16s%2Fg%2F11j4njbnk0!19sChIJ5dfQBuLzjIgRtDH7zCVQunI,Varicosity Vein Center,4.9,104,Surgical center,"1935 E Glenn Ave Ste 202, Auburn, AL 36830, United States","JH46+F7 Auburn, Alabama, USA",https://varicosityveincenter.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp&utm_content=auburn,+1 334-647-1811,Open · Closes 5 pm,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSy0gumDeAmbEGDXNPMvJpfjRU9hQ9GibYTOXIedbbKrnK6TVfM9Ku_GdbAIpgAIPYJU2B0fJ9cULuxVDU47shzTdJ68gKy9rVqupIkClLPVTfwgMqhzTydaEh92p2WhERDLq1I=w426-h240-k-no,true,"https://www.google.com/maps/search/vein+clinics+in+Auburn+AL/@32.6082403,-85.4799167,14z",2025-12-16T21:57:17.550Z,8 am–5 pm,9 am–5 pm,8 am–5 pm,Closed,Closed,Closed,8 am–5 pm,,,,
https://www.google.com/maps/place/Center+for+Vein+Restoration+%7C+Dr.+Michael+Aikens/data=!4m7!3m6!1s0x888ced1110bd7cdf:0xb59d1661d8c32d67!8m2!3d32.6338548!4d-85.4127095!16s%2Fg%2F11gmtpdbdr!19sChIJ33y9EBHtjIgRZy3D2GEWnbU,Center for Vein Restoration | Dr. Michael Aikens,4.9,207,Vascular surgeon,"107 N 24th St, Opelika, AL 36801, United States","JHMP+GW Opelika, Alabama, USA",https://www.centerforvein.com/our-clinics/locations/opelika-alabama,+1 334-259-3580,"Open · Closes 5 pm

Updated by this business 4 weeks ago",https://lh3.googleusercontent.com/p/AF1QipMSFNajIdtODf8B4TFbgNpHm4tGCc5M0dqRQQGw=w408-h426-k-no,true,"https://www.google.com/maps/search/vein+clinics+in+Auburn+AL/@32.6082403,-85.4799167,14z",2025-12-16T21:57:22.366Z,6 am–5 pm,6 am–5 pm,6 am–5 pm,6 am–5 pm,Closed,Closed,6 am–5 pm,,,,
https://www.google.com/maps/place/Alabama+Vein+%26+Restoration+Medspa/data=!4m7!3m6!1s0x8889191cc43fbc3d:0xd4bfca5804e058ad!8m2!3d33.3683777!4d-86.8012314!16s%2Fg%2F1tjl6p6_!19sChIJPbw_xBwZiYgRrVjgBFjKv9Q,Alabama Vein & Restoration Medspa,4.9,345,Vascular surgeon,"4721 Chace Cir, Hoover, AL 35244, United States","959X+9G Hoover, Alabama, USA",https://www.alabamaveincenter.com/?utm_source=gmb_auth,+1 205-823-0151,Open · Closes 5 pm,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzWywInrexpk66BWre3lyqWhecbgdUtJHvNqnP49vH9Eos9q4G9kRrk0EFzXYHt0go2QayfOLt561eqX88k4o6-fX81KHQVmjqYKdaaiDRNCoYXyRHOB_6HvvycnOOtlXj8-tfi4A=w427-h240-k-no,true,"https://www.google.com/maps/search/vein+clinics+in+Hoover+AL/@33.4053867,-86.8113781,14z",2025-12-16T21:57:36.895Z,7:30 am–5 pm,7:30 am–5 pm,7:30 am–5 pm,7:30 am–12 pm,Closed,Closed,7:30 am–5 pm,,,,
https://www.google.com/maps/place/Center+for+Vein+Restoration+%7C+Dr.+Mohamed+Hassan/data=!4m7!3m6!1s0x8889239c49520e51:0xd3695cebce9ccb0c!8m2!3d33.364937!4d-86.7649103!16s%2Fg%2F11n0nr37g5!19sChIJUQ5SSZwjiYgRDMuczutcadM,Center for Vein Restoration | Dr. Mohamed Hassan,4.9,193,Vascular surgeon,"2290 Valleydale Rd Suite 204, Birmingham, AL 35244, United States","967P+X2 Birmingham, Alabama, USA",https://www.centerforvein.com/our-clinics/locations/hoover-birmingham-alabama,+1 334-259-3580,"Open · Closes 5 pm

Updated by this business 4 weeks ago",https://lh3.googleusercontent.com/p/AF1QipOXbtlNDl_hXD9R3VYMm5kwE9UgVfiLt0fpNWAM=w426-h240-k-no,true,"https://www.google.com/maps/search/vein+clinics+in+Hoover+AL/@33.4053867,-86.8113781,14z",2025-12-16T21:57:41.749Z,6 am–5 pm,6 am–5 pm,6 am–5 pm,6 am–5 pm,Closed,Closed,6 am–5 pm,,,,
https://www.google.com/maps/place/Brookwood+Baptist+Health+Specialty+Care+-+Vein+Center/data=!4m7!3m6!1s0x888921a0db8bc31d:0x4b4bf6443d669039!8m2!3d33.3559698!4d-86.8462475!16s%2Fg%2F1hm2q_lhz!19sChIJHcOL26AhiYgROZBmPUT2S0s,Brookwood Baptist Health Specialty Care - Vein Center,5.0,4,Medical clinic,"5295 Preserve Pkwy Suite 270, Hoover, AL 35244, United States","9543+9G Hoover, Alabama, USA",https://www.bbhcarenetwork.com/specialties/vein-services,+1 205-949-9289,Closes soon · 4 pm · Opens 7 am Wed,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwmcwGqqlxGNgaRA_Vl2-nqcolwinISYfK2BDR8glQXuElxa3xhAigNOczofy5dHKh3ByJwisqbJ2xggtJvEjou2eSsFwzwMsB0YeY-Y-5H6YDAcoKTRZDb95mSRavMiXugK2Mr=w408-h242-k-no,true,"https://www.google.com/maps/search/vein+clinics+in+Hoover+AL/@33.4053867,-86.8113781,14z",2025-12-16T21:57:46.534Z,7 am–4 pm,7 am–4 pm,7 am–4 pm,Closed,Closed,Closed,7 am–4 pm,,,,
"https://www.google.com/maps/place/Charles+Austin+Hunt+II,+MD,+FACS,+RVT/data=!4m7!3m6!1s0x8889191cc43fbc3d:0x859ed3afc9300851!8m2!3d33.3683719!4d-86.801223!16s%2Fg%2F1tg2lf9x!19sChIJPbw_xBwZiYgRUQgwya_TnoU","Charles Austin Hunt II, MD, FACS, RVT",5.0,11,Cardiovascular and thoracic surgeon,"4721 Chace Cir, Hoover, AL 35244, United States","959X+8G Hoover, Alabama, USA",https://www.alabamaveincenter.com/?utm_source=gmb_auth,+1 877-268-8346,Open · Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipMNejFCXBfX5UMDLiF5GVSfHOiAq5cezCvpDz1G=w427-h240-k-no,true,"https://www.google.com/maps/search/vein+clinics+in+Hoover+AL/@33.4053867,-86.8113781,14z",2025-12-16T21:57:51.513Z,7:30 am–5 pm,7:30 am–5 pm,7:30 am–5 pm,7:30 am–12 pm,Closed,Closed,7:30 am–5 pm,,,,
