placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,saturday,sunday,monday,tuesday,wednesday,thursday,friday,query,timestamp,attributes,info,isBlackOwned
https://www.google.com/maps/place/Premier+Service+Company+Inc/data=!4m7!3m6!1s0x8886028e7ecb10db:0x547c279fc4eb6329!8m2!3d33.2251459!4d-87.5438798!16s%2Fg%2F1tcx7sfk!19sChIJ2xDLfo4ChogRKWPrxJ8nfFQ,Premier Service Company Inc,4.8,1096,HVAC contractor,"701 Rice Mine Rd N, Tuscaloosa, AL 35406, United States","6FG4+3C Tuscaloosa, Alabama, USA",https://www.premierservicecompany.com/?utm_source=gmb&utm_medium=organic,+1 205-752-6332,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipOoDtcJCNG9WbI6k8VHutrXwzIX3f1Xp0ZmiqOR=w408-h612-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/generator+installation+services+in+Tuscaloosa+AL/@33.21031,-87.5658722,14z",2026-01-10T21:22:44.362Z,,,
https://www.google.com/maps/place/Thompson+Power+Systems+-+Tuscaloosa/data=!4m7!3m6!1s0x8886030b0bfb99d5:0xa80ab2432579f157!8m2!3d33.1829996!4d-87.6159767!16s%2Fg%2F11v13x44zx!19sChIJ1Zn7CwsDhogRV_F5JUOyCqg,Thompson Power Systems - Tuscaloosa,5.0,1,Electric generator shop,"3550 Joe Mallisham Pkwy, Tuscaloosa, AL 35401, United States","59MM+5J Tuscaloosa, Alabama, USA",https://thompsonpowersystems.com/locations/tuscaloosa/?utm_source=google&utm_medium=organic&utm_campaign=gbp&utm_content=tuscaloosa-power,+1 205-236-9234,Closed · Opens 7 am Mon,https://lh3.googleusercontent.com/p/AF1QipPiO-zTjsoXRLyDJYbSrs10_BIWQw_vhS0j9LG5=w408-h271-k-no,true,Closed,Closed,7 am–5 pm,7 am–5 pm,7 am–5 pm,7 am–5 pm,7 am–5 pm,"https://www.google.com/maps/search/generator+installation+services+in+Tuscaloosa+AL/@33.21031,-87.5658722,14z",2026-01-10T21:22:48.962Z,· Delivery,Identifies as women-owned,
https://www.google.com/maps/place/Banks+Quarles+Plumbing+Heating+Cooling+%26+Electrical/data=!4m7!3m6!1s0x888602f3e1746041:0xf11758ceab6e754c!8m2!3d33.1966958!4d-87.5640798!16s%2Fg%2F1tg4m464!19sChIJQWB04fMChogRTHVuq85YF_E,Banks Quarles Plumbing Heating Cooling & Electrical,4.7,1364,Heating contractor,"2501 17th St, Tuscaloosa, AL 35401, United States","5CWP+M9 Tuscaloosa, Alabama, USA",https://banksquarles.com/city/tuscaloosa-al/?utm_source=google&utm_medium=gbp&se_campaign=BQ%20GBP,+1 205-740-2483,"Open · Closes 12 am

Confirmed by this business 8 weeks ago",https://lh3.googleusercontent.com/p/AF1QipOMls20PaQqJGkPb3HcbRrLiMInj54Y5OIy9VEg=w408-h291-k-no,true,Open 24 hours,Closed,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/generator+installation+services+in+Tuscaloosa+AL/@33.21031,-87.5658722,14z",2026-01-10T21:22:53.291Z,,,
https://www.google.com/maps/place/Turner+%26+Schoel+Inc./data=!4m7!3m6!1s0x88860353d3732697:0x2096dd47c5ee750c!8m2!3d33.2310639!4d-87.610524!16s%2Fg%2F1tlw9vm0!19sChIJlyZz01MDhogRDHXuxUfdliA,Turner & Schoel Inc.,5.0,1099,HVAC contractor,"1700 Harper Rd, Northport, AL 35476, United States","69JQ+CQ Northport, Alabama, USA",https://turnerandschoel.com/,+1 205-339-5818,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipObmkxDH5TNYkau6paF28Bar_f7xdYCY9wjz3Nq=w426-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/generator+installation+services+in+Tuscaloosa+AL/@33.21031,-87.5658722,14z",2026-01-10T21:22:58.011Z,,,
https://www.google.com/maps/place/J+D+Esco+Electrical+Contractors+Inc/data=!4m7!3m6!1s0x88860264240afec5:0xc3fa2eabfdb41ef5!8m2!3d33.18238!4d-87.5543649!16s%2Fg%2F1tdxln35!19sChIJxf4KJGQChogR9R60_asu-sM,J D Esco Electrical Contractors Inc,4.7,13,Electrician,"3106 Greensboro Ave, Tuscaloosa, AL 35401, United States","5CJW+X7 Tuscaloosa, Alabama, USA",http://jdescocontractors.com/,+1 205-345-2745,Closed · Opens 7 am Mon,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=ev83reCtvA3VZtDQR6q9aw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=239.6795&pitch=0&thumbfov=100,true,Closed,Closed,7 am–5 pm,7 am–5 pm,7 am–5 pm,7 am–5 pm,7 am–5 pm,"https://www.google.com/maps/search/generator+installation+services+in+Tuscaloosa+AL/@33.21031,-87.5658722,14z",2026-01-10T21:23:02.326Z,,,
https://www.google.com/maps/place/Westala+Electric/data=!4m7!3m6!1s0x8886026114526f1b:0xa0aa6259dce42efc!8m2!3d33.1711859!4d-87.6307916!16s%2Fg%2F1w9y1w67!19sChIJG29SFGEChogR_C7k3FliqqA,Westala Electric,4.1,20,Electrician,"7715 Unity Rd, Tuscaloosa, AL 35401, United States","59C9+FM Tuscaloosa, Alabama, USA",https://westalaelectric.wordpress.com/,+1 205-349-2441,Closed · Opens 8 am Mon,https://lh3.googleusercontent.com/p/AF1QipOzArnLfemZeNQQUydYCYi6uRa_C1Gg4xMvH0_U=w408-h304-k-no,true,Closed,Closed,8 am–4 pm,8 am–4 pm,8 am–4 pm,8 am–4 pm,8 am–4 pm,"https://www.google.com/maps/search/generator+installation+services+in+Tuscaloosa+AL/@33.21031,-87.5658722,14z",2026-01-10T21:23:06.605Z,,,
https://www.google.com/maps/place/DSL+Electric+Inc/data=!4m7!3m6!1s0x8888a9cf5d087723:0xd923b46a57edc4a9!8m2!3d33.1827178!4d-87.6003853!16s%2Fg%2F125_wy6yq!19sChIJI3cIXc-piIgRqcTtV2q0I9k,DSL Electric Inc,3.7,6,Electrician,"3601 Fosters Industrial Dr, Tuscaloosa, AL 35401, United States","59MX+3R Tuscaloosa, Alabama, USA",,,Closed · Opens 7 am Mon,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=BnW6PIydk6f7eDdROjE78w&cb_client=search.gws-prod.gps&w=408&h=240&yaw=52.77158&pitch=0&thumbfov=100,true,Closed,Closed,7 am–4 pm,7 am–4 pm,7 am–4 pm,7 am–4 pm,7 am–4 pm,"https://www.google.com/maps/search/generator+installation+services+in+Tuscaloosa+AL/@33.21031,-87.5658722,14z",2026-01-10T21:23:10.988Z,,,
https://www.google.com/maps/place/Adams+Heating+%26+Cooling/data=!4m7!3m6!1s0x888601bc81ca2a5d:0xb37909d0339d7865!8m2!3d33.1744477!4d-87.4923005!16s%2Fg%2F1td4qgl1!19sChIJXSrKgbwBhogRZXidM9AJebM,Adams Heating & Cooling,4.9,719,HVAC contractor,"3415 Hargrove E Rd, Tuscaloosa, AL 35405, United States","5GF5+Q3 Tuscaloosa, Alabama, USA",https://adamssvcs.com/,+1 205-339-6540,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipOGTrYemWtxFxQrfC0eljdMneDBEoczEVBmODD6=w438-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/generator+installation+services+in+Tuscaloosa+AL/@33.21031,-87.5658722,14z",2026-01-10T21:23:15.441Z,,,
https://www.google.com/maps/place/Generator+Supercenter+of+Tuscaloosa/data=!4m7!3m6!1s0x8886038b69aa2989:0xb4a9fbf2a00b3921!8m2!3d33.2093064!4d-87.5692847!16s%2Fg%2F11vjq8hp3j!19sChIJiSmqaYsDhogRITkLoPL7qbQ,Generator Supercenter of Tuscaloosa,5.0,1,Electric generator shop,"2427 University Blvd, Tuscaloosa, AL 35401, United States","6C5J+P7 Tuscaloosa, Alabama, USA",https://generatorsupercenter.com/,+1 855-789-4400,Temporarily closed,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=-x06emU1xAbMO1DCQ3OnOw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=152.95714&pitch=0&thumbfov=100,true,,,,,,,,"https://www.google.com/maps/search/generator+installation+services+in+Tuscaloosa+AL/@33.21031,-87.5658722,14z",2026-01-10T21:23:19.831Z,,,
https://www.google.com/maps/place/Mayer+Electric+Supply/data=!4m7!3m6!1s0x888602649e156093:0xd3f1144716d583a6!8m2!3d33.1839837!4d-87.5510967!16s%2Fg%2F1wrtdmbd!19sChIJk2AVnmQChogRpoPVFkcU8dM,Mayer Electric Supply,4.4,12,Electrical supply store,"2901 10th Ave, Tuscaloosa, AL 35401, United States","5CMX+HH Tuscaloosa, Alabama, USA",https://www.mayerelectric.com/Tuscaloosa?utm_source=local-listings&utm_medium=organic&utm_content=GMB,+1 205-345-8770,"Closed · Opens 7 am Mon

Confirmed by this business 4 weeks ago",https://lh3.googleusercontent.com/p/AF1QipP7tRP406db6nuVFrtz2_caGfGLsqG7Z3hSSSYL=w456-h240-k-no,true,Closed,Closed,7 am–4 pm,7 am–4 pm,7 am–4 pm,7 am–4 pm,7 am–4 pm,"https://www.google.com/maps/search/generator+installation+services+in+Tuscaloosa+AL/@33.21031,-87.5658722,14z",2026-01-10T21:23:24.164Z,· In-store pick-up · Delivery,Identifies as women-owned,
