placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,query,timestamp,wednesday,thursday,friday,saturday,sunday,monday,tuesday,info,isBlackOwned,attributes,error
"https://www.google.com/maps/place/Wesley+L.+Spruill,+MD/data=!4m7!3m6!1s0x8888a83f1dddcd19:0xadbb08532e3fa6f5!8m2!3d33.2085481!4d-87.523432!16s%2Fg%2F1tgcytyd!19sChIJGc3dHT-oiIgR9aY_LlMIu60","Wesley L. Spruill, MD",4.7,264,Pain control clinic,"1050 Ruby Tyler Pkwy, Tuscaloosa, AL 35404, United States","6F5G+CJ Tuscaloosa, Alabama, USA",,+1 205-759-7246,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=lf7A2_wj53pSuNxZKGVeaw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=255.24368&pitch=0&thumbfov=100,true,"https://www.google.com/maps/search/pain+management+physician+in+Tuscaloosa+AL/@33.21031,-87.5658722,14z",2026-01-28T18:35:48.773Z,,,,,,,,,,,
https://www.google.com/maps/place/The+Center+for+Pain/data=!4m7!3m6!1s0x88861d762d5c1973:0x63f456e969aa51cd!8m2!3d33.2454351!4d-87.5488734!16s%2Fg%2F1jgm09mfx!19sChIJcxlcLXYdhogRzVGqaelW9GM,The Center for Pain,4.4,197,Pain management physician,"4280 Watermelon Rd Suite 111, Northport, AL 35473, United States","6FW2+5F Northport, Alabama, USA",https://center4pain.com/location/tuscaloosa/,+1 334-288-7808,"Open · Closes 4 pm

Updated by this business 5 weeks ago",https://lh3.googleusercontent.com/p/AF1QipMbW-kqjbkwAdiqQNE3TlGdhhe0Ybd6z4HmgRCk=w408-h306-k-no,true,"https://www.google.com/maps/search/pain+management+physician+in+Tuscaloosa+AL/@33.21031,-87.5658722,14z",2026-01-28T18:35:54.933Z,7:30 am–4 pm,7:30 am–4 pm,7:30 am–12 pm,Closed,Closed,7:30 am–4 pm,7:30 am–4 pm,,,,
"https://www.google.com/maps/place/Rick+Thomason,+MD/data=!4m7!3m6!1s0x8888a83f1dddcd19:0xede57b89094e3a02!8m2!3d33.2085481!4d-87.523432!16s%2Fg%2F1tcw8yv8!19sChIJGc3dHT-oiIgRAjpOCYl75e0","Rick Thomason, MD",4.7,203,Pain control clinic,"1050 Ruby Tyler Pkwy, Tuscaloosa, AL 35404, United States","6F5G+CJ Tuscaloosa, Alabama, USA",https://www.dchspinecare.com/,+1 205-759-7246,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=E-LWOd9DItgjiOiZoerT9g&cb_client=search.gws-prod.gps&w=408&h=240&yaw=233.82358&pitch=0&thumbfov=100,true,"https://www.google.com/maps/search/pain+management+physician+in+Tuscaloosa+AL/@33.21031,-87.5658722,14z",2026-01-28T18:35:57.949Z,,,,,,,,,,,
"https://www.google.com/maps/place/Dr.+Leon+H.+Campbell+Jr,+MD/data=!4m7!3m6!1s0x888602ec718d71d7:0xc37eca83344c1094!8m2!3d33.1844801!4d-87.5478057!16s%2Fg%2F1tfxyt21!19sChIJ13GNcewChogRlBBMNIPKfsM","Dr. Leon H. Campbell Jr, MD",2.7,11,Pain management physician,"7th Ave, Tuscaloosa, AL 35401, United States","5FM2+QV Tuscaloosa, Alabama, USA",,+1 205-349-0652,Open 24 hours,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=adMJgGnforvlIlHkWQs1BA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=273.54315&pitch=0&thumbfov=100,false,"https://www.google.com/maps/search/pain+management+physician+in+Tuscaloosa+AL/@33.21031,-87.5658722,14z",2026-01-28T18:36:02.741Z,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,,,,
https://www.google.com/maps/place/Anesthesiology+%26+Pain+Management/data=!4m7!3m6!1s0x8888a83bef390c1b:0x964abf315e311cac!8m2!3d33.2053981!4d-87.5264812!16s%2Fg%2F1wk7rmnk!19sChIJGww57zuoiIgRrBwxXjG_SpY,Anesthesiology & Pain Management,5.0,1,Medical clinic,"809 University Blvd E, Tuscaloosa, AL 35401, United States","6F4F+5C Tuscaloosa, Alabama, USA",,+1 205-345-0970,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=1q8TjdACw66e1vkJtd-SiQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=178.32741&pitch=0&thumbfov=100,false,"https://www.google.com/maps/search/pain+management+physician+in+Tuscaloosa+AL/@33.21031,-87.5658722,14z",2026-01-28T18:36:05.399Z,,,,,,,,,,,
https://www.google.com/maps/place/West+Al+Pain+Management+LLC/data=!4m7!3m6!1s0x88860284a0202241:0x4da14374d0f24898!8m2!3d33.2006813!4d-87.5448125!16s%2Fg%2F1wrtdmbf!19sChIJQSIgoIQChogRmEjy0HRDoU0,West Al Pain Management LLC,,,Pain management physician,"526 14th St, Tuscaloosa, AL 35401, United States","6F24+73 Tuscaloosa, Alabama, USA",,+1 205-248-7199,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=NyN0kTu7rFoqV0PEL3PUqQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=89.31831&pitch=0&thumbfov=100,false,"https://www.google.com/maps/search/pain+management+physician+in+Tuscaloosa+AL/@33.21031,-87.5658722,14z",2026-01-28T18:36:07.945Z,,,,,,,,,,,
"https://www.google.com/maps/place/Deborah+D.+Black,+MA/data=!4m7!3m6!1s0x8888a83f1dddcd19:0xa11af249a4231c76!8m2!3d33.2085481!4d-87.523432!16s%2Fg%2F1v75sp4g!19sChIJGc3dHT-oiIgRdhwjpEnyGqE","Deborah D. Black, MA",5.0,1,Pain management physician,"1050 Ruby Tyler Pkwy, Tuscaloosa, AL 35404, United States","6F5G+CJ Tuscaloosa, Alabama, USA",http://dchspinecare.com/,+1 205-759-7246,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=E-LWOd9DItgjiOiZoerT9g&cb_client=search.gws-prod.gps&w=408&h=240&yaw=233.82358&pitch=0&thumbfov=100,false,"https://www.google.com/maps/search/pain+management+physician+in+Tuscaloosa+AL/@33.21031,-87.5658722,14z",2026-01-28T18:36:10.555Z,,,,,,,,,,,
https://www.google.com/maps/place/Crimson+Chiropractic+Center/data=!4m7!3m6!1s0x8888a9cd2d191187:0xdd0b363fb0df831e!8m2!3d33.189499!4d-87.5277221!16s%2Fg%2F1tlbpxsw!19sChIJhxEZLc2piIgRHoPfsD82C90,Crimson Chiropractic Center,4.9,328,Chiropractor,"2302 McFarland Blvd E, Tuscaloosa, AL 35404, United States","5FQC+QW Tuscaloosa, Alabama, USA",https://www.crimsonchiropractic.com/,+1 205-345-2009,Open · Closes 6 pm,https://lh3.googleusercontent.com/p/AF1QipPX2gWewCiyDzl03U2629KDom1qmDcburrLmogu=w408-h272-k-no,true,"https://www.google.com/maps/search/pain+management+physician+in+Tuscaloosa+AL/@33.21031,-87.5658722,14z",2026-01-28T18:36:15.306Z,8 am–6 pm,8 am–6 pm,8 am–6 pm,Closed,Closed,8 am–6 pm,8 am–6 pm,,,,
https://www.google.com/maps/place/SpineCare/data=!4m7!3m6!1s0x8888a83f1dddcd19:0x11aa30768ca80f1b!8m2!3d33.2086406!4d-87.5235228!16s%2Fg%2F1tj2jnrc!19sChIJGc3dHT-oiIgRGw-ojHYwqhE,SpineCare,3.9,132,Hospital,"1050 Ruby Tyler Pkwy, Tuscaloosa, AL 35404, United States","6F5G+FH Tuscaloosa, Alabama, USA",https://www.dchspinecare.com/,+1 205-759-7246,Open · Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipN2Ucjw21A1TbKhZ5xxrwqyf2YQwM31_GZv6-nf=w408-h271-k-no,true,"https://www.google.com/maps/search/pain+management+physician+in+Tuscaloosa+AL/@33.21031,-87.5658722,14z",2026-01-28T18:36:20.226Z,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,,,,
https://www.google.com/maps/place/Mangieri+Eugene+A+MD/data=!4m7!3m6!1s0x888602d208e4e54d:0xa24496aa4441d506!8m2!3d33.2327173!4d-87.5697731!16s%2Fg%2F1v9t_p28!19sChIJTeXkCNIChogRBtVBRKqWRKI,Mangieri Eugene A MD,4.5,19,Pain management physician,"2510 Hospital Dr, Northport, AL 35476, United States","6CMJ+33 Northport, Alabama, USA",,+1 205-339-9000,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=8tzIu__cNQuww7GRPIAsuw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=291.11584&pitch=0&thumbfov=100,false,"https://www.google.com/maps/search/pain+management+physician+in+Tuscaloosa+AL/@33.21031,-87.5658722,14z",2026-01-28T18:36:22.914Z,,,,,,,,,,,
