placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,wednesday,thursday,friday,saturday,sunday,monday,tuesday,query,timestamp,info,attributes,isBlackOwned
https://www.google.com/maps/place/Right+at+Home/data=!4m7!3m6!1s0x54c11e43fdfad7b1:0x2c3c277af1938a2b!8m2!3d44.0501362!4d-123.0976955!16s%2Fg%2F1q6kk0q92!19sChIJsdf6_UMewVQRK4qT8XonPCw,Right at Home,4.6,47,Home health care service,"315 W Broadway #200, Eugene, OR 97401, United States","3W22+3W Eugene, Oregon, USA",https://www.rightathome.net/eugene/?utm_source=google&utm_medium=local&utm_campaign=localmaps&utm_content=1333,+1 541-833-5050,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipPKLN9ZDw2JU8y74ZOpCqpzagtLZwbWsaP2Mg5Z=w408-h408-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Home+Health+clinics+in+Eugene+OR/@44.052121,-123.0896705,14z",2025-09-10T18:42:47.875Z,,,
https://www.google.com/maps/place/BrightStar+Care/data=!4m7!3m6!1s0x54c11e14dcc79bf1:0xcb074618157f3400!8m2!3d44.0660559!4d-123.095399!16s%2Fg%2F11bwkzm93k!19sChIJ8ZvH3BQewVQRADR_FRhGB8s,BrightStar Care,4.7,97,Home health care service,"911 Country Club Rd Suite 340, Eugene, OR 97401, United States","3W83+CR Eugene, Oregon, USA",https://www.brightstarcare.com/locations/lane-county/,+1 541-632-7800,,https://lh3.googleusercontent.com/p/AF1QipM-FqKFtmZErnFPqtRYc7aUAwcut3vkKG2HKU0=w425-h240-k-no,true,,,,,,,,"https://www.google.com/maps/search/Home+Health+clinics+in+Eugene+OR/@44.052121,-123.0896705,14z",2025-09-10T18:42:52.118Z,LGBTQ+ friendly,,
https://www.google.com/maps/place/Visiting+Angels+Senior+Home+Care/data=!4m7!3m6!1s0x54c11de606f68b7b:0x295c33aca16fb1f2!8m2!3d44.069961!4d-123.111063!16s%2Fg%2F1vd7112q!19sChIJe4v2BuYdwVQR8rFvoawzXCk,Visiting Angels Senior Home Care,4.7,74,Home health care service,"1600 Executive Pkwy #310, Eugene, OR 97401, United States","3V9Q+XH Eugene, Oregon, USA",https://www.visitingangels.com/eugene/home?utm_source=gmb&utm_medium=organic&utm_campaign=local,+1 541-505-7444,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipMfpRXTnI-gSanvgIEejciBk_75AGX023SaQdKe=w408-h271-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Home+Health+clinics+in+Eugene+OR/@44.052121,-123.0896705,14z",2025-09-10T18:42:57.157Z,,,
https://www.google.com/maps/place/Eugene+Signature+HCH:+Home+Health/data=!4m7!3m6!1s0x54c11d7cf80087d3:0x7a30c07a9f307d08!8m2!3d44.0698171!4d-123.1090037!16s%2Fg%2F11csc8v23p!19sChIJ04cA-HwdwVQRCH0wn3rAMHo,Eugene Signature HCH: Home Health,4.3,27,Home health care service,"1200 Executive Pkwy #410, Eugene, OR 97401, United States","3V9R+W9 Eugene, Oregon, USA",https://signaturehch.com/eugene,+1 541-461-0325,Open ⋅ Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipNzCzJanyw11cPgtghP2T4QghE2BvYRTDd3ZbW-=w426-h240-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/Home+Health+clinics+in+Eugene+OR/@44.052121,-123.0896705,14z",2025-09-10T18:43:02.044Z,,,
https://www.google.com/maps/place/Aspire+Caregiving/data=!4m7!3m6!1s0x54c11f227c68bad3:0x1aa5880de7bac4ce!8m2!3d44.0697922!4d-123.1099798!16s%2Fg%2F11m__l2fjj!19sChIJ07pofCIfwVQRzsS65w2IpRo,Aspire Caregiving,4.2,20,Home health care service,"1400 Executive Pkwy ste 425, Eugene, OR 97401, United States","3V9R+W2 Eugene, Oregon, USA",https://aspirecaregiving.com/eugene/,+1 541-291-9991,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipNXRQ0XP9wbC7Axb9m4j7jq-6i5f0Gj6GSp6xAC=w408-h271-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Home+Health+clinics+in+Eugene+OR/@44.052121,-123.0896705,14z",2025-09-10T18:43:07.293Z,,,
https://www.google.com/maps/place/New+Horizons+In-Home+Care/data=!4m7!3m6!1s0x54c11e41e6f35faf:0x22c0add12b076552!8m2!3d44.0874995!4d-123.0545242!16s%2Fg%2F1tx46s4c!19sChIJr1_z5kEewVQRUmUHK9GtwCI,New Horizons In-Home Care,4.0,96,Home health care service,"3125 Chad Dr Suite 290, Eugene, OR 97408, United States","3WPW+X5 Eugene, Oregon, USA",https://nhcares.com/,+1 541-687-8851,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipMnxnKQGwqM-Mgefx9cv_bqc9J68fIe9Yvn3xty=w408-h374-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Home+Health+clinics+in+Eugene+OR/@44.052121,-123.0896705,14z",2025-09-10T18:43:12.535Z,,,
https://www.google.com/maps/place/Addus+HomeCare/data=!4m7!3m6!1s0x54c11dfa5f507f4b:0x6b1cbaaf79389555!8m2!3d44.0720445!4d-123.1017315!16s%2Fg%2F1txnp5px!19sChIJS39QX_odwVQRVZU4ea-6HGs,Addus HomeCare,3.6,32,Home health care service,"1144 Willagillespie Rd #32, Eugene, OR 97401, United States","3VCX+R8 Eugene, Oregon, USA",https://addus.com/?y_source=1_MTI1NTg5NzYtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,+1 541-342-5567,Open ⋅ Closes 5 pm,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=45ATnQY94Vp2QhjDRTOFEA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=136.68643&pitch=0&thumbfov=100,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/Home+Health+clinics+in+Eugene+OR/@44.052121,-123.0896705,14z",2025-09-10T18:43:17.791Z,,,
https://www.google.com/maps/place/ameriCARE+Eugene/data=!4m7!3m6!1s0x54c11f83cefb9f5f:0xc34ce981acb29d34!8m2!3d44.0462122!4d-123.0955639!16s%2Fg%2F11y4x2_g02!19sChIJX5_7zoMfwVQRNJ2yrIHpTMM,ameriCARE Eugene,5.0,8,Home health care service,"1237 Charnelton St, Eugene, OR 97401, United States","2WW3+FQ Eugene, Oregon, USA",https://americareinfo.com/eugene/?utm_source=gbp&utm_medium=organic,+1 458-250-3273,Open ⋅ Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipPLZNxxcyRHcWJRV829YwSbJbyQkI8QuPbJQEak=w483-h240-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/Home+Health+clinics+in+Eugene+OR/@44.052121,-123.0896705,14z",2025-09-10T18:43:22.665Z,LGBTQ+ friendly,,
https://www.google.com/maps/place/At+Ease+Home+Care/data=!4m7!3m6!1s0x54c0e187c17b45c1:0xd9bd545790bfe58c!8m2!3d44.0440748!4d-123.0898959!16s%2Fg%2F1tycwcsl!19sChIJwUV7wYfhwFQRjOW_kFdUvdk,At Ease Home Care,2.8,21,Home health care service,"1430 Pearl St, Eugene, OR 97401, United States","2WV6+J2 Eugene, Oregon, USA",http://www.ateasehomecare.com/,+1 541-344-3273,Open ⋅ Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipMTnsXt8uVcfzmxaIvH5OIYHxdclrgtSiYmXD0=w408-h271-k-no,true,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,Closed,9 am–5 pm,9 am–5 pm,"https://www.google.com/maps/search/Home+Health+clinics+in+Eugene+OR/@44.052121,-123.0896705,14z",2025-09-10T18:43:27.587Z,,,
https://www.google.com/maps/place/Affordable+At+Home+Care/data=!4m7!3m6!1s0x54c11f3f84be9e67:0x4c31195b9995f467!8m2!3d44.0707073!4d-123.1108824!16s%2Fg%2F11m2950d1f!19sChIJZ56-hD8fwVQRZ_SVmVsZMUw,Affordable At Home Care,4.5,25,Home health care service,"1600 Valley River Dr #265, Eugene, OR 97401, United States","3VCQ+7J Eugene, Oregon, USA",https://www.affordableathomecare.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp-eugene&utm_id=local&utm_content=eugene,+1 541-632-3660,Open 24 hours,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=hJqZice6KB_0vssPVM9Cig&cb_client=search.gws-prod.gps&w=408&h=240&yaw=262.15494&pitch=0&thumbfov=100,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Home+Health+clinics+in+Eugene+OR/@44.052121,-123.0896705,14z",2025-09-10T18:43:32.665Z,,,
