placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,query,timestamp,info,tuesday,wednesday,thursday,friday,saturday,sunday,monday,attributes,error
https://www.google.com/maps/place/Visitor+Parking+Manitou+Springs+%26+Free+Shuttle/data=!4m7!3m6!1s0x871351b4de188d17:0x59b069f494a1d255!8m2!3d38.8582321!4d-104.909933!16s%2Fg%2F11g0h0brxc!19sChIJF40Y3rRRE4cRVdKhlPRpsFk,Visitor Parking Manitou Springs & Free Shuttle,4.2,108,Parking lot,"10 Old Mans Trail, Manitou Springs, CO 80829, United States","V35R+72 Manitou Springs, Colorado, USA",,,,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwNwoi0rICOhMYIqvDGclqWXVqK4y7V2dyjgRDrHgBWRLsgu8M-U7-F0PIvOUXebCEgCtHwWQmuqTifrYFqS8DgBjb3POCTlbcuJ4vqdfKHV-95u0j8wozVVZM2J6IXganID1Y=w408-h544-k-no,false,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Manitou+Springs+Colorado+Springs+CO/@38.8575579,-104.9128177,14z",2025-10-28T18:31:59.263Z,,,,,,,,,,
https://www.google.com/maps/place/Cog+Railway+Parking/data=!4m7!3m6!1s0x871351a9663a3423:0x9f8aed9888f1a749!8m2!3d38.856476!4d-104.9315558!16s%2Fg%2F11rk01ccps!19sChIJIzQ6ZqlRE4cRSafxiJjtip8,Cog Railway Parking,4.0,236,Parking lot,"Pikes Peak By Rail, Ruxton Ave, Manitou Springs, CO 80829, United States","V349+H9 Manitou Springs, Colorado, USA",http://cograilway.com/,,,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwqa8ege3J1QgAa6Ox495o1J4SdBdxeRTEYKVUL6HitBhMN8WrK0fwJGBPxKnGQSyICT7y-5eK6EcudJPBmiWzfjF1vvn3vLerKW6lTsoBIDmU-OL-6lPhfK7Sy_k39_Y13m_yFVg=w408-h306-k-no,false,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Manitou+Springs+Colorado+Springs+CO/@38.8575579,-104.9128177,14z",2025-10-28T18:32:03.476Z,,,,,,,,,,
https://www.google.com/maps/place/Wichita+Metro+Parking+Lot/data=!4m7!3m6!1s0x871351ffd9fe6245:0xf1b33b3a2b69bc56!8m2!3d38.857608!4d-104.914861!16s%2Fg%2F11hfy3q1gv!19sChIJRWL-2f9RE4cRVrxpKzo7s_E,Wichita Metro Parking Lot,3.7,40,Parking lot,"708 Manitou Ave, Manitou Springs, CO 80829, United States","V35P+23 Manitou Springs, Colorado, USA",,,,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwDbTJbld4VlrzqXVanzXKxMg5CcShA0ch4YLbj1wv9q4x8rKwdfckHZ837TPVO7lJv8UhJ5n2Hqu-fH3roStzdCNmLYGk-Q2pRmYNCAi6MWcxCLifeQ-N9uGwyN_Bb4XLOCn1nMrTX5YJz=w408-h544-k-no,false,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Manitou+Springs+Colorado+Springs+CO/@38.8575579,-104.9128177,14z",2025-10-28T18:32:06.654Z,,,,,,,,,,
https://www.google.com/maps/place/Manitou+Hiawatha+Gardens+-+Parking+and+Shuttle/data=!4m7!3m6!1s0x871351f1551fe35b:0x835077841a329ed2!8m2!3d38.8582637!4d-104.9099268!16s%2Fg%2F11fn6skrv9!19sChIJW-MfVfFRE4cR0p4yGoR3UIM,Manitou Hiawatha Gardens - Parking and Shuttle,4.3,213,Parking lot,"10 Old Mans Trail, Manitou Springs, CO 80829, United States","V35R+82 Manitou Springs, Colorado, USA",https://www.manitouspringsgov.com/567/Parking-Locations,,,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyM1x4N6D-S6h25tV00mlPbuiQMs5nRCRsfBRIaMgte1Vb12xfvzqirwWPyWZ1CnKAhtLMzzwjM9jEiqUM7EZMVjSGrJ_eHyvuYTiQkXYMoL-alIPofWJ9iQIIw7z7DISld85a7V7zSleI4=w408-h306-k-no,true,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Manitou+Springs+Colorado+Springs+CO/@38.8575579,-104.9128177,14z",2025-10-28T18:32:10.412Z,,,,,,,,,,
https://www.google.com/maps/place/Twin+Spring+Parking/data=!4m7!3m6!1s0x8713510046476de9:0x1bb41ace7de2828b!8m2!3d38.858859!4d-104.921334!16s%2Fg%2F11x01h3qt5!19sChIJ6W1HRgBRE4cRi4Lifc4atBs,Twin Spring Parking,3.7,3,Public parking space,"120 Ruxton Ave, Manitou Springs, CO 80829, United States","V35H+GF Manitou Springs, Colorado, USA",https://sturdyfoundations.com/twin-spring-parking,+1 808-445-6671,Open 24 hours,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=xVrgr2zmCir1A3KL5oMnxg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=359.4424&pitch=0&thumbfov=100,true,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Manitou+Springs+Colorado+Springs+CO/@38.8575579,-104.9128177,14z",2025-10-28T18:32:16.119Z,Identifies as veteran-owned,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,,
https://www.google.com/maps/place/Canon+Parking+Lot/data=!4m7!3m6!1s0x871351c8553eb3eb:0x5c46727e844fed6e!8m2!3d38.8587234!4d-104.9171126!16s%2Fg%2F11j8pc1h47!19sChIJ67M-VchRE4cRbu1PhH5yRlw,Canon Parking Lot,3.7,11,Parking lot,"135 Cañon Ave, Manitou Springs, CO 80829, United States","V35M+F5 Manitou Springs, Colorado, USA",https://www.manitouspringsgov.com/567/Parking-Locations#:~:text=Downtown%20Parking%20%26%20Canon%20Parking%20Lot%20%28135%20Canon%20Ave.%29%20%5BPremium%5D,,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwvriM7dvjXQ7bn3ykyBJShio2flrS8MuN05JFiDD1qZYpu6tziULzNBtbo2PMTSyRDJ07EiLpMLwONdFSNTqdfkap43-t0OF_7hm0U-Zksc8aresu8z9s5yr3S8VpHSG-4dYJCsg=w426-h240-k-no,false,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Manitou+Springs+Colorado+Springs+CO/@38.8575579,-104.9128177,14z",2025-10-28T18:32:21.415Z,,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,,
https://www.google.com/maps/place/137+Manitou+Ave+Parking/data=!4m7!3m6!1s0x8713508049edb2f5:0xd87c8d679cd5c804!8m2!3d38.8581!4d-104.894665!16s%2Fg%2F11tjbvj7n9!19sChIJ9bLtSYBQE4cRBMjVnGeNfNg,137 Manitou Ave Parking,1.0,1,Parking lot,"137 Manitou Ave, Manitou Springs, CO 80829, United States","V454+64 Manitou Springs, Colorado, USA",,,,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyRplnYMyZzNIcrxAFJQmict1WGXVCiGg0ojFxBW36qxmExLKfAWYzxAzrGgo7rB_KPG_Y72NO8aJyVg7i7WulxvDU_JOiAgrUTfEKGBMjsmO__r8HSKXGT5Z2Nq6MFGH5mMmfC=w408-h541-k-no,false,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Manitou+Springs+Colorado+Springs+CO/@38.8575579,-104.9128177,14z",2025-10-28T18:32:24.826Z,,,,,,,,,,
https://www.google.com/maps/place/parkingmgt.com/data=!4m7!3m6!1s0x871351cc9632ccb7:0x925d8e91508a2db5!8m2!3d38.8573342!4d-104.914475!16s%2Fg%2F11ycy2gzn6!19sChIJt8wylsxRE4cRtS2KUJGOXZI,parkingmgt.com,,,Parking lot,"702 Manitou Ave, Manitou Springs, CO 80829, United States","V34P+W6 Manitou Springs, Colorado, USA",https://parkingmgt.com/lot/parking-at-702-manitou-ave-manitou-near-downtown-springs-attractions/,+1 855-244-8947,Open 24 hours,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=wTfJG93MXtMfVDyc7XDFow&cb_client=search.gws-prod.gps&w=408&h=240&yaw=337.21384&pitch=0&thumbfov=100,true,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Manitou+Springs+Colorado+Springs+CO/@38.8575579,-104.9128177,14z",2025-10-28T18:32:29.774Z,,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,,
https://www.google.com/maps/place/parkingmgt.com/data=!4m7!3m6!1s0x871351a44123cee9:0xa3524c185f6d8d0!8m2!3d38.857611!4d-104.914894!16s%2Fg%2F11x0f7xslf!19sChIJ6c4jQaRRE4cR0Nj2hcEkNQo,parkingmgt.com,,,Parking lot,"708 Manitou Ave, Manitou Springs, CO 80829, United States","V35P+22 Manitou Springs, Colorado, USA",https://parkingmgt.com/parking-708-manitou-ave-manitou-springs/,+1 855-244-8947,Open 24 hours,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=9tGZoPugggyj3TUCPW8dgA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=289.71655&pitch=0&thumbfov=100,true,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Manitou+Springs+Colorado+Springs+CO/@38.8575579,-104.9128177,14z",2025-10-28T18:32:34.529Z,,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,,
https://www.google.com/maps/place/parkingmgt.com/data=!4m7!3m6!1s0x871351fb35f8a7cf:0xd327024b44e75e7b!8m2!3d38.8617289!4d-104.920908!16s%2Fg%2F11m5g6szvh!19sChIJz6f4NftRE4cRe17nREsCJ9M,parkingmgt.com,,,Parking lot,"1134 Manitou Ave, Manitou Springs, CO 80829, United States","V36H+MJ Manitou Springs, Colorado, USA",https://parkingmgt.com/parking-1134-manitou-ave-manitou-springs/,+1 855-244-8947,Open 24 hours,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=djTRwMqKf2h3VV0Z5UghsA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=76.78009&pitch=0&thumbfov=100,true,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Manitou+Springs+Colorado+Springs+CO/@38.8575579,-104.9128177,14z",2025-10-28T18:32:39.389Z,,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,,
