placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,query,timestamp,tuesday,wednesday,thursday,friday,saturday,sunday,monday,info,attributes,error
https://www.google.com/maps/place/CommonSpirit+Vascular+Surgery+Penrose/data=!4m7!3m6!1s0x8713457d89a39209:0xea0217a4b5b4cd23!8m2!3d38.865942!4d-104.822465!16s%2Fg%2F11jkzqb0_z!19sChIJCZKjiX1FE4cRI820taQXAuo,CommonSpirit Vascular Surgery Penrose,4.9,233,Vascular surgeon,"2222 N Nevada Ave Ste 5010, Colorado Springs, CO 80907, United States","V58H+92 Colorado Springs, Colorado, USA",https://www.mountain.commonspirit.org/location/commonspirit-vascular-surgery-penrose,+1 719-776-6700,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=M4ZffIjDtH0vjV-fqbcstw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=332.80872&pitch=0&thumbfov=100,true,"https://www.google.com/maps/search/vein+clinics+in+Manitou+Springs+Colorado+Springs+CO/@38.8575579,-104.9128177,14z",2025-12-16T21:58:13.492Z,,,,,,,,,,
https://www.google.com/maps/place/American+Vein+%26+Vascular+Institute/data=!4m7!3m6!1s0x871345ab5094df7f:0xad198e0ea849b290!8m2!3d38.8295122!4d-104.7934029!16s%2Fg%2F11b7l81kkc!19sChIJf9-UUKtFE4cRkLJJqA6OGa0,American Vein & Vascular Institute,3.6,35,Medical clinic,"175 S Union Blvd # 200, Colorado Springs, CO 80910, United States","R6H4+RJ Colorado Springs, Colorado, USA",http://www.americanvein.com/,+1 719-985-2800,"Open · Closes 6:30 pm

Updated by this business 6 weeks ago",https://lh3.googleusercontent.com/p/AF1QipPnM9yE7_X5Wxc29Q8qPqHC68EVooa-Pgohqw8=w408-h272-k-no,true,"https://www.google.com/maps/search/vein+clinics+in+Manitou+Springs+Colorado+Springs+CO/@38.8575579,-104.9128177,14z",2025-12-16T21:58:19.324Z,7:30 am–6:30 pm,7:30 am–6:30 pm,7:30 am–6:30 pm,Closed,Closed,Closed,7:30 am–6:30 pm,,,
https://www.google.com/maps/place/Albert+Vein+Institute/data=!4m7!3m6!1s0x87134d3a86dfe3f7:0x6c39ddf287c387e!8m2!3d38.988174!4d-104.8051131!16s%2Fg%2F1tfc2grh!19sChIJ9-PfhjpNE4cRfjh8KN-dwwY,Albert Vein Institute,4.3,55,Medical clinic,"10807 New Allegiance Dr Suite #450, Colorado Springs, CO 80921, United States","X5QV+7X Colorado Springs, Colorado, USA",https://www.albertvein.com/,+1 719-550-8346,Open · Closes 4 pm,https://lh3.googleusercontent.com/p/AF1QipPiOpQoov0iZ6QzKjNSzt4FlYlGS-eBJD3qdZHB=w408-h420-k-no,true,"https://www.google.com/maps/search/vein+clinics+in+Manitou+Springs+Colorado+Springs+CO/@38.8575579,-104.9128177,14z",2025-12-16T21:58:24.897Z,8 am–4 pm,8 am–4 pm,8 am–4 pm,8 am–12 pm,Closed,Closed,8 am–4 pm,,,
https://www.google.com/maps/place/Genesis+MedSpa+LLC/data=!4m7!3m6!1s0x871344a22694eb37:0x93981e6a04e95925!8m2!3d38.830695!4d-104.8531691!16s%2Fg%2F1tfbyxxg!19sChIJN-uUJqJEE4cRJVnpBGoemJM,Genesis MedSpa LLC,4.8,858,Medical spa,"142 S Raven Mine Dr #250, Colorado Springs, CO 80905, United States","R4JW+7P Colorado Springs, Colorado, USA",http://www.genesis-medspa.com/?utm_source=gmb&utm_medium=organic,+1 719-579-6890,Open · Closes 6 pm,https://lh3.googleusercontent.com/p/AF1QipOf3EHsooqzj_0fbTRcWZPXtRgiK3FgFFfbN28k=w426-h240-k-no,true,"https://www.google.com/maps/search/vein+clinics+in+Manitou+Springs+Colorado+Springs+CO/@38.8575579,-104.9128177,14z",2025-12-16T21:58:29.812Z,9 am–6 pm,9 am–6 pm,9 am–6 pm,9 am–4 pm,9 am–3 pm,Closed,9 am–6 pm,,,
https://www.google.com/maps/place/American+Vein+%26+Vascular+Institute/data=!4m7!3m6!1s0x87134da47d1508d5:0x86bb2242a3635ef!8m2!3d39.0203361!4d-104.8147964!16s%2Fg%2F11mwl3kpkk!19sChIJ1QgVfaRNE4cR7zU2KiSyawg,American Vein & Vascular Institute,4.7,44,Medical clinic,"7 Spectrum Lp #145, Colorado Springs, CO 80921, United States","25CP+43 Colorado Springs, Colorado, USA",http://www.americanvein.com/,+1 719-387-1675,"Open · Closes 5:30 pm

Updated by this business 10 weeks ago",https://lh3.googleusercontent.com/p/AF1QipOOREWy-sbKtKK6QFD3oLG2a0Basj3S7RtrfPsN=w408-h544-k-no,true,"https://www.google.com/maps/search/vein+clinics+in+Manitou+Springs+Colorado+Springs+CO/@38.8575579,-104.9128177,14z",2025-12-16T21:58:34.979Z,7:30 am–5:30 pm,7:30 am–5:30 pm,7:30 am–5:30 pm,7:30 am–5:30 pm,Closed,Closed,Closed,,,
https://www.google.com/maps/place/Springs+Aesthetics/data=!4m7!3m6!1s0x87134f8ca1a6fe79:0xe33d4ee462b92833!8m2!3d38.8972356!4d-104.8268676!16s%2Fg%2F1wj_tqtk!19sChIJef6moYxPE4cRMyi5YuROPeM,Springs Aesthetics,4.8,439,Plastic surgeon,"300 Garden of the Gods Rd #100, Colorado Springs, CO 80907, United States","V5WF+V7 Colorado Springs, Colorado, USA",https://www.drjohnburroughs.com/,+1 719-749-3606,Open · Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipPS-uVbAmxM6TvQTf-VKL-W_RcKy9DusGw7vVJ0=w785-h240-k-no,true,"https://www.google.com/maps/search/vein+clinics+in+Manitou+Springs+Colorado+Springs+CO/@38.8575579,-104.9128177,14z",2025-12-16T21:58:40.083Z,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–12 pm,Closed,Closed,8 am–5 pm,,,
https://www.google.com/maps/place/UCHealth+Vascular+Surgery+Clinic+-+Memorial+Hospital+Central/data=!4m7!3m6!1s0x8713450819f38d37:0x840573e11bf9e54c!8m2!3d38.8394455!4d-104.7997514!16s%2Fg%2F11b6x724p4!19sChIJN43zGQhFE4cRTOX5G-FzBYQ,UCHealth Vascular Surgery Clinic - Memorial Hospital Central,4.5,2,Vascular surgeon,"1400 E Boulder St Suite 600, Colorado Springs, CO 80909, United States","R6Q2+Q3 Colorado Springs, Colorado, USA",https://www.uchealth.org/locations/uchealth-general-and-vascular-surgery-memorial-hospital-central/,+1 719-364-8346,Open · Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipOYWx4pTQgHvpttIPD0Z2o7nZfFhtyAIYu6WGQ0=w408-h272-k-no,true,"https://www.google.com/maps/search/vein+clinics+in+Manitou+Springs+Colorado+Springs+CO/@38.8575579,-104.9128177,14z",2025-12-16T21:58:45.338Z,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–5 pm,LGBTQ+ friendly,,
https://www.google.com/maps/place/UCHealth+Vein+and+Vascular+Surgery+Center+-+Memorial+Hospital+Central/data=!4m7!3m6!1s0x87134c0805d1058b:0x2c9d54374951adf0!8m2!3d38.9673694!4d-104.7526864!16s%2Fg%2F1tdqhy9j!19sChIJiwXRBQhME4cR8K1RSTdUnSw,UCHealth Vein and Vascular Surgery Center - Memorial Hospital Central,3.7,3,Surgical center,"4110 Briargate Parkway Medical Office Building, 1st St Suite 140, Colorado Springs, CO 80920, United States","X68W+WW Colorado Springs, Colorado, USA",https://www.uchealth.org/locations/uchealth-general-vascular-surgery-and-vein-center-memorial-hospital-north/,+1 719-364-8346,Open · Closes 5 pm,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSy7F2TSNYsNN2N6MJ1HxV2eRFMtLc_SufULl1u652elskwsDYMVHO8cECwr29mdLjsUvl5aYQMKetGj-BuIaq3-ZbDPEpkBmDd9Gyf-pblvtJY9Chdz9y9ZmawMLD7znl1uS6g=w408-h306-k-no,true,"https://www.google.com/maps/search/vein+clinics+in+Manitou+Springs+Colorado+Springs+CO/@38.8575579,-104.9128177,14z",2025-12-16T21:58:50.553Z,7:30 am–5 pm,7:30 am–5 pm,7:30 am–5 pm,7:30 am–5 pm,Closed,Closed,7:30 am–5 pm,LGBTQ+ friendly,,
"https://www.google.com/maps/place/Mark+Morasch,+MD+-+Vascular+Surgery/data=!4m7!3m6!1s0x871345b891e5a57b:0x1dfe3b966a6460b6!8m2!3d38.865942!4d-104.822465!16s%2Fg%2F11t55f0fnh!19sChIJe6XlkbhFE4cRtmBkapY7_h0","Mark Morasch, MD - Vascular Surgery",,,Vascular surgeon,"2222 N Nevada Ave Ste 5010, Colorado Springs, CO 80907, United States","V58H+92 Colorado Springs, Colorado, USA",https://www.mountain.commonspirit.org/provider-search/mark-morasch-md?utm_source=yext&utm_medium=organic&utm_campaign=provider&term=1790719219&utm_content=providers_landing_page,+1 719-776-6700,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=M4ZffIjDtH0vjV-fqbcstw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=332.80872&pitch=0&thumbfov=100,false,"https://www.google.com/maps/search/vein+clinics+in+Manitou+Springs+Colorado+Springs+CO/@38.8575579,-104.9128177,14z",2025-12-16T21:58:53.366Z,,,,,,,,,,
https://www.google.com/maps/place/The+Colorado+Laser+Clinic/data=!4m7!3m6!1s0x87134ef08def55bf:0xc5ba4f92f938ca1d!8m2!3d38.922347!4d-104.7906699!16s%2Fg%2F1tdnll0k!19sChIJv1XvjfBOE4cRHco4-ZJPusU,The Colorado Laser Clinic,4.8,131,Surgeon,"1985 Dominion Way, Colorado Springs, CO 80918, United States","W6C5+WP Colorado Springs, Colorado, USA",https://colaserclinic.com/,+1 719-596-4000,Open · Closes 6 pm,https://lh3.googleusercontent.com/p/AF1QipNRkmBGKHxJ4Ah2SsBFeUg6X435-QzIX3Oy1mHe=w426-h240-k-no,true,"https://www.google.com/maps/search/vein+clinics+in+Manitou+Springs+Colorado+Springs+CO/@38.8575579,-104.9128177,14z",2025-12-16T21:58:58.604Z,8:30 am–6 pm,8:30 am–6 pm,8:30 am–6 pm,8:30 am–6 pm,Closed,Closed,8:30 am–6 pm,,,
https://www.google.com/maps/place/UCHealth+-+Magdiel+Trinidad-Hernandez+MD/data=!4m7!3m6!1s0x871345931d89f4e9:0x85337ef6c03d8ac9!8m2!3d38.8394455!4d-104.7997514!16s%2Fg%2F11gzph_v67!19sChIJ6fSJHZNFE4cRyYo9wPZ-M4U,UCHealth - Magdiel Trinidad-Hernandez MD,5.0,3,Vascular surgeon,"1400 E Boulder St Suite 600, Colorado Springs, CO 80909, United States","R6Q2+Q3 Colorado Springs, Colorado, USA",https://www.uchealth.org/provider/magdiel-trinidad-hernandez-md-vascular-surgery/,+1 719-364-8346,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=ilRvOdPRXhSdPcX-sHz5bg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=77.24525&pitch=0&thumbfov=100,true,"https://www.google.com/maps/search/vein+clinics+in+Manitou+Springs+Colorado+Springs+CO/@38.8575579,-104.9128177,14z",2025-12-16T21:59:01.913Z,,,,,,,,LGBTQ+ friendly,,
