placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,tuesday,wednesday,thursday,friday,saturday,sunday,monday,query,timestamp,info,error
https://www.google.com/maps/place/Total+Vein+Care/data=!4m7!3m6!1s0x87694b1895252d0f:0x65cad275fd2f6a83!8m2!3d40.5641161!4d-105.0575223!16s%2Fg%2F1tgns4cm!19sChIJDy0llRhLaYcRg2ov_XXSymU,Total Vein Care,4.4,57,Vascular surgeon,"1136 E Stuart St Ste 4102, Fort Collins, CO 80525, United States","HW7R+JX Fort Collins, Colorado, USA",https://www.totalvein.net/,+1 970-498-8346,Open · Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipNCGCbVGJ9xzbz2hbeBBaHUcDYtz-lqKyoNNU8P=w408-h271-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–5 pm,"https://www.google.com/maps/search/vein+clinics+in+Fort+Collins+Fort+Collins+CO/@40.5852602,-105.084423,14z",2025-12-16T22:31:13.311Z,,
https://www.google.com/maps/place/United+Vein+%26+Vascular+Centers/data=!4m7!3m6!1s0x87694bd5fa7ea7d7:0x2cc4c9a996bd2c86!8m2!3d40.5373816!4d-105.074542!16s%2Fg%2F11gzn_5jsy!19sChIJ16d--tVLaYcRhiy9lqnJxCw,United Vein & Vascular Centers,4.2,77,Medical clinic,"3665 John F Kennedy Pkwy suite 200, building 1, Fort Collins, CO 80525, United States","GWPG+X5 Fort Collins, Colorado, USA",https://unitedveincenters.com/find-a-clinic/colorado/fort-collins/?utm_campaign=directory,+1 970-684-4570,Open · Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipNR_yy5MGEoXWMB_M9gg2oTne3AF-zygRhc3Khs=w408-h408-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–5:30 pm,"https://www.google.com/maps/search/vein+clinics+in+Fort+Collins+Fort+Collins+CO/@40.5852602,-105.084423,14z",2025-12-16T22:31:18.607Z,,
https://www.google.com/maps/place/UCHealth+Vein+Clinic+-+Northern+Colorado/data=!4m7!3m6!1s0x87694d56a1d12b83:0x10964be941f6c9e9!8m2!3d40.5220919!4d-105.036753!16s%2Fg%2F11ft8f158s!19sChIJgyvRoVZNaYcR6cn2QelLlhA,UCHealth Vein Clinic - Northern Colorado,,,Vascular surgeon,"2121 E Harmony Rd Suite 250, Fort Collins, CO 80528, United States","GXC7+R7 Fort Collins, Colorado, USA",https://www.uchealth.org/locations/uchealth-vein-clinic-northern-colorado/,+1 970-482-6456,Open · Closes 5 pm,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=03baoNHtlNh-xBg8s2bOpg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=107.082344&pitch=0&thumbfov=100,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–5 pm,"https://www.google.com/maps/search/vein+clinics+in+Fort+Collins+Fort+Collins+CO/@40.5852602,-105.084423,14z",2025-12-16T22:31:23.855Z,LGBTQ+ friendly,
https://www.google.com/maps/place/Apex+Endovascular/data=!4m7!3m6!1s0xaa3fe4e49beb5f0b:0x6338fb09c13e7d6b!8m2!3d40.5736687!4d-105.0511489!16s%2Fg%2F11rsf_3psh!19sChIJC1_rm-TkP6oRa30-wQn7OGM,Apex Endovascular,5.0,138,Medical Center,"1355 Riverside Ave STE D, Fort Collins, CO 80524, United States","HWFX+FG Fort Collins, Colorado, USA",https://www.apexendovascular.com/?utm_source=gmb_auth,+1 970-694-2650,Open · Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipORvvM_QPbxtiJ-COHcfvMmyTZ8Sjbi4pACJ2AK=w408-h544-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–5 pm,"https://www.google.com/maps/search/vein+clinics+in+Greeley+Fort+Collins+CO/@40.5852602,-105.084423,14z",2025-12-16T22:31:40.278Z,,
"https://www.google.com/maps/place/CardioVascular+Institute+of+North+Colorado+Vein+Clinic+%7C+Greeley,+CO+%7C+15th+St./data=!4m7!3m6!1s0x876ea17fcec21027:0xfd4fb8d563f5653e!8m2!3d40.4151607!4d-104.7075746!16s%2Fg%2F11b7ln0yq9!19sChIJJxDCzn-hbocRPmX1Y9W4T_0","CardioVascular Institute of North Colorado Vein Clinic | Greeley, CO | 15th St.",5.0,7,Cardiologist,"1800 15th St Suite 340, Greeley, CO 80631, United States","C78R+3X Greeley, Colorado, USA",https://www.bannerhealth.com/locations/greeley/cardiovascular-institute-of-north-colorado-vein-clinic-15th?y_source=1_MTE5MDczMTYtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,+1 970-810-4100,Closes soon · 4:30 pm · Opens 8 am Wed,https://lh3.googleusercontent.com/p/AF1QipMOU7myTUDRyiSJi_TkqPJPyOV-EQFimIBJwxcl=w426-h240-k-no,true,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,Closed,Closed,8 am–4:30 pm,"https://www.google.com/maps/search/vein+clinics+in+Greeley+Fort+Collins+CO/@40.5852602,-105.084423,14z",2025-12-16T22:31:45.660Z,,
"https://www.google.com/maps/place/Allura+Skin,+Laser+%26+Wellness+Clinic/data=!4m7!3m6!1s0x87694ca9dfbe0201:0x19f815998dfe4215!8m2!3d40.5325546!4d-105.0398864!16s%2Fg%2F1thcsv1v!19sChIJAQK-36lMaYcRFUL-jZkV-Bk","Allura Skin, Laser & Wellness Clinic",4.8,355,Medical spa,"2032 Lowe St STE 103, Fort Collins, CO 80525, United States","GXM6+22 Fort Collins, Colorado, USA",http://www.alluraclinic.com/,+1 970-223-0193,Open · Closes 6 pm,https://lh3.googleusercontent.com/p/AF1QipOEdeX5RLL8sGBs5QmCPaziChQiyryNxyHxTRO3=w408-h271-k-no,true,9 am–6 pm,9 am–5 pm,9 am–6 pm,9 am–5 pm,9 am–4 pm,Closed,9 am–5 pm,"https://www.google.com/maps/search/vein+clinics+in+Greeley+Fort+Collins+CO/@40.5852602,-105.084423,14z",2025-12-16T22:31:50.545Z,LGBTQ+ friendly,
https://www.google.com/maps/place/Aesthetic+%26+Medical+Lasers+of+Colorado+Ft.+Collins/data=!4m7!3m6!1s0x87694b566d3fe33d:0xe958c084cb9b4d2!8m2!3d40.5485927!4d-105.0762685!16s%2Fg%2F11gl64fpm1!19sChIJPeM_bVZLaYcR0rS5TAiMlQ4,Aesthetic & Medical Lasers of Colorado Ft. Collins,5.0,66,Medical spa,"2801 Remington St Unit 2, Fort Collins, CO 80525, United States","GWXF+CF Fort Collins, Colorado, USA",https://aestheticsandmedicallasers.com/,+1 720-818-0533,Open · Closes 7 pm,https://lh3.googleusercontent.com/p/AF1QipMOSC-dEz1ta7UFglXP2pOG_ebEfz_mC1ktDtdB=w408-h544-k-no,true,8 am–7 pm,8 am–7 pm,8 am–7 pm,8 am–7 pm,9 am–3 pm,11 am–3 pm,8 am–7 pm,"https://www.google.com/maps/search/vein+clinics+in+Greeley+Fort+Collins+CO/@40.5852602,-105.084423,14z",2025-12-16T22:31:55.608Z,,
https://www.google.com/maps/place/UCHealth+Outpatient+Infusion+Clinic+-+Poudre+Valley+Hospital/data=!4m7!3m6!1s0x87694ae068a6669b:0xf7a69ac2cac11420!8m2!3d40.5716484!4d-105.0566547!16s%2Fg%2F11bxw85xq3!19sChIJm2amaOBKaYcRIBTBysKapvc,UCHealth Outpatient Infusion Clinic - Poudre Valley Hospital,4.7,47,Cancer treatment center,"1024 S Lemay Ave 1st floor, Fort Collins, CO 80524, United States","HWCV+M8 Fort Collins, Colorado, USA",https://www.uchealth.org/locations/uchealth-poudre-valley-hospital-outpatient-infusion/,+1 970-495-8385,Open · Closes 5:30 pm,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=WZW6izYeR8dQZFX2Z8fm0g&cb_client=search.gws-prod.gps&w=408&h=240&yaw=292.91&pitch=0&thumbfov=100,true,7:30 am–5:30 pm,7:30 am–5:30 pm,7:30 am–5:30 pm,7:30 am–5:30 pm,8 am–4 pm,8 am–3 pm,7:30 am–5:30 pm,"https://www.google.com/maps/search/vein+clinics+in+Greeley+Fort+Collins+CO/@40.5852602,-105.084423,14z",2025-12-16T22:32:00.766Z,LGBTQ+ friendly,
"https://www.google.com/maps/place/Dr.+Michael+J.+Eisenmenger,+MD/data=!4m7!3m6!1s0x87694ade6dd48717:0x443a60302610ac7a!8m2!3d40.5745386!4d-105.0539359!16s%2Fg%2F1tq6dzqr!19sChIJF4fUbd5KaYcReqwQJjBgOkQ","Dr. Michael J. Eisenmenger, MD",5.0,3,Anesthesiologist,"1236 E Elizabeth St # 2, Fort Collins, CO 80524, United States","HWFW+RC Fort Collins, Colorado, USA",,+1 970-224-2985,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=JyY0-5MFbs6N8qPknOfF7w&cb_client=search.gws-prod.gps&w=408&h=240&yaw=325.58582&pitch=0&thumbfov=100,false,,,,,,,,"https://www.google.com/maps/search/vein+clinics+in+Greeley+Fort+Collins+CO/@40.5852602,-105.084423,14z",2025-12-16T22:32:03.817Z,,
https://www.google.com/maps/place/Harmony+Skin+%26+Wellness+Clinic/data=!4m7!3m6!1s0x87694cac28fe011b:0x23453547cb0ce7d0!8m2!3d40.525658!4d-105.0376141!16s%2Fg%2F1tnblmgy!19sChIJGwH-KKxMaYcR0OcMy0c1RSM,Harmony Skin & Wellness Clinic,4.9,324,Medical spa,"2126 Milestone Dr Sutie 115, Fort Collins, CO 80525, United States","GXG6+7X Fort Collins, Colorado, USA",http://harmonyskin.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp,+1 970-282-8266,Open · Closes 7 pm,https://lh3.googleusercontent.com/p/AF1QipNACuonf1XTZdam-mQecjxv9-yBDfsmlpxG-T0c=w408-h306-k-no,true,11 am–7 pm,9 am–5 pm,11 am–7 pm,9 am–5 pm,10 am–3 pm,Closed,9 am–5 pm,"https://www.google.com/maps/search/vein+clinics+in+Greeley+Fort+Collins+CO/@40.5852602,-105.084423,14z",2025-12-16T22:32:08.657Z,LGBTQ+ friendly,
