placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,info,imgUrl,isClaimed,sunday,monday,tuesday,wednesday,thursday,friday,saturday,query,timestamp,attributes,isBlackOwned
https://www.google.com/maps/place/United+Water+Restoration+Group+of+Colorado+Springs+-+North/data=!4m7!3m6!1s0xafa1a96723f4226b:0xd0cb5a851e8df2e0!8m2!3d38.8972604!4d-104.8234339!16s%2Fg%2F11l218j51m!19sChIJayL0I2epoa8R4PKNHoVay9A,United Water Restoration Group of Colorado Springs - North,5.0,65,Water damage restoration service,"140 Garden of the Gods Rd A, Colorado Springs, CO 80907, United States","V5WG+WJ Colorado Springs, Colorado, USA",https://uwrgcosnorth.com/,+1 719-235-5600,Open 24 hours,Identifies as Latino-owned,https://lh3.googleusercontent.com/gps-cs-s/AHVAweoENaaF6sq6DuASdUwz7UXRgxsc9oqS8BXMD6O1b1KqIPfhs34Bh3Y0bJYdajow_c9oRaCYNHm8NwLVpKXzLLyFbNiD1DTxLh7c_Ni4qZksWhdzcH2ODusZVYTgpkZrqI7q4RgB=w408-h306-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+Manitou+Springs+Colorado+Springs+CO/@38.8575579,-104.9128177,14z",2026-03-23T03:33:37.935Z,,
https://www.google.com/maps/place/KW+Restoration/data=!4m7!3m6!1s0x87134f8e5c0eaf31:0xaa3de182297ac91!8m2!3d38.8352051!4d-104.8607797!16s%2Fg%2F11cm8g7js6!19sChIJMa8OXI5PE4cRkayXIhjeowo,KW Restoration,4.7,41,Water damage restoration service,"1312 Pecan St, Colorado Springs, CO 80904, United States","R4PQ+3M Colorado Springs, Colorado, USA",https://www.coloradowaterrestoration.com/,+1 719-867-4299,Closed · Opens 7 am Mon,,https://lh3.googleusercontent.com/gps-cs-s/AHVAweovrGPCUInb72m9sJO0yWth_j1Cs4Yx_WuetbSGo61QirmmgFT86qwIqpXN-bkoLHKpE3yik0PnU2fXzSjGDV91gtJ3zDU74kp4Xd-yURvStxwMF5t_VeYvoMKjRo0-S73gV4Qqfg=w408-h306-k-no,true,Closed,7 am–5 pm,7 am–5 pm,7 am–5 pm,7 am–5 pm,7 am–5 pm,Closed,"https://www.google.com/maps/search/water+damage+restoration+in+Manitou+Springs+Colorado+Springs+CO/@38.8575579,-104.9128177,14z",2026-03-23T03:33:43.438Z,,
https://www.google.com/maps/place/1-800+Water+Damage+of+Colorado+Springs/data=!4m7!3m6!1s0x87134fc099986bdd:0x3f6b48bf2d1dfb8c!8m2!3d38.8900851!4d-104.8227075!16s%2Fg%2F1ptyrppy0!19sChIJ3WuYmcBPE4cRjPsdLb9Iaz8,1-800 Water Damage of Colorado Springs,4.8,86,Water damage restoration service,"40 Mt View Ln suite h, Colorado Springs, CO 80907, United States","V5RG+2W Colorado Springs, Colorado, USA",https://www.1800waterdamage.com/colorado-springs/?utm_campaign=gbp,+1 719-642-6947,Open 24 hours,,https://lh3.googleusercontent.com/gps-cs-s/AHVAwermIhF-XRLBhl8GdbxOeI39T079tmEdVJ0teWehLXIbgFvrEo8By30UxMoVu8mTQXcFs-pDOkGAYWrpp7uQhSr41Vjuiq_ko6y6GuSpn-rTrXvmzWzrBUbDnjHbvwNQUNxt50qwEOAy79w3=w408-h544-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+Manitou+Springs+Colorado+Springs+CO/@38.8575579,-104.9128177,14z",2026-03-23T03:33:48.235Z,,
https://www.google.com/maps/place/Colorado+Springs+CO+Water+Damage+Restoration+Express/data=!4m7!3m6!1s0x8ea2ae1708a67b33:0xc9ee57ca182f3859!8m2!3d38.8977417!4d-104.8346737!16s%2Fg%2F11ltl92b75!19sChIJM3umCBeuoo4RWTgvGMpX7sk,Colorado Springs CO Water Damage Restoration Express,5.0,21,Water damage restoration service,"4570 Hilton Pkwy, Colorado Springs, CO 80907, United States","V5X8+34 Colorado Springs, Colorado, USA",https://waterdamagerestorationcoloradospringsco1.com/,+1 719-626-4812,Open 24 hours,,https://lh3.googleusercontent.com/gps-cs-s/AHVAwepWx7LbSf72whrtj_F7CE5sVXls21EoSKdi5ca6ExwAqXWFAfIn92mfbTZpF4PBh_Jx-bzEGnwqPoQjI0S-Ki02hbk2NotstONBY53J5_IDST331OZIDiJYhE2ZSkMNL2kSr9As=w424-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+Manitou+Springs+Colorado+Springs+CO/@38.8575579,-104.9128177,14z",2026-03-23T03:33:52.942Z,,
https://www.google.com/maps/place/1st+Water+Damage+Restoration+Colorado+Springs/data=!4m7!3m6!1s0x871345bca1530f0f:0x41b13f5dc10686d0!8m2!3d38.8393086!4d-104.8230527!16s%2Fg%2F11vyfg0709!19sChIJDw9TobxFE4cR0IYGwV0_sUE,1st Water Damage Restoration Colorado Springs,5.0,33,Water damage restoration service,"333a N Tejon St, Colorado Springs, CO 80903, United States","R5QG+PQ Colorado Springs, Colorado, USA",http://1stwaterdamagerestorationcoloradosprings.com/,+1 719-239-7420,Closed · Opens 8 am Mon,,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqzv7b2IFVeIXJ2eJy50InDiFyjCbEfWD4m0wCdL0RsmF9-o7qnoGJETZ7jZ675qBgknkywgk_rmhpyN_vub95Rf9c2Pnxu86HsJjMkVaeSVIy7r_mVF3_bG4aezqiifv3WIL_z=w408-h281-k-no,true,8 am–8 pm,8 am–8 pm,8 am–8 pm,8 am–8 pm,8 am–8 pm,8 am–8 pm,8 am–8 pm,"https://www.google.com/maps/search/water+damage+restoration+in+Manitou+Springs+Colorado+Springs+CO/@38.8575579,-104.9128177,14z",2026-03-23T03:33:57.827Z,,
https://www.google.com/maps/place/AmeriDri+Restoration/data=!4m7!3m6!1s0x87134e8fc082c63f:0x109180f84460a856!8m2!3d38.89012!4d-104.822211!16s%2Fg%2F1tqclp0p!19sChIJP8aCwI9OE4cRVqhgRPiAkRA,AmeriDri Restoration,4.9,236,Water damage restoration service,"50 Mt View Ln e, Colorado Springs, CO 80907, United States","V5RH+24 Colorado Springs, Colorado, USA",http://ameridri.com/,+1 719-388-8509,Open 24 hours,LGBTQ+ friendly,https://lh3.googleusercontent.com/gps-cs-s/AHVAwerCsoRZMJi61Bx2BM7p9wdIuLtwhR3322CLw4fdonaELdxz-LYNKENDcLqTnvwj-DuL4DsgAIh4EKS-b_zEi2WNGcKt8AiSSV7WBsgybqCjehtBme40UZI6HrdI2O6wp5IkRwZ0=w408-h272-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+Manitou+Springs+Colorado+Springs+CO/@38.8575579,-104.9128177,14z",2026-03-23T03:34:02.736Z,,
https://www.google.com/maps/place/United+Water+Restoration+Group+of+Colorado+Springs/data=!4m7!3m6!1s0x8713455664e699e7:0xbc5fb89705ef9abd!8m2!3d38.7917928!4d-104.7906061!16s%2Fg%2F11hf3y9wly!19sChIJ55nmZFZFE4cRvZrvBZe4X7w,United Water Restoration Group of Colorado Springs,5.0,59,Water damage restoration service,"2852 Janitell Rd, Colorado Springs, CO 80906, United States","Q6R5+PQ Colorado Springs, Colorado, USA",https://uwrgcoloradospringsco.com/,+1 719-418-2271,Open 24 hours,Identifies as veteran-owned,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqC4y2BaTBsv5MF0SCg3whhEYdf1bdmgG7siMuNW-Xxci1yXsKb3Ptjn7YbsL56qBvu8Ci8T372bgwEXYootz72R1sYX0ssYGP4cAzKZzC7Xj5UqDeRmvZ9ho4ZCCQy33OWANk=w408-h306-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+Manitou+Springs+Colorado+Springs+CO/@38.8575579,-104.9128177,14z",2026-03-23T03:34:07.489Z,,
https://www.google.com/maps/place/Deep+Water+Emergency+Services/data=!4m7!3m6!1s0x87134f59f3e7ffcb:0x6d09f20237642d54!8m2!3d38.8913994!4d-104.8315307!16s%2Fg%2F11vkpyplqp!19sChIJy__n81lPE4cRVC1kNwLyCW0,Deep Water Emergency Services,4.3,100,Water damage restoration service,"4173 Sinton Rd, Colorado Springs, CO 80907, United States","V5R9+H9 Colorado Springs, Colorado, USA",http://www.deepwaterco.com/,+1 719-571-9845,Open 24 hours,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=ubjB9eJESyc_t1clFIscoQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=172.67596&pitch=0&thumbfov=100,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+Manitou+Springs+Colorado+Springs+CO/@38.8575579,-104.9128177,14z",2026-03-23T03:34:12.074Z,,
https://www.google.com/maps/place/Flood+Damage+Restoration+of+Colorado+Springs/data=!4m7!3m6!1s0x871345e46ea6ad07:0x4c7cca4c752de377!8m2!3d38.8389175!4d-104.572193!16s%2Fg%2F113g8s35d!19sChIJB62mbuRFE4cRd-MtdUzKfEw,Flood Damage Restoration of Colorado Springs,5.0,199,Water damage restoration service,,,https://fdrestoration.net/colorado-springs-restoration-company/?utm_source=google&utm_medium=maps&utm_campaign=local_listing,+1 719-667-0095,Open 24 hours,Identifies as veteran-owned,https://lh3.googleusercontent.com/gps-cs-s/AHVAwepC7OQa4_H2oU9xFu7d58HAPUIMb47gEnp9GbWhbif42YpGS70_ONt2AlTuqubZAIlqwT_SQSSlgbZTMLPihHRmZnFSJIPB7pRr_QUMAbWZc-JiXAOuPF53ro82Zneti6Qc1Azs=w427-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+Manitou+Springs+Colorado+Springs+CO/@38.8575579,-104.9128177,14z",2026-03-23T03:34:16.814Z,,
https://www.google.com/maps/place/Best+Option+Restoration+of+Colorado+Springs/data=!4m7!3m6!1s0x44d4ff2fafa43d31:0x2d2b325e80a7ea81!8m2!3d38.825055!4d-104.8243262!16s%2Fg%2F11kplg28sy!19sChIJMT2kry__1EQRgeqngF4yKy0,Best Option Restoration of Colorado Springs,5.0,30,Water damage restoration service,"610 S Tejon St, Colorado Springs, CO 80903, United States","R5GG+27 Colorado Springs, Colorado, USA",https://bestoptionrestoration.com/locations/colorado-springs/,+1 719-619-8616,Open 24 hours,Identifies as women-owned,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqZusvtgzPHj0DAGcjxqVwT5ZCX_psozMwKUDSZKYFfQzgdVSzQEVYMOZSwCt9XMbViG5mEzWC5r_0E0xTKLrID-nJLedbNy74Da6qFf86K2KPET3bR8ed-e8C0wB0MmJyQg-owyESlxxA=w408-h272-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+Manitou+Springs+Colorado+Springs+CO/@38.8575579,-104.9128177,14z",2026-03-23T03:34:21.595Z,,
