placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,info,imgUrl,isClaimed,wednesday,thursday,friday,saturday,sunday,monday,tuesday,query,timestamp,error
https://www.google.com/maps/place/Enhabit+Hospice+-+Tuscaloosa/data=!4m7!3m6!1s0x88861d3e725e18c5:0x336c42fb3b827ece!8m2!3d33.2340812!4d-87.5351424!16s%2Fg%2F11j1c2l_m0!19sChIJxRhecj4dhogRzn6CO_tCbDM,Enhabit Hospice - Tuscaloosa,5.0,2,Hospice,"100 Towncenter Blvd Suite 200A, Tuscaloosa, AL 35406, United States","6FM7+JW Tuscaloosa, Alabama, USA",https://www.ehab.com/?utm_source=gmb&utm_medium=chatmeter,+1 205-345-4074,"Open 24 hours

Confirmed by this business 5 weeks ago",Identifies as women-owned,https://lh3.googleusercontent.com/p/AF1QipOwNyeZHvv0pjzTwxeYmUy78GWNBH2sz3lLiXTg=w408-h306-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,https://www.google.com/maps/search/Hospice+businesses in+Tuscaloosa+AL+Tier+2/,2025-09-17T23:25:40.543Z,
https://www.google.com/maps/place/Alabama+Hospice+Care+of+Tuscaloosa/data=!4m7!3m6!1s0x8888a909f1243023:0xc36bb29a4da6b5e0!8m2!3d33.2371127!4d-87.5556181!16s%2Fg%2F1tf3c98h!19sChIJIzAk8QmpiIgR4LWmTZqya8M,Alabama Hospice Care of Tuscaloosa,5.0,4,Hospice,"94 McFarland Blvd, Northport, AL 35476, United States","6CPV+RQ Northport, Alabama, USA",https://lhcgroup.com/locations/alabama-hospice-care-of-tuscaloosa/?utm_source=GMB&utm_campaign=Google_Local_Listing&utm_medium=referral&utm_content=Hospice_Care_Tuscaloosa_AL_35405,+1 205-633-3705,Open 24 hours,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=SDH3vYUhBPoiiiAFhzqdeg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=349.92676&pitch=0&thumbfov=100,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,https://www.google.com/maps/search/Hospice+businesses in+Tuscaloosa+AL+Tier+2/,2025-09-17T23:25:46.254Z,
https://www.google.com/maps/place/Oasis+Healthcare+-+Tuscaloosa/data=!4m7!3m6!1s0x8888a9518489144f:0x80bd2f17b3ac8f3c!8m2!3d33.190646!4d-87.5275494!16s%2Fg%2F11f60tx0ml!19sChIJTxSJhFGpiIgRPI-ssxcvvYA,Oasis Healthcare - Tuscaloosa,4.2,5,Hospice,"2132 McFarland Blvd E C, Tuscaloosa, AL 35404, United States","5FRC+7X Tuscaloosa, Alabama, USA",http://oasishc.com/,+1 205-210-4960,Open 24 hours,,https://lh3.googleusercontent.com/p/AF1QipPSKjeOwxXCsa6yezB12V5Cnm7IETkmypkZFqFw=w426-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,https://www.google.com/maps/search/Hospice+businesses in+Tuscaloosa+AL+Tier+2/,2025-09-17T23:25:51.757Z,
https://www.google.com/maps/place/Amedisys+Hospice+Care/data=!4m7!3m6!1s0x8888a800bb42214b:0xf508d10c4654cedd!8m2!3d33.2296548!4d-87.5353356!16s%2Fg%2F1tfkx226!19sChIJSyFCuwCoiIgR3c5URgzRCPU,Amedisys Hospice Care,3.7,9,Hospice,"1300 McFarland Blvd NE Suite 340, Tuscaloosa, AL 35406, United States","6FH7+VV Tuscaloosa, Alabama, USA",https://locations.amedisys.com/al/tuscaloosa/hospice-1074/?utm_source=google&utm_medium=organic&utm_campaign=locallisting,+1 205-345-4907,Open 24 hours,,https://lh3.googleusercontent.com/p/AF1QipNgFnDiTQHdhr5t-3inmxTmCIXqxq6CQW7dHEpC=w426-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,https://www.google.com/maps/search/Hospice+businesses in+Tuscaloosa+AL+Tier+2/,2025-09-17T23:25:56.905Z,
https://www.google.com/maps/place/Hospice+of+West+Alabama/data=!4m7!3m6!1s0x8888a8e33ff45d39:0x2d979c6e1bd24134!8m2!3d33.1915579!4d-87.4832652!16s%2Fg%2F1tfbz6yf!19sChIJOV30P-OoiIgRNEHSG26cly0,Hospice of West Alabama,4.7,24,Hospice,"3851 Loop Rd, Tuscaloosa, AL 35404, United States","5GR8+JM Tuscaloosa, Alabama, USA",https://hospiceofwestal.com/,+1 205-523-0101,Open 24 hours,,https://lh3.googleusercontent.com/p/AF1QipMScgUuHwt1_gfWFLkuQeaNBhc8-eGOLpxRohHm=w426-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,https://www.google.com/maps/search/Hospice+businesses in+Tuscaloosa+AL+Tier+2/,2025-09-17T23:26:02.117Z,
https://www.google.com/maps/place/ACG+Hospice/data=!4m7!3m6!1s0x8888a9de9d79a0ff:0xdb62d848b0a5c709!8m2!3d33.2119671!4d-87.5203326!16s%2Fg%2F11x7gj_70k!19sChIJ_6B5nd6piIgRCcelsEjYYts,ACG Hospice,,,Hospice,"631 Helen Keller Blvd STE 300, Tuscaloosa, AL 35404, United States","6F6H+QV Tuscaloosa, Alabama, USA",https://acghospice.com/,+1 866-260-2296,Open 24 hours,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=LMQ1NGtFtWwJs1osHwAfzw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=102.41572&pitch=0&thumbfov=100,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,https://www.google.com/maps/search/Hospice+businesses in+Tuscaloosa+AL+Tier+2/,2025-09-17T23:26:06.837Z,
https://www.google.com/maps/place/Asera+Care+Hospice/data=!4m7!3m6!1s0x88861d522350d159:0x2ad6603befcee0ad!8m2!3d33.2384657!4d-87.5492158!16s%2Fg%2F1tctmkbx!19sChIJWdFQI1IdhogRreDO7ztg1io,Asera Care Hospice,,,Hospice,"971 Fairfax Park # G, Tuscaloosa, AL 35406, United States","6FQ2+98 Tuscaloosa, Alabama, USA",https://www.amedisys.com/aseracare-hospice/,+1 205-391-4539,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=iKEbP4jRQ9-ISZWX_XXjmA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=254.8645&pitch=0&thumbfov=100,false,,,,,,,,https://www.google.com/maps/search/Hospice+businesses in+Tuscaloosa+AL+Tier+2/,2025-09-17T23:26:09.595Z,
https://www.google.com/maps/place/Compassus+Bethany+House/data=!4m7!3m6!1s0x888cf2b721a9d2a1:0xb0c89694626e0006!8m2!3d32.6272421!4d-85.4543609!16s%2Fg%2F1tf7hfrh!19sChIJodKpIbfyjIgRBgBuYpSWyLA,Compassus Bethany House,5.0,9,Hospice,"1171 Gatewood Dr Building 100, Auburn, AL 36830, United States","JGGW+V7 Auburn, Alabama, USA",https://www.compassus.com/locations/alabama/auburn-bethany-house/,+1 334-458-9166,"Open 24 hours

Updated by this business 7 weeks ago",,https://lh3.googleusercontent.com/p/AF1QipN6BG2PWnmRnt1bnznnpZ8HhFlkCUQCK_5Q7mMJ=w491-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,https://www.google.com/maps/search/Hospice+businesses in+Auburn+AL+Tier+2/,2025-09-17T23:26:26.471Z,
https://www.google.com/maps/place/Compassus/data=!4m7!3m6!1s0x888cf2c251bf6fbb:0x4baff41e8faa914a!8m2!3d32.6013413!4d-85.4420311!16s%2Fg%2F1hm331mz5!19sChIJu2-_UcLyjIgRSpGqjx70r0s,Compassus,,,Hospice,"333 Samford Village Ct suite b, Auburn, AL 36830, United States","JH25+G5 Auburn, Alabama, USA",https://www.compassus.com/locations/alabama/auburn/,+1 334-458-9256,"Open 24 hours

Updated by this business 7 weeks ago",,https://lh3.googleusercontent.com/p/AF1QipMuCT7IO-5odZ51csDEGofVsUhH3IFxRvZFv9bg=w408-h250-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,12–5 am,Open 24 hours,Open 24 hours,Open 24 hours,https://www.google.com/maps/search/Hospice+businesses in+Auburn+AL+Tier+2/,2025-09-17T23:26:31.310Z,
https://www.google.com/maps/place/Gentiva+Hospice/data=!4m7!3m6!1s0x888cce8dfc22fd15:0x7642caf55e8610fa!8m2!3d32.6215107!4d-85.461293!16s%2Fg%2F1tdnlx5p!19sChIJFf0i_I3OjIgR-hCGXvXKQnY,Gentiva Hospice,2.9,8,Hospice,"730 N Dean Rd #300, Auburn, AL 36830, United States","JGCQ+JF Auburn, Alabama, USA",https://www.gentivahs.com/,+1 334-298-8898,Open 24 hours,,https://lh3.googleusercontent.com/p/AF1QipOro7eYXqAGGRDwxOhYHJ4RJHJAgAUYg7wbd2tm=w426-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,https://www.google.com/maps/search/Hospice+businesses in+Auburn+AL+Tier+2/,2025-09-17T23:26:36.577Z,
