placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,info,imgUrl,isClaimed,sunday,monday,tuesday,wednesday,thursday,friday,saturday,query,timestamp,isBlackOwned,error
"https://www.google.com/maps/place/Millan+%26+Co.,+CPAs/data=!4m7!3m6!1s0x8644b5a0aa0df2e7:0xbd703540dfd15ce4!8m2!3d30.2719722!4d-97.7467569!16s%2Fg%2F1v1kq7pv!19sChIJ5_INqqC1RIYR5FzR30A1cL0","Millan & Co., CPAs",4.8,36,Certified public accountant,"812 San Antonio St l17, Austin, TX 78701, United States","77C3+Q7 Austin, Texas, USA",https://millancpa.com/,+1 512-479-6819,Closed ⋅ Opens 8 am Mon,LGBTQ+ friendly,https://lh3.googleusercontent.com/p/AF1QipNp6uojnab93enPW0aqdhmFmPSFqOfaPufJ2qjS=w408-h272-k-no,true,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,"https://www.google.com/maps/search/certified+public+accountant+in+Downtown+Austin+Austin+TX/@30.2703342,-97.743463,14z",2025-10-19T15:14:41.602Z,,
https://www.google.com/maps/place/Dimov+Partners+Austin/data=!4m7!3m6!1s0x8644b50a36e95c91:0x381f5608a64efe8e!8m2!3d30.2681573!4d-97.7423917!16s%2Fg%2F11gxjx5h0y!19sChIJkVzpNgq1RIYRjv5OpghWHzg,Dimov Partners Austin,4.7,191,Tax preparation service,"106 E 6th St #900, Austin, TX 78701, United States","7795+72 Austin, Texas, USA",https://www.dimovpartners.com/services,+1 833-829-1120,Open ⋅ Closes 8 pm,,https://lh3.googleusercontent.com/p/AF1QipPteb2ZczLCJKgtZZ-wdlYVaHApeZoqry2Ipdo=w408-h398-k-no,true,9 am–8 pm,9 am–8 pm,9 am–8 pm,9 am–8 pm,9 am–8 pm,9 am–8 pm,9 am–8 pm,"https://www.google.com/maps/search/certified+public+accountant+in+Downtown+Austin+Austin+TX/@30.2703342,-97.743463,14z",2025-10-19T15:14:47.138Z,,
https://www.google.com/maps/place/Empire+CPA+Accountant+%26+Bookkeeping+Austin/data=!4m7!3m6!1s0x8644b5b71e04eccf:0xe7a2c4abc4b355a8!8m2!3d30.2615215!4d-97.7417551!16s%2Fg%2F11j0r5bjzv!19sChIJz-wEHre1RIYRqFWzxKvEouc,Empire CPA Accountant & Bookkeeping Austin,5.0,3,Certified public accountant,"98 San Jacinto Blvd #613, Austin, TX 78701, United States","7765+J7 Austin, Texas, USA",https://www.empiretaxusa.com/austin-tx/,+1 646-284-4705,Closed ⋅ Opens 8 am Mon,Identifies as women-owned,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=of8gMvpZqK9vWTaVFzgAGA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=126.39935&pitch=0&thumbfov=100,true,Closed,8 am–8 pm,8 am–8 pm,8 am–8 pm,8 am–8 pm,8 am–8 pm,Closed,"https://www.google.com/maps/search/certified+public+accountant+in+Downtown+Austin+Austin+TX/@30.2703342,-97.743463,14z",2025-10-19T15:14:51.579Z,,
https://www.google.com/maps/place/J.+Hall+%26+Company/data=!4m7!3m6!1s0x8644b77a69a8a26b:0x6b17d9611b3bb80e!8m2!3d30.2724996!4d-97.7470446!16s%2Fg%2F11j20tyllx!19sChIJa6KoaXq3RIYRDrg7G2HZF2s,J. Hall & Company,5.0,164,Accounting firm,"901 Nueces St, Austin, TX 78701, United States","77C3+X5 Austin, Texas, USA",https://jhandco.com/,+1 512-200-2539,Closed ⋅ Opens 9 am Mon,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=sqnc5KoYYnvcK1hJmue-yA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=44.247597&pitch=0&thumbfov=100,true,Closed,9 am–6 pm,9 am–6 pm,9 am–6 pm,9 am–6 pm,9 am–6 pm,Closed,"https://www.google.com/maps/search/certified+public+accountant+in+Downtown+Austin+Austin+TX/@30.2703342,-97.743463,14z",2025-10-19T15:14:56.017Z,,
https://www.google.com/maps/place/Tobin+CPA+Tax+%26+Accounting/data=!4m7!3m6!1s0x41408fd7575fe51d:0xa4958b204031221e!8m2!3d30.2658707!4d-97.7491473!16s%2Fg%2F11y2274jv8!19sChIJHeVfV9ePQEERHiIxQCCLlaQ,Tobin CPA Tax & Accounting,5.0,13,Accounting firm,"500 W 2nd St Suite 1900, Austin, TX 78701, United States","7782+88 Austin, Texas, USA",https://www.tobin.cpa/,+1 512-670-8189,Closed ⋅ Opens 9 am Mon,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=aq18_Kfmj4XgwL2hT9coBQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=23.306509&pitch=0&thumbfov=100,true,Closed,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,"https://www.google.com/maps/search/certified+public+accountant+in+Downtown+Austin+Austin+TX/@30.2703342,-97.743463,14z",2025-10-19T15:15:00.824Z,,
"https://www.google.com/maps/place/B+A+Tax+CPA,+PLLC/data=!4m7!3m6!1s0x8644c9f0dcc4a0f1:0xf775efb2e339386d!8m2!3d30.2681573!4d-97.7423917!16s%2Fg%2F11rhg6jddw!19sChIJ8aDE3PDJRIYRbTg547Lvdfc","B A Tax CPA, PLLC",5.0,2,Tax preparation service,"106 E 6th St Suite 900-163, Austin, TX 78701, United States","7795+72 Austin, Texas, USA",https://www.agroaccounting.com/,+1 512-298-3276,Open ⋅ Closes 8 pm,LGBTQ+ friendly,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=f9QJHC8Cu2y2vVmoXs7JNQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=21.779356&pitch=0&thumbfov=100,true,8 am–8 pm,8 am–8 pm,8 am–8 pm,8 am–8 pm,8 am–8 pm,8 am–8 pm,8 am–8 pm,"https://www.google.com/maps/search/certified+public+accountant+in+Downtown+Austin+Austin+TX/@30.2703342,-97.743463,14z",2025-10-19T15:15:05.628Z,,
"https://www.google.com/maps/place/Dickerson+CPA,+PLLC/data=!4m7!3m6!1s0x1efcdc25d89be59:0xd9991b10f06a02dc!8m2!3d30.2495565!4d-96.9077266!16s%2Fg%2F11qh2x7qj_!19sChIJWb6JXcLN7wER3AJq8BAbmdk","Dickerson CPA, PLLC",4.6,11,Certified public accountant,,,https://www.dickerson.cpa/,+1 512-222-4016,Closed ⋅ Opens 9 am Mon,,https://lh3.googleusercontent.com/p/AF1QipPnQD2BO1fH5DPqn034nJv1DdipdMzeLRUzb2S3=w416-h240-k-no,true,Closed,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,"https://www.google.com/maps/search/certified+public+accountant+in+Downtown+Austin+Austin+TX/@30.2703342,-97.743463,14z",2025-10-19T15:15:10.375Z,,
https://www.google.com/maps/place/Buchholtz+J+Ross+CPA/data=!4m7!3m6!1s0x8644b57481e166e3:0x641af95c155bd0ec!8m2!3d30.2782934!4d-97.7471174!16s%2Fg%2F12qgkr659!19sChIJ42bhgXS1RIYR7NBbFVz5GmQ,Buchholtz J Ross CPA,5.0,2,Tax preparation service,"710 W 14th St Ste B, Austin, TX 78701, United States","77H3+85 Austin, Texas, USA",,+1 512-831-4320,Closed ⋅ Opens 8 am Mon,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Z6tHF76xfwe_mwWdOvfUvA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=18.010004&pitch=0&thumbfov=100,false,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,"https://www.google.com/maps/search/certified+public+accountant+in+Downtown+Austin+Austin+TX/@30.2703342,-97.743463,14z",2025-10-19T15:15:15.027Z,,
https://www.google.com/maps/place/Dark+Horse+CPAs/data=!4m7!3m6!1s0x8644b5addd9cb16f:0x15975d0d700a421e!8m2!3d30.2645048!4d-97.7818812!16s%2Fg%2F11n_80bdft!19sChIJb7Gc3a21RIYRHkIKcA1dlxU,Dark Horse CPAs,5.0,5,Accounting firm,"901 S MoPac Expy Bldg.1, Suite 300, Austin, TX 78746, United States","7679+R6 Austin, Texas, USA",https://darkhorse.cpa/austin-cpa-firm/,+1 970-305-5793,"Closed ⋅ Opens 8:30 am Mon

Confirmed by this business 3 weeks ago",,https://lh3.googleusercontent.com/p/AF1QipPta-QZ7K0ArS14OquSOauPhjUpEvPFFl0Ox6EP=w408-h271-k-no,true,Closed,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,8 am–5 pm,8:30 am–4 pm,Closed,"https://www.google.com/maps/search/certified+public+accountant+in+Downtown+Austin+Austin+TX/@30.2703342,-97.743463,14z",2025-10-19T15:15:19.406Z,,
"https://www.google.com/maps/place/MJ+White,+PLLC+%7CAustin+CPA+%7C+Austin+Accountant+%7C+Tax+Accountant/data=!4m7!3m6!1s0x8644b50848435eff:0xaeabe006ebac0379!8m2!3d30.2665372!4d-97.7429416!16s%2Fg%2F1hhkkggmw!19sChIJ_15DSAi1RIYReQOs6wbgq64","MJ White, PLLC |Austin CPA | Austin Accountant | Tax Accountant",4.0,4,Accountant,"401 Congress Ave., Austin, TX 78701, United States","7784+JR Austin, Texas, USA",https://www.mjwhitecpa.com/,+1 512-949-5119,Open 24 hours,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=ehLJo6xMqsetsn5zSK_6ew&cb_client=search.gws-prod.gps&w=408&h=240&yaw=174.59401&pitch=0&thumbfov=100,false,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/certified+public+accountant+in+Downtown+Austin+Austin+TX/@30.2703342,-97.743463,14z",2025-10-19T15:15:23.945Z,,
