placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,sunday,monday,tuesday,wednesday,thursday,friday,saturday,query,timestamp,info,isBlackOwned,error,attributes
https://www.google.com/maps/place/SERVPRO+of+Downtown+Austin%2FTeam+Jones/data=!4m7!3m6!1s0x8644b57fb0841419:0xd85d2deb7eeca4e9!8m2!3d30.2672042!4d-97.7426039!16s%2Fg%2F11l6wvhlv7!19sChIJGRSEsH-1RIYR6aTsfustXdg,SERVPRO of Downtown Austin/Team Jones,5.0,17,Water damage restoration service,"501 N Congress Ave Suite 500, Austin, TX 78701, United States","7784+VX Austin, Texas, USA",https://www.servpro.com/locations/tx/servpro-of-downtown-austin-team-jones?utm_medium=organic&utm_source=gbp,+1 737-204-2753,,https://lh3.googleusercontent.com/gps-cs-s/AHVAwerjR3TdbaygcK5qVebmdbIDSs-EUjjduzzNDukKy0OEAHwVcSJE_0mxjcVdqm6z9Nt6VAFYiq9_cpTyNCIL3w-4NGmzjQlArTVP4S6cX7iodAjgHLf_OsIJotRLHZvc2yauLwGVeg=w427-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+Downtown+Austin+Austin+TX/@30.2703342,-97.743463,14z",2026-03-23T03:32:32.336Z,,,,
https://www.google.com/maps/place/SERVPRO+of+Southwest+Austin/data=!4m7!3m6!1s0x8644cb68933e9de9:0x2a040b9403352d6b!8m2!3d30.2635186!4d-97.74358!16s%2Fg%2F11l_d2by_l!19sChIJ6Z0-k2jLRIYRay01A5QLBCo,SERVPRO of Southwest Austin,4.7,39,Water damage restoration service,"100 Congress Ave. Ste. 2000, Austin, TX 78701, United States","7774+CH Austin, Texas, USA",https://www.servpro.com/locations/tx/servpro-of-southwest-austin?utm_medium=organic&utm_source=gbp,+1 512-796-9077,,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqtlkR5qOsNFxsvJxrcpkPXnjiFmqes91pPnpJFwr1d3mFu84twXEpol0uTQVN8oDf71NwsaGMU_ht7E7fitpDgQaQP4yIoWvaHjYMU0D0vL35uyxuvl9pejuXFb3dU-c19zp-I=w427-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+Downtown+Austin+Austin+TX/@30.2703342,-97.743463,14z",2026-03-23T03:32:37.989Z,,,,
https://www.google.com/maps/place/Royale/data=!4m7!3m6!1s0x8644b509d5e8d5c5:0xfa9b12ceaf2270b2!8m2!3d30.2675827!4d-97.7417565!16s%2Fg%2F1tjdm3vb!19sChIJxdXo1Qm1RIYRsnAir84Sm_o,Royale,5.0,3,Water damage restoration service,"119 E 6th St, Austin, TX 78701, United States","7795+27 Austin, Texas, USA",https://www.restorationroyale.com/,+1 512-838-4236,Open · Closes 12 am,https://lh3.googleusercontent.com/gps-cs-s/AHVAweocYjjme7kEIdfmIkxy5l5IZzVNxiUjecDbWQV3XdweFRmgMc0uQQsOP4rVd0bHFRVl2EXrg5zbeoLlJP_QVkN8_C8a9grSNxJ1XWWyvhr0fdsUZSUjRsb0Nu4GXsqKjYXTTEc=w408-h306-k-no,true,Open 24 hours,5 am–8 pm,5 am–8 pm,5 am–8 pm,5 am–8 pm,5 am–8 pm,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+Downtown+Austin+Austin+TX/@30.2703342,-97.743463,14z",2026-03-23T03:32:43.250Z,,,,
https://www.google.com/maps/place/SERVPRO+of+Downtown+and+East+Central+Austin/data=!4m7!3m6!1s0x8644ca1bc40cb453:0x6d4fe26d124b9b4a!8m2!3d30.3171356!4d-97.7049627!16s%2Fg%2F11byww7jgp!19sChIJU7QMxBvKRIYRSptLEm3iT20,SERVPRO of Downtown and East Central Austin,4.6,64,Water damage restoration service,"1029 Reinli St Suite 7, Austin, TX 78723, United States","878W+V2 Austin, Texas, USA",https://www.servpro.com/locations/tx/servpro-of-downtown-and-east-central-austin?utm_medium=organic&utm_source=gbp,+1 512-420-9886,,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqwPIHohQViY5Q_Zct3y-H086rpSPYKiQkNXSWpcF7qMc9QH-gEfUiZFiRkTbeY2ke0iJ7nECM411knzXU1PBsR5eVX2AGMBsPmDnTrdJp3Yi1H0W3XhqheLT7Ml73e7yj0r5bs=w427-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+Downtown+Austin+Austin+TX/@30.2703342,-97.743463,14z",2026-03-23T03:32:48.247Z,,,,
https://www.google.com/maps/place/Titan+Water+Damage+Austin/data=!4m7!3m6!1s0x673003176fe51377:0x8f8ca8601c1bd558!8m2!3d30.2071912!4d-97.7914729!16s%2Fg%2F11x_4ksrdt!19sChIJdxPlbxcDMGcRWNUbHGCojI8,Titan Water Damage Austin,5.0,13,Water damage restoration service,"1205 Sahara Ave Unit A, Austin, TX 78745, United States","6645+VC Austin, Texas, USA",https://titanwaterdamageaustin.com/,+1 737-408-7885,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqdSxp_TjgxAGS74-dvdsUc-8niY9jcHu3rhoaxExHDbANkVFhTKvtImTTPDbFlYM4C6te9w5L1mKmJFdBe3qpJZbHtACz62xlmN6qUwe2XuQU7Zb_N5RsTG2EPXwygKISlde1UYsTc6-Sk=w408-h544-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+Downtown+Austin+Austin+TX/@30.2703342,-97.743463,14z",2026-03-23T03:32:53.137Z,LGBTQ+ friendly,,,
https://www.google.com/maps/place/Mold+Remediation+Austin+Masters/data=!4m7!3m6!1s0x8644b50a55555555:0x965ff558b4bcb2a9!8m2!3d30.2749906!4d-97.7434638!16s%2Fg%2F12606m8q1!19sChIJVVVVVQq1RIYRqbK8tFj1X5Y,Mold Remediation Austin Masters,,,Water damage restoration service,"316 W 12th St, Austin, TX 78701, United States","77F4+XJ Austin, Texas, USA",https://moldremediationaustinmasters.com/,+1 512-612-1636,Closed · Opens 7 am Mon,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=KQpB0HQmzlpBCfeX9hKE3g&cb_client=search.gws-prod.gps&w=408&h=240&yaw=8.985068&pitch=0&thumbfov=100,true,7 am–10 pm,7 am–10 pm,7 am–10 pm,7 am–10 pm,7 am–10 pm,7 am–10 pm,7 am–10 pm,"https://www.google.com/maps/search/water+damage+restoration+in+Downtown+Austin+Austin+TX/@30.2703342,-97.743463,14z",2026-03-23T03:32:57.722Z,LGBTQ+ friendly,,,
https://www.google.com/maps/place/Catstrong+Mold/data=!4m7!3m6!1s0x8644b5ae627c6b99:0x246a44676013f452!8m2!3d30.2442836!4d-97.7805329!16s%2Fg%2F11ng0wwjvj!19sChIJmWt8Yq61RIYRUvQTYGdEaiQ,Catstrong Mold,4.4,10,Water damage restoration service,"2709 S Lamar Blvd Suite 106B, Austin, TX 78704, United States","66V9+PQ Austin, Texas, USA",http://moldremovalaustin.org/,+1 512-265-7841,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/AHVAwerkrQfujDU3m3hkuv5X82eUmGzY0D06hPK_bjYePPMCU6H9jG12vG-6fWJUlwu4JX5Il4N4Z_86tTbBa2nkPioWJ9JprSQhaAGD2cihrcGddvNx_iv8q8qDztky7SCHXnOg9xaF=w408-h408-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+Downtown+Austin+Austin+TX/@30.2703342,-97.743463,14z",2026-03-23T03:33:02.292Z,,,,
https://www.google.com/maps/place/CORE+GROUP+RESTORATION/data=!4m7!3m6!1s0x8644b5d97164b079:0xff6cd0fca2bf91d8!8m2!3d30.269446!4d-97.741067!16s%2Fg%2F11mdg62rhl!19sChIJebBkcdm1RIYR2JG_ovzQbP8,CORE GROUP RESTORATION,4.0,1,Water damage restoration service,"720 Brazos St #1200, Austin, TX 78701, United States","7795+QH Austin, Texas, USA",http://www.gowithcore.com/,,Open 24 hours,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=_kxINVhZVSFZnvjZEDB5rw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=280.0512&pitch=0&thumbfov=100,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+Downtown+Austin+Austin+TX/@30.2703342,-97.743463,14z",2026-03-23T03:33:07.040Z,,,,
https://www.google.com/maps/place/SERVPRO+of+Hyde+Park%2FCentral+Austin/data=!4m7!3m6!1s0x8644cbd3665513df:0x45c37a5dd346d2d6!8m2!3d30.3484255!4d-97.7042714!16s%2Fg%2F12hsbl76c!19sChIJ3xNVZtPLRIYR1tJG0116w0U,SERVPRO of Hyde Park/Central Austin,4.8,204,Water damage restoration service,"204 W Powell Ln BLDG 5, Austin, TX 78753, United States","87XW+97 Austin, Texas, USA",https://www.servpro.com/locations/tx/servpro-of-hyde-park-central-austin?utm_medium=organic&utm_source=gbp,+1 512-318-2200,,https://lh3.googleusercontent.com/gps-cs-s/AHVAweoFX2l_uVpxYB9fXHPikqsu0NgbL2UcjXGu8S54HJ84OyoFypMXLpdRU9uqgWG4fIuKqrVWcZg0PfDEb_9Ec2zRt5tGxT7ag292KMcYFGSMon3VTiiOSlWsNoNpJ7cfkOThety5pw=w427-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+Downtown+Austin+Austin+TX/@30.2703342,-97.743463,14z",2026-03-23T03:33:11.900Z,,,,
https://www.google.com/maps/place/Baubau+Remediation/data=!4m7!3m6!1s0x88e8a3916c031b7f:0x7f0224385fab8b71!8m2!3d30.2728874!4d-97.7474102!16s%2Fg%2F11vhwsd674!19sChIJfxsDbJGj6IgRcYurXzgkAn8,Baubau Remediation,,,Water damage restoration service,"904 Nueces St, Austin, TX 78701, United States","77F3+52 Austin, Texas, USA",https://baubauremediation.com/locations/austin/,+1 512-737-0466,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/AHVAwerWwfMFpgk6oFoKR6g5AhsC1PnIWD3H3DKI7rgptKIxsIP9u5kfTA2L0xDf-DEyOtE3I3FDxyJVTYVFLZmCduI55PhbsBeLO4IzUWUwxEif11ZatxeEVN86WzyIy1sTW0is9U1H2w=w425-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+Downtown+Austin+Austin+TX/@30.2703342,-97.743463,14z",2026-03-23T03:33:16.448Z,LGBTQ+ friendly,,,
