placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,wednesday,thursday,friday,saturday,sunday,monday,tuesday,query,timestamp,info,attributes,error
"https://www.google.com/maps/place/First+Home+Healthcare,+LLC/data=!4m7!3m6!1s0x8668f58ffbbc884b:0x8216d3c995ed48c6!8m2!3d27.7785126!4d-97.4140121!16s%2Fg%2F11f08cmypp!19sChIJS4i8-4_1aIYRxkjtlcnTFoI","First Home Healthcare, LLC",4.9,67,Home health care service,"2222 Morgan Ave Ste 111, Corpus Christi, TX 78405, United States","QHHP+C9 Central City, Corpus Christi, TX, USA",http://www.firsthomehealthcarellc.com/,+1 361-356-6032,Open ⋅ Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipPYEUcXs6KuW0qZwh8JdokagHVNWRlC52l3kuu9=w426-h240-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/Home+Health+clinics+in+Corpus+Christi+Corpus+Christi+TX/@27.7964047,-97.4029944,14z",2025-09-10T17:50:44.249Z,,,
https://www.google.com/maps/place/AAdi+Home+Health+%26+Hospice/data=!4m7!3m6!1s0x86685f72bd769373:0xf2d0f2c78be19e53!8m2!3d27.7825346!4d-97.3969618!16s%2Fg%2F1xpwk6j8!19sChIJc5N2vXJfaIYRU57hi8fy0PI,AAdi Home Health & Hospice,4.8,92,Home health care service,"1001 2nd St, Corpus Christi, TX 78404, United States","QJM3+26 Central City, Corpus Christi, TX, USA",https://www.aadihomehealth.com/,+1 361-452-3384,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipNN6avws3F5HE71lkp55OaxWCuyrbJNhq1wIeRX=w408-h306-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Home+Health+clinics+in+Corpus+Christi+Corpus+Christi+TX/@27.7964047,-97.4029944,14z",2025-09-10T17:50:50.998Z,,,
https://www.google.com/maps/place/Cornerstone+Caregiving/data=!4m7!3m6!1s0x8668f5bfc62379c1:0x82ee22a50cbf08f5!8m2!3d27.7960863!4d-97.4023987!16s%2Fg%2F11hgcdgh0h!19sChIJwXkjxr_1aIYR9Qi_DKUi7oI,Cornerstone Caregiving,5.0,34,Home health care service,"602 N Staples St Suite #280, Corpus Christi, TX 78401, United States","QHWX+C2 Central City, Corpus Christi, TX, USA",https://cornerstonecaregiving.com/locations/corpus-christi-tx/?utm_source=google&utm_medium=yext,+1 361-333-5639,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipPj2wS8FWoMhQFp1g1eSCzmYFHAkL4qbFAfOzU=w457-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Home+Health+clinics+in+Corpus+Christi+Corpus+Christi+TX/@27.7964047,-97.4029944,14z",2025-09-10T17:50:56.065Z,,,
https://www.google.com/maps/place/Corpus+Christi+Healthcare+at+Home/data=!4m7!3m6!1s0x86685e5f2354311b:0x4ad02936011f4005!8m2!3d27.7921417!4d-97.3969672!16s%2Fg%2F11bwfjfgj1!19sChIJGzFUI19eaIYRBUAfATYp0Eo,Corpus Christi Healthcare at Home,3.5,8,Home health care service,"101 N Upper Broadway, Corpus Christi, TX 78401, United States","QJR3+V6 Central City, Corpus Christi, TX, USA",https://ccmedicalcenter.com/specialties/healthcare-at-home?utm_campaign=corp_listings_mgmt&utm_source=google&utm_medium=business_listing,+1 361-880-7912,Open ⋅ Closes 5 pm,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=gH5S5rxtcm8S5TIEKmOLGw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=22.842623&pitch=0&thumbfov=100,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/Home+Health+clinics+in+Corpus+Christi+Corpus+Christi+TX/@27.7964047,-97.4029944,14z",2025-09-10T17:51:01.114Z,,,
"https://www.google.com/maps/place/Save+Home+Health+Care,+Inc/data=!4m7!3m6!1s0x86685e606df37551:0x2ea31d39529bdfff!8m2!3d27.7979759!4d-97.3965223!16s%2Fg%2F1thz22gp!19sChIJUXXzbWBeaIYR_9-bUjkdoy4","Save Home Health Care, Inc",3.2,9,Home health care service,"719 N Upper Broadway Ste 201, Corpus Christi, TX 78401, United States","QJX3+59 Central City, Corpus Christi, TX, USA",http://www.savehhc.com/,+1 361-855-9393,Open ⋅ Closes 5 pm,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=iNyjr7GrLzfnI7RhGpS6lA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=264.49554&pitch=0&thumbfov=100,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/Home+Health+clinics+in+Corpus+Christi+Corpus+Christi+TX/@27.7964047,-97.4029944,14z",2025-09-10T17:51:06.075Z,,,
https://www.google.com/maps/place/Champion+Care+Inc/data=!4m7!3m6!1s0x86685e4a2d5d3813:0xa4b79bdf86ce7e6!8m2!3d27.7785757!4d-97.4140126!16s%2Fg%2F12630hkw8!19sChIJEzhdLUpeaIYR5uds-L15Swo,Champion Care Inc,4.5,8,Home health care service,"2222 Morgan Ave #115, Corpus Christi, TX 78405, United States","QHHP+C9 Central City, Corpus Christi, TX, USA",,+1 361-881-9152,Open ⋅ Closes 5 pm,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=z_cX2Y6R_fAnHGMzJ7CB7w&cb_client=search.gws-prod.gps&w=408&h=240&yaw=265.13797&pitch=0&thumbfov=100,false,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/Home+Health+clinics+in+Corpus+Christi+Corpus+Christi+TX/@27.7964047,-97.4029944,14z",2025-09-10T17:51:11.472Z,,,
https://www.google.com/maps/place/Coastal+Home+Health+Care/data=!4m7!3m6!1s0x8668605c234b704f:0xe28e9e8b621e11c7!8m2!3d27.7561527!4d-97.4568584!16s%2Fg%2F11b6qk9g7s!19sChIJT3BLI1xgaIYRxxEeYouejuI,Coastal Home Health Care,4.6,85,Home health care service,"5277 Old Brownsville Rd Ste 210, Corpus Christi, TX 78405, United States","QG4V+F7 Molina, Corpus Christi, TX, USA",https://www.coastalhhc.com/,+1 361-758-5200,Open ⋅ Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipNjpScxJ0crAtumWJfGmZ-oUcKkhpRNyxXIDdCb=w426-h240-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/Home+Health+clinics+in+Corpus+Christi+Corpus+Christi+TX/@27.7964047,-97.4029944,14z",2025-09-10T17:51:16.427Z,,,
https://www.google.com/maps/place/ComForCare+Home+Care+of+Corpus+Christi/data=!4m7!3m6!1s0x86685f70d09295e9:0x48dbf05c5d3f1060!8m2!3d27.7950925!4d-97.3978648!16s%2Fg%2F11krjrdl2h!19sChIJ6ZWS0HBfaIYRYBA_XVzw20g,ComForCare Home Care of Corpus Christi,5.0,5,Home health care service,"555 N Carancahua St #120, Corpus Christi, TX 78401, United States","QJW2+2V Central City, Corpus Christi, TX, USA",https://www.comforcare.com/texas/corpus-christi,+1 361-462-4001,Open 24 hours,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=GG9wd0Frx314Yc5wwwo2qg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=276.43436&pitch=0&thumbfov=100,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Home+Health+clinics+in+Corpus+Christi+Corpus+Christi+TX/@27.7964047,-97.4029944,14z",2025-09-10T17:51:22.025Z,,,
https://www.google.com/maps/place/Be+Healthy+@+Home/data=!4m7!3m6!1s0x86685ff22171a759:0xbb8f8321e09bd670!8m2!3d27.7894182!4d-97.3952167!16s%2Fg%2F11qntq0tgz!19sChIJWadxIfJfaIYRcNab4CGDj7s,Be Healthy @ Home,5.0,1,Home health care service,"345 S Water St, Corpus Christi, TX 78401, United States","QJQ3+QW Central City, Corpus Christi, TX, USA",http://www.behealthyathome.com/,+1 512-295-7000,Open 24 hours,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=mH0DhCKNlDwBu-e5cct9Jw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=288.19064&pitch=0&thumbfov=100,false,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Home+Health+clinics+in+Corpus+Christi+Corpus+Christi+TX/@27.7964047,-97.4029944,14z",2025-09-10T17:51:27.480Z,,,
"https://www.google.com/maps/place/Hosanna+Health+Care/@27.775773,-97.4018833,17z/data=!3m1!4b1!4m6!3m5!1s0x86685e530c1be9d7:0xf4e0edc41cc80700!8m2!3d27.775773!4d-97.4018833!16s%2Fg%2F1tdpgms5",Hosanna Health Care,3.7,3,Home health care service,"1521 S Staples St # 203, Corpus Christi, TX 78404, United States","QHGX+86 Central City, Corpus Christi, TX, USA",,+1 361-887-9000,,,false,,,,,,,,"https://www.google.com/maps/search/Home+Health+clinics+in+Corpus+Christi+Corpus+Christi+TX/@27.7964047,-97.4029944,14z",2025-09-10T17:51:32.788Z,,,
