placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,monday,tuesday,wednesday,thursday,friday,saturday,sunday,query,timestamp,attributes,isBlackOwned,info,error
https://www.google.com/maps/place/Cincinnati+Pool+Services/data=!4m7!3m6!1s0x8841b2ef5c2b304d:0xa41937f9563c531e!8m2!3d39.1620846!4d-84.469432!16s%2Fg%2F11f57g_99z!19sChIJTTArXO-yQYgRHlM8Vvk3GaQ,Cincinnati Pool Services,2.7,31,Swimming pool contractor,"1630 Sherman Ave, Cincinnati, OH 45212, United States","5G6J+R6 Cincinnati, Ohio, USA",,,Open ⋅ Closes 5 pm,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSy1c3O3kELETHkj-wiHfOpmlwVaTVFA3SWHIt5AWjAQJPiUZpbxyoA-mVvfkl97nsNlfCsZufRziaFzZ-eU9ZdsHdvKaZ7eXcJtXQECowtilshTh6YyTE2T3zfqpzNjt1qwqxpFFQ=w408-h306-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,"https://www.google.com/maps/search/pool+services+businesses+in+Cincinnati+Cincinatti+OH/@39.1031182,-84.5120196,14z",2025-10-27T17:38:58.690Z,,,,
https://www.google.com/maps/place/Don+Marcum%27s+Pool+Care/data=!4m7!3m6!1s0x8841ac728e0c61ab:0x5ed465f37ca7a253!8m2!3d39.1241656!4d-84.3638445!16s%2Fg%2F1tknl3mp!19sChIJq2EMjnKsQYgRU6KnfPNl1F4,Don Marcum's Pool Care,3.3,78,Swimming pool contractor,"6841 Main St, Cincinnati, OH 45244, United States","4JFP+MF Cincinnati, Ohio, USA",https://www.donmarcumspoolcare.net/,+1 513-561-7050,Open ⋅ Closes 4:30 pm,https://lh3.googleusercontent.com/p/AF1QipPuZYQIWTz_l220CQy32OysWfU6RxNPp4iTX1fm=w427-h240-k-no,true,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,8 am–4 pm,Closed,"https://www.google.com/maps/search/pool+services+businesses+in+Cincinnati+Cincinatti+OH/@39.1031182,-84.5120196,14z",2025-10-27T17:39:04.396Z,,,,
https://www.google.com/maps/place/Westside+Pools+LLC/data=!4m7!3m6!1s0x8841b5fb935f174d:0xdb4abd2250a3203d!8m2!3d39.1189822!4d-84.5992516!16s%2Fg%2F11cmnmgsfr!19sChIJTRdfk_u1QYgRPSCjUCK9Sts,Westside Pools LLC,4.5,11,Swimming pool contractor,"4914 Glenway Ave, Cincinnati, OH 45238, United States","4C92+H7 Cincinnati, Ohio, USA",http://westside-pools.com/,+1 513-615-7557,Open ⋅ Closes 5 pm,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=7HWhUb5kY-lpCJsSeZarXg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=57.153522&pitch=0&thumbfov=100,false,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–6 pm,Closed,"https://www.google.com/maps/search/pool+services+businesses+in+Cincinnati+Cincinatti+OH/@39.1031182,-84.5120196,14z",2025-10-27T17:39:10.230Z,,,,
https://www.google.com/maps/place/Queen+City+Pool+Pros/data=!4m7!3m6!1s0x8841b377d85c89cd:0x8fcdbe3ac34c009!8m2!3d39.162044!4d-84.47192!16s%2Fg%2F11jky3zldt!19sChIJzYlc2HezQYgRCcA0rOPb_Ag,Queen City Pool Pros,4.7,47,Swimming pool contractor,,,https://queencitypoolpros.com/,+1 513-818-6204,,https://lh3.googleusercontent.com/p/AF1QipMEeQNChTipQGOb5P7uSOZ_a88iQN7yJi_2y3CY=w408-h272-k-no,true,9 am–6 pm,9 am–6 pm,9 am–6 pm,9 am–6 pm,9 am–6 pm,Closed,Closed,"https://www.google.com/maps/search/pool+services+businesses+in+Cincinnati+Cincinatti+OH/@39.1031182,-84.5120196,14z",2025-10-27T17:39:15.216Z,,,,
"https://www.google.com/maps/place/Cross+County+Pool+Service,+Inc./data=!4m7!3m6!1s0x88404bbbc6425a11:0x3629eed7d880cd18!8m2!3d39.2579541!4d-84.5768726!16s%2Fg%2F11thfd4t85!19sChIJEVpCxrtLQIgRGM2A2NfuKTY","Cross County Pool Service, Inc.",4.5,17,Swimming pool repair service,"2848 Springdale Rd, Cincinnati, OH 45251, United States","7C5F+57 Cincinnati, Ohio, USA",http://crosscountypoolservice.com/,+1 513-741-7774,Open ⋅ Closes 6 pm,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxEa8jGZiBTW5J5uz4PUiFAy33WrCcAxKVJ0ZTHukfpRVkAug_2aSh48uzy76d8yBJUd-lhxwAlJK0HMXKy6pcZBmpRafmzxxeH1rQhZp1772MbIy041Wa3OHZF3hk_HobC-rQzww=w408-h306-k-no,true,10 am–6 pm,10 am–6 pm,10 am–6 pm,10 am–6 pm,10 am–6 pm,10 am–5 pm,Closed,"https://www.google.com/maps/search/pool+services+businesses+in+Cincinnati+Cincinatti+OH/@39.1031182,-84.5120196,14z",2025-10-27T17:39:20.184Z,,,,
https://www.google.com/maps/place/Leisure+Pools+Cincinnati/data=!4m7!3m6!1s0x8841b1bdf18f13dd:0x1f7559037ba23092!8m2!3d39.1014006!4d-84.5088932!16s%2Fg%2F11xrpmcnr1!19sChIJ3ROP8b2xQYgRkjCiewNZdR8,Leisure Pools Cincinnati,,,Swimming pool contractor,"201 E 5th St Suite 1900, Cincinnati, OH 45202, United States","4F2R+HC Cincinnati, Ohio, USA",https://leisurepoolscincinnati.com/,+1 513-250-6937,"Open 24 hours

Updated by this business 12 weeks ago",https://lh3.googleusercontent.com/p/AF1QipPIWJk-ob6Fp0bkoCSEmODaNtjA3DJWpBqGBqQ=w408-h272-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/pool+services+businesses+in+Cincinnati+Cincinatti+OH/@39.1031182,-84.5120196,14z",2025-10-27T17:39:24.879Z,,,,
"https://www.google.com/maps/place/Ray's+Plastering+%26+Pools/@39.123052,-84.5727163,17z/data=!3m1!4b1!4m6!3m5!1s0x8841b5cfc08e7785:0x39fc67a2258a17c7!8m2!3d39.123052!4d-84.5727163!16s%2Fg%2F1264jpz9d",Ray's Plastering & Pools,4.0,4,Swimming pool contractor,"1924 Westmont Ln, Cincinnati, OH 45205, United States","4CFG+6W Cincinnati, Ohio, USA",,+1 513-407-6421,Open ⋅ Closes 5 pm,,false,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,9 am–6 pm,Closed,"https://www.google.com/maps/search/pool+services+businesses+in+Cincinnati+Cincinatti+OH/@39.1031182,-84.5120196,14z",2025-10-27T17:39:31.790Z,,,,
https://www.google.com/maps/place/Cincinnati+Pool+Professionals/data=!4m7!3m6!1s0x8840536bb4e56975:0xbc446f414e7d9e7c!8m2!3d39.2659987!4d-84.3606487!16s%2Fg%2F11r3_4zp9k!19sChIJdWnltGtTQIgRfJ59TkFvRLw,Cincinnati Pool Professionals,5.0,33,Swimming pool contractor,"11126 Deerfield Rd, Blue Ash, OH 45242, United States","7J8Q+9P Blue Ash, Ohio, USA",http://www.cincipools.com/,+1 513-227-5760,Open ⋅ Closes 5 am Tue,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSybjEG1_9pZeUXNJg6RBNsg8yl3o89n1edG13fCOCNQ_UxL5gBPjgzXuURkEVXFk7OKAax-9EqjNM2nb_R2IEdgB5NJpmcBTvrew0SSxfS6JItT6EvQ8flgvpZhinnZYpJdq5vI=w408-h475-k-no,true,10 am–5 am,10 am–5 pm,10 am–5 pm,10 am–5 pm,10 am–5 pm,Closed,Closed,"https://www.google.com/maps/search/pool+services+businesses+in+Cincinnati+Cincinatti+OH/@39.1031182,-84.5120196,14z",2025-10-27T17:39:36.881Z,,,,
https://www.google.com/maps/place/Cincinnati+Pool+and+Patio/data=!4m7!3m6!1s0x884052226546920b:0x6e734ff7ba99df36!8m2!3d39.2614726!4d-84.4178568!16s%2Fg%2F1v0llg6l!19sChIJC5JGZSJSQIgRNt-ZuvdPc24,Cincinnati Pool and Patio,4.5,369,Swimming pool contractor,"10731 Reading Rd, Cincinnati, OH 45241, United States","7H6J+HV Cincinnati, Ohio, USA",https://cincinnatipoolandpatio.com/,+1 513-554-0000,"Open ⋅ Closes 7 pm

Updated by this business 3 weeks ago",https://lh3.googleusercontent.com/p/AF1QipObNHn3il-FzddiQc4pg_cdyN-iN9xVGFzACWL2=w427-h240-k-no,true,10 am–7 pm,10 am–7 pm,10 am–7 pm,10 am–7 pm,10 am–7 pm,10 am–6 pm,Closed,"https://www.google.com/maps/search/pool+services+businesses+in+Cincinnati+Cincinatti+OH/@39.1031182,-84.5120196,14z",2025-10-27T17:39:41.894Z,,,,
https://www.google.com/maps/place/Riley%27s+Pools+%26+Spas+Inc/data=!4m7!3m6!1s0x8841ca5e2f7d91e5:0xc1a4021341ecb4e2!8m2!3d39.1532144!4d-84.6272686!16s%2Fg%2F1thghqg5!19sChIJ5ZF9L17KQYgR4rTsQRMCpME,Riley's Pools & Spas Inc,4.3,32,Swimming pool supply store,"6504 Glenway Ave, Cincinnati, OH 45211, United States","593F+73 Cincinnati, Ohio, USA",http://www.rileyspoolsandspas.com/,+1 513-481-3000,"Open ⋅ Closes 6 pm

Updated by this business 7 weeks ago",https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwmAbC5u4SLDa_bQoj_cf4Eny6x16s1oTEeopI2gDPbzsr8S5X-DE4xXjS7MIB1voPMMv0Ptdw0YdxoNtbeBroUiAaVwk7QCC6aKq2b8Qwl07wJvxdM71qwe9N9SmdHyeWKYdBRIk2RfM_D=w408-h906-k-no,true,10 am–6 pm,10 am–6 pm,10 am–6 pm,10 am–6 pm,10 am–6 pm,10 am–4 pm,Closed,"https://www.google.com/maps/search/pool+services+businesses+in+Cincinnati+Cincinatti+OH/@39.1031182,-84.5120196,14z",2025-10-27T17:39:47.021Z,· In-store shopping · In-store pick-up,,,
