placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,info,imgUrl,isClaimed,monday,tuesday,wednesday,thursday,friday,saturday,sunday,query,timestamp,attributes,isBlackOwned,error
https://www.google.com/maps/place/Integrative+Nutrition+%26+Healing/data=!4m7!3m6!1s0x8841b371a32ee84f:0x8b925f860bc6d423!8m2!3d39.1408417!4d-84.4426646!16s%2Fg%2F11fk491lmq!19sChIJT-guo3GzQYgRI9TGC4Zfkos,Integrative Nutrition & Healing,4.9,127,Wellness center,"3536 Edwards Rd Suite 210, Cincinnati, OH 45208, United States","4HR4+8W Cincinnati, Ohio, USA",https://inhwellness.com/,+1 513-506-2868,Open · Closes 8 pm,LGBTQ+ friendly,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqnpAculi_rYL8ndXXIf-9BZCv7AsibgAZlZGs8RiGVpbXcq-6XvMacQJ4-Pc9xTydhKnTCFzYCJHLhS8gR1u0anV09Kw0x_-nzWDkwKVhERdDMPbxcBp6wZkgbpDH4mQtHFdF_=w408-h280-k-no,true,9 am–8 pm,9 am–8 pm,9 am–8 pm,8:30 am–8 pm,9 am–8 pm,9 am–2 pm,Closed,"https://www.google.com/maps/search/functional+medicine+in+Cincinnati+Cincinatti+OH/@39.1031182,-84.5120196,14z",2026-02-23T16:16:33.653Z,,,
https://www.google.com/maps/place/Whole+Systems+Healthcare+Cincinnati+Clinic/data=!4m7!3m6!1s0x8841b34687c14557:0xe2bd4c199a09d551!8m2!3d39.151264!4d-84.4454825!16s%2Fg%2F11pzjqjphn!19sChIJV0XBh0azQYgRUdUJmhlMveI,Whole Systems Healthcare Cincinnati Clinic,4.9,59,Naturopathic practitioner,"4030 Smith Rd Suite 200, Cincinnati, OH 45209, United States","5H23+GR Cincinnati, Ohio, USA",https://wshcare.org/cincinnati/,+1 513-496-0512,,,https://lh3.googleusercontent.com/gps-cs-s/AHVAwequHuwdS1Jr2hISCCH7-gOLPstm06oZdHEBu66jD6swKpcqIsorWS_njZ_kSPk49kRWqQwPK4s-l3EEVn3yMDKkUZ0foZ0VsrehaiZd5lc9ZCdsyBFviA5H2pVlGopBmtWn8r-K=w408-h333-k-no,true,8 am–5 pm,8 am–6 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,"https://www.google.com/maps/search/functional+medicine+in+Cincinnati+Cincinatti+OH/@39.1031182,-84.5120196,14z",2026-02-23T16:16:40.094Z,,,
https://www.google.com/maps/place/Form+%2B+Function+Movement+Lab/data=!4m7!3m6!1s0x8841adaf581f0727:0xb3de7b2812cbb73e!8m2!3d39.1261505!4d-84.4893596!16s%2Fg%2F11h3ftwv41!19sChIJJwcfWK-tQYgRPrfLEih73rM,Form + Function Movement Lab,5.0,94,Wellness center,"934 E McMillan St Unit B, Cincinnati, OH 45206, United States","4GG6+F7 Cincinnati, Ohio, USA",http://ffmovementlab.com/,+1 513-268-6683,Open · Closes 7 pm,,https://lh3.googleusercontent.com/gps-cs-s/AHVAwerUmUHev8SHMuBh94ohUq00HzAQVg6eNU3G5uJPnFdvaLPaD6ECsJPXYl-P8-WaFdcO5yhDPg0-icHGqj4wWgGtsboPUCVJByWYnEyDgC-g4im7dWgSbg4v7IenbXqLIJYflUgffQ=w408-h408-k-no,true,7 am–7 pm,7 am–7 pm,7 am–7 pm,7 am–7 pm,7 am–6 pm,8–11 am,Closed,"https://www.google.com/maps/search/functional+medicine+in+Cincinnati+Cincinatti+OH/@39.1031182,-84.5120196,14z",2026-02-23T16:16:45.129Z,,,
https://www.google.com/maps/place/Osher+Center+for+Integrative+Health+at+the+University+of+Cincinnati/data=!4m7!3m6!1s0x8841b361fd0f4ec3:0xf536edd0720f60e9!8m2!3d39.1381338!4d-84.5037123!16s%2Fg%2F11l59zhrqf!19sChIJw04P_WGzQYgR6WAPctDtNvU,Osher Center for Integrative Health at the University of Cincinnati,,,Medical group,"231 Albert Sabin Way, Cincinnati, OH 45267, United States","4FQW+7G Cincinnati, Ohio, USA",https://med.uc.edu/institutes/integrative/home,+1 513-558-2310,Closes soon · 12 pm · Opens 9 am Tue,,https://lh3.googleusercontent.com/gps-cs-s/AHVAweprdkAyme5upxzSxzntXdIXJePr2gbMi4GgPic9fZ02qiwqDt-K51ACVC82EWeSH5gbl56C8Api8TxCTq6vD6qKGbXBCSY-WIaw7U3vemmIrkU_JruhJu2tfsDr329hdbwe7KVb=w408-h544-k-no,true,9 am–12 pm,9 am–12 pm,9 am–12 pm,9 am–12 pm,9 am–12 pm,9 am–12 pm,9 am–12 pm,"https://www.google.com/maps/search/functional+medicine+in+Cincinnati+Cincinatti+OH/@39.1031182,-84.5120196,14z",2026-02-23T16:16:50.331Z,,,
"https://www.google.com/maps/place/Dr.+Rebecca+R.+Furlano,+DC/data=!4m7!3m6!1s0x87debfa1bf73051f:0x3a4c2a792d23d10b!8m2!3d39.1189713!4d-84.4385256!16s%2Fg%2F11bycgflw2!19sChIJHwVzv6G_3ocRC9EjLXkqTDo","Dr. Rebecca R. Furlano, DC",5.0,2,Chiropractor,"455 Delta Ave #1, Cincinnati, OH 45226, United States","4H96+HH Cincinnati, Ohio, USA",http://drfurlano.com/,+1 513-321-8484,Open · Closes 4 pm,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=OLyPg3-HinyRQ0JXOob6dw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=42.881096&pitch=0&thumbfov=100,true,8 am–4 pm,9 am–12:30 pm,8 am–3:30 pm,9 am–3:30 pm,Closed,Closed,Closed,"https://www.google.com/maps/search/functional+medicine+in+Cincinnati+Cincinatti+OH/@39.1031182,-84.5120196,14z",2026-02-23T16:16:55.217Z,,,
"https://www.google.com/maps/place/Dr.+James+M.+Weeks,+MD/data=!4m7!3m6!1s0x8841ad88d70d89bd:0xe46b2cd69e68bdb0!8m2!3d39.1184693!4d-84.4391638!16s%2Fg%2F1w9y1sjv!19sChIJvYkN14itQYgRsL1ontYsa-Q","Dr. James M. Weeks, MD",5.0,14,Internist,"Lincoln School, 455 Delta Ave #303, Cincinnati, OH 45226, United States","4H96+98 Cincinnati, Ohio, USA",http://www.oneheartmedical.com/,+1 513-321-1242,Open · Closes 5:30 pm,LGBTQ+ friendly,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=PC7tu6tJ44lf0mU1RGRKHA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=303.905&pitch=0&thumbfov=100,true,8:30 am–5:30 pm,8:30 am–5:30 pm,8:30 am–5:30 pm,8:30 am–5:30 pm,8:30 am–5:30 pm,Closed,Closed,"https://www.google.com/maps/search/functional+medicine+in+Cincinnati+Cincinatti+OH/@39.1031182,-84.5120196,14z",2026-02-23T16:17:00.431Z,,,
https://www.google.com/maps/place/Devon+Blythe/data=!4m7!3m6!1s0x8841b3557f564775:0xe406e6ef80d178bb!8m2!3d39.1320224!4d-84.461543!16s%2Fg%2F11p6vq4jrk!19sChIJdUdWf1WzQYgRu3jRgO_mBuQ,Devon Blythe,5.0,8,Holistic medicine practitioner,"2037 Madison Rd Suite 3, Cincinnati, OH 45208, United States","4GJQ+R9 Cincinnati, Ohio, USA",http://devonlanei.com/,+1 513-545-7399,Open · Closes 5 pm,,https://lh3.googleusercontent.com/gps-cs-s/AHVAweoBLqw5ktn5P7zWQvf2rQQnXdCduIXonKl3hundqpJMizIRT5AItYieppGzkr4obdFj4IRFYyaEf7lMKkes8q0lJ9gllmeD864tT4mSB94hBtrv-JNkzet3nK63bk3hX3t0t1Bi=w426-h240-k-no,true,9 am–5 pm,10:30 am–6 pm,10:30 am–6 pm,10:30 am–6 pm,9 am–5 pm,Closed,Closed,"https://www.google.com/maps/search/functional+medicine+in+Cincinnati+Cincinatti+OH/@39.1031182,-84.5120196,14z",2026-02-23T16:17:05.549Z,,,
https://www.google.com/maps/place/Advanced+Integrative+Wellness/data=!4m7!3m6!1s0x88405341bafe5d9b:0xe80612f7e5716d6a!8m2!3d39.2038836!4d-84.3717904!16s%2Fg%2F11f0_f2k17!19sChIJm13-ukFTQIgRam1x5fcSBug,Advanced Integrative Wellness,4.9,74,Wellness center,"8041 Hosbrook Rd Suite 320, Cincinnati, OH 45236, United States","6J3H+H7 Cincinnati, Ohio, USA",http://advwellness.org/,+1 513-614-4301,Open · Closes 4 pm,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=bD4UC_zTIut-AQqyGeqM3g&cb_client=search.gws-prod.gps&w=408&h=240&yaw=104.336006&pitch=0&thumbfov=100,true,8 am–4 pm,8 am–4 pm,8 am–4 pm,8 am–4 pm,8 am–4 pm,Closed,Closed,"https://www.google.com/maps/search/functional+medicine+in+Cincinnati+Cincinatti+OH/@39.1031182,-84.5120196,14z",2026-02-23T16:17:10.594Z,,,
https://www.google.com/maps/place/Cincinnati+Health+Institute/data=!4m7!3m6!1s0x88404b0a1023d6a1:0xb3673db3af96c5ff!8m2!3d39.2341284!4d-84.5478055!16s%2Fg%2F1hm5msz1w!19sChIJodYjEApLQIgR_8WWr7M9Z7M,Cincinnati Health Institute,4.9,62,Medical office,"7712 Hamilton Ave, Cincinnati, OH 45231, United States","6FM2+MV Cincinnati, Ohio, USA",http://www.thecincinnatihealthinstitute.com/,+1 513-522-2220,Closes soon · 12 pm · Reopens 3 pm,,https://lh3.googleusercontent.com/gps-cs-s/AHVAwepGbD9SG1NT05G4hIKulGsPkS3XEjGjy_YuOh5t-U3SXjjcjnrHQuKKC7nVIhIufeIipr2r4lWWSRHG9ykKMxtu9HfrRO3xP83wpS9iUD3GYnBzuFjrrbAQDX3N3kxcUA9cYK2vTQ=w408-h391-k-no,true,"8 am–12 pm, 3–6 pm",Closed,"8 am–12 pm, 3–6 pm",Closed,8 am–12 pm,Closed,Closed,"https://www.google.com/maps/search/functional+medicine+in+Cincinnati+Cincinatti+OH/@39.1031182,-84.5120196,14z",2026-02-23T16:17:15.308Z,,,
https://www.google.com/maps/place/Holistic+Bee+Nutrition+%26+Wellness/data=!4m7!3m6!1s0x8841b19cb674745b:0x2383e8c4073df2d4!8m2!3d39.077005!4d-84.4625892!16s%2Fg%2F11v0v64ccw!19sChIJW3R0tpyxQYgR1PI9B8TogyM,Holistic Bee Nutrition & Wellness,5.0,12,Holistic medicine practitioner,"20 N Grand Ave Suite 12B, Fort Thomas, KY 41075, United States","3GGP+RX Fort Thomas, Kentucky, USA",http://holisticbeenutrition.com/,+1 513-400-3823,Closed · Opens 11:30 am Wed,Identifies as women-owned,https://lh3.googleusercontent.com/gps-cs-s/AHVAweomzqYp7yh8eDCR2hNtX2UafC_R2UlYfyNiwq9ho2xVtnkugA3xD8X5WlYHyLGyo_n3gU3UPjE1xxa_AR70Ynee2Z5A8O6oyEYo6YjyJhigxJIY-qh8_PTGTwSnw4e6JqOVQ4x7=w408-h612-k-no,true,Closed,Closed,11:30 am–7 pm,Closed,11:30 am–6 pm,Closed,Closed,"https://www.google.com/maps/search/functional+medicine+in+Cincinnati+Cincinatti+OH/@39.1031182,-84.5120196,14z",2026-02-23T16:17:20.385Z,,,
