placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,saturday,sunday,monday,tuesday,wednesday,thursday,friday,query,timestamp,info,attributes,error
https://www.google.com/maps/place/Unrivaled+Electric/data=!4m7!3m6!1s0x886c594fbe31cddf:0x6bbe451a69e257e3!8m2!3d39.1654211!4d-86.4942059!16s%2Fg%2F11lh3b20g5!19sChIJ380xvk9ZbIgR41fiaRpFvms,Unrivaled Electric,4.7,65,Electrician,"223 S Pete Ellis Dr, Bloomington, IN 47408, United States","5G84+58 Bloomington, Indiana, USA",http://www.unrivaledelectric.com/,+1 812-361-3604,Closed · Opens 7:30 am Mon,https://lh3.googleusercontent.com/p/AF1QipMvNAK0FnuYOLJm-VrJbzFCUkLumc7CFhDvU0iN=w425-h240-k-no,true,Closed,Closed,7:30 am–5 pm,7:30 am–5 pm,7:30 am–5 pm,7:30 am–5 pm,7:30 am–5 pm,"https://www.google.com/maps/search/generator+installation+services+in+Plainfield+Bloomington+IN/@39.169574,-86.5385549,14z",2026-01-10T21:23:24.099Z,,,
"https://www.google.com/maps/place/Absolute+Electric+%26+Maintenance+LLC/@39.2278476,-86.6053162,17z/data=!3m1!4b1!4m6!3m5!1s0x886c5e4b70aa957d:0x8e9fed1f91122853!8m2!3d39.2278476!4d-86.6053162!16s%2Fg%2F1vb9dtc8",Absolute Electric & Maintenance LLC,5.0,29,Electrician,"5385 N Lakeview Dr, Bloomington, IN 47404, United States","69HV+4V Bloomington, Indiana, USA",,+1 812-322-6744,,,false,,,,,,,,"https://www.google.com/maps/search/generator+installation+services+in+Plainfield+Bloomington+IN/@39.169574,-86.5385549,14z",2026-01-10T21:23:28.693Z,,,
https://www.google.com/maps/place/Ecofriendly+Mechanical/data=!4m7!3m6!1s0x886c5de2f33551cb:0x2167b4499a1f7e19!8m2!3d39.1775831!4d-86.5912379!16s%2Fg%2F1tmgd51k!19sChIJy1E18-JdbIgRGX4fmkm0ZyE,Ecofriendly Mechanical,5.0,216,HVAC contractor,"1297 N Loesch Rd, Bloomington, IN 47404, United States","5CH5+2G Bloomington, Indiana, USA",https://www.ecofriendlyhvac.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp-profile,+1 812-333-1223,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzf4UZAOdJAYxGu54QFmIKZX9gIhQ9wpYniEo7RN0y8AtJnFM7R8rxgAitHM4LnUFf7FbEw6pEXI-rSJOeyjOigQ6yJ6xIIVF-J4pbMo1U-2H2zNmKaadRjAcHoSmx5_MNpNcoxz4jZ4WSH=w408-h306-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/generator+installation+services+in+Plainfield+Bloomington+IN/@39.169574,-86.5385549,14z",2026-01-10T21:23:33.133Z,,,
"https://www.google.com/maps/place/Bassett+Services:+Heating,+Cooling,+Plumbing,+%26+Electrical/data=!4m7!3m6!1s0x886ca4c9e3597827:0xa52226ec4b376bb4!8m2!3d39.6999257!4d-86.412826!16s%2Fg%2F1td4f93t!19sChIJJ3hZ48mkbIgRtGs3S-wmIqU","Bassett Services: Heating, Cooling, Plumbing, & Electrical",4.8,4021,HVAC contractor,"706 W Main St, Plainfield, IN 46168, United States","MHXP+XV Plainfield, Indiana, USA",https://bassettservices.com/plainfield/?utm_source=google-gbp&utm_medium=organic&utm_campaign=*38*bassett-services-plainfield,+1 317-455-3130,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipOKw5jZ4fjUeBpetzRau6Clog57Na3sk4L_teyd=w408-h271-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/generator+installation+services+in+Plainfield+Bloomington+IN/@39.169574,-86.5385549,14z",2026-01-10T21:23:37.923Z,,,
https://www.google.com/maps/place/Kings+Elite+Energy/data=!4m7!3m6!1s0x886b5ddd82183695:0x7b1d9164c6c35107!8m2!3d39.76652!4d-86.4412135!16s%2Fg%2F11dzt0dlzv!19sChIJlTYYgt1da4gRB1HDxmSRHXs,Kings Elite Energy,3.8,10,Electrician,,,,+1 317-494-0337,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipP6lGUsFOkuNDeaqszXAxqEOCTakyt4nxv5I5_Y=w426-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/generator+installation+services+in+Plainfield+Bloomington+IN/@39.169574,-86.5385549,14z",2026-01-10T21:23:42.573Z,Identifies as women-owned,,
https://www.google.com/maps/place/Riverway+Plumbing+%26+Mechanical/data=!4m7!3m6!1s0x886c692f8daa0559:0xd06a0dfdb49c1e32!8m2!3d39.1064325!4d-86.531998!16s%2Fg%2F1hhvp9nsp!19sChIJWQWqjS9pbIgRMh6ctP0NatA,Riverway Plumbing & Mechanical,4.8,264,Plumber,"5450 S Old State Rd 37, Bloomington, IN 47401, United States","4F49+H6 Bloomington, Indiana, USA",https://riverwayplumbing.com/,+1 812-327-8080,,https://lh3.googleusercontent.com/p/AF1QipOmuuYMFo5i8faK0syLUsYyhbpzIGIYUIWbTo8i=w408-h438-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/generator+installation+services+in+Plainfield+Bloomington+IN/@39.169574,-86.5385549,14z",2026-01-10T21:23:47.010Z,,,
https://www.google.com/maps/place/Electric+Services+Incorporated/data=!4m7!3m6!1s0x886c671ca95b1cc1:0x8687e84e7b7ca66d!8m2!3d39.1560233!4d-86.5443734!16s%2Fg%2F1v44fqgs!19sChIJwRxbqRxnbIgRbaZ8e07oh4Y,Electric Services Incorporated,4.1,12,Electrician,"1000 W Allen St, Bloomington, IN 47403, United States","5F44+C7 Bloomington, Indiana, USA",https://esibloomington.com/,+1 812-339-6345,Closed · Opens 7:30 am Mon,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=BeSL1YCy0rvSeXI-l_6UeA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=336.0463&pitch=0&thumbfov=100,true,Closed,Closed,7:30 am–5 pm,7:30 am–5 pm,7:30 am–5 pm,7:30 am–5 pm,7:30 am–5 pm,"https://www.google.com/maps/search/generator+installation+services+in+Plainfield+Bloomington+IN/@39.169574,-86.5385549,14z",2026-01-10T21:23:51.353Z,,,
https://www.google.com/maps/place/B+%26+H+Electric+%26+Supply/data=!4m7!3m6!1s0x886c5de6a08abf05:0x15b84d926ceca261!8m2!3d39.1823678!4d-86.5961177!16s%2Fg%2F1tj58j03!19sChIJBb-KoOZdbIgRYaLsbJJNuBU,B & H Electric & Supply,4.6,12,Electrician,"4719 W Vernal Pike, Bloomington, IN 47404, United States","5CJ3+WH Bloomington, Indiana, USA",http://www.bh-electric.com/,+1 812-333-7303,Closed · Opens 7:30 am Mon,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Wl3MtV4bHJHWN_3HyChCFA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=246.26932&pitch=0&thumbfov=100,false,Closed,Closed,7:30 am–4 pm,7:30 am–4 pm,7:30 am–4 pm,7:30 am–4 pm,7:30 am–4 pm,"https://www.google.com/maps/search/generator+installation+services+in+Plainfield+Bloomington+IN/@39.169574,-86.5385549,14z",2026-01-10T21:23:55.802Z,,,
"https://www.google.com/maps/place/Electric+Plus,+Inc.+-+Bloomington/data=!4m7!3m6!1s0x886c6860f79940ed:0xf36d1605c33a1f9f!8m2!3d39.1798214!4d-86.5461156!16s%2Fg%2F11b64q1n_q!19sChIJ7UCZ92BobIgRnx86wwUWbfM","Electric Plus, Inc. - Bloomington",4.6,5,Electrician,"1030 W 17th St Suite B, Bloomington, IN 47404, United States","5FH3+WH Bloomington, Indiana, USA",http://www.electricplus.com/?utm_source=Google+Business&utm_medium=Google+Business&utm_campaign=Google+Business,+1 812-336-4992,Closed · Opens 7 am Mon,https://lh3.googleusercontent.com/p/AF1QipPkPtv1VgTGqFqukz5Rz68h0hdzPXzIgwL9fUFA=w426-h240-k-no,true,Closed,Closed,7 am–5 pm,7 am–5 pm,7 am–5 pm,7 am–5 pm,7 am–5 pm,"https://www.google.com/maps/search/generator+installation+services+in+Bloomington+Bloomington+IN/@39.169574,-86.5385549,14z",2026-01-10T21:24:08.314Z,,,
https://www.google.com/maps/place/Homeowner+Service/data=!4m7!3m6!1s0x886c60c7c918a417:0x84c5bd7acff3c342!8m2!3d39.1983127!4d-86.5570776!16s%2Fg%2F1wg5yrp0!19sChIJF6QYycdgbIgRQsPzz3q9xYQ,Homeowner Service,4.7,42,Electrician,"3104 N Norwest Woods Ln #9281, Bloomington, IN 47404, United States","5CXV+85 Bloomington, Indiana, USA",http://homeownerserviceelectric.com/,+1 812-333-0243,Closed · Opens 8 am Mon,https://lh3.googleusercontent.com/p/AF1QipN11PBO_uWO3eEev6q2lfX9UHt_Nt3VdW4lCHUZ=w408-h306-k-no,true,Closed,Closed,8 am–4 pm,8 am–4 pm,8 am–4 pm,8 am–4 pm,8 am–12 pm,"https://www.google.com/maps/search/generator+installation+services+in+Bloomington+Bloomington+IN/@39.169574,-86.5385549,14z",2026-01-10T21:24:12.858Z,,,
https://www.google.com/maps/place/Price+Electric+Inc./data=!4m7!3m6!1s0x886c66f41936aaab:0x2c91a5cfc625308!8m2!3d39.1484534!4d-86.5246!16s%2Fg%2F11fll6d2wt!19sChIJq6o2GfRmbIgRCFNi_FwayQI,Price Electric Inc.,4.2,33,Electrician,"724 E Thornton Dr, Bloomington, IN 47401, United States","4FXG+95 Bloomington, Indiana, USA",http://price-electricinc.com/,+1 812-339-9769,Closed · Opens 7 am Mon,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzsUrq_Dc96633Rv1oVO76Fikfr7ler0Cs5eI0FpMFUaJXHHZtJw3wDqKlRtG_JErzArVVmwkHGshZUfptpoyLkP8edoC_3pfV47mxugFJVuGt0ywlPb2eXo5Ts5f7dQiDs1a01ebXZUzM=w408-h544-k-no,true,Closed,Closed,7 am–4:30 pm,7 am–4:30 pm,7 am–4:30 pm,7 am–4:30 pm,7 am–4:30 pm,"https://www.google.com/maps/search/generator+installation+services+in+Bloomington+Bloomington+IN/@39.169574,-86.5385549,14z",2026-01-10T21:24:17.542Z,,,
https://www.google.com/maps/place/Peterman+Brothers+Heating+Cooling+Plumbing/data=!4m7!3m6!1s0x886c618864cf7fbf:0xe62b5ad88b7e9299!8m2!3d39.1983204!4d-86.5555684!16s%2Fg%2F11pxm66ffd!19sChIJv3_PZIhhbIgRmZJ-i9haK-Y,Peterman Brothers Heating Cooling Plumbing,4.8,1837,HVAC contractor,"3133 N Westbury Village Dr Suite 2, Bloomington, IN 47404, United States","5CXV+8Q Bloomington, Indiana, USA",https://petermanhvac.com/bloomington/?account=4163/?utm_source=gmb-bloomington&utm_medium=organic,+1 812-612-8083,Closes soon · 5 pm · Opens 8 am Sun,https://lh3.googleusercontent.com/p/AF1QipMKBn4DU152vciK1Un2UahqJAuD_XoaPqDbgHwT=w408-h306-k-no,true,8 am–5 pm,8 am–5 pm,7 am–8 pm,7 am–8 pm,7 am–8 pm,7 am–8 pm,7 am–8 pm,"https://www.google.com/maps/search/generator+installation+services+in+Bloomington+Bloomington+IN/@39.169574,-86.5385549,14z",2026-01-10T21:24:22.912Z,LGBTQ+ friendly,,
"https://www.google.com/maps/place/Mann+Plumbing,+Inc./data=!4m7!3m6!1s0x886c6731b3b236db:0xbd58d33058009a09!8m2!3d39.1799252!4d-86.5544629!16s%2Fg%2F1tfxysjp!19sChIJ2zayszFnbIgRCZoAWDDTWL0","Mann Plumbing, Inc.",4.8,123,Plumber,"1750 W 17th St, Bloomington, IN 47404, United States","5CHW+X6 Bloomington, Indiana, USA",http://www.mannplumbinginc.com/,+1 812-334-4003,Closed · Opens 7 am Mon,https://lh3.googleusercontent.com/p/AF1QipO8jc9j7_qJdA4I7_6pPFSKMBwCdRXhU2grgXM2=w408-h306-k-no,true,Closed,Closed,7 am–4 pm,7 am–4 pm,7 am–4 pm,7 am–4 pm,7 am–4 pm,"https://www.google.com/maps/search/generator+installation+services+in+Bloomington+Bloomington+IN/@39.169574,-86.5385549,14z",2026-01-10T21:24:31.693Z,,,
https://www.google.com/maps/place/Atomic+Electric+and+Solar/data=!4m7!3m6!1s0x886c66fdb31099c1:0xbb43baba35ef1ccf!8m2!3d39.1515487!4d-86.5374903!16s%2Fg%2F1v_z9ng8!19sChIJwZkQs_1mbIgRzxzvNbq6Q7s,Atomic Electric and Solar,4.6,43,Electrician,"1401 S Madison St, Bloomington, IN 47403, United States","5F27+J2 Bloomington, Indiana, USA",https://www.atomicsolarelectric.com/,+1 812-325-5164,Closed · Opens 8 am Mon,https://lh3.googleusercontent.com/p/AF1QipNbFXELZQGMW2mRWc51wpExwkcbrD3tVxrfbd0u=w408-h306-k-no,true,Closed,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/generator+installation+services+in+Bloomington+Bloomington+IN/@39.169574,-86.5385549,14z",2026-01-10T21:24:36.004Z,,,
https://www.google.com/maps/place/Tom%27s+Electrical/data=!4m7!3m6!1s0x886c67ef15dc9f5b:0x18befbfae959a335!8m2!3d39.1571945!4d-86.560222!16s%2Fg%2F11t_pngrfc!19sChIJW5_cFe9nbIgRNaNZ6fr7vhg,Tom's Electrical,5.0,6,Electrician,"1600 W Bloomfield Rd #201, Bloomington, IN 47403, United States","5C4Q+VW Bloomington, Indiana, USA",https://tombladeelectrician.com/bloomington-in/,+1 812-615-2529,Open · Closes 10 pm,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=e8w29QKVhv4m5RQ8OjOmkA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=16.372204&pitch=0&thumbfov=100,true,7 am–10 pm,7 am–10 pm,7 am–10 pm,7 am–10 pm,7 am–10 pm,7 am–10 pm,7 am–10 pm,"https://www.google.com/maps/search/generator+installation+services+in+Bloomington+Bloomington+IN/@39.169574,-86.5385549,14z",2026-01-10T21:24:40.575Z,,,
https://www.google.com/maps/place/Koenig+Equipment/data=!4m7!3m6!1s0x886c6710b41d5323:0xefdb76987102f08d!8m2!3d39.1594058!4d-86.5511895!16s%2Fg%2F1tdpbc12!19sChIJI1MdtBBnbIgRjfACcZh22-8,Koenig Equipment,4.5,203,Tractor dealer,"1305 W Bloomfield Rd, Bloomington, IN 47403, United States","5C5X+QG Bloomington, Indiana, USA",https://www.koenigequipment.com/locations/bloomington-indiana,+1 812-336-4133,Closed · Opens 8 am Mon,https://lh3.googleusercontent.com/p/AF1QipPj-JmoTMDgjqDVpJFJs5AKQTNx0rzac3BQ0A-v=w408-h306-k-no,true,Closed,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/generator+installation+services+in+Bloomington+Bloomington+IN/@39.169574,-86.5385549,14z",2026-01-10T21:24:45.314Z,,· In-store shopping · Kerbside pickup · Delivery,
https://www.google.com/maps/place/All-Phase+Electric+Supply/data=!4m7!3m6!1s0x886c671172dcd92b:0xfd77ef0289bde073!8m2!3d39.1589117!4d-86.5540817!16s%2Fg%2F12hmrbyv8!19sChIJK9ncchFnbIgRc-C9iQLvd_0,All-Phase Electric Supply,4.4,7,Electrical supply store,"700 S Landmark Ave, Bloomington, IN 47403, United States","5C5W+H9 Bloomington, Indiana, USA",http://apbloomington.portalced.com/,+1 812-330-8222,Closed · Opens 7 am Mon,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=DduBJpdI_196hYd3NA51HQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=233.82605&pitch=0&thumbfov=100,true,Closed,Closed,7 am–5 pm,7 am–5 pm,7 am–5 pm,7 am–5 pm,7 am–5 pm,"https://www.google.com/maps/search/generator+installation+services+in+Bloomington+Bloomington+IN/@39.169574,-86.5385549,14z",2026-01-10T21:24:50.098Z,,· In-store shopping · Kerbside pickup · Delivery,
https://www.google.com/maps/place/Rectify+LLC+DBA+Rectify+Solar/data=!4m7!3m6!1s0x886c675baf38e60f:0x2cda6c73630b2f7b!8m2!3d39.1644639!4d-86.5734187!16s%2Fg%2F11ggtnd23j!19sChIJD-Y4r1tnbIgRey8LY3Ns2iw,Rectify LLC DBA Rectify Solar,3.6,5,Electrician,"Bloomington, IN 47404, United States","5C7G+QJ Bloomington, Indiana, USA",,+1 812-345-1206,Open 24 hours,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Vd4t4qtdkVglZWNC7yB87Q&cb_client=search.gws-prod.gps&w=408&h=240&yaw=157.68651&pitch=0&thumbfov=100,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/generator+installation+services+in+Bloomington+Bloomington+IN/@39.169574,-86.5385549,14z",2026-01-10T21:24:54.634Z,,,
https://www.google.com/maps/place/Prewitt+Outdoor+Power+Inc/data=!4m7!3m6!1s0x886bbe61b1786a47:0x8b652ee047b24de1!8m2!3d38.987497!4d-85.891835!16s%2Fg%2F1vsps7bx!19sChIJR2p4sWG-a4gR4U2yR-AuZYs,Prewitt Outdoor Power Inc,4.5,61,Lawn mower store,"2101 N Ewing St, Seymour, IN 47274, United States","X4P5+X7 Seymour, Indiana, USA",https://prewittoutdoorpower.com/,+1 812-522-3705,Closed · Opens 8 am Mon,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSz1tS464hmPTRNSC-6aTHYEDsN4TjGB5F23HPPQQ8nDSRAbg1hwU_McQfPrtWUkKRkePn-3NQBwDPsJweKxmPr5BYQaVoM4nSerpey6x7ISHeTsVGtQTCtxo2pNz1zISDGHXSU=w408-h873-k-no,true,8 am–12 pm,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/generator+installation+services+in+Seymour+Bloomington+IN/@38.9592201,-85.8902547,14z",2026-01-10T21:25:14.956Z,,,
https://www.google.com/maps/place/Burris+Electric/data=!4m7!3m6!1s0x886bbefc95a6907b:0xa9545920f9efb040!8m2!3d38.9609155!4d-85.8809384!16s%2Fg%2F1tf7680t!19sChIJe5Cmlfy-a4gRQLDv-SBZVKk,Burris Electric,4.3,13,Contractor,"110 N Obrien St, Seymour, IN 47274, United States","X469+9J Seymour, Indiana, USA",,+1 812-522-7401,Closed · Opens 7 am Mon,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=MIiKb_cmDEoGlJSMuY0BMg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=92.23848&pitch=0&thumbfov=100,false,8 am–12 pm,Closed,7 am–4 pm,7 am–4 pm,7 am–4 pm,7 am–4 pm,7 am–4 pm,"https://www.google.com/maps/search/generator+installation+services+in+Seymour+Bloomington+IN/@38.9592201,-85.8902547,14z",2026-01-10T21:25:19.282Z,,,
https://www.google.com/maps/place/B+%26+H+Electric/data=!4m7!3m6!1s0x886bbf974ece8dfd:0xac0539549642fe9a!8m2!3d38.931992!4d-85.900718!16s%2Fg%2F1tjdmh2s!19sChIJ_Y3OTpe_a4gRmv5CllQ5Baw,B & H Electric,4.8,21,Electric motor repair shop,"740 C Ave E, Seymour, IN 47274, United States","W3JX+QP Seymour, Indiana, USA",https://bh-electric.com/,+1 812-522-5607,Closed · Opens 7 am Mon,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=91lVzWUIHiUYy4nm54ALVw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=152.90121&pitch=0&thumbfov=100,true,Closed,Closed,7 am–4 pm,7 am–4 pm,7 am–4 pm,7 am–4 pm,7 am–4 pm,"https://www.google.com/maps/search/generator+installation+services+in+Seymour+Bloomington+IN/@38.9592201,-85.8902547,14z",2026-01-10T21:25:23.659Z,,,
