placeUrl,title,rating,reviewCount,category,attributes,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,monday,tuesday,wednesday,thursday,friday,saturday,sunday,query,timestamp,info,isBlackOwned
https://www.google.com/maps/place/Tieman+Tire/data=!4m7!3m6!1s0x886c5d800b650209:0x406f7e109b837026!8m2!3d39.1494087!4d-86.5810052!16s%2Fg%2F1tgyxg6f!19sChIJCQJlC4BdbIgRJnCDmxB-b0A,Tieman Tire,4.9,632,Tire shop,· In-store pick-up,"2002 S Yost Ave, Bloomington, IN 47403, United States","4CX9+QH Bloomington, Indiana, USA",http://www.tiemantire.com/,+1 812-336-6283,Open · Closes 5 pm,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqKhlXKLkLEWFPf5NCed3ys_4KaRFv6Cl_EOJl86IQIWKILJ47F-gVOFGm-lWG-8-MUyKKyQN8kqhO7cojjSO2f0-gmZ_VeFHfdg4aWQX4_q5hH3KOo1xpkxQc28xS75mi9XLrv=w408-h725-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–1 pm,Closed,"https://www.google.com/maps/search/tire+service+in+Plainfield+Bloomington+IN/@39.169574,-86.5385549,14z",2026-03-23T14:48:44.969Z,,
https://www.google.com/maps/place/Advanced+Auto+Care+of+Bloomington/data=!4m7!3m6!1s0x886c674f8cc3424b:0xb9ca812175697bc9!8m2!3d39.1764266!4d-86.5695658!16s%2Fg%2F1tkc2vw7!19sChIJS0LDjE9nbIgRyXtpdSGByrk,Advanced Auto Care of Bloomington,4.8,606,Auto repair shop,,"1077 Air Dr, Bloomington, IN 47404, United States","5CGJ+H5 Bloomington, Indiana, USA",http://advancedautocare.co/,+1 812-330-1620,Open · Closes 5 pm,https://lh3.googleusercontent.com/gps-cs-s/AHVAwerFefi_PA_EXEZt8LRNHJmWdJR27ausrM7okJ1QvlIvoDO7waGemaykUC48pY4SdG0ZP2-Xo4Y4szaJ0zwVChQLwNYglpnaRfJ_peQlgw83TSutc_pbwgJEirAsvPZ29ihSizQ=w408-h300-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,"https://www.google.com/maps/search/tire+service+in+Plainfield+Bloomington+IN/@39.169574,-86.5385549,14z",2026-03-23T14:48:49.540Z,,
https://www.google.com/maps/place/Tire+Barn+Warehouse/data=!4m7!3m6!1s0x886c67605a7c8a51:0x34aeace35806ac00!8m2!3d39.1649608!4d-86.5783413!16s%2Fg%2F1tlkd36_!19sChIJUYp8WmBnbIgRAKwGWOOsrjQ,Tire Barn Warehouse,4.2,913,Tire shop,· In-store shopping · Kerbside pickup,"3450 W 3rd St, Bloomington, IN 47404, United States","5C7C+XM Bloomington, Indiana, USA",https://locations.tirebarn.com/in/bloomington/3450-west-3rd-street?&utm_source=google&utm_medium=organic&utm_campaign=gbp-listing-store_1120,+1 812-323-8473,Open · Closes 7 pm,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqUzs3nWJr4zA18ZB-MQvcQ-onLPxXExC1d0G2hnBOoLQjp2E6ApTehjehbzPuwz-ziYZon3-PxjT7IBw-WjhxKkAOmhc5WKkLYhEXzY4Fg_1_1zsUGxVQzQUc-9B1LTB6Tdvu0=w426-h240-k-no,true,7:30 am–7 pm,7:30 am–7 pm,7:30 am–7 pm,7:30 am–7 pm,7:30 am–7 pm,7:30 am–6 pm,9 am–5 pm,"https://www.google.com/maps/search/tire+service+in+Plainfield+Bloomington+IN/@39.169574,-86.5385549,14z",2026-03-23T14:48:54.249Z,LGBTQ+ friendly,
https://www.google.com/maps/place/Firestone+Complete+Auto+Care/data=!4m7!3m6!1s0x886c66dd8a9ac4c7:0x2e9a8f39db3698c6!8m2!3d39.1647983!4d-86.5332017!16s%2Fg%2F1q2vw08_w!19sChIJx8Sait1mbIgRxpg22zmPmi4,Firestone Complete Auto Care,3.9,355,Tire shop,· In-store shopping · Kerbside pickup,"219 S Walnut St, Bloomington, IN 47404, United States","5F78+WP Bloomington, Indiana, USA",https://www.firestonecompleteautocare.com/indiana/bloomington/219-s-walnut-st/?utm_source=google&utm_medium=organic&utm_campaign=localmaps&cmp=oloc_google_localmaps_maps,+1 812-269-8219,"Open · Closes 5:30 pm

Confirmed by this business 7 weeks ago",https://lh3.googleusercontent.com/gps-cs-s/AHVAweo8q-BPNWsjgb54g3PgvnEm2uOya3lg5qiTqlkHgWHxgiWuhM0vylEyrt-k6wAaX19CyG3ZPfyNc4vAJPW7T1ekFyJwEmqSEbZEog75-RhLGPBMLL3GM7knHs1W8ZAMMLJJnTgU=w426-h240-k-no,true,7:30 am–5:30 pm,7:30 am–5:30 pm,7:30 am–5:30 pm,7:30 am–5:30 pm,7:30 am–5:30 pm,7:30 am–5:30 pm,9 am–2 pm,"https://www.google.com/maps/search/tire+service+in+Plainfield+Bloomington+IN/@39.169574,-86.5385549,14z",2026-03-23T14:48:58.635Z,LGBTQ+ friendly,
https://www.google.com/maps/place/Mason+Automotive/data=!4m7!3m6!1s0x886c5d9d908c2d87:0x65dcb2297391e3b4!8m2!3d39.1468184!4d-86.5801603!16s%2Fg%2F11r1g3g13c!19sChIJhy2MkJ1dbIgRtOORcymy3GU,Mason Automotive,5.0,299,Auto repair shop,,"2111 S Yost Ave, Bloomington, IN 47403, United States","4CW9+PW Bloomington, Indiana, USA",http://masonautomotive.net/,+1 812-272-7540,Open · Closes 5 pm,https://lh3.googleusercontent.com/gps-cs-s/AHVAwequqPKUTEtqmqV-CBWpehkFILpa3ZiYi4yigGBOD2HzEvi0wi4Q8Xa5ivUe9ZNYnqGtP05ynT7b23DW68wny-fmxJh3-IN7a4Lp55QTOpfYgzgf5a07C5DLPIjuwR7HQuLSDLp17AZF7WjU=w408-h306-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,"https://www.google.com/maps/search/tire+service+in+Plainfield+Bloomington+IN/@39.169574,-86.5385549,14z",2026-03-23T14:49:03.060Z,,
https://www.google.com/maps/place/Belle+Tire/data=!4m7!3m6!1s0x886c675bb7f80129:0x38657c36aa363e83!8m2!3d39.1449737!4d-86.5789871!16s%2Fg%2F11h_5lxfsk!19sChIJKQH4t1tnbIgRgz42qjZ8ZTg,Belle Tire,4.3,579,Tire shop,· In-store shopping · Kerbside pickup,"2120 Liberty Dr, Bloomington, IN 47403, United States","4CVC+XC Bloomington, Indiana, USA",https://www.belletire.com/stores/detail/153/belle-tire-bloomington-in?utm_source=google&utm_medium=yext&utm_campaign=localseo,+1 812-822-3726,"Open · Closes 8 pm

Confirmed by this business 10 weeks ago",https://lh3.googleusercontent.com/gps-cs-s/AHVAweqRTj9blXOhHlIJjNsUMQrH2HFkbpfbTSgjCymG5a9GCocWhmv28C275tUJ3TXYu78ym1yoj_OaoV0scvG6qy2sUiHiZDBiRqlxJTV6E_BR7EwZAdvmBhmar2tu9qk2YX_oBV8l=w426-h240-k-no,true,8 am–8 pm,8 am–6 pm,8 am–6 pm,8 am–8 pm,8 am–6 pm,8 am–5 pm,Closed,"https://www.google.com/maps/search/tire+service+in+Plainfield+Bloomington+IN/@39.169574,-86.5385549,14z",2026-03-23T14:49:07.534Z,,
https://www.google.com/maps/place/Midas/data=!4m7!3m6!1s0x886c6769973fe775:0xdd57fe522247ddba!8m2!3d39.1638793!4d-86.5680687!16s%2Fg%2F1v4702nc!19sChIJdec_l2lnbIgRut1HIlL-V90,Midas,4.5,299,Auto repair shop,,"2501 W 3rd St, Bloomington, IN 47404, United States","5C7J+HQ Bloomington, Indiana, USA",https://www.midas.com/store/in/bloomington/2501-w-3rd-st-47404?shopnum=2865&utm_source=google&utm_medium=maps&utm_campaign=google+maps&y_source=1_MTM3ODMyNzMtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,+1 812-269-1940,Open · Closes 6 pm,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqd0kGv_XS7fG3k6tpFNNFrARpudCxC0qhCg3sTWwZeiYyk3ReRA9mcef87YXCtGF0E8qYvz4NSGvhV63aCemJGJlLrflUSjfoNEx_F-fr6Ucs0wCmREcM92jf6VpDfuJNAlYlq=w427-h240-k-no,true,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–5 pm,Closed,"https://www.google.com/maps/search/tire+service+in+Plainfield+Bloomington+IN/@39.169574,-86.5385549,14z",2026-03-23T14:49:11.855Z,,
https://www.google.com/maps/place/Midas/data=!4m7!3m6!1s0x886c642001c81e4b:0xdf8bd3b3c5da6308!8m2!3d39.166087!4d-86.499853!16s%2Fg%2F1tgpc07n!19sChIJSx7IASBkbIgRCGPaxbPTi98,Midas,4.5,732,Auto repair shop,,"2619 E 3rd St, Bloomington, IN 47401, United States","5G82+C3 Bloomington, Indiana, USA",https://www.midas.com/store/in/bloomington/2619-east-3rd-street-47401?shopnum=2863&utm_source=google&utm_medium=maps&utm_campaign=google+maps&y_source=1_MTE1ODYyODQtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,+1 812-269-8489,Open · Closes 6 pm,https://lh3.googleusercontent.com/gps-cs-s/AHVAwer6tUGJ1SyvWdf6qEnIRVdYAdUOuBub3BAFFZWqphNaUyPbqP5wGv_XwyoZ4R7bkL8hv5W0XmozNRpqwJ1idUbWKLe7Y7YyJ8-AzQfWLVzspI9YptjhRtFCYNgra6-5uWfI96eR0A=w427-h240-k-no,true,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–5 pm,Closed,"https://www.google.com/maps/search/tire+service+in+Plainfield+Bloomington+IN/@39.169574,-86.5385549,14z",2026-03-23T14:49:16.463Z,LGBTQ+ friendly,
https://www.google.com/maps/place/Strickland+Brothers+10+Minute+Oil+Change/data=!4m7!3m6!1s0x886c67f6454b7777:0xfe44d564167c6db3!8m2!3d39.1642108!4d-86.5647864!16s%2Fg%2F11tkbkqf00!19sChIJd3dLRfZnbIgRs218FmTVRP4,Strickland Brothers 10 Minute Oil Change,4.8,565,Oil change service,,"2313 W 3rd St, Bloomington, IN 47404, United States","5C7P+M3 Bloomington, Indiana, USA",https://sboilchange.com/locations/bloomington-in-0121/?utm_source=gbp&utm_medium=organic&utm_campaign=yext,+1 562-268-4848,"Open · Closes 7 pm

Confirmed by this business 7 weeks ago",https://lh3.googleusercontent.com/gps-cs-s/AHVAwep-7WDnMq16ccfaGcocSdHJLcdHfL5EtCOihNE1owZyX1h--WKpQTQ7AbGk59uF1tUNMK3wU6Y3PiFagm73cbwAaWUd8wDqlf1mrmT1tSuXfscOiocZVhS2Jy6GzM35m0KAokmZ=w426-h240-k-no,true,8 am–7 pm,8 am–7 pm,8 am–7 pm,8 am–7 pm,8 am–7 pm,8 am–6 pm,10 am–5 pm,"https://www.google.com/maps/search/tire+service+in+Plainfield+Bloomington+IN/@39.169574,-86.5385549,14z",2026-03-23T14:49:20.950Z,,
https://www.google.com/maps/place/Barney%27s+Alignment+Services/data=!4m7!3m6!1s0x886c6769970aa469:0xbd63be9b2511ba17!8m2!3d39.1633854!4d-86.5687459!16s%2Fg%2F1v3dswgs!19sChIJaaQKl2lnbIgRF7oRJZu-Y70,Barney's Alignment Services,4.8,80,Wheel alignment service,,"2507 W 3rd St, Bloomington, IN 47404, United States","5C7J+9G Bloomington, Indiana, USA",http://barneys-services.jany.io/,+1 812-331-1697,Open · Closes 5 pm,https://lh3.googleusercontent.com/gps-cs-s/AHVAwephobeesJj_DvgsoKLmT8ucHwTaXK59O859voA0tf2Jjm6xvo4lh4g14g4PfBVFIi4zpFT8H03cJ_Vf2hatB4Iofcv7dRruqPhT7nO8ZOHT9_IsyleOQllFGLZRzCGWQlimNdDA=w408-h244-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–4 pm,Closed,Closed,"https://www.google.com/maps/search/tire+service+in+Plainfield+Bloomington+IN/@39.169574,-86.5385549,14z",2026-03-23T14:49:25.307Z,,
