placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,sunday,monday,tuesday,wednesday,thursday,friday,saturday,query,timestamp,info,isBlackOwned,error,attributes
https://www.google.com/maps/place/Kolbe+Clinic/data=!4m7!3m6!1s0x88893f10025d2fb3:0x85d043d9d452763d!8m2!3d33.349823!4d-86.6339687!16s%2Fg%2F11n04dv764!19sChIJsy9dAhA_iYgRPXZS1NlD0IU,Kolbe Clinic,4.2,10,Addiction treatment center,"109 Foothills Pkwy Suite 113, Chelsea, AL 35043, United States","89X8+WC Chelsea, Alabama, USA",https://kolbeclinic.com/,+1 205-618-9899,Closed ⋅ Opens 9 am Mon,https://lh3.googleusercontent.com/p/AF1QipPDGTsOd9rh20nLsX5PNh4e88nhTlnUVha9Xgng=w408-h306-k-no,true,Closed,9 am–5 pm,9 am–5 pm,10 am–8 pm,12 am–5 pm,9 am–5 pm,Closed,"https://www.google.com/maps/search/Infusion+centers+in+Chelsea+Birmingham+AL/@33.3401108,-86.6302625,14z",2025-09-28T23:01:41.187Z,,,,
https://www.google.com/maps/place/Burch+Wellness/data=!4m7!3m6!1s0x88893fe321e1df57:0x9a8481a3f8c553ff!8m2!3d33.34634!4d-86.635762!16s%2Fg%2F11jdbglxd3!19sChIJV9_hIeM_iYgR_1PF-KOBhJo,Burch Wellness,,,Addiction treatment center,"61 Chelsea Corners Way #2012, Chelsea, AL 35043, United States","89W7+GM Chelsea, Alabama, USA",,+1 256-867-0985,Open ⋅ Closes 12 am,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=rTenYAH_d9CDdR_cnkjnww&cb_client=search.gws-prod.gps&w=408&h=240&yaw=94.24327&pitch=0&thumbfov=100,false,7 am–12 am,7 am–12 am,7 am–12 am,7 am–12 am,7 am–12 am,7 am–12 am,7 am–12 am,"https://www.google.com/maps/search/Infusion+centers+in+Chelsea+Birmingham+AL/@33.3401108,-86.6302625,14z",2025-09-28T23:01:46.564Z,,,,
https://www.google.com/maps/place/TherapySouth+Chelsea/data=!4m7!3m6!1s0x88893ef66a006d49:0x48ce7dc1643b8e0a!8m2!3d33.3462794!4d-86.6370802!16s%2Fg%2F12qfcxrjz!19sChIJSW0AavY-iYgRCo47ZMF9zkg,TherapySouth Chelsea,5.0,165,Physical therapy clinic,"100 Chelsea Corners Way Suite 100, Chelsea, AL 35043, United States","89W7+G5 Chelsea, Alabama, USA",https://therapysouth.com/locations/chelsea/,+1 205-678-7272,Closed ⋅ Opens 6 am Mon,https://lh3.googleusercontent.com/p/AF1QipMWyL4TkhoqjkSlHILr4OYHduEIgzmR3Eq_SAJL=w408-h272-k-no,true,Closed,6 am–6 pm,7 am–6 pm,7 am–6 pm,7 am–6 pm,7 am–5 pm,Closed,"https://www.google.com/maps/search/Infusion+centers+in+Chelsea+Birmingham+AL/@33.3401108,-86.6302625,14z",2025-09-28T23:01:52.746Z,,,,
https://www.google.com/maps/place/FlexCare+Infusion+Centers/data=!4m7!3m6!1s0x88891945e67bf577:0xa309bd664e48aec9!8m2!3d33.4097551!4d-86.7638304!16s%2Fg%2F11nxyybj1m!19sChIJd_V75kUZiYgRya5ITma9CaM,FlexCare Infusion Centers,5.0,42,Medical Center,"2409 Acton Rd Suite 153, Vestavia Hills, AL 35243, United States","C65P+WF Vestavia Hills, Alabama, USA",https://www.flexcareinfusion.com/,+1 205-379-0174,Closed ⋅ Opens 8 am Mon,https://lh3.googleusercontent.com/p/AF1QipPeaF9fF3GSba_7-pwAuH9MqPP1BQ6rOk7SEyM7=w408-h271-k-no,true,Closed,8 am–4 pm,8 am–4 pm,11 am–7 pm,11 am–7 pm,9 am–3 pm,9 am–3 pm,"https://www.google.com/maps/search/Infusion+centers+in+Chelsea+Birmingham+AL/@33.3401108,-86.6302625,14z",2025-09-28T23:01:57.696Z,,,,
https://www.google.com/maps/place/Balance+Infusion+%26+Wellness/data=!4m7!3m6!1s0x8889174fe4f203bf:0x749c93fc775f6e8b!8m2!3d33.411318!4d-86.6668882!16s%2Fg%2F11vbzv6w9m!19sChIJvwPy5E8XiYgRi25fd_yTnHQ,Balance Infusion & Wellness,4.9,31,Wellness center,"2803 Greystone Commercial Blvd Suite # 14, Birmingham, AL 35242, United States","C86M+G6 Birmingham, Alabama, USA",https://balanceinfusionwellness.com/?utm_campaign=gmb,+1 205-438-6017,Closed ⋅ Opens 9 am Tue,https://lh3.googleusercontent.com/gps-cs-s/AC9h4no8PqVKxrj288OHA3hJd2WH2KXwaKqDRe4UedzYe6KlImKLrTZwRg6hP_d_ntiOwuw7DzT5gsYXHe1VQJi_wfNOLDBYeNzRRmFovx-dZPRgPlWSiugINYaYTBqiJX_8QcS2KXhsGQB6eTdz=w408-h544-k-no,true,Closed,Closed,9 am–6 pm,9 am–6 pm,9 am–6 pm,9 am–4 pm,10 am–2 pm,"https://www.google.com/maps/search/Infusion+centers+in+Chelsea+Birmingham+AL/@33.3401108,-86.6302625,14z",2025-09-28T23:02:02.948Z,Identifies as women-owned,,,
https://www.google.com/maps/place/Paragon+Birmingham+Infusion+Center/data=!4m7!3m6!1s0x888917eff794e0a1:0x50840b7adc60bbe5!8m2!3d33.4293572!4d-86.7303336!16s%2Fg%2F11tfnj5jm_!19sChIJoeCU9-8XiYgR5btg3HoLhFA,Paragon Birmingham Infusion Center,5.0,2,Specialized clinic,"4851 Cahaba River Rd Ste 137, Birmingham, AL 35243, United States","C7H9+PV Birmingham, Alabama, USA",https://paragonhealthcare.com/,+1 205-963-7523,Closed ⋅ Opens 8 am Mon,https://lh3.googleusercontent.com/p/AF1QipOg6EvT8pWq-RbVmH7l5-B0QfCmO5mp-kS22FfZ=w408-h544-k-no,true,Closed,8 am–4 pm,8 am–4 pm,8 am–4 pm,8 am–4 pm,8 am–4 pm,Closed,"https://www.google.com/maps/search/Infusion+centers+in+Chelsea+Birmingham+AL/@33.3401108,-86.6302625,14z",2025-09-28T23:02:07.844Z,,,,
https://www.google.com/maps/place/Fast+Pace+Health+Urgent+Care+-+Chelsea+-+AL/data=!4m7!3m6!1s0x88893ff4278dc175:0x8d794341cb8ade9!8m2!3d33.3517874!4d-86.6084564!16s%2Fg%2F11vqm0fqr4!19sChIJdcGNJ_Q_iYgR6a24HDSU1wg,Fast Pace Health Urgent Care - Chelsea - AL,4.7,157,Urgent care center,"361 Chelsea Xrds Suite A, Chelsea, AL 35043, United States","992R+PJ Chelsea, Alabama, USA",https://fastpacehealth.com/location/chelsea-al-urgent-care/?utm_source=google&utm_medium=listings&utm_campaign=chelsea-al,+1 205-386-2057,Closed ⋅ Opens 7 am Mon,https://lh3.googleusercontent.com/p/AF1QipN9AK0GfeKXxaOZlIwYgb7ecoP2-Y1Wkm29zU0Q=w426-h240-k-no,true,8 am–5 pm,7 am–7 pm,7 am–7 pm,7 am–7 pm,7 am–7 pm,7 am–7 pm,8 am–5 pm,"https://www.google.com/maps/search/Infusion+centers+in+Chelsea+Birmingham+AL/@33.3401108,-86.6302625,14z",2025-09-28T23:02:13.263Z,,,,
https://www.google.com/maps/place/Creative+Scalps+Alabama/data=!4m7!3m6!1s0x88893faf6efcfe51:0x50f33bc6c8e59bfd!8m2!3d33.3497589!4d-86.6340653!16s%2Fg%2F11vf12q0l0!19sChIJUf78bq8_iYgR_ZvlyMY781A,Creative Scalps Alabama,5.0,49,Hair replacement service,"109 Foothills Pkwy Suite 103, Chelsea, AL 35043, United States","89X8+W9 Chelsea, Alabama, USA",https://www.creativescalpsalabama.com/,+1 205-855-9118,Closed ⋅ Opens 9 am Mon,https://lh3.googleusercontent.com/p/AF1QipO-3p7gFpuHSvF9Odrv0qOOJ0Q6liuqKRIhHtMD=w408-h502-k-no,true,Closed,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,"https://www.google.com/maps/search/Infusion+centers+in+Chelsea+Birmingham+AL/@33.3401108,-86.6302625,14z",2025-09-28T23:02:18.215Z,,,,
https://www.google.com/maps/place/The+FARM:+Functional+Athletic+Rehabilitation+%26+Movement/data=!4m7!3m6!1s0x8889164d99ab2505:0x9124e1443ae633cb!8m2!3d33.3684934!4d-86.6640035!16s%2Fg%2F1ptw924q1!19sChIJBSWrmU0WiYgRyzPmOkThJJE,The FARM: Functional Athletic Rehabilitation & Movement,5.0,345,Chiropractor,"203 Narrows Pkwy Suite A, Birmingham, AL 35242, United States","989P+99 Birmingham, Alabama, USA",http://www.chirofarm.com/,+1 205-419-1595,Closed ⋅ Opens 11 am Mon,https://lh3.googleusercontent.com/p/AF1QipM5rcww5MUMk2PbHYNrcv6JBKWJ6OpxSDqjyd30=w426-h240-k-no,true,Closed,11 am–6 pm,7 am–2 pm,7 am–2 pm,11 am–6 pm,7 am–2 pm,Closed,"https://www.google.com/maps/search/Infusion+centers+in+Chelsea+Birmingham+AL/@33.3401108,-86.6302625,14z",2025-09-28T23:02:25.505Z,,,,
https://www.google.com/maps/place/American+Family+Care+Chelsea/data=!4m7!3m6!1s0x88893fbc395eb967:0x333d578f318e8bf1!8m2!3d33.3467862!4d-86.6327776!16s%2Fg%2F11vb7m64xw!19sChIJZ7leObw_iYgR8YuOMY9XPTM,American Family Care Chelsea,4.6,479,Urgent care center,"12375 Chelsea Rd #100, Chelsea, AL 35043, United States","89W8+PV Chelsea, Alabama, USA",https://www.afcurgentcare.com/chelsea/,+1 205-677-6401,"Closed ⋅ Opens 8 am Mon

Confirmed by this business 9 weeks ago",https://lh3.googleusercontent.com/p/AF1QipO5YqldBlDQ75L4Iw_kvszkvntHe74pCSbOY237=w408-h306-k-no,true,8 am–4 pm,8 am–7 pm,8 am–7 pm,8 am–7 pm,8 am–7 pm,8 am–7 pm,8 am–4 pm,"https://www.google.com/maps/search/Infusion+centers+in+Chelsea+Birmingham+AL/@33.3401108,-86.6302625,14z",2025-09-28T23:02:30.436Z,LGBTQ+ friendly,,,
